id	sym	C1	C2	C3	5_uM_thapsigargin_rep1	5_uM_thapsigargin_rep2	5_uM_thapsigargin_rep3
ENSMUSG00000000278	Scpep1	5862	4932	4741	4780	5707	7822
ENSMUSG00000000282	Mnt	1620	1711	1252	1539	3769	1233
ENSMUSG00000000290	Itgb2	0	1	0	0	1	0
ENSMUSG00000000295	Hddc2	957	670	674	692	478	413
ENSMUSG00000000296	Tpd52l1	197	113	114	148	98	86
ENSMUSG00000000301	Pemt	191	132	142	136	115	102
ENSMUSG00000000303	Cdh1	38651	35737	38454	30481	30361	36322
ENSMUSG00000000305	Cdh4	1	14	15	0	8	5
ENSMUSG00000000308	Ckmt1	33767	47897	37172	20551	38642	28882
ENSMUSG00000000317	Bcl6b	80	112	165	69	124	54
ENSMUSG00000000320	Alox12	2	2	2	6	6	32
ENSMUSG00000000325	Arvcf	678	488	737	565	572	832
ENSMUSG00000000326	Comt	4845	4814	6054	3787	3752	4261
ENSMUSG00000000339	Rtca	988	1204	1076	963	1152	1013
ENSMUSG00000000340	Dbt	1589	1512	1698	1088	1319	1183
ENSMUSG00000000346	Dazap2	14829	14239	12814	7789	9405	8901
ENSMUSG00000000355	Mcts1	1376	1404	1439	1233	1261	1221
ENSMUSG00000000365	Rnf17	0	1	1	1	0	0
ENSMUSG00000000374	Trappc10	6225	6256	7022	4610	5128	5092
ENSMUSG00000000378	Ccm2	1100	793	870	521	494	646
ENSMUSG00000000381	Wap	0	0	0	0	1	0
ENSMUSG00000000384	Tbrg4	4658	4163	5614	5913	5241	5148
ENSMUSG00000000385	Tmprss2	12468	11508	9886	13607	12535	8215
ENSMUSG00000000386	Mx1	39	79	57	28	73	47
ENSMUSG00000000392	Fap	4	14	18	7	24	20
ENSMUSG00000000394	Gcg	3254	3648	11821	1408	2236	7760
ENSMUSG00000000399	Ndufa9	7135	6974	5980	4070	4925	3897
ENSMUSG00000000402	Egfl6	1	0	0	3	0	1
ENSMUSG00000000409	Lck	57	35	33	128	59	79
ENSMUSG00000000411	Tssk3	0	0	1	1	2	0
ENSMUSG00000000416	Cttnbp2	189	160	37	164	142	22
ENSMUSG00000000420	Galnt1	5751	7655	7084	4428	6385	5563
ENSMUSG00000000439	Mkrn2	957	848	778	1273	932	961
ENSMUSG00000000440	Pparg	1684	1038	1682	2307	1494	1921
ENSMUSG00000000441	Raf1	2657	2340	2543	3692	3469	2837
ENSMUSG00000000486	Sept1	29	28	33	19	26	31
ENSMUSG00000000489	Pdgfb	743	710	879	1243	2181	1309
ENSMUSG00000000530	Acvrl1	43	73	47	77	132	58
ENSMUSG00000000531	Grasp	344	163	229	185	166	194
ENSMUSG00000000532	Acvr1b	5957	6291	6428	3531	5825	4503
ENSMUSG00000000538	Tom1l2	2478	3786	2916	3216	5798	3901
ENSMUSG00000000544	Gpa33	14902	18094	17466	9358	13562	13419
ENSMUSG00000000552	Zfp385a	152	190	280	96	125	152
ENSMUSG00000000555	Itga5	85	44	53	119	86	88
ENSMUSG00000000560	Gabra2	3	8	1	0	3	1
ENSMUSG00000000561	Wdr77	1555	1208	2030	1579	942	1789
ENSMUSG00000000562	Adora3	3	2	2	3	4	2
ENSMUSG00000000563	Atp5f1	19298	20964	16108	14039	16794	12561
ENSMUSG00000000567	Sox9	2140	2015	1502	2057	1485	1422
ENSMUSG00000000568	Hnrnpd	6564	6258	7061	6597	5799	4431
ENSMUSG00000000579	Dynlt1c	457	428	613	383	546	388
ENSMUSG00000000581	C1d	2049	2190	1856	1346	1313	1285
ENSMUSG00000000594	Gm2a	999	546	570	305	222	234
ENSMUSG00000000600	Krit1	871	1074	1152	1310	1296	1095
ENSMUSG00000000605	Clcn4	2566	2787	3144	2501	2997	2764
ENSMUSG00000000627	Sema4f	0	0	1	1	0	2
ENSMUSG00000000628	Hk2	2828	1770	5830	4417	4761	6095
ENSMUSG00000000631	Myo18a	6768	8985	11785	6982	12086	9918
ENSMUSG00000000632	Sez6	8	10	11	7	6	11
ENSMUSG00000000673	Haao	11	4	6	7	3	3
ENSMUSG00000000682	Cd52	5	6	6	4	7	8
ENSMUSG00000000686	Abhd15	25	50	35	28	31	21
ENSMUSG00000000690	Hoxb6	14	10	13	18	14	5
ENSMUSG00000000693	Loxl3	2	1	2	10	15	14
ENSMUSG00000000706	Btn1a1	29	9	9	35	26	17
ENSMUSG00000000708	Kat2b	1367	1688	1228	1600	1872	1246
ENSMUSG00000000711	Rab5b	3360	3696	2755	2964	3389	2552
ENSMUSG00000000724	Cryba1	1	1	0	0	0	0
ENSMUSG00000000730	Dnmt3l	1	0	1	2	0	0
ENSMUSG00000000731	Aire	3	12	6	9	8	6
ENSMUSG00000000732	Icosl	1211	1566	1241	980	2069	1090
ENSMUSG00000000738	Spg7	5007	4331	3789	3547	4003	2918
ENSMUSG00000000740	Rpl13	58396	29177	40738	44412	25524	33942
ENSMUSG00000000743	Chmp1a	5583	6534	5876	4402	5662	4622
ENSMUSG00000000751	Rpa1	3366	2922	2253	2078	1619	1075
ENSMUSG00000000753	Serpinf1	4	0	1	1	2	2
ENSMUSG00000000759	Tubgcp3	1715	1731	1825	1820	1881	1668
ENSMUSG00000000776	Polr3d	823	659	1062	1248	1024	1600
ENSMUSG00000000782	Tcf7	456	319	364	370	153	209
ENSMUSG00000000787	Ddx3x	22088	26227	36342	30568	35365	37712
ENSMUSG00000000791	Il12rb1	19	25	29	57	42	40
ENSMUSG00000000792	Slc5a5	0	2	4	2	8	1
ENSMUSG00000000794	Kcnn3	0	0	0	0	3	1
ENSMUSG00000000804	Usp32	2094	2623	2148	2378	4052	2183
ENSMUSG00000000805	Car4	10	6	67	4	3	21
ENSMUSG00000000811	Txnrd3	700	501	693	573	379	513
ENSMUSG00000000823	Zfp512b	494	718	825	536	807	622
ENSMUSG00000000826	Dnajc5	6429	6205	8439	8937	9434	9755
ENSMUSG00000000827	Tpd52l2	2517	2268	2026	2843	2485	2336
ENSMUSG00000000838	Fmr1	3035	2730	2612	2379	2293	1951
ENSMUSG00000000861	Bcl11a	788	617	797	944	986	894
ENSMUSG00000000869	Il4	15	16	12	13	17	15
ENSMUSG00000000876	Pxmp4	2802	3409	1604	1350	2462	956
ENSMUSG00000000881	Dlg3	3397	3404	4244	4003	4217	4535
ENSMUSG00000000884	Gnb1l	370	267	408	358	245	289
ENSMUSG00000000901	Mmp11	14	3	6	7	1	9
ENSMUSG00000000902	Smarcb1	2982	2297	2882	4262	2912	3264
ENSMUSG00000000903	Vpreb3	0	2	2	1	4	3
ENSMUSG00000000915	Hip1r	5330	6381	4945	5603	7220	4066
ENSMUSG00000000916	Nsun5	678	650	972	1028	734	1076
ENSMUSG00000000934	Top1mt	735	550	566	655	494	433
ENSMUSG00000000938	Hoxa10	77	31	0	50	29	0
ENSMUSG00000000942	Hoxa4	34	49	31	50	28	10
ENSMUSG00000000948	Gm38393	339	375	231	214	161	116
ENSMUSG00000000957	Mmp14	1404	1215	490	817	841	225
ENSMUSG00000000958	Slc7a7	3667	5573	3252	4214	7462	3502
ENSMUSG00000000959	Oxa1l	5332	4141	3552	3791	3587	3158
ENSMUSG00000000976	Heatr6	1079	1104	1335	1317	1514	1188
ENSMUSG00000000982	Ccl3	1	0	0	0	0	0
ENSMUSG00000001014	Icam4	14	9	0	6	6	1
ENSMUSG00000001016	Ilf2	2825	2398	2617	2287	1926	1999
ENSMUSG00000001017	Chtop	5185	4612	5317	6748	6716	5709
ENSMUSG00000001018	Snapin	802	691	962	742	699	677
ENSMUSG00000001020	S100a4	0	0	1	0	0	0
ENSMUSG00000001021	S100a3	0	2	0	2	2	1
ENSMUSG00000001023	S100a5	7	0	13	2	1	1
ENSMUSG00000001025	S100a6	132	162	2807	97	190	1590
ENSMUSG00000001027	Scn4a	0	0	0	1	1	0
ENSMUSG00000001029	Icam2	0	0	2	0	0	0
ENSMUSG00000001034	Mapk7	877	792	830	660	885	679
ENSMUSG00000001036	Epn2	794	548	759	1266	911	925
ENSMUSG00000001039	B9d1	89	77	37	80	61	28
ENSMUSG00000001052	Sec24b	2455	2706	3082	2910	3421	3091
ENSMUSG00000001053	N4bp3	624	367	407	463	302	283
ENSMUSG00000001054	Rmnd5b	782	791	864	916	1277	901
ENSMUSG00000001056	Nhp2	3347	2387	2511	2090	1395	1367
ENSMUSG00000001062	Vps9d1	411	619	648	734	786	739
ENSMUSG00000001065	Zfp276	518	564	731	1004	1111	983
ENSMUSG00000001076	C1ql4	1	0	2	1	3	1
ENSMUSG00000001082	Mfsd10	1722	1343	1766	1224	1212	1456
ENSMUSG00000001089	Luzp1	5385	5818	7003	6893	8052	6974
ENSMUSG00000001095	Slc13a2	223	1363	801	209	3960	943
ENSMUSG00000001098	Kctd10	1987	1732	1932	1363	1505	1734
ENSMUSG00000001100	Poldip2	4341	3520	3499	2888	2543	2609
ENSMUSG00000001105	Ift20	1202	1663	1452	1504	1842	1795
ENSMUSG00000001119	Col6a1	0	0	0	0	1	0
ENSMUSG00000001120	Pcbp3	27	14	30	34	23	26
ENSMUSG00000001123	Lgals9	26477	25836	16559	14544	16453	13219
ENSMUSG00000001127	Araf	3031	3409	3900	3768	4383	4436
ENSMUSG00000001128	Cfp	44	73	58	39	63	64
ENSMUSG00000001131	Timp1	0	0	4	2	1	9
ENSMUSG00000001134	Uxt	590	584	499	545	603	563
ENSMUSG00000001138	Cnnm3	891	700	502	446	444	274
ENSMUSG00000001143	Lman2l	620	602	738	765	649	731
ENSMUSG00000001150	Mcm3ap	1780	1968	2264	1858	2091	2126
ENSMUSG00000001151	Pcnt	1746	1883	1268	1680	2285	1071
ENSMUSG00000001155	Ftcd	0	0	0	0	0	1
ENSMUSG00000001156	Mxd1	1414	2333	1075	2274	5630	1546
ENSMUSG00000001157	Gmcl1	2521	1959	2388	1786	1683	1396
ENSMUSG00000001158	Snrnp27	1211	949	1190	1410	1181	1230
ENSMUSG00000001166	Oas1c	42	75	46	26	34	22
ENSMUSG00000001168	Oas1h	1	3	8	1	6	7
ENSMUSG00000001173	Ocrl	799	651	865	741	669	787
ENSMUSG00000001175	Calm1	40318	52094	44994	23769	34855	31792
ENSMUSG00000001211	Agpat3	7903	9529	9199	5420	8456	6300
ENSMUSG00000001225	Slc26a3	4322	8194	4609	5448	13149	6716
ENSMUSG00000001227	Sema6b	215	321	161	139	342	104
ENSMUSG00000001228	Uhrf1	5991	4229	3938	2342	1407	953
ENSMUSG00000001229	Dpp9	2483	2409	2881	2729	2705	2599
ENSMUSG00000001240	Ramp2	0	3	6	1	3	5
ENSMUSG00000001247	Lsr	4049	3429	3726	2688	3039	3369
ENSMUSG00000001248	Gramd1a	51	29	25	47	41	19
ENSMUSG00000001249	Hpn	8	5	12	9	0	10
ENSMUSG00000001260	Gabrg1	0	0	0	0	1	0
ENSMUSG00000001270	Ckb	11870	15293	7428	7552	10245	2697
ENSMUSG00000001280	Sp1	6107	5292	5922	8204	8396	7697
ENSMUSG00000001281	Itgb7	3	2	5	10	1	7
ENSMUSG00000001285	Myg1	1009	954	964	991	917	920
ENSMUSG00000001288	Rarg	676	526	414	455	484	265
ENSMUSG00000001289	Pfdn5	4394	3764	4150	2494	2694	2854
ENSMUSG00000001300	Efnb2	5968	8907	6934	5248	8934	7324
ENSMUSG00000001305	Rrp15	1302	1012	1723	1743	1123	1917
ENSMUSG00000001313	Rnd2	913	1935	1447	738	1687	1232
ENSMUSG00000001323	Srr	837	1325	919	943	1463	817
ENSMUSG00000001333	Sync	10	13	4	8	8	7
ENSMUSG00000001334	Fndc5	2	1	3	2	0	3
ENSMUSG00000001348	Acp5	3169	3781	2337	2068	2890	1422
ENSMUSG00000001349	Cnn1	0	0	0	1	3	2
ENSMUSG00000001366	Fbxo9	1420	1983	1553	1676	2494	1264
ENSMUSG00000001376	Vps50	1854	1697	1819	2307	2377	1670
ENSMUSG00000001380	Hars	2269	2165	2851	2399	2251	3048
ENSMUSG00000001383	Zmat2	2585	2323	1924	1643	1643	1505
ENSMUSG00000001403	Ube2c	4807	3044	2375	1920	1393	988
ENSMUSG00000001415	Smg5	4144	4348	5753	7820	7841	6578
ENSMUSG00000001416	Cct3	12799	10256	13486	9841	7684	9715
ENSMUSG00000001418	Glmp	3124	3524	2916	1868	3269	2279
ENSMUSG00000001419	Mef2d	2760	3255	3490	2583	5327	3687
ENSMUSG00000001420	Tmem79	670	696	613	531	835	479
ENSMUSG00000001424	Snd1	12631	9777	11704	12455	10064	11295
ENSMUSG00000001435	Col18a1	27	23	38	29	47	62
ENSMUSG00000001436	Slc19a1	3421	2762	4207	4708	9692	4125
ENSMUSG00000001440	Kpnb1	18731	16784	21520	17617	14710	16279
ENSMUSG00000001441	Npepps	12051	11741	10400	10021	13228	8072
ENSMUSG00000001445	Mrpl10	2892	2556	2250	2246	2185	1859
ENSMUSG00000001467	Cyp51	21678	20828	21922	20233	20425	23735
ENSMUSG00000001472	Tcf25	10056	11029	11389	10240	14177	12914
ENSMUSG00000001473	Tubb6	59	110	98	88	112	62
ENSMUSG00000001482	Def8	857	1240	971	870	950	763
ENSMUSG00000001493	Meox1	0	0	0	0	0	0
ENSMUSG00000001494	Sost	0	0	0	0	1	0
ENSMUSG00000001497	Pax9	0	0	0	0	1	0
ENSMUSG00000001504	Irx2	7	7	93	5	2	98
ENSMUSG00000001506	Col1a1	3	5	3	2	1	2
ENSMUSG00000001507	Itga3	6314	7909	7637	2738	5228	4531
ENSMUSG00000001508	Sgca	5	2	6	4	5	2
ENSMUSG00000001510	Dlx3	0	1	0	0	0	0
ENSMUSG00000001517	Foxm1	2317	1803	1209	1097	783	489
ENSMUSG00000001518	Itfg2	483	521	644	1783	1631	1343
ENSMUSG00000001520	Nrip2	26	16	21	56	42	80
ENSMUSG00000001521	Tulp3	208	151	92	220	158	108
ENSMUSG00000001524	Gtf2h4	1343	960	1139	1117	878	980
ENSMUSG00000001525	Tubb5	30784	21915	19654	15212	10053	7985
ENSMUSG00000001542	Ell2	1359	1910	1401	2036	3319	1769
ENSMUSG00000001552	Jup	11275	10975	13754	7181	11172	13031
ENSMUSG00000001555	Fkbp10	2	0	3	3	1	4
ENSMUSG00000001558	Klhl10	18	8	5	9	7	6
ENSMUSG00000001566	Mnx1	487	316	267	282	166	272
ENSMUSG00000001569	Nom1	2058	2032	2560	2249	2339	2303
ENSMUSG00000001576	Ergic1	5720	3759	4941	3449	2377	2767
ENSMUSG00000001583	Tnk1	1319	1411	1493	1550	2354	1652
ENSMUSG00000001588	Acap1	4	7	3	5	17	9
ENSMUSG00000001604	Tcea3	1700	1287	1974	1388	1202	2212
ENSMUSG00000001622	Csn3	0	0	0	0	1	0
ENSMUSG00000001627	Ifrd1	1697	1863	2241	6239	8845	7617
ENSMUSG00000001630	Stk38l	1820	2108	2127	3729	3387	2482
ENSMUSG00000001632	Brpf1	1872	1883	2721	2835	3769	3511
ENSMUSG00000001642	Akr1b3	1397	866	901	898	606	556
ENSMUSG00000001656	Hoxc11	0	0	0	1	1	0
ENSMUSG00000001661	Hoxc6	2	2	0	2	7	5
ENSMUSG00000001663	Gstt1	3360	4582	3746	2159	3018	2883
ENSMUSG00000001665	Gstt3	2838	2679	1747	1809	1881	1030
ENSMUSG00000001666	Ddt	423	470	378	231	377	258
ENSMUSG00000001670	Tat	1	1	2	26	27	9
ENSMUSG00000001672	Marveld3	1359	1481	1071	1390	2074	1195
ENSMUSG00000001674	Ddx18	2698	2397	3475	3948	2733	3705
ENSMUSG00000001687	Ubl3	4773	3858	4958	5167	5210	5042
ENSMUSG00000001700	Gramd3	6145	15083	11396	7472	24340	10258
ENSMUSG00000001707	Eef1e1	1482	1187	1990	2043	1527	2096
ENSMUSG00000001729	Akt1	8915	7563	9139	4664	4722	4824
ENSMUSG00000001739	Cldn15	25350	29871	25124	12741	24653	16349
ENSMUSG00000001741	Il16	2	13	13	20	23	26
ENSMUSG00000001750	Tcirg1	1789	2760	3042	1930	2854	3079
ENSMUSG00000001751	Naglu	765	659	505	429	440	261
ENSMUSG00000001755	Coasy	2599	2370	2054	1794	1986	1561
ENSMUSG00000001761	Smo	2180	969	1009	1148	384	497
ENSMUSG00000001763	Tspan33	43	13	9	31	10	6
ENSMUSG00000001767	Crnkl1	1133	1194	996	1574	1488	1032
ENSMUSG00000001768	Rin2	2711	1903	2092	3094	2544	1926
ENSMUSG00000001773	Folh1	0	0	0	0	1	0
ENSMUSG00000001774	Chordc1	2196	2325	3913	3612	3011	3777
ENSMUSG00000001783	Rtcb	7789	6297	6940	6810	5676	6861
ENSMUSG00000001785	Pwp1	2028	1743	2243	2658	1910	2373
ENSMUSG00000001786	Fbxo7	948	907	1097	1228	1310	1242
ENSMUSG00000001794	Capns1	6533	5420	5022	2770	2922	3154
ENSMUSG00000001802	Lrp3	27	16	38	14	25	44
ENSMUSG00000001804	Dsg4	5	11	6	26	79	14
ENSMUSG00000001815	Evx2	0	0	1	0	0	0
ENSMUSG00000001819	Hoxd13	0	0	1	0	0	0
ENSMUSG00000001827	Folr1	9	150	165	3	91	131
ENSMUSG00000001829	Clpb	2752	2471	2050	2286	2204	2045
ENSMUSG00000001833	Sept7	4615	4143	4424	4966	4895	4344
ENSMUSG00000001844	Zdhhc4	905	819	930	1016	817	771
ENSMUSG00000001847	Rac1	13412	12963	12030	8690	10056	9157
ENSMUSG00000001855	Nup214	1804	1828	2582	2154	2073	2313
ENSMUSG00000001864	Aif1l	24	21	16	10	12	7
ENSMUSG00000001870	Ltbp1	0	0	0	0	2	0
ENSMUSG00000001891	Ugp2	7938	8967	8091	6464	8949	5909
ENSMUSG00000001901	Kcnh6	63	88	193	60	79	103
ENSMUSG00000001909	Trmt1	3261	1957	2481	3206	2293	2884
ENSMUSG00000001910	Nacc1	6116	5543	5942	4572	4640	4484
ENSMUSG00000001911	Nfix	1690	1357	1408	1296	1114	1396
ENSMUSG00000001918	Slc1a5	7330	4977	8277	7860	6149	9625
ENSMUSG00000001924	Uba1	19042	19071	21641	16798	17067	21264
ENSMUSG00000001930	Vwf	24	10	11	18	8	5
ENSMUSG00000001942	Siae	2072	2972	1700	1163	2000	1115
ENSMUSG00000001943	Vsig2	10	13	11	9	10	8
ENSMUSG00000001946	Esam	100	77	70	128	82	65
ENSMUSG00000001948	Spa17	82	113	89	70	100	69
ENSMUSG00000001962	Fam50a	1692	1781	2212	2449	3076	2625
ENSMUSG00000001964	Emd	2106	1557	1584	2090	1686	1574
ENSMUSG00000001983	Taco1	1405	1401	1446	1203	1220	1180
ENSMUSG00000001985	Grik3	7	12	31	4	6	37
ENSMUSG00000001986	Gria3	0	0	0	1	1	0
ENSMUSG00000001988	Npas1	25	28	35	16	18	18
ENSMUSG00000001995	Sipa1l2	1968	1970	2137	2207	3607	2293
ENSMUSG00000001998	Ap4e1	776	864	844	1246	1490	1041
ENSMUSG00000001999	Blvra	1094	992	982	367	486	336
ENSMUSG00000002006	Pdzd4	27	31	50	66	78	151
ENSMUSG00000002007	Srpk3	4	11	4	3	10	6
ENSMUSG00000002010	Idh3g	7677	7222	6363	5191	5901	5105
ENSMUSG00000002012	Pnck	3	2	1	0	10	1
ENSMUSG00000002014	Ssr4	4906	3952	4170	4487	3985	4033
ENSMUSG00000002015	Bcap31	9029	11325	8753	4955	7368	6371
ENSMUSG00000002017	Fam98a	1791	1875	2746	2181	1955	2408
ENSMUSG00000002020	Ltbp2	15	12	5	8	6	8
ENSMUSG00000002028	Kmt2a	2338	2972	2713	2656	3939	3279
ENSMUSG00000002031	Ift46	1246	1064	580	1026	971	594
ENSMUSG00000002032	Tmem25	159	216	225	107	176	161
ENSMUSG00000002043	Trappc6a	4042	2687	1959	2514	2252	1409
ENSMUSG00000002052	Supt6	4036	4769	5869	5954	8210	7833
ENSMUSG00000002055	Spag5	2581	1796	1222	899	811	610
ENSMUSG00000002057	Foxn1	0	0	2	1	0	0
ENSMUSG00000002058	Unc119	314	271	524	273	252	573
ENSMUSG00000002059	Rab34	54	16	30	42	15	22
ENSMUSG00000002064	Sdf2	1713	1563	1239	1529	1735	1450
ENSMUSG00000002068	Ccne1	687	585	550	143	120	233
ENSMUSG00000002076	Hsf2bp	4	0	3	6	10	4
ENSMUSG00000002083	Bbc3	338	261	237	281	533	158
ENSMUSG00000002100	Mybpc3	0	0	0	0	1	0
ENSMUSG00000002102	Psmc3	5242	5115	5388	4796	4769	4601
ENSMUSG00000002103	Acp2	854	1406	1352	1004	1469	1318
ENSMUSG00000002104	Rapsn	1	1	0	0	0	0
ENSMUSG00000002105	Slc39a13	209	186	231	287	284	304
ENSMUSG00000002107	Celf2	32	49	50	61	65	47
ENSMUSG00000002108	Nr1h3	975	1504	1366	1492	2457	1566
ENSMUSG00000002109	Ddb2	374	320	308	444	336	255
ENSMUSG00000002111	Spi1	0	0	1	0	0	0
ENSMUSG00000002129	Sf3a1	4986	4535	6520	7481	5340	6383
ENSMUSG00000002147	Stat6	8389	8804	7633	6469	8290	5224
ENSMUSG00000002190	Clgn	0	4	0	1	0	0
ENSMUSG00000002204	Napsa	4	2	1	0	1	3
ENSMUSG00000002205	Vrk3	2801	2496	1325	1716	2224	968
ENSMUSG00000002210	Smg9	1347	1082	1053	2027	1788	1533
ENSMUSG00000002221	Paxip1	2453	2308	2530	2813	2714	2352
ENSMUSG00000002222	Rmnd5a	11843	14596	5066	9942	14770	4738
ENSMUSG00000002227	Mov10	2428	5014	3547	1284	3979	2510
ENSMUSG00000002228	Ppm1j	648	1800	1183	763	3722	1610
ENSMUSG00000002233	Rhoc	1451	4070	2309	1167	4394	2651
ENSMUSG00000002249	Tead3	1178	1111	1322	1707	2261	1567
ENSMUSG00000002250	Ppard	2339	2149	3376	1355	2585	2168
ENSMUSG00000002257	Def6	6	13	6	5	3	2
ENSMUSG00000002265	Peg3	118	259	357	92	312	233
ENSMUSG00000002266	Zim1	0	3	9	1	5	3
ENSMUSG00000002274	Metrn	31	20	14	14	5	10
ENSMUSG00000002279	Lmf1	1486	1169	951	1425	1177	871
ENSMUSG00000002280	Narfl	1009	1048	1158	1056	1251	1097
ENSMUSG00000002289	Angptl4	441	485	561	353	379	571
ENSMUSG00000002297	Dbf4	2685	1678	1291	1732	1199	712
ENSMUSG00000002307	Daxx	1275	1260	1245	1580	1859	1622
ENSMUSG00000002308	Cd320	474	290	208	330	222	131
ENSMUSG00000002319	Ipo4	2407	1900	3427	2471	2043	3196
ENSMUSG00000002320	Tm9sf1	3796	3762	3446	3287	3609	3705
ENSMUSG00000002324	Rec8	1114	2170	1465	1085	2218	1153
ENSMUSG00000002325	Irf9	600	1035	1097	908	2027	1820
ENSMUSG00000002326	Gmpr2	1375	1411	1224	1259	1264	1091
ENSMUSG00000002329	Mdp1	2176	2238	2737	3340	3048	3261
ENSMUSG00000002332	Dhrs1	5099	12552	4439	3257	10070	4058
ENSMUSG00000002341	Ncan	2	2	4	0	3	3
ENSMUSG00000002342	Tmem161a	1744	1710	1623	2108	2175	1806
ENSMUSG00000002343	Armc6	445	449	711	735	667	673
ENSMUSG00000002345	Borcs8	549	642	625	453	598	471
ENSMUSG00000002346	Slc25a42	1202	1337	1500	933	1301	936
ENSMUSG00000002365	Snx9	6173	6941	7061	5091	6633	5373
ENSMUSG00000002372	Ranbp3	2781	2581	2817	2504	2943	2338
ENSMUSG00000002379	Ndufa11	2893	3003	2683	1858	2366	1937
ENSMUSG00000002384	Bmp8b	86	37	89	47	29	74
ENSMUSG00000002393	Nr2f6	2328	1855	1994	1859	1842	1563
ENSMUSG00000002395	Use1	2624	1977	2437	2555	2210	2702
ENSMUSG00000002396	Ocel1	530	907	928	519	995	731
ENSMUSG00000002409	Dyrk1b	630	631	116	341	627	80
ENSMUSG00000002413	Braf	1032	960	1384	2160	2300	2297
ENSMUSG00000002416	Ndufb2	289	293	281	207	239	194
ENSMUSG00000002428	Hltf	1405	1372	867	2079	2259	1085
ENSMUSG00000002455	Prpf6	2617	2839	3305	4023	4689	4312
ENSMUSG00000002458	Rgs19	98	69	83	68	50	51
ENSMUSG00000002459	Rgs20	0	0	0	1	5	2
ENSMUSG00000002475	Abhd3	1242	2621	982	1227	2693	674
ENSMUSG00000002477	Snrpd1	3252	2483	2267	1662	1165	1262
ENSMUSG00000002486	Tchp	258	301	354	623	672	571
ENSMUSG00000002489	Tiam1	1563	1004	902	1326	730	435
ENSMUSG00000002496	Tsc2	2559	2772	3222	2218	2341	2527
ENSMUSG00000002500	Rpl3l	0	3	1	3	5	2
ENSMUSG00000002504	Slc9a3r2	76	47	73	45	21	45
ENSMUSG00000002524	Puf60	5120	4553	5189	6437	5997	5821
ENSMUSG00000002546	Golga2	3106	3385	3322	4020	5056	3830
ENSMUSG00000002550	Uck1	1830	2039	1470	2118	2526	1540
ENSMUSG00000002565	Scin	1759	17076	10489	1807	18798	9406
ENSMUSG00000002578	Ikzf4	10	26	17	15	7	18
ENSMUSG00000002580	Mien1	1027	1387	912	725	1141	707
ENSMUSG00000002588	Pon1	1	1	0	0	0	0
ENSMUSG00000002602	Axl	0	1	3	1	2	0
