id	sym	emt_ut_rep1	emt_ut_rep2	emt_10d_rep1	emt_10d_rep2
ENSMUSG00000001288	Rarg	346	338	1445	946
ENSMUSG00000001289	Pfdn5	2776	2240	4510	2279
ENSMUSG00000001300	Efnb2	2112	2142	9621	5955
ENSMUSG00000001305	Rrp15	1657	1242	2252	1006
ENSMUSG00000001313	Rnd2	140	92	242	135
ENSMUSG00000001323	Srr	429	324	994	569
ENSMUSG00000001333	Sync	0	0	3	0
ENSMUSG00000001348	Acp5	2	1	0	2
ENSMUSG00000001349	Cnn1	18	25	1056	511
ENSMUSG00000001366	Fbxo9	798	579	1299	689
ENSMUSG00000001376	Vps50	3467	2516	7101	3338
ENSMUSG00000001380	Hars	4492	3294	6169	3212
ENSMUSG00000001383	Zmat2	2261	1694	3079	1352
ENSMUSG00000001403	Ube2c	3220	2781	2670	1521
ENSMUSG00000001415	Smg5	9375	7427	14785	8082
ENSMUSG00000001416	Cct3	26004	18598	37625	19337
ENSMUSG00000001418	Glmp	2068	1797	7541	4398
ENSMUSG00000001419	Mef2d	916	1002	3009	2398
ENSMUSG00000001420	Tmem79	198	146	262	154
ENSMUSG00000001424	Snd1	9824	8071	18718	10608
ENSMUSG00000001435	Col18a1	11726	12160	42182	26739
ENSMUSG00000001436	Slc19a1	785	672	765	502
ENSMUSG00000001440	Kpnb1	36453	27100	52295	27548
ENSMUSG00000001441	Npepps	4250	4006	8769	5266
ENSMUSG00000001444	Tbx21	0	0	2	0
ENSMUSG00000001445	Mrpl10	2969	2335	4525	2514
ENSMUSG00000001467	Cyp51	87610	66960	56385	27911
ENSMUSG00000001472	Tcf25	8908	6975	16595	8824
ENSMUSG00000001473	Tubb6	7686	6584	17335	9998
ENSMUSG00000001482	Def8	1572	1334	3905	2436
ENSMUSG00000001493	Meox1	7	8	60	27
ENSMUSG00000001494	Sost	0	0	1	0
ENSMUSG00000001496	Nkx2-1	1	1	4	0
ENSMUSG00000001497	Pax9	12	18	33	10
ENSMUSG00000001504	Irx2	2	1	17	3
ENSMUSG00000001506	Col1a1	5	1	1546	1368
ENSMUSG00000001507	Itga3	21236	19010	32176	20541
ENSMUSG00000001508	Sgca	0	2	20	15
ENSMUSG00000001510	Dlx3	2	2	5	5
ENSMUSG00000001517	Foxm1	3143	3172	4035	2898
ENSMUSG00000001518	Itfg2	814	731	1028	566
ENSMUSG00000001520	Nrip2	74	64	76	51
ENSMUSG00000001521	Tulp3	834	796	3083	1869
ENSMUSG00000001524	Gtf2h4	808	599	1191	698
ENSMUSG00000001525	Tubb5	79684	66050	113001	64762
ENSMUSG00000001542	Ell2	1124	721	3568	1876
ENSMUSG00000001552	Jup	7228	7775	23247	16527
ENSMUSG00000001555	Fkbp10	3	4	5	8
ENSMUSG00000001558	Klhl10	4	3	25	9
ENSMUSG00000001569	Nom1	2021	1660	3453	1584
ENSMUSG00000001576	Ergic1	8104	6392	15239	8805
ENSMUSG00000001588	Acap1	72	64	222	131
ENSMUSG00000001622	Csn3	0	2	5	1
ENSMUSG00000001627	Ifrd1	5089	3830	8854	4355
ENSMUSG00000001630	Stk38l	1259	1002	7274	4006
ENSMUSG00000001632	Brpf1	2192	1905	3983	2499
ENSMUSG00000001642	Akr1b3	2638	2050	13352	7165
ENSMUSG00000001655	Hoxc13	0	0	1	0
ENSMUSG00000001656	Hoxc11	0	0	0	1
ENSMUSG00000001663	Gstt1	0	2	0	1
ENSMUSG00000001666	Ddt	146	122	83	48
ENSMUSG00000001670	Tat	67	66	9	4
ENSMUSG00000001672	Marveld3	6	5	10	5
ENSMUSG00000001674	Ddx18	1961	1725	3022	1691
ENSMUSG00000001687	Ubl3	5693	4591	6270	3265
ENSMUSG00000001700	Gramd3	362	279	246	128
ENSMUSG00000001707	Eef1e1	1842	1406	3120	1491
ENSMUSG00000001729	Akt1	9558	7897	17970	10582
ENSMUSG00000001739	Cldn15	42	35	35	12
ENSMUSG00000001741	Il16	1	1	8	4
ENSMUSG00000001750	Tcirg1	3229	2752	7276	4221
ENSMUSG00000001751	Naglu	1096	985	2521	1490
ENSMUSG00000001755	Coasy	1521	1246	2499	1408
ENSMUSG00000001761	Smo	5049	4431	8001	4499
ENSMUSG00000001763	Tspan33	377	327	87	46
ENSMUSG00000001767	Crnkl1	3137	2270	5072	2276
ENSMUSG00000001768	Rin2	568	512	1711	923
ENSMUSG00000001773	Folh1	0	0	1	1
ENSMUSG00000001774	Chordc1	3968	2714	6873	3032
ENSMUSG00000001783	Rtcb	7554	5735	11522	5745
ENSMUSG00000001785	Pwp1	2874	2178	3156	1749
ENSMUSG00000001786	Fbxo7	1170	933	1424	724
ENSMUSG00000001794	Capns1	5701	4140	9481	4617
ENSMUSG00000001802	Lrp3	0	1	1	0
ENSMUSG00000001804	Dsg4	30	17	14	8
ENSMUSG00000001815	Evx2	0	0	5	1
ENSMUSG00000001819	Hoxd13	2	0	1	1
ENSMUSG00000001827	Folr1	289	278	112	49
ENSMUSG00000001829	Clpb	2280	1933	3002	1603
ENSMUSG00000001833	Sept7	11936	7172	17907	7245
ENSMUSG00000001844	Zdhhc4	542	401	1232	670
ENSMUSG00000001847	Rac1	10822	8656	17426	9707
ENSMUSG00000001855	Nup214	2076	2183	4034	2822
ENSMUSG00000001864	Aif1l	6507	4989	45641	22584
ENSMUSG00000001865	Cpa3	0	0	0	1
ENSMUSG00000001870	Ltbp1	1013	797	26399	15799
ENSMUSG00000001891	Ugp2	9118	6627	7369	3588
ENSMUSG00000001901	Kcnh6	16	11	4	6
ENSMUSG00000001909	Trmt1	2404	2081	3614	2061
ENSMUSG00000001910	Nacc1	3357	2971	4927	3248
ENSMUSG00000001911	Nfix	263	324	1320	1115
ENSMUSG00000001918	Slc1a5	2950	2414	2454	1369
ENSMUSG00000001924	Uba1	17356	13784	38006	22082
ENSMUSG00000001930	Vwf	16	12	90	55
ENSMUSG00000001942	Siae	824	674	1427	649
ENSMUSG00000001943	Vsig2	1	0	1	1
ENSMUSG00000001946	Esam	19	16	18	15
ENSMUSG00000001948	Spa17	69	60	73	30
ENSMUSG00000001962	Fam50a	808	694	1986	1134
ENSMUSG00000001964	Emd	1973	1570	3019	1592
ENSMUSG00000001983	Taco1	428	398	706	415
ENSMUSG00000001985	Grik3	0	0	1	1
ENSMUSG00000001986	Gria3	0	0	4	1
ENSMUSG00000001995	Sipa1l2	1077	1074	3093	1930
ENSMUSG00000001998	Ap4e1	1955	1480	2480	1250
ENSMUSG00000001999	Blvra	2124	1635	2112	1068
ENSMUSG00000002006	Pdzd4	480	395	743	358
ENSMUSG00000002007	Srpk3	38	25	23	11
ENSMUSG00000002010	Idh3g	4177	3207	5231	2714
ENSMUSG00000002012	Pnck	3	0	0	0
ENSMUSG00000002014	Ssr4	3000	2190	3785	2011
ENSMUSG00000002015	Bcap31	8680	6591	11573	6016
ENSMUSG00000002017	Fam98a	1826	1627	3494	2090
ENSMUSG00000002020	Ltbp2	2	0	575	375
ENSMUSG00000002028	Kmt2a	1904	2260	4973	3836
ENSMUSG00000002031	Ift46	1964	1646	2689	1424
ENSMUSG00000002032	Tmem25	108	119	47	27
ENSMUSG00000002033	Cd3g	0	0	0	0
ENSMUSG00000002043	Trappc6a	308	338	1195	719
ENSMUSG00000002052	Supt6	5015	4176	10850	6269
ENSMUSG00000002055	Spag5	6722	5134	5414	2628
ENSMUSG00000002057	Foxn1	38	22	349	330
ENSMUSG00000002058	Unc119	487	390	1641	972
ENSMUSG00000002059	Rab34	1693	1368	5689	3268
ENSMUSG00000002064	Sdf2	1722	1367	3250	1717
ENSMUSG00000002068	Ccne1	1362	1093	2199	1164
ENSMUSG00000002076	Hsf2bp	486	367	48	32
ENSMUSG00000002083	Bbc3	129	149	272	180
ENSMUSG00000002100	Mybpc3	2	5	1285	603
ENSMUSG00000002102	Psmc3	9806	7301	13383	6745
ENSMUSG00000002103	Acp2	1338	1090	3600	1844
ENSMUSG00000002104	Rapsn	1	1	96	48
ENSMUSG00000002105	Slc39a13	506	463	2144	1159
ENSMUSG00000002107	Celf2	374	366	903	492
ENSMUSG00000002108	Nr1h3	539	489	452	274
ENSMUSG00000002109	Ddb2	787	568	529	235
ENSMUSG00000002111	Spi1	88	81	3	7
ENSMUSG00000002129	Sf3a1	2925	2619	5104	3216
ENSMUSG00000002147	Stat6	3386	2594	6707	3591
ENSMUSG00000002190	Clgn	0	0	3	2
ENSMUSG00000002204	Napsa	273	242	524	287
ENSMUSG00000002205	Vrk3	999	815	1147	629
ENSMUSG00000002210	Smg9	1092	1014	1260	812
ENSMUSG00000002221	Paxip1	2186	1784	2646	1572
ENSMUSG00000002222	Rmnd5a	6160	4859	8446	4211
ENSMUSG00000002227	Mov10	1680	1704	4668	2883
ENSMUSG00000002228	Ppm1j	4	1	77	41
ENSMUSG00000002233	Rhoc	3766	3302	18616	10301
ENSMUSG00000002249	Tead3	176	183	734	494
ENSMUSG00000002250	Ppard	183	207	727	634
ENSMUSG00000002257	Def6	6	8	9	7
ENSMUSG00000002265	Peg3	3	3	6	5
ENSMUSG00000002266	Zim1	5	0	6	3
ENSMUSG00000002274	Metrn	642	606	576	329
ENSMUSG00000002279	Lmf1	663	604	2372	1316
ENSMUSG00000002280	Narfl	1155	913	1554	819
ENSMUSG00000002289	Angptl4	135	102	464	269
ENSMUSG00000002297	Dbf4	39368	28784	45172	21039
ENSMUSG00000002307	Daxx	1133	950	1941	1121
ENSMUSG00000002308	Cd320	1013	801	1515	841
ENSMUSG00000002319	Ipo4	1747	1550	2954	1928
ENSMUSG00000002320	Tm9sf1	1395	1161	1959	1080
ENSMUSG00000002324	Rec8	0	0	3	0
ENSMUSG00000002325	Irf9	250	232	668	267
ENSMUSG00000002326	Gmpr2	657	533	945	512
ENSMUSG00000002329	Mdp1	363	275	751	400
ENSMUSG00000002332	Dhrs1	2323	1868	1581	930
ENSMUSG00000002341	Ncan	0	0	3	3
ENSMUSG00000002342	Tmem161a	1410	1239	3235	1765
ENSMUSG00000002343	Armc6	672	609	903	523
ENSMUSG00000002345	Borcs8	642	569	1157	688
ENSMUSG00000002346	Slc25a42	85	87	112	72
ENSMUSG00000002365	Snx9	4447	3353	8167	4514
ENSMUSG00000002372	Ranbp3	3932	3289	5816	3225
ENSMUSG00000002379	Ndufa11	1832	1523	3210	1885
ENSMUSG00000002384	Bmp8b	1	1	2	0
ENSMUSG00000002393	Nr2f6	2226	2155	3396	2141
ENSMUSG00000002395	Use1	1572	1279	2084	1155
ENSMUSG00000002396	Ocel1	405	324	536	262
ENSMUSG00000002409	Dyrk1b	120	137	384	298
ENSMUSG00000002413	Braf	2169	1618	4513	2468
ENSMUSG00000002416	Ndufb2	681	563	1207	677
ENSMUSG00000002428	Hltf	3449	2442	5932	2622
ENSMUSG00000002455	Prpf6	3463	2937	6455	3485
ENSMUSG00000002458	Rgs19	347	245	940	521
ENSMUSG00000002459	Rgs20	29	16	124	85
ENSMUSG00000002475	Abhd3	24	27	78	35
ENSMUSG00000002477	Snrpd1	3498	2600	4189	1835
ENSMUSG00000002486	Tchp	1083	910	618	302
ENSMUSG00000002489	Tiam1	1458	1534	2134	1303
ENSMUSG00000002496	Tsc2	1930	2021	3622	2508
ENSMUSG00000002500	Rpl3l	0	3	5	2
ENSMUSG00000002504	Slc9a3r2	2568	2254	1880	1082
ENSMUSG00000002524	Puf60	8479	7255	13008	7324
ENSMUSG00000002546	Golga2	2559	2271	6384	3375
ENSMUSG00000002550	Uck1	2313	1736	3262	1806
ENSMUSG00000002565	Scin	11	7	4	1
ENSMUSG00000002578	Ikzf4	7	6	9	2
ENSMUSG00000002580	Mien1	1025	782	2245	1103
ENSMUSG00000002588	Pon1	3	1	0	2
ENSMUSG00000002602	Axl	178	156	309	204
ENSMUSG00000002603	Tgfb1	151	184	774	823
ENSMUSG00000002608	Ccdc97	486	456	911	746
ENSMUSG00000002617	Zfp40	295	140	371	187
ENSMUSG00000002625	Akap8l	805	737	1369	667
ENSMUSG00000002635	Pdcd2l	584	451	1040	578
ENSMUSG00000002658	Gtf2f1	3734	2842	5471	2487
ENSMUSG00000002660	Clpp	1658	1336	2944	1665
ENSMUSG00000002661	Alkbh7	374	323	308	189
ENSMUSG00000002664	Pspn	3	4	1	1
ENSMUSG00000002668	Dennd1c	0	0	1	0
ENSMUSG00000002679	Med6	1104	831	1414	772
ENSMUSG00000002688	Prkd1	0	0	7	1
ENSMUSG00000002718	Cse1l	12320	9386	14106	7546
ENSMUSG00000002728	Naa20	3406	2586	4200	2052
ENSMUSG00000002731	Prkra	914	828	1501	781
ENSMUSG00000002732	Fkbp7	124	99	1582	743
ENSMUSG00000002733	Plekha3	2320	1813	5328	2692
ENSMUSG00000002741	Ykt6	4503	3363	11708	5874
ENSMUSG00000002748	Baz1b	12641	9909	18340	8560
ENSMUSG00000002763	Pex6	1009	1013	2049	1195
ENSMUSG00000002767	Mrpl2	1687	1457	2587	1436
ENSMUSG00000002768	Mea1	1835	1482	2848	1401
ENSMUSG00000002769	Gnmt	6	8	19	1
ENSMUSG00000002771	Grin2d	71	81	92	66
ENSMUSG00000002778	Kdelr1	2011	1750	4456	2483
ENSMUSG00000002781	Tmem143	364	356	824	483
ENSMUSG00000002791	Pdxk-ps	13	10	17	9
ENSMUSG00000002797	Ggct	262	168	988	408
ENSMUSG00000002799	Jag2	139	149	238	192
ENSMUSG00000002803	Btbd6	306	271	396	251
ENSMUSG00000002804	Nudt14	409	373	517	282
ENSMUSG00000002808	Epdr1	1236	963	2290	1159
ENSMUSG00000002812	Flii	6408	5183	11608	6165
ENSMUSG00000002814	Top3a	1139	884	1498	843
ENSMUSG00000002820	Atg4d	861	690	1133	698
ENSMUSG00000002825	Qtrt1	694	527	970	475
ENSMUSG00000002831	Plin4	19	21	245	145
ENSMUSG00000002833	Hdgfrp2	2420	2124	4124	2117
ENSMUSG00000002835	Chaf1a	3630	3252	3249	1753
ENSMUSG00000002844	Adprh	1035	901	4430	2816
ENSMUSG00000002845	Tmem39a	1345	992	2828	1417
ENSMUSG00000002846	Timmdc1	1705	1431	3105	1582
ENSMUSG00000002847	Pla1a	3148	2492	12916	6159
ENSMUSG00000002870	Mcm2	11063	9561	11483	6388
ENSMUSG00000002871	Tpra1	1132	1024	2833	1734
ENSMUSG00000002881	Nab1	8378	6213	6652	3132
ENSMUSG00000002885	Adgre5	3210	2821	8635	4954
ENSMUSG00000002897	Il17ra	1111	904	4226	2551
ENSMUSG00000002900	Lamb1	71	58	2780	1631
ENSMUSG00000002908	Kcnn1	27	37	46	27
ENSMUSG00000002910	Arrdc2	141	139	358	175
ENSMUSG00000002930	Ppp1r17	0	0	0	0
ENSMUSG00000002944	Cd36	67	66	21	5
ENSMUSG00000002948	Map2k7	1082	939	2005	1098
ENSMUSG00000002949	Timm44	2556	2137	3409	1806
ENSMUSG00000002957	Ap2a2	16999	13807	29917	17097
ENSMUSG00000002963	Pnkp	1143	1039	1935	1143
ENSMUSG00000002968	Med25	1024	1265	2075	1507
ENSMUSG00000002980	Bcam	2133	2134	807	515
ENSMUSG00000002981	Clptm1	5709	4759	9340	5780
ENSMUSG00000002983	Relb	768	657	1342	835
ENSMUSG00000002984	Tomm40	2869	2536	3936	2370
ENSMUSG00000002985	Apoe	126	123	119	74
ENSMUSG00000002996	Hbp1	1961	1586	4931	2510
ENSMUSG00000002997	Prkar2b	2552	1860	1748	836
ENSMUSG00000003031	Cdkn1b	3686	3117	4706	2512
ENSMUSG00000003032	Klf4	1437	1589	2662	1816
ENSMUSG00000003033	Ap1m1	1714	1579	2304	1432
ENSMUSG00000003037	Rab8a	3758	2931	4917	2537
ENSMUSG00000003038	Hmgn2	2374	2158	2679	1711
ENSMUSG00000003039	Fam32a	4421	3363	5736	2746
ENSMUSG00000003051	Elf3	308	252	884	523
ENSMUSG00000003053	Cyp2c29	0	0	0	1
ENSMUSG00000003062	Stard3nl	1446	1229	2779	1421
ENSMUSG00000003068	Stk11	1694	1445	2575	1439
