id	sym	WT_6_hr_DMSO_1	WT_6_hr_DMSO_2	WT_6_hr_DMSO_3	WT_6_hr_Tunicamycin_1	WT_6_hr_Tunicamycin_2	WT_6_hr_Tunicamycin_3
ENSMUSG00000000567	Sox9	43	85	60	103	83	84
ENSMUSG00000000568	Hnrnpd	794	1106	1191	1733	1627	1943
ENSMUSG00000000579	Dynlt1c	36	71	79	46	73	73
ENSMUSG00000000581	C1d	1085	884	799	588	597	707
ENSMUSG00000000594	Gm2a	2915	2414	3883	1186	1350	1711
ENSMUSG00000000600	Krit1	440	630	754	1141	956	1052
ENSMUSG00000000605	Clcn4	1367	1386	1873	2089	2040	2384
ENSMUSG00000000617	Grm6	0	0	0	1	0	0
ENSMUSG00000000627	Sema4f	1	0	0	4	0	5
ENSMUSG00000000628	Hk2	34	25	30	48	37	62
ENSMUSG00000000631	Myo18a	2214	2822	4503	2467	2061	2825
ENSMUSG00000000632	Sez6	0	0	0	0	0	0
ENSMUSG00000000673	Haao	7062	7460	8800	3846	3906	4821
ENSMUSG00000000682	Cd52	122	59	91	91	67	94
ENSMUSG00000000686	Abhd15	435	443	792	448	485	583
ENSMUSG00000000690	Hoxb6	2	1	2	6	7	6
ENSMUSG00000000693	Loxl3	28	44	44	38	55	58
ENSMUSG00000000706	Btn1a1	0	0	0	0	0	1
ENSMUSG00000000708	Kat2b	2321	2242	2864	3139	3330	3756
ENSMUSG00000000711	Rab5b	2326	2262	2748	2100	2029	2413
ENSMUSG00000000724	Cryba1	0	3	0	0	0	0
ENSMUSG00000000730	Dnmt3l	0	0	0	0	0	0
ENSMUSG00000000731	Aire	0	0	0	0	0	0
ENSMUSG00000000732	Icosl	22	21	29	35	43	51
ENSMUSG00000000738	Spg7	848	786	1172	842	808	947
ENSMUSG00000000739	Sult5a1	182	365	293	156	94	169
ENSMUSG00000000740	Rpl13	2692	2542	2629	3245	3477	3718
ENSMUSG00000000743	Chmp1a	1739	1346	1556	1361	1429	1567
ENSMUSG00000000751	Rpa1	624	654	734	332	358	451
ENSMUSG00000000753	Serpinf1	11006	9152	15547	10712	10761	12345
ENSMUSG00000000759	Tubgcp3	295	445	452	594	530	688
ENSMUSG00000000766	Oprm1	0	0	0	0	0	0
ENSMUSG00000000776	Polr3d	153	138	173	894	857	909
ENSMUSG00000000782	Tcf7	180	156	186	112	90	121
ENSMUSG00000000787	Ddx3x	6935	6462	9877	24604	20425	20986
ENSMUSG00000000791	Il12rb1	14	19	35	275	369	287
ENSMUSG00000000792	Slc5a5	0	0	1	3	1	0
ENSMUSG00000000794	Kcnn3	3	1	7	3	2	13
ENSMUSG00000000804	Usp32	725	810	1225	1236	973	1267
ENSMUSG00000000805	Car4	1	2	0	1	0	5
ENSMUSG00000000811	Txnrd3	152	170	176	311	241	286
ENSMUSG00000000817	Fasl	7	0	3	5	0	7
ENSMUSG00000000823	Zfp512b	518	761	772	404	318	427
ENSMUSG00000000826	Dnajc5	1596	1746	2404	3439	3521	3711
ENSMUSG00000000827	Tpd52l2	739	581	861	1111	999	1185
ENSMUSG00000000838	Fmr1	808	746	921	995	953	1033
ENSMUSG00000000861	Bcl11a	1	3	5	7	8	9
ENSMUSG00000000869	Il4	2	3	2	8	2	5
ENSMUSG00000000876	Pxmp4	1893	1570	2494	981	908	1386
ENSMUSG00000000881	Dlg3	420	427	636	334	307	461
ENSMUSG00000000884	Gnb1l	33	25	21	35	25	22
ENSMUSG00000000889	Dbh	1	0	1	0	1	0
ENSMUSG00000000901	Mmp11	10	26	7	12	19	26
ENSMUSG00000000902	Smarcb1	296	378	446	2439	2560	3692
ENSMUSG00000000903	Vpreb3	2	14	6	5	6	3
ENSMUSG00000000915	Hip1r	866	1082	1521	1985	1060	1281
ENSMUSG00000000916	Nsun5	177	181	272	331	315	358
ENSMUSG00000000934	Top1mt	308	564	382	467	526	678
ENSMUSG00000000938	Hoxa10	0	0	0	0	0	0
ENSMUSG00000000942	Hoxa4	5	3	9	5	6	5
ENSMUSG00000000948	Gm38393	29	54	23	22	20	32
ENSMUSG00000000957	Mmp14	708	681	1071	487	546	773
ENSMUSG00000000958	Slc7a7	52	47	64	116	90	149
ENSMUSG00000000959	Oxa1l	683	852	959	794	690	939
ENSMUSG00000000976	Heatr6	253	452	518	617	482	550
ENSMUSG00000000982	Ccl3	15	3	2	5	4	8
ENSMUSG00000000983	Wfdc18	2	0	3	2	0	1
ENSMUSG00000001014	Icam4	3	3	13	0	0	8
ENSMUSG00000001016	Ilf2	310	357	379	448	519	545
ENSMUSG00000001017	Chtop	1393	1352	1652	1849	1683	1916
ENSMUSG00000001018	Snapin	292	378	333	274	246	321
ENSMUSG00000001020	S100a4	2	0	1	0	0	1
ENSMUSG00000001025	S100a6	36	28	20	23	36	34
ENSMUSG00000001027	Scn4a	1	1	0	1	0	6
ENSMUSG00000001029	Icam2	37	42	62	47	65	94
ENSMUSG00000001034	Mapk7	46	39	68	109	69	104
ENSMUSG00000001036	Epn2	185	252	274	545	427	552
ENSMUSG00000001039	B9d1	11	6	6	8	13	9
ENSMUSG00000001052	Sec24b	401	577	684	1267	1049	1169
ENSMUSG00000001053	N4bp3	82	72	104	68	51	74
ENSMUSG00000001054	Rmnd5b	273	292	364	439	402	521
ENSMUSG00000001056	Nhp2	304	316	306	540	498	607
ENSMUSG00000001062	Vps9d1	346	439	620	317	363	377
ENSMUSG00000001065	Zfp276	341	446	567	603	735	652
ENSMUSG00000001076	C1ql4	2	0	2	0	0	0
ENSMUSG00000001082	Mfsd10	57	86	98	204	176	190
ENSMUSG00000001089	Luzp1	363	436	623	769	629	792
ENSMUSG00000001095	Slc13a2	21	25	49	12	7	3
ENSMUSG00000001098	Kctd10	100	140	218	217	164	195
ENSMUSG00000001100	Poldip2	1872	1802	2062	1479	1488	1771
ENSMUSG00000001103	Sebox	13	4	13	2	3	3
ENSMUSG00000001105	Ift20	761	708	826	1416	1389	1796
ENSMUSG00000001119	Col6a1	165	257	204	136	328	390
ENSMUSG00000001120	Pcbp3	7	31	18	240	336	414
ENSMUSG00000001123	Lgals9	9531	8228	8738	8050	7476	8846
ENSMUSG00000001127	Araf	1198	1618	1459	1913	2012	2366
ENSMUSG00000001128	Cfp	568	359	735	610	531	628
ENSMUSG00000001131	Timp1	5	3	3	5	4	4
ENSMUSG00000001134	Uxt	175	173	195	190	204	264
ENSMUSG00000001138	Cnnm3	274	338	370	676	529	654
ENSMUSG00000001143	Lman2l	378	339	637	570	420	558
ENSMUSG00000001150	Mcm3ap	501	770	962	938	838	966
ENSMUSG00000001151	Pcnt	203	326	489	681	632	764
ENSMUSG00000001155	Ftcd	6537	11546	9461	5743	5707	7662
ENSMUSG00000001156	Mxd1	176	167	231	1542	2287	2487
ENSMUSG00000001157	Gmcl1	269	318	355	268	240	283
ENSMUSG00000001158	Snrnp27	272	200	267	399	336	487
ENSMUSG00000001166	Oas1c	31	28	31	5	6	6
ENSMUSG00000001168	Oas1h	1	1	1	2	2	2
ENSMUSG00000001173	Ocrl	125	256	212	281	267	367
ENSMUSG00000001175	Calm1	3235	3112	3323	5192	5764	6516
ENSMUSG00000001211	Agpat3	4759	4001	6465	5201	5102	6683
ENSMUSG00000001225	Slc26a3	0	0	0	0	0	13
ENSMUSG00000001227	Sema6b	69	73	115	79	74	86
ENSMUSG00000001228	Uhrf1	34	27	21	8	15	19
ENSMUSG00000001229	Dpp9	1080	1140	1372	3312	2502	2987
ENSMUSG00000001240	Ramp2	128	125	184	155	172	245
ENSMUSG00000001247	Lsr	1217	1154	1610	666	801	1030
ENSMUSG00000001248	Gramd1a	262	343	353	337	289	368
ENSMUSG00000001249	Hpn	8407	8154	9541	5692	6171	7771
ENSMUSG00000001260	Gabrg1	0	0	0	0	0	0
ENSMUSG00000001270	Ckb	89	68	100	69	106	115
ENSMUSG00000001280	Sp1	1024	1250	1595	3151	2571	3032
ENSMUSG00000001281	Itgb7	43	28	34	39	27	47
ENSMUSG00000001285	Myg1	266	251	299	332	337	436
ENSMUSG00000001288	Rarg	106	143	171	126	131	176
ENSMUSG00000001289	Pfdn5	917	832	1048	733	757	812
ENSMUSG00000001300	Efnb2	36	56	67	266	336	342
ENSMUSG00000001305	Rrp15	159	219	232	748	643	763
ENSMUSG00000001313	Rnd2	218	232	288	32	36	66
ENSMUSG00000001323	Srr	1142	1166	1557	888	787	967
ENSMUSG00000001333	Sync	0	1	1	1	0	0
ENSMUSG00000001334	Fndc5	11	9	12	6	6	18
ENSMUSG00000001348	Acp5	2111	1616	2411	959	940	1135
ENSMUSG00000001349	Cnn1	2	0	3	3	0	26
ENSMUSG00000001366	Fbxo9	1424	1304	1710	1495	1433	1687
ENSMUSG00000001376	Vps50	286	303	350	552	491	558
ENSMUSG00000001380	Hars	596	637	708	1648	1681	2113
ENSMUSG00000001383	Zmat2	575	616	669	496	486	611
ENSMUSG00000001403	Ube2c	55	9	15	337	449	619
ENSMUSG00000001415	Smg5	913	899	1230	1898	1674	2000
ENSMUSG00000001416	Cct3	1879	2000	2577	3381	3171	3729
ENSMUSG00000001418	Glmp	1040	939	1252	953	932	1242
ENSMUSG00000001419	Mef2d	493	533	840	1282	1079	1121
ENSMUSG00000001420	Tmem79	25	37	40	23	22	32
ENSMUSG00000001424	Snd1	2015	2835	3117	6254	5941	7009
ENSMUSG00000001435	Col18a1	16715	18836	23495	14528	14958	16849
ENSMUSG00000001436	Slc19a1	144	245	245	215	175	229
ENSMUSG00000001440	Kpnb1	2189	3064	3614	10280	9640	11448
ENSMUSG00000001441	Npepps	633	802	1003	759	671	763
ENSMUSG00000001444	Tbx21	7	1	4	5	5	9
ENSMUSG00000001445	Mrpl10	726	706	807	708	706	891
ENSMUSG00000001467	Cyp51	3587	3739	1828	4471	5115	5009
ENSMUSG00000001472	Tcf25	2473	2875	3680	5258	5633	6148
ENSMUSG00000001473	Tubb6	342	277	366	2146	2041	1888
ENSMUSG00000001482	Def8	953	957	1227	682	642	844
ENSMUSG00000001493	Meox1	7	2	4	0	3	6
ENSMUSG00000001494	Sost	0	2	0	1	1	0
ENSMUSG00000001496	Nkx2-1	0	3	1	0	0	0
ENSMUSG00000001497	Pax9	5	12	9	4	1	10
ENSMUSG00000001504	Irx2	0	0	0	0	0	0
ENSMUSG00000001506	Col1a1	259	427	276	198	665	663
ENSMUSG00000001507	Itga3	164	223	289	124	113	186
ENSMUSG00000001508	Sgca	0	0	0	0	0	0
ENSMUSG00000001510	Dlx3	0	0	0	0	0	0
ENSMUSG00000001517	Foxm1	41	10	14	14	19	33
ENSMUSG00000001518	Itfg2	177	247	243	649	527	631
ENSMUSG00000001520	Nrip2	5	6	4	59	75	137
ENSMUSG00000001521	Tulp3	17	38	32	39	39	49
ENSMUSG00000001524	Gtf2h4	257	266	262	269	271	295
ENSMUSG00000001525	Tubb5	1123	1097	1547	4768	4568	5243
ENSMUSG00000001542	Ell2	1470	1650	1981	7263	7336	8108
ENSMUSG00000001552	Jup	888	1045	1883	751	723	1094
ENSMUSG00000001555	Fkbp10	18	18	19	26	36	26
ENSMUSG00000001558	Klhl10	1	0	0	0	1	0
ENSMUSG00000001566	Mnx1	0	0	0	0	0	1
ENSMUSG00000001569	Nom1	472	511	722	899	856	897
ENSMUSG00000001576	Ergic1	1133	1220	1644	1360	1139	1675
ENSMUSG00000001583	Tnk1	1	1	2	0	1	3
ENSMUSG00000001588	Acap1	69	102	96	88	61	96
ENSMUSG00000001604	Tcea3	944	1008	1277	430	420	651
ENSMUSG00000001622	Csn3	0	0	1	32	38	84
ENSMUSG00000001627	Ifrd1	319	578	308	6871	6197	6396
ENSMUSG00000001630	Stk38l	449	447	623	400	259	359
ENSMUSG00000001632	Brpf1	263	277	480	729	711	707
ENSMUSG00000001642	Akr1b3	129	131	109	331	483	576
ENSMUSG00000001657	Hoxc8	0	0	0	0	0	0
ENSMUSG00000001661	Hoxc6	0	0	0	0	1	0
ENSMUSG00000001663	Gstt1	4077	4541	5812	1938	2362	3049
ENSMUSG00000001665	Gstt3	1040	1737	2079	378	426	878
ENSMUSG00000001666	Ddt	1499	1367	1611	821	811	1138
ENSMUSG00000001670	Tat	33375	46996	61175	126530	81218	100244
ENSMUSG00000001672	Marveld3	18	26	31	43	27	62
ENSMUSG00000001674	Ddx18	293	353	454	1280	1076	1161
ENSMUSG00000001687	Ubl3	1630	1524	2085	2160	1873	2268
ENSMUSG00000001700	Gramd3	639	787	721	763	740	846
ENSMUSG00000001707	Eef1e1	210	177	212	415	437	473
ENSMUSG00000001729	Akt1	1280	1542	1982	1181	1093	1477
ENSMUSG00000001739	Cldn15	15	12	11	3	3	14
ENSMUSG00000001741	Il16	54	41	56	49	37	60
ENSMUSG00000001750	Tcirg1	932	1297	1447	633	615	848
ENSMUSG00000001751	Naglu	485	596	595	336	407	473
ENSMUSG00000001755	Coasy	2471	2344	2919	2105	1985	2386
ENSMUSG00000001761	Smo	158	200	89	289	263	322
ENSMUSG00000001763	Tspan33	268	188	283	267	252	256
ENSMUSG00000001767	Crnkl1	342	316	417	861	736	778
ENSMUSG00000001768	Rin2	248	271	433	247	164	258
ENSMUSG00000001773	Folh1	1	0	0	1	0	1
ENSMUSG00000001774	Chordc1	1108	1177	1704	1416	1335	1516
ENSMUSG00000001783	Rtcb	1160	1269	1230	1756	1682	1905
ENSMUSG00000001785	Pwp1	338	396	464	1342	1213	1248
ENSMUSG00000001786	Fbxo7	394	398	487	587	601	690
ENSMUSG00000001794	Capns1	1581	1516	1987	1302	1328	1546
ENSMUSG00000001802	Lrp3	464	489	718	496	435	457
ENSMUSG00000001804	Dsg4	0	1	0	0	0	0
ENSMUSG00000001827	Folr1	1	2	0	1	1	4
ENSMUSG00000001829	Clpb	722	786	1039	1195	1155	1408
ENSMUSG00000001833	Sept7	1266	1535	1529	1919	1729	2064
ENSMUSG00000001844	Zdhhc4	286	316	327	240	251	288
ENSMUSG00000001847	Rac1	2358	2327	2694	2499	2333	2699
ENSMUSG00000001855	Nup214	251	375	481	596	533	569
ENSMUSG00000001864	Aif1l	7	9	3	2	3	10
ENSMUSG00000001865	Cpa3	0	2	1	1	0	1
ENSMUSG00000001870	Ltbp1	54	88	85	54	123	100
ENSMUSG00000001891	Ugp2	9099	7600	11188	9466	11008	11783
ENSMUSG00000001901	Kcnh6	0	0	1	0	0	0
ENSMUSG00000001909	Trmt1	576	594	799	1115	1057	1280
ENSMUSG00000001910	Nacc1	650	585	1017	573	484	517
ENSMUSG00000001911	Nfix	1724	2280	2572	1427	1209	1561
ENSMUSG00000001918	Slc1a5	66	103	109	175	208	293
ENSMUSG00000001924	Uba1	3256	4557	5427	5746	5413	6575
ENSMUSG00000001930	Vwf	105	226	317	258	278	518
ENSMUSG00000001942	Siae	981	906	1121	354	438	493
ENSMUSG00000001943	Vsig2	6	20	15	24	29	20
ENSMUSG00000001946	Esam	138	185	263	241	273	304
ENSMUSG00000001948	Spa17	6	11	4	1	3	2
ENSMUSG00000001962	Fam50a	370	378	532	687	624	807
ENSMUSG00000001964	Emd	259	322	335	541	467	640
ENSMUSG00000001983	Taco1	357	431	487	275	232	344
ENSMUSG00000001985	Grik3	0	0	0	0	0	2
ENSMUSG00000001986	Gria3	21	816	16	40	85	72
ENSMUSG00000001988	Npas1	1	2	4	1	2	5
ENSMUSG00000001995	Sipa1l2	184	232	334	49	72	82
ENSMUSG00000001998	Ap4e1	148	246	209	513	396	495
ENSMUSG00000001999	Blvra	257	283	238	117	152	164
ENSMUSG00000002006	Pdzd4	6	6	8	60	50	46
ENSMUSG00000002007	Srpk3	4	9	6	8	7	5
ENSMUSG00000002010	Idh3g	1022	1220	1388	1158	1219	1533
ENSMUSG00000002012	Pnck	0	3	0	0	1	0
ENSMUSG00000002014	Ssr4	1746	1142	1175	2436	2588	3000
ENSMUSG00000002015	Bcap31	2558	2332	3504	1712	1574	2062
ENSMUSG00000002017	Fam98a	567	650	843	1350	1135	1185
ENSMUSG00000002020	Ltbp2	18	21	41	21	33	42
ENSMUSG00000002028	Kmt2a	472	839	1018	1207	923	1017
ENSMUSG00000002031	Ift46	430	415	475	495	481	556
ENSMUSG00000002032	Tmem25	1039	1216	1805	47	47	71
ENSMUSG00000002033	Cd3g	13	6	11	9	1	12
ENSMUSG00000002043	Trappc6a	211	181	159	217	206	218
ENSMUSG00000002052	Supt6	874	1272	1778	3505	3197	3427
ENSMUSG00000002055	Spag5	39	9	16	23	28	36
ENSMUSG00000002058	Unc119	112	56	100	55	69	71
ENSMUSG00000002059	Rab34	67	84	56	53	65	89
ENSMUSG00000002064	Sdf2	636	451	668	800	756	863
ENSMUSG00000002068	Ccne1	43	33	70	39	33	76
ENSMUSG00000002076	Hsf2bp	2	1	0	0	0	0
ENSMUSG00000002083	Bbc3	162	185	123	73	43	94
ENSMUSG00000002100	Mybpc3	2	0	0	2	3	0
ENSMUSG00000002102	Psmc3	1845	1792	2027	1671	1722	1976
ENSMUSG00000002103	Acp2	1126	1114	1411	906	838	1104
ENSMUSG00000002104	Rapsn	1	1	1	1	1	2
ENSMUSG00000002105	Slc39a13	149	186	150	355	337	437
ENSMUSG00000002107	Celf2	192	261	268	255	238	328
ENSMUSG00000002108	Nr1h3	2399	2171	2871	1699	1499	1954
ENSMUSG00000002109	Ddb2	72	72	96	30	41	63
ENSMUSG00000002111	Spi1	100	88	115	111	111	145
ENSMUSG00000002129	Sf3a1	528	681	996	719	742	793
ENSMUSG00000002147	Stat6	1311	1186	2143	1217	1008	1289
ENSMUSG00000002190	Clgn	0	0	0	1	1	0
ENSMUSG00000002204	Napsa	6	12	11	10	8	18
ENSMUSG00000002205	Vrk3	543	464	684	476	497	686
ENSMUSG00000002210	Smg9	148	189	239	291	317	314
ENSMUSG00000002221	Paxip1	425	456	693	608	543	673
ENSMUSG00000002222	Rmnd5a	3792	4349	5807	7729	7840	8758
ENSMUSG00000002227	Mov10	362	351	569	63	69	74
ENSMUSG00000002228	Ppm1j	5	11	5	6	3	10
ENSMUSG00000002233	Rhoc	199	123	228	134	131	195
ENSMUSG00000002249	Tead3	190	215	286	298	233	275
ENSMUSG00000002250	Ppard	128	197	257	134	118	133
ENSMUSG00000002257	Def6	7	2	8	6	6	12
ENSMUSG00000002265	Peg3	144	319	481	386	252	652
ENSMUSG00000002266	Zim1	2	1	2	2	2	6
ENSMUSG00000002274	Metrn	9	2	8	4	3	3
ENSMUSG00000002279	Lmf1	618	719	855	918	1011	1156
ENSMUSG00000002280	Narfl	488	495	625	495	381	509
ENSMUSG00000002289	Angptl4	1738	1636	3353	4061	2660	6080
ENSMUSG00000002297	Dbf4	84	48	55	99	101	128
ENSMUSG00000002307	Daxx	284	272	361	669	607	625
ENSMUSG00000002308	Cd320	117	100	115	44	47	47
ENSMUSG00000002319	Ipo4	562	862	970	2982	2488	2922
ENSMUSG00000002320	Tm9sf1	882	936	1243	1615	1523	1884
ENSMUSG00000002324	Rec8	56	71	48	13	9	19
ENSMUSG00000002325	Irf9	1058	1055	1089	522	379	492
ENSMUSG00000002326	Gmpr2	258	277	327	282	281	337
ENSMUSG00000002329	Mdp1	266	333	304	264	228	388
ENSMUSG00000002332	Dhrs1	2418	2324	3213	1134	974	1391
ENSMUSG00000002341	Ncan	0	0	0	1	0	0
ENSMUSG00000002342	Tmem161a	298	333	372	693	619	718
ENSMUSG00000002343	Armc6	121	89	111	161	149	171
ENSMUSG00000002345	Borcs8	269	244	306	187	210	248
ENSMUSG00000002346	Slc25a42	1817	1971	2999	1092	869	1302
ENSMUSG00000002365	Snx9	906	1051	1225	1015	864	1105
ENSMUSG00000002372	Ranbp3	569	497	794	895	850	905
ENSMUSG00000002379	Ndufa11	762	628	725	496	508	613
ENSMUSG00000002384	Bmp8b	3	3	4	166	92	139
ENSMUSG00000002393	Nr2f6	1187	663	1011	775	714	815
ENSMUSG00000002395	Use1	637	581	661	754	846	954
ENSMUSG00000002396	Ocel1	265	287	406	272	249	277
ENSMUSG00000002409	Dyrk1b	231	246	337	109	91	114
ENSMUSG00000002413	Braf	484	701	831	1627	1301	1483
ENSMUSG00000002416	Ndufb2	230	171	207	134	109	133
ENSMUSG00000002428	Hltf	340	370	313	1030	935	1100
ENSMUSG00000002455	Prpf6	774	1068	1274	1603	1607	1791
ENSMUSG00000002458	Rgs19	65	31	36	39	50	39
ENSMUSG00000002459	Rgs20	2	1	1	0	1	1
ENSMUSG00000002475	Abhd3	1866	1316	2235	824	782	1062
ENSMUSG00000002477	Snrpd1	208	183	206	392	379	456
ENSMUSG00000002486	Tchp	37	71	78	105	80	113
ENSMUSG00000002489	Tiam1	13	26	28	17	16	34
ENSMUSG00000002496	Tsc2	864	1219	1503	1183	1186	1453
ENSMUSG00000002500	Rpl3l	1	2	0	0	1	4
ENSMUSG00000002504	Slc9a3r2	358	351	576	270	344	397
ENSMUSG00000002524	Puf60	1018	1112	1393	1789	1699	1999
ENSMUSG00000002546	Golga2	728	922	1201	1918	1857	1993
ENSMUSG00000002550	Uck1	808	858	1295	1305	1213	1409
ENSMUSG00000002565	Scin	0	0	0	1	0	3
ENSMUSG00000002578	Ikzf4	12	28	22	18	13	19
ENSMUSG00000002580	Mien1	292	253	274	275	228	306
ENSMUSG00000002588	Pon1	23689	21359	24003	13584	13683	15540
ENSMUSG00000002602	Axl	502	440	463	506	582	612
ENSMUSG00000002603	Tgfb1	128	104	172	149	149	184
ENSMUSG00000002608	Ccdc97	422	539	724	885	829	959
ENSMUSG00000002617	Zfp40	61	82	86	46	50	54
ENSMUSG00000002625	Akap8l	442	587	664	688	662	731
ENSMUSG00000002633	Shh	3	5	8	0	0	4
ENSMUSG00000002635	Pdcd2l	189	151	172	249	236	302
ENSMUSG00000002658	Gtf2f1	337	488	593	668	753	886
ENSMUSG00000002660	Clpp	657	624	706	933	930	1158
ENSMUSG00000002661	Alkbh7	176	147	166	119	83	126
ENSMUSG00000002664	Pspn	1	0	1	4	1	7
ENSMUSG00000002668	Dennd1c	103	117	159	123	120	179
ENSMUSG00000002679	Med6	193	184	210	283	319	332
