sym	T1	T2	T3	T4	R1	R2	R3	R4
ENSMUSG00000085561	1700046C09Rik	1	0	0	0	0	0	0	0
ENSMUSG00000085437	1700047A11Rik	76	71	62	37	28	57	90	55
ENSMUSG00000099349	1700047G03Rik	1	0	0	0	0	0	1	0
ENSMUSG00000094103	1700047I17Rik2	424	388	294	230	251	401	536	385
ENSMUSG00000101762	1700047L14Rik	0	0	1	0	1	0	0	0
ENSMUSG00000100147	1700047M11Rik	2	0	0	1	0	1	1	0
ENSMUSG00000085637	1700048M11Rik	3	0	1	1	2	7	7	1
ENSMUSG00000043773	1700048O20Rik	24	19	19	13	7	11	33	7
ENSMUSG00000085077	1700049E15Rik	0	0	0	0	1	1	0	0
ENSMUSG00000101553	1700049E22Rik	0	0	0	0	0	0	0	0
ENSMUSG00000070709	1700049G17Rik	78	68	63	54	37	77	75	47
ENSMUSG00000043859	1700049L16Rik	0	0	0	0	0	0	0	0
ENSMUSG00000086951	1700051A21Rik	0	0	0	0	0	0	0	0
ENSMUSG00000101912	1700052I22Rik	0	0	0	0	1	1	0	0
ENSMUSG00000099681	1700052K11Rik	40	25	57	55	47	59	90	57
ENSMUSG00000099988	1700054A03Rik	0	0	0	0	0	1	0	0
ENSMUSG00000100219	1700054K19Rik	0	0	0	0	0	0	0	0
ENSMUSG00000085889	1700054M17Rik	4	2	3	1	1	0	1	0
ENSMUSG00000093616	1700055C04Rik	0	0	0	0	0	0	0	0
ENSMUSG00000044854	1700056E22Rik	0	4	0	1	3	1	2	1
ENSMUSG00000074139	1700057G04Rik	0	1	0	0	0	0	1	0
ENSMUSG00000084757	1700057H15Rik	0	0	0	0	0	0	0	0
ENSMUSG00000086887	1700060C16Rik	1	0	0	0	0	1	0	0
ENSMUSG00000078957	1700060C20Rik	1	0	0	0	0	1	0	0
ENSMUSG00000085580	1700061F12Rik	0	0	0	2	0	0	0	0
ENSMUSG00000024209	1700061G19Rik	10	4	2	4	7	7	7	4
ENSMUSG00000028009	1700061I17Rik	3	0	0	1	0	0	0	0
ENSMUSG00000100062	1700063A18Rik	0	0	0	0	0	0	0	0
ENSMUSG00000100837	1700063D05Rik	0	0	0	0	0	1	0	0
ENSMUSG00000101978	1700063O14Rik	0	0	0	0	0	0	0	0
ENSMUSG00000100681	1700064J06Rik	0	0	0	0	0	0	0	0
ENSMUSG00000100211	1700064M15Rik	0	0	0	0	0	0	0	0
ENSMUSG00000096655	1700065D16Rik	0	0	0	0	0	0	1	0
ENSMUSG00000099435	1700065I16Rik	0	0	0	0	0	0	0	0
ENSMUSG00000107341	1700065J11Rik	1	1	0	2	0	0	0	0
ENSMUSG00000100872	1700065J18Rik	1	1	0	1	0	2	0	2
ENSMUSG00000107408	1700065L07Rik	1	0	0	1	0	0	1	0
ENSMUSG00000100134	1700065O20Rik	1	0	0	0	0	0	0	0
ENSMUSG00000101634	1700066B17Rik	0	0	0	0	0	0	0	0
ENSMUSG00000073598	1700066B19Rik	0	0	0	1	0	0	1	0
ENSMUSG00000038323	1700066M21Rik	102	82	36	70	46	68	95	86
ENSMUSG00000099605	1700066N21Rik	1	0	0	0	0	0	0	0
ENSMUSG00000085800	1700066O22Rik	1	6	0	3	1	1	2	1
ENSMUSG00000099378	1700067G17Rik	0	0	0	0	0	0	0	0
ENSMUSG00000046408	1700067K01Rik	7	8	11	11	18	21	19	13
ENSMUSG00000021545	1700067P10Rik	0	1	0	0	0	0	0	0
ENSMUSG00000042184	1700069L16Rik	0	0	0	0	0	0	0	0
ENSMUSG00000107637	1700069P05Rik	0	0	0	0	0	0	0	0
ENSMUSG00000080980	1700071K01Rik	0	0	0	0	0	2	0	0
ENSMUSG00000090307	1700071M16Rik	1	0	0	0	0	0	0	0
ENSMUSG00000100487	1700072B07Rik	0	0	0	0	0	0	0	0
ENSMUSG00000107744	1700072O05Rik	1	0	0	0	0	0	0	0
ENSMUSG00000087204	1700073E17Rik	1	0	0	1	0	0	0	0
ENSMUSG00000029883	1700074P13Rik	1	2	0	1	0	1	1	1
ENSMUSG00000032566	1700080E11Rik	0	0	0	0	0	0	0	0
ENSMUSG00000084859	1700080N15Rik	0	0	0	0	0	0	0	0
ENSMUSG00000031118	1700080O16Rik	0	0	0	0	0	0	0	0
ENSMUSG00000100573	1700081H04Rik	1	0	0	0	0	0	0	0
ENSMUSG00000100747	1700084E18Rik	0	2	0	2	0	2	3	0
ENSMUSG00000099639	1700084F23Rik	0	0	0	0	0	0	0	0
ENSMUSG00000058101	1700084J12Rik	3	1	0	1	0	4	1	1
ENSMUSG00000100890	1700085C21Rik	0	0	0	0	0	0	0	0
ENSMUSG00000071265	1700086L19Rik	0	0	0	0	0	0	0	0
ENSMUSG00000097080	1700086O06Rik	12	13	18	17	20	19	33	13
ENSMUSG00000033029	1700088E04Rik	201	184	185	221	159	243	398	228
ENSMUSG00000090462	1700091H14Rik	0	0	0	0	0	0	0	0
ENSMUSG00000086781	1700092C02Rik	0	0	0	0	0	0	0	0
ENSMUSG00000092499	1700092C10Rik	0	0	0	0	0	0	0	0
ENSMUSG00000084811	1700092E19Rik	0	1	0	0	0	0	1	0
ENSMUSG00000078600	1700092K14Rik	0	0	0	0	0	0	0	0
ENSMUSG00000090840	1700092M07Rik	4	2	1	3	3	7	6	0
ENSMUSG00000020286	1700093K21Rik	1	0	0	2	2	0	0	0
ENSMUSG00000101695	1700094J05Rik	31	19	21	6	14	16	31	16
ENSMUSG00000107895	1700094M24Rik	0	0	0	0	0	0	0	1
ENSMUSG00000086046	1700095A21Rik	0	0	1	0	0	0	0	0
ENSMUSG00000098230	1700095B10Rik	0	0	0	0	0	0	0	0
ENSMUSG00000099630	1700096J18Rik	0	1	0	0	0	0	1	0
ENSMUSG00000101856	1700096K18Rik	6	7	6	5	7	7	14	10
ENSMUSG00000099474	1700097N02Rik	0	0	0	0	0	0	0	0
ENSMUSG00000101051	1700100L14Rik	1	0	0	0	1	1	0	1
ENSMUSG00000097675	1700101I11Rik	11	2	7	23	10	22	27	11
ENSMUSG00000102096	1700101O22Rik	0	0	0	0	0	0	0	0
ENSMUSG00000032611	1700102P08Rik	2	7	6	3	3	3	10	3
ENSMUSG00000099923	1700105P06Rik	0	1	8	3	5	6	2	4
ENSMUSG00000101009	1700108F19Rik	5	2	1	2	2	0	5	1
ENSMUSG00000100585	1700108J01Rik	3	0	0	0	0	0	0	0
ENSMUSG00000101505	1700109G14Rik	0	3	0	0	2	0	0	1
ENSMUSG00000085044	1700109G15Rik	0	1	0	0	0	0	0	0
ENSMUSG00000008307	1700109H08Rik	18	20	13	18	12	10	29	10
ENSMUSG00000101261	1700109I08Rik	0	0	0	0	0	0	1	0
ENSMUSG00000097267	1700109K24Rik	48	50	55	38	29	48	66	42
ENSMUSG00000099384	1700110C19Rik	15	23	13	3	8	10	14	14
ENSMUSG00000079407	1700110I01Rik	1	0	0	0	0	0	0	0
ENSMUSG00000087047	1700110K17Rik	13	8	6	3	1	6	7	5
ENSMUSG00000100511	1700111N16Rik	0	0	0	0	1	0	1	0
ENSMUSG00000063458	1700112E06Rik	0	0	0	1	3	0	2	0
ENSMUSG00000101574	1700112H15Rik	0	0	2	0	0	0	0	0
ENSMUSG00000086632	1700112J05Rik	9	5	3	4	6	9	14	5
ENSMUSG00000096935	1700113A16Rik	29	12	20	10	20	11	34	19
ENSMUSG00000047129	1700113H08Rik	0	0	1	0	1	1	2	0
ENSMUSG00000100593	1700119H24Rik	0	0	1	1	0	0	0	0
ENSMUSG00000100599	1700120C14Rik	1	0	0	0	0	0	2	1
ENSMUSG00000086333	1700120E14Rik	0	0	0	0	0	0	0	0
ENSMUSG00000100717	1700120G07Rik	4	5	0	1	2	0	0	1
ENSMUSG00000099579	1700120K04Rik	4	2	6	1	1	2	4	5
ENSMUSG00000100364	1700121L16Rik	0	0	0	0	0	0	0	0
ENSMUSG00000092066	1700121N20Rik	0	0	0	0	0	0	0	0
ENSMUSG00000094928	1700122O11Rik	0	0	0	0	0	0	0	0
ENSMUSG00000024786	1700123I01Rik	1	0	0	0	0	2	0	1
ENSMUSG00000029526	1700123K08Rik	0	0	0	0	0	0	0	0
ENSMUSG00000072878	1700123L14Rik	0	0	0	0	0	0	1	0
ENSMUSG00000085614	1700123M08Rik	3	5	4	4	1	4	5	5
ENSMUSG00000086080	1700123O12Rik	1	2	0	0	0	0	0	0
ENSMUSG00000040822	1700123O20Rik	150	179	140	156	142	289	238	186
ENSMUSG00000101481	1700123O21Rik	0	0	0	0	0	0	0	0
