id	sym	Vector.1	Vector.2	Vector.3	CD36OE.1	CD36OE.2	CD36OE.3
ENSG00000004142	POLDIP2	1975	1842	2141	1868	1831	2272
ENSG00000004399	PLXND1	3753	4000	4626	4391	4451	4272
ENSG00000004455	AK2	1716	1656	1874	1843	1601	2333
ENSG00000004468	CD38	1	0	0	0	0	0
ENSG00000004478	FKBP4	1029	1148	1219	900	967	1215
ENSG00000004487	KDM1A	1345	1296	1549	1363	1393	1850
ENSG00000004534	RBM6	1008	952	1066	915	871	1295
ENSG00000004660	CAMKK1	159	192	203	178	187	226
ENSG00000004700	RECQL	456	433	563	331	408	582
ENSG00000004766	VPS50	146	144	219	149	137	230
ENSG00000004776	HSPB6	6	2	1	3	1	8
ENSG00000004777	ARHGAP33	71	59	55	40	60	55
ENSG00000004779	NDUFAB1	472	336	414	432	368	491
ENSG00000004799	PDK4	85	80	105	106	91	111
ENSG00000004809	SLC22A16	0	0	0	0	0	0
ENSG00000004838	ZMYND10	3	4	7	9	7	12
ENSG00000004846	ABCB5	0	0	0	2	0	1
ENSG00000004848	ARX	1	8	2	9	2	3
ENSG00000004864	SLC25A13	955	789	993	699	791	991
ENSG00000004866	ST7	571	433	610	557	528	668
ENSG00000004897	CDC27	580	519	737	421	553	683
ENSG00000004939	SLC4A1	39	29	40	14	24	29
ENSG00000004948	CALCR	0	0	0	0	0	0
ENSG00000004961	HCCS	552	498	629	426	525	619
ENSG00000004975	DVL2	827	912	909	828	861	975
ENSG00000005001	PRSS22	39	37	29	18	21	17
ENSG00000005007	UPF1	2320	2547	2883	2552	2604	2604
ENSG00000005020	SKAP2	409	371	441	300	383	459
ENSG00000005022	SLC25A5	8318	7534	8736	6921	6646	8287
ENSG00000005059	CCDC109B	127	114	125	107	83	124
ENSG00000005073	HOXA11	962	1026	1206	1322	1395	1559
ENSG00000005075	POLR2J	727	616	604	979	628	982
ENSG00000005100	DHX33	898	878	1069	836	846	955
ENSG00000005102	MEOX1	0	0	0	0	0	0
ENSG00000005108	THSD7A	21	25	20	11	18	23
ENSG00000005156	LIG3	621	622	661	588	652	821
ENSG00000005175	RPAP3	406	379	523	383	362	578
ENSG00000005187	ACSM3	10	3	3	3	12	19
ENSG00000005194	CIAPIN1	1673	1657	1787	1728	1743	2326
ENSG00000005206	SPPL2B	418	453	410	435	420	364
ENSG00000005238	FAM214B	76	95	96	59	69	83
ENSG00000005243	COPZ2	20	14	14	15	15	13
ENSG00000005249	PRKAR2B	6	3	3	4	3	4
ENSG00000005302	MSL3	237	202	204	233	207	267
ENSG00000005339	CREBBP	497	596	651	456	558	584
ENSG00000005379	TSPOAP1	10	10	23	11	14	8
ENSG00000005381	MPO	1	0	0	0	0	0
ENSG00000005421	PON1	242	183	234	173	186	245
ENSG00000005436	GCFC2	208	159	262	182	206	264
ENSG00000005448	WDR54	58	61	57	57	55	57
ENSG00000005469	CROT	202	164	230	168	184	252
ENSG00000005471	ABCB4	87	108	109	68	71	114
ENSG00000005483	KMT2E	454	375	464	354	396	456
ENSG00000005486	RHBDD2	811	805	930	783	763	938
ENSG00000005513	SOX8	0	0	2	0	0	0
ENSG00000005700	IBTK	357	338	415	240	298	400
ENSG00000005801	ZNF195	237	245	286	236	256	362
ENSG00000005810	MYCBP2	432	423	561	385	383	538
ENSG00000005812	FBXL3	135	100	166	118	125	165
ENSG00000005844	ITGAL	3	1	4	1	2	4
ENSG00000005882	PDK2	283	304	367	301	333	399
ENSG00000005884	ITGA3	1370	1466	1639	1165	1152	1251
ENSG00000005889	ZFX	108	113	166	91	97	119
ENSG00000005893	LAMP2	1076	962	1305	1029	1121	1537
ENSG00000005961	ITGA2B	5	5	11	7	3	7
ENSG00000005981	ASB4	995	914	1116	763	850	1100
ENSG00000006007	GDE1	943	831	1005	921	945	1269
ENSG00000006015	C19orf60	69	51	70	54	45	61
ENSG00000006016	CRLF1	1060	1042	1241	1952	1827	1696
ENSG00000006025	OSBPL7	205	173	214	242	188	200
ENSG00000006042	TMEM98	1256	1197	1298	1142	1087	1451
ENSG00000006047	YBX2	17	15	19	11	17	10
ENSG00000006059	KRT33A	10	26	18	2	11	6
ENSG00000006062	MAP3K14	127	133	141	146	157	151
ENSG00000006071	ABCC8	1	2	0	0	0	0
ENSG00000006116	CACNG3	0	0	0	0	0	0
ENSG00000006118	TMEM132A	637	694	767	599	759	626
ENSG00000006125	AP2B1	1566	1531	1975	1431	1505	2096
ENSG00000006128	TAC1	0	0	0	0	0	0
ENSG00000006194	ZNF263	698	657	763	623	683	761
ENSG00000006210	CX3CL1	1565	1595	1853	1586	1740	1847
ENSG00000006282	SPATA20	729	663	797	667	659	619
ENSG00000006283	CACNA1G	0	1	0	0	0	3
ENSG00000006327	TNFRSF12A	1265	1197	1157	1183	1290	1199
ENSG00000006377	DLX6	99	117	106	127	110	124
ENSG00000006432	MAP3K9	637	568	731	515	564	610
ENSG00000006451	RALA	339	318	431	259	353	443
ENSG00000006453	BAIAP2L1	1348	1286	1489	1216	1279	1539
ENSG00000006468	ETV1	510	443	548	385	447	593
ENSG00000006530	AGK	253	290	266	254	232	323
ENSG00000006534	ALDH3B1	391	402	374	307	336	375
ENSG00000006555	TTC22	0	0	0	0	0	0
ENSG00000006576	PHTF2	307	282	313	207	277	304
ENSG00000006606	CCL26	174	131	190	136	147	172
ENSG00000006607	FARP2	119	115	149	108	102	147
ENSG00000006611	USH1C	5	7	3	2	2	3
ENSG00000006625	GGCT	359	321	400	309	329	554
ENSG00000006634	DBF4	311	307	328	302	246	412
ENSG00000006638	TBXA2R	2	7	4	6	14	1
ENSG00000006652	IFRD1	1181	1031	1237	825	998	1549
ENSG00000006659	LGALS14	0	0	0	0	0	0
ENSG00000006695	COX10	106	109	121	79	82	131
ENSG00000006704	GTF2IRD1	1033	1101	1207	981	1135	1213
ENSG00000006712	PAF1	897	873	902	804	782	1115
ENSG00000006715	VPS41	519	525	628	493	506	673
ENSG00000006740	ARHGAP44	88	62	96	78	79	96
ENSG00000006744	ELAC2	2362	2242	2803	2613	2646	3064
ENSG00000006747	SCIN	11	19	3	9	9	21
ENSG00000006756	ARSD	106	104	122	88	102	166
ENSG00000006757	PNPLA4	666	634	624	716	701	928
ENSG00000006788	MYH13	0	0	0	0	0	0
ENSG00000006831	ADIPOR2	1115	1070	1327	1010	1021	1380
ENSG00000006837	CDKL3	4	8	10	13	12	8
ENSG00000007001	UPP2	0	0	1	0	2	2
ENSG00000007038	PRSS21	0	0	0	0	0	0
ENSG00000007047	MARK4	553	623	639	588	636	681
ENSG00000007062	PROM1	893	765	968	711	726	1074
ENSG00000007080	CCDC124	736	673	654	726	599	632
ENSG00000007129	CEACAM21	20	16	27	15	22	22
ENSG00000007168	PAFAH1B1	907	835	1042	709	757	1055
ENSG00000007171	NOS2	328	325	406	276	282	318
ENSG00000007174	DNAH9	0	0	0	0	0	0
ENSG00000007202	KIAA0100	2865	3045	3782	2715	2944	3414
ENSG00000007216	SLC13A2	1	3	0	0	0	1
ENSG00000007237	GAS7	410	384	504	415	431	548
ENSG00000007255	TRAPPC6A	26	28	42	34	38	37
ENSG00000007264	MATK	3	1	2	1	0	8
ENSG00000007306	CEACAM7	0	0	0	0	0	0
ENSG00000007312	CD79B	12	3	1	3	3	0
ENSG00000007314	SCN4A	17	26	20	18	12	22
ENSG00000007341	ST7L	45	54	62	43	43	45
ENSG00000007350	TKTL1	0	1	0	0	0	1
ENSG00000007372	PAX6	625	631	800	619	716	761
ENSG00000007376	RPUSD1	639	646	709	635	637	600
ENSG00000007384	RHBDF1	648	694	758	703	740	761
ENSG00000007392	LUC7L	512	482	506	530	512	580
ENSG00000007402	CACNA2D2	0	0	0	0	2	0
ENSG00000007516	BAIAP3	15	22	14	17	22	15
ENSG00000007520	TSR3	448	496	478	456	408	439
ENSG00000007541	PIGQ	326	333	358	292	311	237
ENSG00000007545	CRAMP1	413	442	498	455	448	463
ENSG00000007866	TEAD3	684	747	787	780	777	791
ENSG00000007908	SELE	1	2	2	3	4	5
ENSG00000007923	DNAJC11	1461	1519	1580	1498	1467	1841
ENSG00000007933	FMO3	0	0	0	0	0	0
ENSG00000007944	MYLIP	199	167	197	157	194	217
ENSG00000007952	NOX1	567	457	538	461	432	616
ENSG00000007968	E2F2	128	116	139	101	115	111
ENSG00000008018	PSMB1	4254	3600	4049	3661	3474	5130
ENSG00000008056	SYN1	31	21	32	27	15	27
ENSG00000008083	JARID2	410	452	480	335	421	402
ENSG00000008086	CDKL5	100	103	116	75	95	111
ENSG00000008118	CAMK1G	0	2	0	0	0	0
ENSG00000008128	CDK11A	533	570	516	465	343	525
ENSG00000008130	NADK	1193	1265	1426	1262	1254	1376
ENSG00000008196	TFAP2B	0	0	0	0	0	0
ENSG00000008197	TFAP2D	0	0	0	0	0	0
ENSG00000008226	DLEC1	2	3	0	0	0	0
ENSG00000008256	CYTH3	1010	1027	1153	983	965	1072
ENSG00000008277	ADAM22	239	239	289	232	263	351
ENSG00000008282	SYPL1	803	714	915	625	733	893
ENSG00000008283	CYB561	6	10	7	7	6	8
ENSG00000008294	SPAG9	793	810	978	604	649	860
ENSG00000008300	CELSR3	104	104	93	88	82	97
ENSG00000008311	AASS	21	23	17	12	5	14
ENSG00000008323	PLEKHG6	215	196	270	253	223	230
ENSG00000008324	SS18L2	173	150	171	192	198	274
ENSG00000008382	MPND	432	439	548	355	428	408
ENSG00000008394	MGST1	814	628	811	971	909	1182
ENSG00000008405	CRY1	277	294	298	301	274	334
ENSG00000008438	PGLYRP1	0	0	0	0	0	0
ENSG00000008441	NFIX	795	901	1024	687	851	837
ENSG00000008513	ST3GAL1	454	480	555	429	497	529
ENSG00000008516	MMP25	1	3	1	1	0	0
ENSG00000008517	IL32	3060	2931	3484	3135	2894	3501
ENSG00000008710	PKD1	923	1077	1001	850	918	704
ENSG00000008735	MAPK8IP2	1	0	0	0	5	1
ENSG00000008838	MED24	1125	1118	1312	1144	1283	1368
ENSG00000008853	RHOBTB2	601	687	759	562	643	686
ENSG00000008869	HEATR5B	351	362	455	325	320	384
ENSG00000008952	SEC62	695	614	805	467	630	794
ENSG00000008988	RPS20	5489	4669	5123	5867	5089	8180
ENSG00000009307	CSDE1	4271	3873	5170	3186	3765	5226
ENSG00000009335	UBE3C	2019	2080	2618	1871	2017	2489
ENSG00000009413	REV3L	481	475	621	409	442	594
ENSG00000009694	TENM1	2	0	0	0	0	0
ENSG00000009709	PAX7	0	0	0	0	0	0
ENSG00000009724	MASP2	7	3	6	4	5	5
ENSG00000009765	IYD	2	0	4	2	2	0
ENSG00000009780	FAM76A	40	58	47	35	44	42
ENSG00000009790	TRAF3IP3	2	5	6	4	2	2
ENSG00000009830	POMT2	393	354	402	428	413	494
ENSG00000009844	VTA1	775	706	961	716	675	999
ENSG00000009950	MLXIPL	939	803	878	1029	994	908
ENSG00000009954	BAZ1B	2560	2648	3072	1946	2340	2882
ENSG00000010017	RANBP9	393	330	431	283	320	437
ENSG00000010030	ETV7	8	18	10	12	11	10
ENSG00000010072	SPRTN	211	163	232	146	183	244
ENSG00000010165	METTL13	1250	1363	1535	1243	1345	1599
ENSG00000010219	DYRK4	204	143	182	217	192	250
ENSG00000010244	ZNF207	2328	2110	2731	2326	2198	2628
ENSG00000010256	UQCRC1	4012	4037	4593	3512	3391	4434
ENSG00000010270	STARD3NL	547	564	638	587	574	807
ENSG00000010278	CD9	793	645	887	914	820	1258
ENSG00000010282	HHATL	1	2	1	0	0	1
ENSG00000010292	NCAPD2	3086	3183	3371	2922	2958	3703
ENSG00000010295	IFFO1	586	534	667	687	695	762
ENSG00000010310	GIPR	2	0	1	2	0	2
ENSG00000010318	PHF7	27	31	32	23	19	23
ENSG00000010319	SEMA3G	18	32	23	29	21	24
ENSG00000010322	NISCH	873	865	1020	977	910	973
ENSG00000010327	STAB1	5	6	6	14	7	9
ENSG00000010361	FUZ	3	8	3	7	6	9
ENSG00000010379	SLC6A13	0	3	4	1	1	1
ENSG00000010404	IDS	799	763	906	675	756	962
ENSG00000010438	PRSS3	2	1	3	0	0	0
ENSG00000010539	ZNF200	115	106	146	109	100	169
ENSG00000010610	CD4	60	71	80	67	94	157
ENSG00000010626	LRRC23	45	39	38	30	24	36
ENSG00000010671	BTK	0	0	0	0	0	1
ENSG00000010704	HFE	89	77	86	61	70	72
ENSG00000010803	SCMH1	290	318	354	238	303	350
ENSG00000010810	FYN	224	237	273	266	257	332
ENSG00000010818	HIVEP2	494	566	688	417	521	619
ENSG00000010932	FMO1	0	2	0	0	1	0
ENSG00000011007	TCEB3	685	732	800	557	689	787
ENSG00000011009	LYPLA2	619	604	652	769	688	670
ENSG00000011021	CLCN6	221	221	235	213	214	237
ENSG00000011028	MRC2	0	1	0	0	0	0
ENSG00000011052	NME1-NME2	2583	2318	2629	2203	2240	3402
ENSG00000011083	SLC6A7	0	1	0	0	1	0
ENSG00000011105	TSPAN9	298	343	351	339	290	373
ENSG00000011114	BTBD7	311	275	382	263	259	327
ENSG00000011132	APBA3	136	212	177	197	163	161
ENSG00000011143	MKS1	203	174	196	204	179	226
ENSG00000011198	ABHD5	184	150	188	133	134	184
ENSG00000011243	AKAP8L	870	865	1025	850	883	936
ENSG00000011258	MBTD1	191	165	203	149	182	231
ENSG00000011260	UTP18	789	771	908	797	774	1129
ENSG00000011275	RNF216	1571	1594	1621	1451	1557	1810
ENSG00000011295	TTC19	299	248	273	235	232	352
ENSG00000011304	PTBP1	4733	4648	5457	5206	5113	5658
ENSG00000011332	DPF1	110	96	118	108	102	122
ENSG00000011347	SYT7	111	117	141	135	95	113
ENSG00000011376	LARS2	649	714	693	502	555	694
ENSG00000011405	PIK3C2A	852	730	966	529	674	930
ENSG00000011422	PLAUR	62	50	47	51	42	52
ENSG00000011426	ANLN	2277	2206	2604	1900	2143	2825
ENSG00000011451	WIZ	612	698	733	591	697	614
ENSG00000011454	RABGAP1	612	557	682	471	475	608
ENSG00000011465	DCN	0	0	0	0	0	0
ENSG00000011478	QPCTL	254	277	370	237	265	258
ENSG00000011485	PPP5C	1307	1309	1501	1481	1450	1654
ENSG00000011523	CEP68	372	427	474	367	368	484
ENSG00000011566	MAP4K3	571	532	681	463	527	696
ENSG00000011590	ZBTB32	0	0	0	0	0	0
ENSG00000011600	TYROBP	1	1	0	1	0	0
ENSG00000011638	TMEM159	95	82	116	98	75	123
ENSG00000011677	GABRA3	4	0	1	3	3	1
ENSG00000012048	BRCA1	561	635	660	450	425	616
ENSG00000012061	ERCC1	482	564	568	471	493	641
ENSG00000012124	CD22	34	49	47	21	33	30
ENSG00000012171	SEMA3B	2674	2837	2956	2944	2956	3020
ENSG00000012174	MBTPS2	292	245	363	184	258	322
ENSG00000012211	PRICKLE3	127	131	187	193	174	199
ENSG00000012223	LTF	1	1	1	0	1	3
ENSG00000012232	EXTL3	1491	1513	1870	1263	1461	1601
ENSG00000012504	NR1H4	63	55	73	60	45	70
ENSG00000012660	ELOVL5	1164	991	1279	995	1029	1406
ENSG00000012779	ALOX5	0	0	0	0	0	0
ENSG00000012817	KDM5D	628	606	753	689	637	822
ENSG00000012822	CALCOCO1	171	140	185	169	157	202
ENSG00000012963	UBR7	673	684	702	546	565	725
ENSG00000012983	MAP4K5	600	546	729	482	532	679
ENSG00000013016	EHD3	1	0	0	0	0	0
ENSG00000013275	PSMC4	4992	4709	5108	4978	4951	6171
ENSG00000013288	MAN2B2	441	463	549	450	513	504
ENSG00000013293	SLC7A14	7	3	4	6	6	1
ENSG00000013297	CLDN11	144	151	190	179	197	157
ENSG00000013306	SLC25A39	3032	3048	3295	3081	2861	3003
ENSG00000013364	MVP	2633	2859	3115	2574	2902	2992
ENSG00000013374	NUB1	823	801	923	691	782	1026
ENSG00000013375	PGM3	713	639	825	523	565	879
ENSG00000013392	RWDD2A	87	93	100	77	101	117
ENSG00000013441	CLK1	354	232	301	224	210	360
ENSG00000013503	POLR3B	196	191	224	153	185	283
ENSG00000013523	ANGEL1	427	413	477	305	326	403
ENSG00000013561	RNF14	379	396	449	384	350	509
ENSG00000013563	DNASE1L1	143	135	139	101	126	140
ENSG00000013573	DDX11	1358	1321	1303	1573	1388	1447
ENSG00000013583	HEBP1	521	504	495	443	430	607
ENSG00000013588	GPRC5A	87	93	130	109	146	178
ENSG00000013619	MAMLD1	1	0	0	0	0	0
ENSG00000013725	CD6	0	0	0	0	0	1
ENSG00000013810	TACC3	2235	2343	2387	2081	2098	2212
ENSG00000014123	UFL1	359	329	419	252	313	384
ENSG00000014138	POLA2	422	399	419	302	308	409
ENSG00000014164	ZC3H3	245	257	275	266	302	272
ENSG00000014216	CAPN1	2395	2567	3287	2656	2914	3022
ENSG00000014257	ACPP	0	1	1	1	0	4
ENSG00000014641	MDH1	3524	2955	3724	3377	2834	4210
ENSG00000014824	SLC30A9	400	382	481	312	324	461
ENSG00000014914	MTMR11	183	167	205	187	178	227
ENSG00000014919	COX15	447	405	458	311	322	419
ENSG00000015133	CCDC88C	441	419	486	360	384	413
ENSG00000015153	YAF2	436	384	424	434	364	561
ENSG00000015171	ZMYND11	854	785	1042	634	759	1038
ENSG00000015285	WAS	1	4	1	1	3	1
ENSG00000015413	DPEP1	9	17	13	4	14	5
ENSG00000015475	BID	1226	1104	1215	1190	1104	1367
ENSG00000015479	MATR3	4319	4231	5247	3268	3719	5043
ENSG00000015520	NPC1L1	345	357	404	367	346	453
ENSG00000015532	XYLT2	317	328	343	301	308	266
ENSG00000015568	RGPD5	18	22	28	15	37	43
ENSG00000015592	STMN4	0	1	0	2	0	1
ENSG00000015676	NUDCD3	2117	1917	2166	1754	1867	2187
ENSG00000016082	ISL1	0	0	0	0	0	0
ENSG00000016391	CHDH	1651	1621	1814	1460	1477	1669
ENSG00000016402	IL20RA	10	8	12	5	8	14
ENSG00000016490	CLCA1	0	0	0	0	0	0
ENSG00000016602	CLCA4	0	0	0	0	0	0
ENSG00000016864	GLT8D1	482	375	463	489	426	630
ENSG00000017260	ATP2C1	803	748	1028	641	766	993
ENSG00000017427	IGF1	53	40	39	48	39	47
ENSG00000017483	SLC38A5	232	205	299	230	253	253
ENSG00000017797	RALBP1	641	652	818	584	580	817
ENSG00000018189	RUFY3	228	217	288	211	228	342
ENSG00000018236	CNTN1	2230	2062	2679	944	1228	1594
ENSG00000018280	SLC11A1	13	13	16	22	18	14
ENSG00000018408	WWTR1	384	452	502	372	429	509
ENSG00000018510	AGPS	657	584	755	387	539	658
ENSG00000018607	ZNF806	0	0	0	0	0	0
ENSG00000018610	CXorf56	251	222	281	180	210	271
ENSG00000018625	ATP1A2	0	0	0	0	0	0
ENSG00000018699	TTC27	450	433	511	406	326	551
ENSG00000018869	ZNF582	1	1	1	0	0	0
ENSG00000019102	VSIG2	115	140	197	136	121	164
ENSG00000019144	PHLDB1	215	232	284	252	247	283
ENSG00000019169	MARCO	0	0	0	2	1	0
ENSG00000019186	CYP24A1	436	462	520	390	334	434
ENSG00000019485	PRDM11	73	73	106	74	64	69
ENSG00000019505	SYT13	13	18	33	7	10	15
ENSG00000019549	SNAI2	0	0	0	0	0	0
ENSG00000019582	CD74	611	585	730	746	726	839
ENSG00000019991	HGF	0	1	1	0	1	0
ENSG00000019995	ZRANB1	231	198	273	171	205	298
ENSG00000020129	NCDN	454	405	467	449	472	465
ENSG00000020219	CCT8L1P	0	0	0	0	0	0
ENSG00000020256	ZFP64	496	530	687	474	573	597
ENSG00000020426	MNAT1	275	233	281	249	211	332
ENSG00000020577	SAMD4A	522	506	607	539	533	696
ENSG00000020633	RUNX3	10	12	10	14	12	6
ENSG00000020922	MRE11A	441	399	498	338	425	560
ENSG00000021300	PLEKHB1	222	165	223	217	209	291
ENSG00000021355	SERPINB1	762	582	744	534	538	870
ENSG00000021461	CYP3A43	0	0	1	0	0	0
ENSG00000021488	SLC7A9	2	0	0	0	1	1
ENSG00000021574	SPAST	145	119	161	100	98	168
ENSG00000021645	NRXN3	0	0	0	1	0	0
ENSG00000021762	OSBPL5	0	1	0	0	0	0
ENSG00000021776	AQR	662	566	794	461	567	825
ENSG00000021826	CPS1	207	197	255	172	174	231
ENSG00000021852	C8B	0	0	0	0	0	0
ENSG00000022267	FHL1	21	23	25	18	12	19
ENSG00000022277	RTFDC1	3680	3707	4201	3030	3134	4466
ENSG00000022355	GABRA1	1	2	4	9	5	5
ENSG00000022556	NLRP2	2	0	0	0	0	2
ENSG00000022567	SLC45A4	113	111	129	59	75	82
ENSG00000022840	RNF10	2318	2278	2416	1854	1877	2580
ENSG00000022976	ZNF839	206	180	242	221	176	258
ENSG00000023041	ZDHHC6	501	467	583	498	534	708
ENSG00000023171	GRAMD1B	48	57	62	34	40	58
ENSG00000023191	RNH1	1787	1920	1967	1907	1789	1697
ENSG00000023228	NDUFS1	772	802	905	614	698	943
ENSG00000023287	RB1CC1	316	340	427	225	285	345
ENSG00000023318	ERP44	500	366	531	594	453	682
ENSG00000023330	ALAS1	783	777	920	790	788	993
ENSG00000023445	BIRC3	13	19	31	9	12	14
ENSG00000023516	AKAP11	168	175	198	125	154	186
ENSG00000023572	GLRX2	151	106	115	132	109	167
ENSG00000023608	SNAPC1	100	105	97	95	125	140
ENSG00000023697	DERA	174	148	193	167	164	223
ENSG00000023734	STRAP	1032	960	1138	935	1001	1396
ENSG00000023839	ABCC2	3059	2848	3336	2969	2913	3807
ENSG00000023892	DEF6	226	241	254	219	214	243
ENSG00000023902	PLEKHO1	717	837	863	845	772	921
ENSG00000023909	GCLM	171	163	185	131	150	211
ENSG00000024048	UBR2	352	365	431	282	286	404
ENSG00000024422	EHD2	3	0	4	3	1	6
ENSG00000024526	DEPDC1	247	242	268	169	222	252
ENSG00000024862	CCDC28A	136	128	115	114	119	151
ENSG00000025039	RRAGD	102	97	130	78	80	89
ENSG00000025156	HSF2	332	297	379	276	301	452
ENSG00000025293	PHF20	667	687	718	484	548	707
ENSG00000025423	HSD17B6	11	6	4	5	4	6
ENSG00000025434	NR1H3	339	364	370	336	328	379
ENSG00000025708	TYMP	0	0	2	1	4	4
ENSG00000025770	NCAPH2	1266	1427	1391	1299	1279	1289
ENSG00000025772	TOMM34	1533	1487	1668	1447	1511	1987
ENSG00000025796	SEC63	485	453	538	354	417	556
ENSG00000025800	KPNA6	420	440	650	380	462	521
ENSG00000026025	VIM	7	0	0	0	1	17
ENSG00000026036	RTEL1-TNFRSF6B	383	434	494	346	462	377
ENSG00000026103	FAS	206	189	272	157	182	238
ENSG00000026297	RNASET2	365	355	433	454	401	529
ENSG00000026508	CD44	14	9	11	9	7	4
ENSG00000026559	KCNG1	0	1	0	3	0	0
ENSG00000026652	AGPAT4	5	3	7	10	3	4
ENSG00000026751	SLAMF7	1	0	0	0	0	0
ENSG00000026950	BTN3A1	37	32	52	36	35	47
ENSG00000027001	MIPEP	215	186	228	145	178	261
ENSG00000027075	PRKCH	20	21	21	11	14	25
ENSG00000027644	INSRR	0	0	0	0	0	0
ENSG00000027697	IFNGR1	2694	2269	2879	2326	2493	3335
ENSG00000027847	B4GALT7	661	692	773	620	648	656
ENSG00000027869	SH2D2A	86	81	68	70	67	78
ENSG00000028116	VRK2	228	197	275	215	230	359
ENSG00000028137	TNFRSF1B	6	3	15	7	5	7
ENSG00000028203	VEZT	582	570	752	531	542	780
ENSG00000028277	POU2F2	13	17	20	16	26	19
ENSG00000028310	BRD9	905	977	1115	985	1021	1183
ENSG00000028528	SNX1	1130	1055	1295	1053	1059	1371
ENSG00000028839	TBPL1	545	444	531	502	510	625
ENSG00000029153	ARNTL2	241	228	286	156	226	277
ENSG00000029363	BCLAF1	2077	2052	2622	1591	1997	2682
ENSG00000029364	SLC39A9	444	442	666	372	446	479
ENSG00000029534	ANK1	4	1	2	3	1	0
ENSG00000029559	IBSP	0	0	0	0	0	0
ENSG00000029639	TFB1M	524	475	629	491	491	737
ENSG00000029725	RABEP1	607	641	726	451	526	807
ENSG00000029993	HMGB3	1046	1008	1075	761	904	1300
ENSG00000030066	NUP160	904	876	1049	806	850	1138
ENSG00000030110	BAK1	403	455	555	489	461	451
ENSG00000030304	MUSK	0	0	2	0	0	0
ENSG00000030419	IKZF2	4	3	10	3	5	11
ENSG00000030582	GRN	4157	4277	4799	3824	4029	3791
ENSG00000031003	FAM13B	370	353	407	277	293	455
ENSG00000031081	ARHGAP31	4	4	8	6	4	1
ENSG00000031691	CENPQ	152	115	148	116	107	164
ENSG00000031698	SARS	1764	1696	2034	1643	1630	2280
ENSG00000031823	RANBP3	1261	1296	1486	1383	1436	1554
ENSG00000032219	ARID4A	162	138	173	110	125	196
ENSG00000032389	TSSC1	1711	1757	1936	1664	1608	1984
ENSG00000032444	PNPLA6	704	735	868	874	893	759
ENSG00000032742	IFT88	87	67	73	70	59	118
ENSG00000033011	ALG1	806	875	945	818	819	1014
ENSG00000033030	ZCCHC8	356	393	381	332	341	477
ENSG00000033050	ABCF2	2299	2321	2704	2316	2496	3323
ENSG00000033100	CHPF2	2231	2297	2628	2383	2567	2539
ENSG00000033122	LRRC7	2	5	8	11	8	6
ENSG00000033170	FUT8	462	458	569	284	403	578
