id	sym	PT1_A.TAF1714_DE1	PT2_B.TAF1716.1_DE2	PT3_C.TAF1716.2_DE3	GC1_D.TAF1715_DE1	GC2_E.TAF1717.1_DE2	GC3_F.TAF1717.2_DE3
ENSG00000010310	GIPR	27	23	19	10	16	17
ENSG00000010318	PHF7	76	52	64	45	66	52
ENSG00000010319	SEMA3G	313	299	303	151	169	175
ENSG00000010322	NISCH	1540	1696	1586	1231	1582	1179
ENSG00000010327	STAB1	19	31	35	25	49	31
ENSG00000010361	FUZ	229	274	271	173	242	205
ENSG00000010379	SLC6A13	450	715	671	765	1080	642
ENSG00000010404	IDS	615	606	687	512	635	515
ENSG00000010438	PRSS3	3	6	7	7	13	5
ENSG00000010539	ZNF200	185	213	255	153	207	152
ENSG00000010610	CD4	413	574	638	410	510	382
ENSG00000010626	LRRC23	249	276	316	196	332	201
ENSG00000010671	BTK	11	4	16	13	21	18
ENSG00000010704	HFE	42	60	56	63	84	57
ENSG00000010803	SCMH1	392	380	438	283	391	271
ENSG00000010810	FYN	1788	1595	1666	927	1060	1051
ENSG00000010818	HIVEP2	109	113	136	128	128	84
ENSG00000010932	FMO1	443	936	940	1114	2010	1146
ENSG00000011007	TCEB3	730	665	740	503	603	474
ENSG00000011009	LYPLA2	673	849	729	599	778	579
ENSG00000011021	CLCN6	388	506	513	397	454	368
ENSG00000011028	MRC2	1500	1630	1501	1091	1287	1000
ENSG00000011052	NME1-NME2	10	5	15	4	2	1
ENSG00000011083	SLC6A7	14	13	15	10	20	12
ENSG00000011105	TSPAN9	1130	1136	1151	720	929	721
ENSG00000011114	BTBD7	874	1103	1118	833	1066	865
ENSG00000011132	APBA3	120	144	160	108	148	104
ENSG00000011143	MKS1	441	512	529	334	458	354
ENSG00000011198	ABHD5	154	146	188	136	194	140
ENSG00000011243	AKAP8L	1574	1616	1676	1137	1422	1148
ENSG00000011258	MBTD1	816	802	892	645	740	582
ENSG00000011260	UTP18	644	570	631	402	481	476
ENSG00000011275	RNF216	1211	1257	1333	787	1034	854
ENSG00000011295	TTC19	912	878	937	611	748	628
ENSG00000011304	PTBP1	2663	3078	2898	1802	2546	1869
ENSG00000011332	DPF1	41	44	57	24	45	26
ENSG00000011347	SYT7	84	90	115	73	80	60
ENSG00000011376	LARS2	761	803	913	573	798	621
ENSG00000011405	PIK3C2A	2976	2960	3938	2431	3319	2547
ENSG00000011422	PLAUR	102	66	105	49	58	52
ENSG00000011426	ANLN	785	739	934	389	579	501
ENSG00000011451	WIZ	335	385	373	244	322	296
ENSG00000011454	RABGAP1	1006	1004	1250	780	1131	879
ENSG00000011465	DCN	35	50	104	57	193	105
ENSG00000011478	QPCTL	103	108	83	57	79	75
ENSG00000011485	PPP5C	677	774	881	534	733	519
ENSG00000011523	CEP68	572	590	604	370	511	377
ENSG00000011566	MAP4K3	1207	1163	1316	951	1199	1014
ENSG00000011590	ZBTB32	28	26	17	18	29	21
ENSG00000011600	TYROBP	3	4	7	3	2	5
ENSG00000011638	TMEM159	243	289	325	286	418	290
ENSG00000011677	GABRA3	7	3	18	11	19	19
ENSG00000012048	BRCA1	486	434	563	254	392	336
ENSG00000012061	ERCC1	615	604	604	352	542	446
ENSG00000012124	CD22	21	14	35	6	17	7
ENSG00000012171	SEMA3B	564	769	618	450	604	503
ENSG00000012174	MBTPS2	226	253	251	190	193	165
ENSG00000012211	PRICKLE3	48	52	53	39	34	35
ENSG00000012223	LTF	6	1	10	6	9	5
ENSG00000012232	EXTL3	941	969	1002	598	825	637
ENSG00000012504	NR1H4	102	150	126	148	263	175
ENSG00000012660	ELOVL5	1270	1404	1493	825	1236	882
ENSG00000012779	ALOX5	34	34	35	15	13	20
ENSG00000012817	KDM5D	0	0	0	0	0	0
ENSG00000012822	CALCOCO1	841	988	1066	813	1046	843
ENSG00000012963	UBR7	500	516	529	320	442	316
ENSG00000012983	MAP4K5	930	915	959	568	808	611
ENSG00000013016	EHD3	125	117	144	87	150	117
ENSG00000013275	PSMC4	1325	1288	1361	901	1190	997
ENSG00000013288	MAN2B2	263	281	312	268	311	207
ENSG00000013293	SLC7A14	82	33	53	23	29	50
ENSG00000013297	CLDN11	716	464	455	193	260	282
ENSG00000013306	SLC25A39	1069	1147	1164	806	1025	825
ENSG00000013364	MVP	129	188	177	166	223	146
ENSG00000013374	NUB1	799	818	863	521	687	553
ENSG00000013375	PGM3	806	853	959	632	762	619
ENSG00000013392	RWDD2A	216	220	192	124	166	169
ENSG00000013441	CLK1	1360	1423	1492	1191	1318	878
ENSG00000013503	POLR3B	273	306	296	176	272	186
ENSG00000013523	ANGEL1	502	512	560	319	398	353
ENSG00000013561	RNF14	574	703	747	579	688	509
ENSG00000013563	DNASE1L1	113	115	116	77	116	97
ENSG00000013573	DDX11	606	540	622	309	385	342
ENSG00000013583	HEBP1	67	79	80	74	69	88
ENSG00000013588	GPRC5A	32	43	66	24	48	22
ENSG00000013619	MAMLD1	11	12	14	11	12	13
ENSG00000013725	CD6	28	24	45	12	19	21
ENSG00000013810	TACC3	273	338	329	141	260	155
ENSG00000014123	UFL1	1129	1306	1405	840	1235	943
ENSG00000014138	POLA2	294	275	315	184	232	191
ENSG00000014164	ZC3H3	100	155	114	83	130	85
ENSG00000014216	CAPN1	934	1209	1141	880	1266	935
ENSG00000014257	ACPP	16	18	24	35	55	29
ENSG00000014641	MDH1	2564	3371	3423	2739	3764	2790
ENSG00000014824	SLC30A9	1794	1909	2122	1343	1974	1469
ENSG00000014914	MTMR11	189	255	284	253	495	264
ENSG00000014919	COX15	775	796	945	603	895	676
ENSG00000015133	CCDC88C	970	852	814	481	594	514
ENSG00000015153	YAF2	261	256	307	186	212	189
ENSG00000015171	ZMYND11	1316	1347	1579	1006	1420	1131
ENSG00000015285	WAS	12	20	36	20	30	23
ENSG00000015413	DPEP1	27	50	43	42	92	48
ENSG00000015475	BID	232	227	236	129	159	135
ENSG00000015479	MATR3	8782	8944	10289	6067	8722	6636
ENSG00000015520	NPC1L1	76	104	102	72	113	87
ENSG00000015532	XYLT2	514	611	579	345	430	428
ENSG00000015568	RGPD5	980	879	958	635	800	669
ENSG00000015592	STMN4	40	36	53	22	20	43
ENSG00000015676	NUDCD3	806	855	902	624	846	578
ENSG00000016082	ISL1	4	17	19	7	9	3
ENSG00000016391	CHDH	114	89	128	97	143	97
ENSG00000016402	IL20RA	16	20	16	12	10	6
ENSG00000016490	CLCA1	12	2	4	6	14	5
ENSG00000016602	CLCA4	5	2	6	8	5	9
ENSG00000016864	GLT8D1	890	960	985	685	914	730
ENSG00000017260	ATP2C1	1591	1710	1872	1196	1545	1320
ENSG00000017427	IGF1	67	49	54	20	45	25
ENSG00000017483	SLC38A5	39	29	54	26	44	29
ENSG00000017797	RALBP1	743	829	964	544	831	607
ENSG00000018189	RUFY3	1275	1446	1687	1248	1644	1277
ENSG00000018236	CNTN1	76	102	115	104	120	95
ENSG00000018280	SLC11A1	15	10	29	15	30	21
ENSG00000018408	WWTR1	789	1086	1048	854	1212	876
ENSG00000018510	AGPS	866	875	922	708	1047	742
ENSG00000018607	ZNF806	0	0	0	0	0	0
ENSG00000018610	CXorf56	404	433	425	315	432	324
ENSG00000018625	ATP1A2	459	300	409	212	299	223
ENSG00000018699	TTC27	210	227	269	172	206	179
ENSG00000018869	ZNF582	113	105	136	85	121	91
ENSG00000019102	VSIG2	48	60	46	35	59	41
ENSG00000019144	PHLDB1	1486	1643	1800	1216	1633	1265
ENSG00000019169	MARCO	3	1	5	0	5	1
ENSG00000019186	CYP24A1	10	2	14	3	17	8
ENSG00000019485	PRDM11	308	313	298	259	314	260
ENSG00000019505	SYT13	177	146	208	148	194	128
ENSG00000019549	SNAI2	101	96	139	108	140	57
ENSG00000019582	CD74	678	920	889	536	807	611
ENSG00000019991	HGF	13	4	17	17	22	15
ENSG00000019995	ZRANB1	558	454	579	352	492	390
ENSG00000020129	NCDN	186	232	244	162	215	192
ENSG00000020256	ZFP64	260	256	278	177	248	179
ENSG00000020426	MNAT1	367	381	413	286	380	277
ENSG00000020577	SAMD4A	128	148	152	210	202	131
ENSG00000020633	RUNX3	1	5	8	3	10	5
ENSG00000020922	MRE11A	724	658	801	478	587	471
ENSG00000021300	PLEKHB1	179	219	215	141	177	134
ENSG00000021355	SERPINB1	46	86	80	63	95	50
ENSG00000021461	CYP3A43	16	4	11	5	12	11
ENSG00000021488	SLC7A9	11	17	9	21	44	18
ENSG00000021574	SPAST	1143	1159	1247	811	1059	824
ENSG00000021645	NRXN3	141	118	197	96	135	127
ENSG00000021762	OSBPL5	133	139	134	67	134	77
ENSG00000021776	AQR	1402	1450	1609	1040	1474	1113
ENSG00000021826	CPS1	959	979	1196	657	848	772
ENSG00000021852	C8B	4	1	10	1	5	5
ENSG00000022267	FHL1	186	223	247	109	149	147
ENSG00000022277	RTFDC1	933	942	976	654	860	687
ENSG00000022355	GABRA1	5	4	6	4	11	9
ENSG00000022556	NLRP2	58	59	84	92	160	96
ENSG00000022567	SLC45A4	317	394	423	264	297	278
ENSG00000022840	RNF10	852	1035	1033	710	1018	753
ENSG00000022976	ZNF839	166	180	185	132	180	146
ENSG00000023041	ZDHHC6	498	542	639	355	515	402
ENSG00000023171	GRAMD1B	188	179	224	128	225	176
ENSG00000023191	RNH1	721	907	786	584	715	541
ENSG00000023228	NDUFS1	2441	2640	3001	2071	2787	2085
ENSG00000023287	RB1CC1	1584	1676	1859	1151	1678	1200
ENSG00000023318	ERP44	856	859	948	604	775	682
ENSG00000023330	ALAS1	700	743	783	534	723	583
ENSG00000023445	BIRC3	32	23	39	20	45	31
ENSG00000023516	AKAP11	930	971	1195	899	1401	814
ENSG00000023572	GLRX2	55	41	73	45	60	43
ENSG00000023608	SNAPC1	182	183	167	112	132	119
ENSG00000023697	DERA	298	325	327	229	382	242
ENSG00000023734	STRAP	1831	2012	1995	1224	1549	1278
ENSG00000023839	ABCC2	58	173	157	239	547	270
ENSG00000023892	DEF6	38	47	53	25	30	21
ENSG00000023902	PLEKHO1	493	442	446	252	311	290
ENSG00000023909	GCLM	136	182	193	152	203	132
ENSG00000024048	UBR2	963	995	1299	807	1176	897
ENSG00000024422	EHD2	23	15	20	11	25	15
ENSG00000024526	DEPDC1	578	569	683	287	395	361
ENSG00000024862	CCDC28A	147	203	194	140	212	149
ENSG00000025039	RRAGD	924	986	1048	822	1082	725
ENSG00000025156	HSF2	700	705	730	448	503	467
ENSG00000025293	PHF20	595	552	675	388	561	477
ENSG00000025423	HSD17B6	16	8	11	11	14	11
ENSG00000025434	NR1H3	221	290	320	271	392	252
ENSG00000025708	TYMP	61	70	66	58	73	54
ENSG00000025770	NCAPH2	495	562	549	311	448	316
ENSG00000025772	TOMM34	622	614	648	385	527	437
ENSG00000025796	SEC63	431	500	503	338	417	329
ENSG00000025800	KPNA6	1675	1678	1909	1320	1623	1319
ENSG00000026025	VIM	6519	7119	6686	4791	7092	5491
ENSG00000026036	RTEL1-TNFRSF6B	37	47	42	12	33	16
ENSG00000026103	FAS	60	37	38	20	25	26
ENSG00000026297	RNASET2	160	156	202	81	101	91
ENSG00000026508	CD44	12	7	19	9	31	10
ENSG00000026559	KCNG1	66	57	57	19	38	35
ENSG00000026652	AGPAT4	480	516	654	409	615	421
ENSG00000026751	SLAMF7	5	3	10	0	8	5
ENSG00000026950	BTN3A1	209	205	239	183	235	192
ENSG00000027001	MIPEP	292	324	348	283	364	293
ENSG00000027075	PRKCH	23	22	31	15	27	25
ENSG00000027644	INSRR	11	4	22	11	12	19
ENSG00000027697	IFNGR1	434	475	518	363	434	351
ENSG00000027847	B4GALT7	216	241	254	201	243	169
ENSG00000027869	SH2D2A	16	8	8	14	10	11
ENSG00000028116	VRK2	242	241	206	141	189	141
ENSG00000028137	TNFRSF1B	7	13	12	7	5	9
ENSG00000028203	VEZT	1271	1289	1402	929	1193	851
ENSG00000028277	POU2F2	12	25	37	22	31	30
ENSG00000028310	BRD9	554	613	648	402	511	411
ENSG00000028528	SNX1	955	993	1142	798	1016	811
ENSG00000028839	TBPL1	223	217	271	153	193	182
ENSG00000029153	ARNTL2	198	205	241	147	253	150
ENSG00000029363	BCLAF1	3723	3606	3894	2524	3314	2550
ENSG00000029364	SLC39A9	1685	1771	1884	1319	1779	1392
ENSG00000029534	ANK1	50	35	82	24	54	40
ENSG00000029559	IBSP	4	0	3	1	2	4
ENSG00000029639	TFB1M	143	148	144	118	152	103
ENSG00000029725	RABEP1	1454	1328	1491	887	1143	918
ENSG00000029993	HMGB3	1534	1621	1712	1116	1492	1025
ENSG00000030066	NUP160	1089	999	1243	688	872	690
ENSG00000030110	BAK1	351	390	414	279	363	286
ENSG00000030304	MUSK	3	1	17	1	20	8
ENSG00000030419	IKZF2	193	218	238	157	239	164
ENSG00000030582	GRN	1291	1865	1661	1306	1790	1282
ENSG00000031003	FAM13B	437	430	483	360	434	348
ENSG00000031081	ARHGAP31	191	157	151	101	172	109
ENSG00000031691	CENPQ	191	182	191	106	128	120
ENSG00000031698	SARS	1719	1647	1928	1124	1539	1210
ENSG00000031823	RANBP3	591	699	725	434	574	436
ENSG00000032219	ARID4A	375	419	467	348	456	333
ENSG00000032389	TSSC1	249	247	262	185	262	199
ENSG00000032444	PNPLA6	405	461	475	300	405	312
ENSG00000032742	IFT88	416	470	535	363	577	406
ENSG00000033011	ALG1	126	165	136	103	159	116
ENSG00000033030	ZCCHC8	442	455	526	337	451	358
ENSG00000033050	ABCF2	864	827	954	585	796	630
ENSG00000033100	CHPF2	650	718	705	552	615	483
ENSG00000033122	LRRC7	47	38	81	37	59	54
