Geneid	Txid	sym	Tx.len	GC
ENSG00000006715	ENST00000310301	VPS41	5854	0.408
ENSG00000006740	ENST00000379672	ARHGAP44	4270	0.553
ENSG00000006744	ENST00000338034	ELAC2	3767	0.542
ENSG00000006747	ENST00000297029	SCIN	9682	0.396
ENSG00000006756	ENST00000381154	ARSD	5145	0.519
ENSG00000006757	ENST00000381042	PNPLA4	3342	0.422
ENSG00000006788	ENST00000418404	MYH13	6067	0.524
ENSG00000006831	ENST00000357103	ADIPOR2	3971	0.47
ENSG00000006837	ENST00000265334	CDKL3	2222	0.391
ENSG00000007001	ENST00000005756	UPP2	2224	0.391
ENSG00000007038	ENST00000005995	PRSS21	1091	0.59
ENSG00000007047	ENST00000262891	MARK4	5151	0.593
ENSG00000007062	ENST00000510224	PROM1	4006	0.425
ENSG00000007080	ENST00000597436	CCDC124	1055	0.647
ENSG00000007129	ENST00000401445	CEACAM21	1372	0.551
ENSG00000007168	ENST00000397195	PAFAH1B1	5589	0.421
ENSG00000007171	ENST00000313735	NOS2	4176	0.562
ENSG00000007174	ENST00000262442	DNAH9	13711	0.519
ENSG00000007202	ENST00000528896	KIAA0100	7428	0.518
ENSG00000007216	ENST00000314669	SLC13A2	2711	0.58
ENSG00000007237	ENST00000432992	GAS7	4970	0.536
ENSG00000007255	ENST00000006275	TRAPPC6A	805	0.633
ENSG00000007264	ENST00000395045	MATK	2073	0.644
ENSG00000007306	ENST00000006724	CEACAM7	2489	0.446
ENSG00000007312	ENST00000006750	CD79B	1269	0.6
ENSG00000007314	ENST00000435607	SCN4A	7805	0.575
ENSG00000007341	ENST00000343210	ST7L	1866	0.432
ENSG00000007350	ENST00000369915	TKTL1	2518	0.497
ENSG00000007372	ENST00000419022	PAX6	6888	0.4
ENSG00000007376	ENST00000561734	RPUSD1	2159	0.665
ENSG00000007384	ENST00000262316	RHBDF1	2992	0.629
ENSG00000007392	ENST00000293872	LUC7L	1456	0.539
ENSG00000007402	ENST00000266039	CACNA2D2	5476	0.581
ENSG00000007516	ENST00000324385	BAIAP3	4678	0.639
ENSG00000007520	ENST00000007390	TSR3	1210	0.668
ENSG00000007541	ENST00000321878	PIGQ	3006	0.667
ENSG00000007545	ENST00000397412	CRAMP1L	7772	0.571
ENSG00000007866	ENST00000338863	TEAD3	2986	0.598
ENSG00000007908	ENST00000333360	SELE	3875	0.422
ENSG00000007923	ENST00000377577	DNAJC11	3201	0.552
ENSG00000007933	ENST00000367755	FMO3	2059	0.432
ENSG00000007944	ENST00000356840	MYLIP	3072	0.467
ENSG00000007952	ENST00000372966	NOX1	2543	0.44
ENSG00000007968	ENST00000361729	E2F2	5196	0.574
ENSG00000008018	ENST00000262193	PSMB1	891	0.479
ENSG00000008056	ENST00000295987	SYN1	3210	0.616
ENSG00000008083	ENST00000341776	JARID2	6003	0.499
ENSG00000008086	ENST00000623535	CDKL5	12533	0.424
ENSG00000008118	ENST00000009105	CAMK1G	2612	0.534
ENSG00000008128	ENST00000404249	CDK11A	2984	0.56
ENSG00000008130	ENST00000341426	NADK	3235	0.567
ENSG00000008196	ENST00000393655	TFAP2B	5631	0.484
ENSG00000008197	ENST00000008391	TFAP2D	1711	0.497
ENSG00000008226	ENST00000308059	DLEC1	6426	0.549
ENSG00000008256	ENST00000350796	CYTH3	4482	0.53
ENSG00000008277	ENST00000265727	ADAM22	2891	0.454
ENSG00000008282	ENST00000011473	SYPL1	2127	0.37
ENSG00000008283	ENST00000392976	CYB561	3151	0.58
ENSG00000008294	ENST00000357122	SPAG9	4761	0.457
ENSG00000008300	ENST00000164024	CELSR3	11933	0.614
ENSG00000008311	ENST00000393376	AASS	3233	0.429
ENSG00000008323	ENST00000396988	PLEKHG6	2963	0.608
ENSG00000008324	ENST00000447630	SS18L2	1047	0.457
ENSG00000008382	ENST00000262966	MPND	1567	0.658
ENSG00000008394	ENST00000396209	MGST1	979	0.381
ENSG00000008405	ENST00000008527	CRY1	2987	0.46
ENSG00000008438	ENST00000008938	PGLYRP1	708	0.62
ENSG00000008441	ENST00000397661	NFIX	3143	0.629
ENSG00000008513	ENST00000521180	ST3GAL1	6951	0.521
ENSG00000008516	ENST00000336577	MMP25	3674	0.662
ENSG00000008517	ENST00000534507	IL32	1112	0.592
ENSG00000008710	ENST00000262304	PKD1	14138	0.669
ENSG00000008735	ENST00000329492	MAPK8IP2	5700	0.63
ENSG00000008838	ENST00000394128	MED24	3480	0.573
ENSG00000008853	ENST00000251822	RHOBTB2	5451	0.593
ENSG00000008869	ENST00000233099	HEATR5B	6937	0.433
ENSG00000008952	ENST00000337002	SEC62	6526	0.365
ENSG00000008988	ENST00000521262	RPS20	650	0.52
ENSG00000009307	ENST00000358528	CSDE1	4097	0.414
ENSG00000009335	ENST00000348165	UBE3C	5214	0.473
ENSG00000009413	ENST00000358835	REV3L	10815	0.402
ENSG00000009694	ENST00000371130	TENM1	12875	0.423
ENSG00000009709	ENST00000420770	PAX7	6213	0.549
ENSG00000009724	ENST00000400897	MASP2	2439	0.513
ENSG00000009765	ENST00000344419	IYD	8742	0.433
ENSG00000009780	ENST00000373954	FAM76A	3567	0.411
ENSG00000009790	ENST00000367024	TRAF3IP3	2331	0.52
ENSG00000009830	ENST00000261534	POMT2	4876	0.56
ENSG00000009844	ENST00000367630	VTA1	6991	0.379
ENSG00000009950	ENST00000313375	MLXIPL	3252	0.634
ENSG00000009954	ENST00000339594	BAZ1B	6115	0.48
ENSG00000010017	ENST00000011619	RANBP9	3384	0.497
ENSG00000010030	ENST00000340181	ETV7	1605	0.589
ENSG00000010072	ENST00000295050	SPRTN	3223	0.39
ENSG00000010165	ENST00000361735	METTL13	3368	0.516
ENSG00000010219	ENST00000540757	DYRK4	3272	0.448
ENSG00000010244	ENST00000321233	ZNF207	2283	0.45
ENSG00000010256	ENST00000203407	UQCRC1	1595	0.583
ENSG00000010270	ENST00000009041	STARD3NL	1728	0.432
ENSG00000010278	ENST00000382518	CD9	1566	0.479
ENSG00000010282	ENST00000441594	HHATL	1865	0.587
ENSG00000010292	ENST00000315579	NCAPD2	4825	0.516
ENSG00000010295	ENST00000336604	IFFO1	2686	0.623
ENSG00000010310	ENST00000590918	GIPR	3310	0.579
ENSG00000010318	ENST00000327906	PHF7	2127	0.51
ENSG00000010319	ENST00000231721	SEMA3G	4899	0.584
ENSG00000010322	ENST00000345716	NISCH	5139	0.599
ENSG00000010327	ENST00000321725	STAB1	7928	0.626
ENSG00000010361	ENST00000313777	FUZ	1675	0.62
ENSG00000010379	ENST00000343164	SLC6A13	2188	0.568
ENSG00000010404	ENST00000340855	IDS	7580	0.433
ENSG00000010438	ENST00000379405	PRSS3	834	0.559
ENSG00000010539	ENST00000431561	ZNF200	3348	0.457
ENSG00000010610	ENST00000011653	CD4	3049	0.545
ENSG00000010626	ENST00000443597	LRRC23	1698	0.553
ENSG00000010671	ENST00000308731	BTK	2579	0.468
ENSG00000010704	ENST00000357618	HFE	5286	0.429
ENSG00000010803	ENST00000326197	SCMH1	3275	0.525
ENSG00000010810	ENST00000354650	FYN	3628	0.484
ENSG00000010818	ENST00000367603	HIVEP2	9697	0.467
ENSG00000010932	ENST00000617670	FMO1	2152	0.448
ENSG00000011007	ENST00000609199	TCEB3	2671	0.504
ENSG00000011009	ENST00000374514	LYPLA2	1635	0.616
ENSG00000011021	ENST00000346436	CLCN6	5589	0.53
ENSG00000011028	ENST00000303375	MRC2	5719	0.633
ENSG00000011052	ENST00000393193	NME2	1021	0.539
ENSG00000011083	ENST00000230671	SLC6A7	3625	0.608
ENSG00000011105	ENST00000011898	TSPAN9	4322	0.579
ENSG00000011114	ENST00000334746	BTBD7	8445	0.434
ENSG00000011132	ENST00000316757	APBA3	2176	0.656
ENSG00000011143	ENST00000393119	MKS1	2397	0.541
ENSG00000011198	ENST00000458276	ABHD5	1241	0.461
ENSG00000011201	ENST00000262648	ANOS1	6265	0.398
ENSG00000011243	ENST00000397410	AKAP8L	2078	0.595
ENSG00000011258	ENST00000586178	MBTD1	5365	0.387
ENSG00000011260	ENST00000225298	UTP18	1876	0.456
ENSG00000011275	ENST00000389902	RNF216	3293	0.505
ENSG00000011295	ENST00000261647	TTC19	3050	0.429
ENSG00000011304	ENST00000349038	PTBP1	3155	0.578
ENSG00000011332	ENST00000456296	DPF1	1562	0.636
ENSG00000011347	ENST00000263846	SYT7	4854	0.597
ENSG00000011376	ENST00000415258	LARS2	4740	0.508
ENSG00000011405	ENST00000265970	PIK3C2A	8227	0.37
ENSG00000011422	ENST00000340093	PLAUR	1368	0.559
ENSG00000011426	ENST00000265748	ANLN	4731	0.398
ENSG00000011451	ENST00000263381	WIZ	5695	0.589
ENSG00000011454	ENST00000373647	RABGAP1	4986	0.436
ENSG00000011465	ENST00000052754	DCN	6850	0.382
ENSG00000011478	ENST00000012049	QPCTL	2125	0.578
ENSG00000011485	ENST00000012443	PPP5C	2109	0.588
ENSG00000011523	ENST00000377990	CEP68	5803	0.47
ENSG00000011566	ENST00000263881	MAP4K3	4335	0.394
ENSG00000011590	ENST00000392197	ZBTB32	2037	0.607
ENSG00000011600	ENST00000262629	TYROBP	568	0.602
ENSG00000011638	ENST00000233047	TMEM159	2014	0.502
ENSG00000011677	ENST00000370314	GABRA3	3669	0.468
ENSG00000012048	ENST00000471181	BRCA1	7270	0.419
ENSG00000012061	ENST00000300853	ERCC1	3828	0.561
ENSG00000012124	ENST00000085219	CD22	3274	0.551
ENSG00000012171	ENST00000616701	SEMA3B	2958	0.648
ENSG00000012174	ENST00000379484	MBTPS2	4446	0.4
ENSG00000012211	ENST00000599218	PRICKLE3	2795	0.591
ENSG00000012223	ENST00000231751	LTF	2979	0.535
ENSG00000012232	ENST00000220562	EXTL3	6483	0.557
ENSG00000012504	ENST00000548884	NR1H4	2884	0.406
ENSG00000012660	ENST00000304434	ELOVL5	2765	0.399
ENSG00000012779	ENST00000374391	ALOX5	2519	0.556
ENSG00000012817	ENST00000317961	KDM5D	5472	0.51
ENSG00000012822	ENST00000550804	CALCOCO1	5576	0.515
ENSG00000012963	ENST00000013070	UBR7	3494	0.445
ENSG00000012983	ENST00000013125	MAP4K5	4354	0.398
ENSG00000013016	ENST00000322054	EHD3	4825	0.545
ENSG00000013275	ENST00000157812	PSMC4	1591	0.552
ENSG00000013288	ENST00000285599	MAN2B2	5143	0.572
ENSG00000013293	ENST00000231706	SLC7A14	10140	0.427
ENSG00000013297	ENST00000064724	CLDN11	2169	0.503
ENSG00000013306	ENST00000225308	SLC25A39	1607	0.62
ENSG00000013364	ENST00000395353	MVP	2925	0.612
ENSG00000013374	ENST00000413040	NUB1	3180	0.482
ENSG00000013375	ENST00000513973	PGM3	6079	0.39
ENSG00000013392	ENST00000369724	RWDD2A	3769	0.428
ENSG00000013441	ENST00000321356	CLK1	1847	0.386
ENSG00000013503	ENST00000228347	POLR3B	4183	0.436
ENSG00000013523	ENST00000251089	ANGEL1	5176	0.535
ENSG00000013561	ENST00000394520	RNF14	4170	0.403
ENSG00000013563	ENST00000369809	DNASE1L1	3008	0.568
ENSG00000013573	ENST00000542838	DDX11	3920	0.578
ENSG00000013583	ENST00000014930	HEBP1	1159	0.509
ENSG00000013588	ENST00000014914	GPRC5A	7362	0.504
ENSG00000013619	ENST00000370401	MAMLD1	4854	0.543
ENSG00000013725	ENST00000313421	CD6	3252	0.619
ENSG00000013810	ENST00000313288	TACC3	2799	0.579
ENSG00000014123	ENST00000369278	UFL1	4226	0.357
ENSG00000014138	ENST00000265465	POLA2	3544	0.537
ENSG00000014164	ENST00000262577	ZC3H3	3270	0.649
ENSG00000014216	ENST00000527323	CAPN1	3086	0.606
ENSG00000014257	ENST00000336375	ACPP	3174	0.432
ENSG00000014641	ENST00000233114	MDH1	1296	0.431
ENSG00000014824	ENST00000264451	SLC30A9	6164	0.388
ENSG00000014914	ENST00000439741	MTMR11	2840	0.526
ENSG00000014919	ENST00000016171	COX15	2356	0.475
ENSG00000015133	ENST00000389857	CCDC88C	7519	0.588
ENSG00000015153	ENST00000534854	YAF2	2076	0.349
ENSG00000015171	ENST00000397962	ZMYND11	2150	0.485
ENSG00000015285	ENST00000376701	WAS	1849	0.606
ENSG00000015413	ENST00000393092	DPEP1	1734	0.626
ENSG00000015475	ENST00000622694	BID	2199	0.484
ENSG00000015479	ENST00000394805	MATR3	4843	0.395
ENSG00000015520	ENST00000289547	NPC1L1	5048	0.587
ENSG00000015532	ENST00000017003	XYLT2	3507	0.616
ENSG00000015568	ENST00000016946	RGPD5	7268	0.398
ENSG00000015592	ENST00000265770	STMN4	1250	0.544
ENSG00000015676	ENST00000355451	NUDCD3	8036	0.544
ENSG00000016082	ENST00000230658	ISL1	2394	0.453
ENSG00000016391	ENST00000315251	CHDH	7694	0.526
ENSG00000016402	ENST00000316649	IL20RA	3485	0.44
ENSG00000016490	ENST00000234701	CLCA1	3310	0.433
ENSG00000016602	ENST00000370563	CLCA4	3211	0.384
ENSG00000016864	ENST00000266014	GLT8D1	1849	0.47
ENSG00000017260	ENST00000359644	ATP2C1	3401	0.419
ENSG00000017427	ENST00000337514	IGF1	7359	0.366
ENSG00000017483	ENST00000595796	SLC38A5	2659	0.57
ENSG00000017797	ENST00000019317	RALBP1	4368	0.485
ENSG00000018189	ENST00000381006	RUFY3	4433	0.414
ENSG00000018236	ENST00000551295	CNTN1	5667	0.389
ENSG00000018280	ENST00000233202	SLC11A1	3608	0.594
ENSG00000018408	ENST00000465804	WWTR1	5030	0.408
ENSG00000018510	ENST00000264167	AGPS	7633	0.364
ENSG00000018607	ENST00000438300	ZNF806	1774	0.436
ENSG00000018610	ENST00000536133	CXorf56	1089	0.484
ENSG00000018625	ENST00000361216	ATP1A2	5421	0.531
ENSG00000018699	ENST00000317907	TTC27	2888	0.437
ENSG00000018869	ENST00000301310	ZNF582	2824	0.409
ENSG00000019102	ENST00000326621	VSIG2	1163	0.596
ENSG00000019144	ENST00000361417	PHLDB1	5753	0.599
ENSG00000019169	ENST00000327097	MARCO	1838	0.582
ENSG00000019186	ENST00000216862	CYP24A1	3278	0.459
ENSG00000019485	ENST00000424263	PRDM11	1858	0.579
ENSG00000019505	ENST00000020926	SYT13	5165	0.48
ENSG00000019549	ENST00000396822	SNAI2	626	0.608
ENSG00000019582	ENST00000009530	CD74	3092	0.545
ENSG00000019991	ENST00000222390	HGF	5834	0.357
ENSG00000019995	ENST00000359653	ZRANB1	5695	0.399
ENSG00000020129	ENST00000373243	NCDN	3698	0.623
ENSG00000020181	ENST00000315215	ADGRA2	6270	0.624
ENSG00000020219	ENST00000465400	CCT8L1P	1674	0.571
ENSG00000020256	ENST00000361387	ZFP64	2545	0.556
ENSG00000020426	ENST00000261245	MNAT1	2648	0.366
ENSG00000020577	ENST00000392067	SAMD4A	6833	0.476
ENSG00000020633	ENST00000399916	RUNX3	4340	0.572
ENSG00000020922	ENST00000323929	MRE11A	6897	0.385
ENSG00000021300	ENST00000354190	PLEKHB1	1977	0.564
ENSG00000021355	ENST00000380739	SERPINB1	2476	0.434
ENSG00000021461	ENST00000481362	CYP3A43	1848	0.432
ENSG00000021488	ENST00000023064	SLC7A9	1766	0.527
ENSG00000021574	ENST00000615843	SPAST	5212	0.396
ENSG00000021645	ENST00000634499	NRXN3	6069	0.532
ENSG00000021762	ENST00000263650	OSBPL5	3854	0.634
ENSG00000021776	ENST00000156471	AQR	9597	0.401
ENSG00000021826	ENST00000233072	CPS1	5821	0.438
ENSG00000021852	ENST00000371237	C8B	2040	0.481
ENSG00000022267	ENST00000370683	FHL1	2565	0.458
ENSG00000022277	ENST00000357348	RTFDC1	2212	0.509
ENSG00000022355	ENST00000393943	GABRA1	4238	0.374
ENSG00000022556	ENST00000543010	NLRP2	3576	0.53
ENSG00000022567	ENST00000024061	SLC45A4	3546	0.6
ENSG00000022840	ENST00000325954	RNF10	3814	0.523
ENSG00000022976	ENST00000442396	ZNF839	2987	0.563
ENSG00000023041	ENST00000369405	ZDHHC6	2170	0.422
ENSG00000023171	ENST00000529750	GRAMD1B	7723	0.502
ENSG00000023191	ENST00000534797	RNH1	2973	0.636
ENSG00000023228	ENST00000233190	NDUFS1	11660	0.418
ENSG00000023287	ENST00000025008	RB1CC1	6636	0.376
ENSG00000023318	ENST00000262455	ERP44	4808	0.387
ENSG00000023330	ENST00000394965	ALAS1	2430	0.519
ENSG00000023445	ENST00000263464	BIRC3	6877	0.359
ENSG00000023516	ENST00000025301	AKAP11	9915	0.373
ENSG00000023572	ENST00000367440	GLRX2	1131	0.404
ENSG00000023608	ENST00000216294	SNAPC1	2593	0.368
ENSG00000023697	ENST00000428559	DERA	1644	0.417
ENSG00000023734	ENST00000419869	STRAP	1874	0.441
ENSG00000023839	ENST00000370449	ABCC2	5714	0.45
ENSG00000023892	ENST00000316637	DEF6	2296	0.608
ENSG00000023902	ENST00000369124	PLEKHO1	2114	0.601
ENSG00000023909	ENST00000370238	GCLM	4883	0.373
ENSG00000024048	ENST00000372899	UBR2	7857	0.419
ENSG00000024422	ENST00000263277	EHD2	3506	0.613
ENSG00000024526	ENST00000370966	DEPDC1	4586	0.353
ENSG00000024862	ENST00000617445	CCDC28A	1240	0.439
ENSG00000025039	ENST00000369415	RRAGD	4900	0.422
ENSG00000025156	ENST00000368455	HSF2	2549	0.409
ENSG00000025293	ENST00000374012	PHF20	5879	0.454
ENSG00000025423	ENST00000554643	HSD17B6	1751	0.467
ENSG00000025434	ENST00000467728	NR1H3	2731	0.554
ENSG00000025708	ENST00000487162	TYMP	2049	0.603
ENSG00000025770	ENST00000420993	NCAPH2	3337	0.613
ENSG00000025772	ENST00000372813	TOMM34	1973	0.523
ENSG00000025796	ENST00000369002	SEC63	6430	0.395
ENSG00000025800	ENST00000373625	KPNA6	7355	0.475
ENSG00000026025	ENST00000544301	VIM	2154	0.543
ENSG00000026036	ENST00000496281	RTEL1-TNFRSF6B	5843	0.653
ENSG00000026103	ENST00000355740	FAS	2605	0.405
ENSG00000026297	ENST00000508775	RNASET2	1375	0.598
ENSG00000026508	ENST00000428726	CD44	5732	0.453
ENSG00000026559	ENST00000371571	KCNG1	2189	0.661
ENSG00000026652	ENST00000320285	AGPAT4	7923	0.477
ENSG00000026751	ENST00000368043	SLAMF7	2707	0.462
ENSG00000026950	ENST00000289361	BTN3A1	3388	0.485
ENSG00000027001	ENST00000382172	MIPEP	2381	0.465
ENSG00000027075	ENST00000332981	PRKCH	3579	0.499
ENSG00000027644	ENST00000368195	INSRR	5200	0.612
ENSG00000027697	ENST00000367739	IFNGR1	2139	0.405
ENSG00000027847	ENST00000029410	B4GALT7	1698	0.619
ENSG00000027869	ENST00000368199	SH2D2A	1658	0.607
