Ensid	Enstxid	sym	Tx.len	GC
ENSMUSG00000000982	ENSMUST00000001008	Ccl3	766	0.462
ENSMUSG00000000983	ENSMUST00000139762	Wfdc18	917	0.465
ENSMUSG00000001014	ENSMUST00000215077	Icam4	1028	0.574
ENSMUSG00000001016	ENSMUST00000197644	Ilf2	3167	0.433
ENSMUSG00000001017	ENSMUST00000001043	Chtop	3257	0.456
ENSMUSG00000001018	ENSMUST00000149884	Snapin	1928	0.455
ENSMUSG00000001020	ENSMUST00000001046	S100a4	498	0.492
ENSMUSG00000001021	ENSMUST00000199225	S100a3	3143	0.484
ENSMUSG00000001023	ENSMUST00000107329	S100a5	431	0.485
ENSMUSG00000001025	ENSMUST00000200289	S100a6	783	0.52
ENSMUSG00000001027	ENSMUST00000021056	Scn4a	6598	0.546
ENSMUSG00000001029	ENSMUST00000001055	Icam2	1282	0.539
ENSMUSG00000001034	ENSMUST00000128478	Mapk7	4238	0.573
ENSMUSG00000001036	ENSMUST00000108712	Epn2	4458	0.515
ENSMUSG00000001039	ENSMUST00000138057	B9d1	890	0.514
ENSMUSG00000001052	ENSMUST00000001079	Sec24b	5128	0.501
ENSMUSG00000001053	ENSMUST00000001080	N4bp3	2367	0.612
ENSMUSG00000001054	ENSMUST00000001081	Rmnd5b	1946	0.57
ENSMUSG00000001056	ENSMUST00000127405	Nhp2	1042	0.541
ENSMUSG00000001062	ENSMUST00000149490	Vps9d1	3233	0.587
ENSMUSG00000001065	ENSMUST00000156896	Zfp276	4111	0.583
ENSMUSG00000001076	ENSMUST00000064462	C1ql4	1474	0.61
ENSMUSG00000001082	ENSMUST00000001109	Mfsd10	1907	0.593
ENSMUSG00000001089	ENSMUST00000170102	Luzp1	7526	0.479
ENSMUSG00000001095	ENSMUST00000001122	Slc13a2	2412	0.554
ENSMUSG00000001098	ENSMUST00000102581	Kctd10	3103	0.536
ENSMUSG00000001100	ENSMUST00000001127	Poldip2	2054	0.553
ENSMUSG00000001103	ENSMUST00000001130	Sebox	1351	0.529
ENSMUSG00000001105	ENSMUST00000137120	Ift20	1167	0.481
ENSMUSG00000001119	ENSMUST00000001147	Col6a1	4100	0.567
ENSMUSG00000001120	ENSMUST00000105411	Pcbp3	2544	0.553
ENSMUSG00000001123	ENSMUST00000108269	Lgals9	1586	0.519
ENSMUSG00000001127	ENSMUST00000122312	Araf	2854	0.455
ENSMUSG00000001128	ENSMUST00000001156	Cfp	1636	0.563
ENSMUSG00000001131	ENSMUST00000115342	Timp1	883	0.528
ENSMUSG00000001134	ENSMUST00000123836	Uxt	875	0.481
ENSMUSG00000001138	ENSMUST00000097776	Cnnm3	5292	0.566
ENSMUSG00000001143	ENSMUST00000134594	Lman2l	4062	0.472
ENSMUSG00000001150	ENSMUST00000170795	Mcm3ap	6427	0.535
ENSMUSG00000001151	ENSMUST00000217838	Pcnt	9341	0.554
ENSMUSG00000001155	ENSMUST00000137347	Ftcd	2914	0.55
ENSMUSG00000001156	ENSMUST00000001184	Mxd1	4666	0.505
ENSMUSG00000001157	ENSMUST00000001185	Gmcl1	2949	0.452
ENSMUSG00000001158	ENSMUST00000113683	Snrnp27	1005	0.476
ENSMUSG00000001166	ENSMUST00000117193	Oas1c	2291	0.508
ENSMUSG00000001168	ENSMUST00000072476	Oas1h	1703	0.495
ENSMUSG00000001173	ENSMUST00000001202	Ocrl	5253	0.464
ENSMUSG00000001175	ENSMUST00000110082	Calm1	4115	0.454
ENSMUSG00000001211	ENSMUST00000001240	Agpat3	5980	0.541
ENSMUSG00000001225	ENSMUST00000165816	Slc26a3	3462	0.447
ENSMUSG00000001227	ENSMUST00000001256	Sema6b	3736	0.635
ENSMUSG00000001228	ENSMUST00000001258	Uhrf1	3586	0.536
ENSMUSG00000001229	ENSMUST00000223616	Dpp9	5366	0.557
ENSMUSG00000001240	ENSMUST00000128260	Ramp2	1478	0.567
ENSMUSG00000001247	ENSMUST00000001279	Lsr	2167	0.584
ENSMUSG00000001248	ENSMUST00000188032	Gramd1a	3810	0.557
ENSMUSG00000001249	ENSMUST00000165124	Hpn	1861	0.592
ENSMUSG00000001260	ENSMUST00000031119	Gabrg1	4771	0.353
ENSMUSG00000001270	ENSMUST00000222705	Ckb	2839	0.617
ENSMUSG00000001280	ENSMUST00000001326	Sp1	7754	0.436
ENSMUSG00000001281	ENSMUST00000001327	Itgb7	2683	0.581
ENSMUSG00000001285	ENSMUST00000113682	Myg1	1480	0.542
ENSMUSG00000001288	ENSMUST00000043172	Rarg	2953	0.587
ENSMUSG00000001289	ENSMUST00000166658	Pfdn5	1062	0.545
ENSMUSG00000001300	ENSMUST00000001319	Efnb2	4793	0.505
ENSMUSG00000001305	ENSMUST00000162336	Rrp15	3092	0.476
ENSMUSG00000001313	ENSMUST00000153185	Rnd2	1578	0.576
ENSMUSG00000001323	ENSMUST00000065211	Srr	3699	0.466
ENSMUSG00000001333	ENSMUST00000146448	Sync	2330	0.542
ENSMUSG00000001334	ENSMUST00000102600	Fndc5	2763	0.535
ENSMUSG00000001348	ENSMUST00000217643	Acp5	1447	0.559
ENSMUSG00000001349	ENSMUST00000001384	Cnn1	2381	0.514
ENSMUSG00000001366	ENSMUST00000085311	Fbxo9	2155	0.52
ENSMUSG00000001376	ENSMUST00000184461	Vps50	5361	0.4
ENSMUSG00000001380	ENSMUST00000001416	Hars	1987	0.505
ENSMUSG00000001383	ENSMUST00000001419	Zmat2	2257	0.463
ENSMUSG00000001403	ENSMUST00000001439	Ube2c	2191	0.555
ENSMUSG00000001415	ENSMUST00000001451	Smg5	4448	0.565
ENSMUSG00000001416	ENSMUST00000167000	Cct3	3335	0.467
ENSMUSG00000001418	ENSMUST00000193646	Glmp	4457	0.527
ENSMUSG00000001419	ENSMUST00000001455	Mef2d	5401	0.55
ENSMUSG00000001420	ENSMUST00000001456	Tmem79	2406	0.568
ENSMUSG00000001424	ENSMUST00000167201	Snd1	3781	0.491
ENSMUSG00000001435	ENSMUST00000072755	Col18a1	5595	0.608
ENSMUSG00000001436	ENSMUST00000136925	Slc19a1	2863	0.545
ENSMUSG00000001440	ENSMUST00000001479	Kpnb1	5894	0.478
ENSMUSG00000001441	ENSMUST00000001480	Npepps	4215	0.48
ENSMUSG00000001444	ENSMUST00000001484	Tbx21	2488	0.593
ENSMUSG00000001445	ENSMUST00000001485	Mrpl10	1708	0.525
ENSMUSG00000001467	ENSMUST00000001507	Cyp51	3931	0.462
ENSMUSG00000001472	ENSMUST00000211932	Tcf25	5002	0.536
ENSMUSG00000001473	ENSMUST00000001513	Tubb6	1757	0.566
ENSMUSG00000001482	ENSMUST00000108832	Def8	3242	0.548
ENSMUSG00000001493	ENSMUST00000057054	Meox1	2228	0.525
ENSMUSG00000001494	ENSMUST00000001534	Sost	2066	0.571
ENSMUSG00000001496	ENSMUST00000001536	Nkx2-1	2809	0.569
ENSMUSG00000001497	ENSMUST00000153250	Pax9	4232	0.467
ENSMUSG00000001504	ENSMUST00000074372	Irx2	2625	0.569
ENSMUSG00000001506	ENSMUST00000001547	Col1a1	5930	0.589
ENSMUSG00000001507	ENSMUST00000001548	Itga3	4861	0.579
ENSMUSG00000001508	ENSMUST00000103162	Sgca	1724	0.566
ENSMUSG00000001510	ENSMUST00000092768	Dlx3	2607	0.562
ENSMUSG00000001517	ENSMUST00000073316	Foxm1	4652	0.546
ENSMUSG00000001518	ENSMUST00000142615	Itfg2	3191	0.537
ENSMUSG00000001520	ENSMUST00000136631	Nrip2	3261	0.517
ENSMUSG00000001521	ENSMUST00000203625	Tulp3	3623	0.462
ENSMUSG00000001524	ENSMUST00000001565	Gtf2h4	1679	0.563
ENSMUSG00000001525	ENSMUST00000001566	Tubb5	2649	0.52
ENSMUSG00000001542	ENSMUST00000221979	Ell2	5126	0.402
ENSMUSG00000001552	ENSMUST00000001592	Jup	3205	0.588
ENSMUSG00000001555	ENSMUST00000001595	Fkbp10	2584	0.575
ENSMUSG00000001558	ENSMUST00000001599	Klhl10	2017	0.495
ENSMUSG00000001566	ENSMUST00000165512	Mnx1	2245	0.587
ENSMUSG00000001569	ENSMUST00000001611	Nom1	9219	0.469
ENSMUSG00000001576	ENSMUST00000165802	Ergic1	3195	0.525
ENSMUSG00000001583	ENSMUST00000001626	Tnk1	2778	0.569
ENSMUSG00000001588	ENSMUST00000127238	Acap1	2973	0.532
ENSMUSG00000001604	ENSMUST00000102533	Tcea3	1251	0.545
ENSMUSG00000001622	ENSMUST00000144929	Csn3	1750	0.351
ENSMUSG00000001627	ENSMUST00000001672	Ifrd1	3378	0.442
ENSMUSG00000001630	ENSMUST00000001675	Stk38l	4550	0.443
ENSMUSG00000001632	ENSMUST00000113119	Brpf1	4826	0.554
ENSMUSG00000001642	ENSMUST00000201392	Akr1b3	5024	0.486
ENSMUSG00000001655	ENSMUST00000001700	Hoxc13	2461	0.541
ENSMUSG00000001656	ENSMUST00000001701	Hoxc11	2021	0.556
ENSMUSG00000001657	ENSMUST00000189484	Hoxc8	2223	0.453
ENSMUSG00000001661	ENSMUST00000001711	Hoxc6	1581	0.523
ENSMUSG00000001663	ENSMUST00000120177	Gstt1	1105	0.549
ENSMUSG00000001665	ENSMUST00000218091	Gstt3	1985	0.523
ENSMUSG00000001666	ENSMUST00000001716	Ddt	649	0.552
ENSMUSG00000001670	ENSMUST00000001720	Tat	2375	0.495
ENSMUSG00000001672	ENSMUST00000051430	Marveld3	2447	0.526
ENSMUSG00000001674	ENSMUST00000001724	Ddx18	2258	0.48
ENSMUSG00000001687	ENSMUST00000201597	Ubl3	6113	0.45
ENSMUSG00000001700	ENSMUST00000070166	Gramd3	2605	0.48
ENSMUSG00000001707	ENSMUST00000001757	Eef1e1	2553	0.441
ENSMUSG00000001729	ENSMUST00000001780	Akt1	2690	0.598
ENSMUSG00000001739	ENSMUST00000111093	Cldn15	1902	0.541
ENSMUSG00000001741	ENSMUST00000001792	Il16	5260	0.532
ENSMUSG00000001750	ENSMUST00000126070	Tcirg1	3041	0.586
ENSMUSG00000001751	ENSMUST00000001802	Naglu	2560	0.598
ENSMUSG00000001755	ENSMUST00000107308	Coasy	2386	0.57
ENSMUSG00000001761	ENSMUST00000001812	Smo	3779	0.578
ENSMUSG00000001763	ENSMUST00000137925	Tspan33	3558	0.45
ENSMUSG00000001767	ENSMUST00000001818	Crnkl1	3428	0.448
ENSMUSG00000001768	ENSMUST00000147976	Rin2	4657	0.49
ENSMUSG00000001773	ENSMUST00000001824	Folh1	3125	0.401
ENSMUSG00000001774	ENSMUST00000001825	Chordc1	5789	0.357
ENSMUSG00000001783	ENSMUST00000001834	Rtcb	2009	0.514
ENSMUSG00000001785	ENSMUST00000001836	Pwp1	2572	0.468
ENSMUSG00000001786	ENSMUST00000130320	Fbxo7	5388	0.465
ENSMUSG00000001794	ENSMUST00000001845	Capns1	1600	0.573
ENSMUSG00000001802	ENSMUST00000122409	Lrp3	4147	0.629
ENSMUSG00000001804	ENSMUST00000019426	Dsg4	3478	0.473
ENSMUSG00000001815	ENSMUST00000001867	Evx2	4191	0.516
ENSMUSG00000001819	ENSMUST00000001872	Hoxd13	2483	0.474
ENSMUSG00000001823	ENSMUST00000001878	Hoxd12	2534	0.537
ENSMUSG00000001827	ENSMUST00000106985	Folr1	1313	0.544
ENSMUSG00000001829	ENSMUST00000001884	Clpb	4627	0.522
ENSMUSG00000001833	ENSMUST00000217598	Sept7	4569	0.357
ENSMUSG00000001844	ENSMUST00000001900	Zdhhc4	1364	0.541
ENSMUSG00000001847	ENSMUST00000080537	Rac1	4159	0.483
ENSMUSG00000001855	ENSMUST00000065398	Nup214	6605	0.538
ENSMUSG00000001864	ENSMUST00000001920	Aif1l	3117	0.518
ENSMUSG00000001865	ENSMUST00000001921	Cpa3	1449	0.413
ENSMUSG00000001870	ENSMUST00000001927	Ltbp1	6671	0.527
ENSMUSG00000001891	ENSMUST00000102875	Ugp2	2683	0.39
ENSMUSG00000001901	ENSMUST00000001965	Kcnh6	3368	0.574
ENSMUSG00000001909	ENSMUST00000137953	Trmt1	3647	0.525
ENSMUSG00000001910	ENSMUST00000001975	Nacc1	4300	0.577
ENSMUSG00000001911	ENSMUST00000109764	Nfix	5476	0.571
ENSMUSG00000001918	ENSMUST00000127401	Slc1a5	2807	0.567
ENSMUSG00000001924	ENSMUST00000001989	Uba1	4071	0.521
ENSMUSG00000001930	ENSMUST00000112254	Vwf	8834	0.566
ENSMUSG00000001942	ENSMUST00000215474	Siae	4947	0.463
ENSMUSG00000001943	ENSMUST00000002008	Vsig2	1166	0.561
ENSMUSG00000001946	ENSMUST00000002011	Esam	1865	0.536
ENSMUSG00000001948	ENSMUST00000214786	Spa17	730	0.508
ENSMUSG00000001962	ENSMUST00000138242	Fam50a	1918	0.526
ENSMUSG00000001964	ENSMUST00000002029	Emd	1595	0.534
ENSMUSG00000001983	ENSMUST00000002048	Taco1	1383	0.534
ENSMUSG00000001985	ENSMUST00000030676	Grik3	8973	0.542
ENSMUSG00000001986	ENSMUST00000148212	Gria3	5206	0.398
ENSMUSG00000001988	ENSMUST00000211103	Npas1	2747	0.618
ENSMUSG00000001995	ENSMUST00000212987	Sipa1l2	6690	0.552
ENSMUSG00000001998	ENSMUST00000002063	Ap4e1	4600	0.428
ENSMUSG00000001999	ENSMUST00000142861	Blvra	1460	0.446
ENSMUSG00000002006	ENSMUST00000002080	Pdzd4	3970	0.58
ENSMUSG00000002007	ENSMUST00000136664	Srpk3	2711	0.54
ENSMUSG00000002010	ENSMUST00000156299	Idh3g	2080	0.505
ENSMUSG00000002012	ENSMUST00000002087	Pnck	1536	0.556
ENSMUSG00000002014	ENSMUST00000141721	Ssr4	2568	0.517
ENSMUSG00000002015	ENSMUST00000002091	Bcap31	1219	0.476
ENSMUSG00000002017	ENSMUST00000112507	Fam98a	2817	0.472
ENSMUSG00000002020	ENSMUST00000002073	Ltbp2	6769	0.584
ENSMUSG00000002028	ENSMUST00000114689	Kmt2a	16470	0.506
ENSMUSG00000002031	ENSMUST00000002099	Ift46	4169	0.505
ENSMUSG00000002032	ENSMUST00000132020	Tmem25	2837	0.556
ENSMUSG00000002033	ENSMUST00000159019	Cd3g	2539	0.384
ENSMUSG00000002043	ENSMUST00000129808	Trappc6a	955	0.623
ENSMUSG00000002052	ENSMUST00000002121	Supt6	6488	0.526
ENSMUSG00000002055	ENSMUST00000045026	Spag5	3887	0.511
ENSMUSG00000002057	ENSMUST00000108294	Foxn1	3214	0.565
ENSMUSG00000002058	ENSMUST00000108295	Unc119	1371	0.597
ENSMUSG00000002059	ENSMUST00000108322	Rab34	1685	0.594
ENSMUSG00000002064	ENSMUST00000002133	Sdf2	1268	0.515
ENSMUSG00000002068	ENSMUST00000108023	Ccne1	2000	0.527
ENSMUSG00000002076	ENSMUST00000002145	Hsf2bp	2867	0.483
ENSMUSG00000002083	ENSMUST00000002152	Bbc3	1814	0.652
ENSMUSG00000002100	ENSMUST00000169776	Mybpc3	4163	0.566
ENSMUSG00000002102	ENSMUST00000002171	Psmc3	1819	0.551
ENSMUSG00000002103	ENSMUST00000002172	Acp2	4656	0.471
ENSMUSG00000002104	ENSMUST00000050323	Rapsn	1606	0.586
ENSMUSG00000002105	ENSMUST00000073575	Slc39a13	2469	0.597
ENSMUSG00000002107	ENSMUST00000170438	Celf2	8856	0.421
ENSMUSG00000002108	ENSMUST00000150654	Nr1h3	1985	0.568
ENSMUSG00000002109	ENSMUST00000152277	Ddb2	2297	0.45
ENSMUSG00000002111	ENSMUST00000002180	Spi1	2034	0.589
ENSMUSG00000002129	ENSMUST00000002198	Sf3a1	4920	0.5
ENSMUSG00000002147	ENSMUST00000092074	Stat6	3775	0.536
ENSMUSG00000002190	ENSMUST00000002259	Clgn	3902	0.442
ENSMUSG00000002204	ENSMUST00000002274	Napsa	1560	0.55
ENSMUSG00000002205	ENSMUST00000208083	Vrk3	4652	0.491
