id	sym	MYC_GFP_untreated_rep1	MYC_GFP_untreated_rep2	MYC_GFP_untreated_rep3	MYC_GFP_NCS_rep1	MYC_GFP_NCS_rep2	MYC_GFP_NCS_rep3
ENSG00000007516	BAIAP3	12	3	16	10	15	4
ENSG00000007520	TSR3	414	307	559	208	179	358
ENSG00000007541	PIGQ	112	77	136	42	61	60
ENSG00000007545	CRAMP1L	102	84	132	93	69	55
ENSG00000007866	TEAD3	89	64	142	55	65	48
ENSG00000007908	SELE	37	31	21	19	27	13
ENSG00000007923	DNAJC11	253	135	243	148	154	165
ENSG00000007933	FMO3	0	0	0	0	1	0
ENSG00000007944	MYLIP	2427	2677	3022	1734	1626	2046
ENSG00000007952	NOX1	2	4	1	0	1	0
ENSG00000007968	E2F2	181	206	241	146	148	132
ENSG00000008018	PSMB1	2893	3173	3690	2209	2387	3219
ENSG00000008056	SYN1	2	0	0	0	4	0
ENSG00000008083	JARID2	837	781	713	873	768	727
ENSG00000008086	CDKL5	75	67	71	100	109	107
ENSG00000008128	CDK11A	22	13	17	7	12	9
ENSG00000008130	NADK	69	69	168	61	73	60
ENSG00000008196	TFAP2B	0	2	0	0	0	0
ENSG00000008226	DLEC1	0	0	0	6	5	3
ENSG00000008256	CYTH3	147	121	175	112	112	86
ENSG00000008277	ADAM22	33	33	24	65	47	26
ENSG00000008282	SYPL1	3338	3493	3735	2524	2483	2768
ENSG00000008283	CYB561	1272	1196	2434	781	877	976
ENSG00000008294	SPAG9	1035	800	668	1107	1100	636
ENSG00000008300	CELSR3	6	2	13	14	7	10
ENSG00000008311	AASS	0	0	0	2	3	0
ENSG00000008323	PLEKHG6	65	44	90	68	80	28
ENSG00000008324	SS18L2	695	1059	1071	554	512	703
ENSG00000008382	MPND	17	12	12	7	13	15
ENSG00000008394	MGST1	3587	3879	3799	2543	2424	3188
ENSG00000008405	CRY1	327	172	263	157	208	142
ENSG00000008438	PGLYRP1	0	0	0	0	1	0
ENSG00000008441	NFIX	6	3	1	7	5	5
ENSG00000008513	ST3GAL1	5433	4979	8212	4147	3694	4120
ENSG00000008516	MMP25	21	10	19	9	8	12
ENSG00000008517	IL32	1	1	3	0	0	0
ENSG00000008710	PKD1	139	98	123	91	57	80
ENSG00000008735	MAPK8IP2	1	2	1	0	1	3
ENSG00000008838	MED24	116	47	140	70	95	79
ENSG00000008853	RHOBTB2	134	102	139	108	100	62
ENSG00000008869	HEATR5B	317	242	197	269	292	203
ENSG00000008952	SEC62	1559	1776	2219	1463	1233	1257
ENSG00000008988	RPS20	1042	1211	1123	859	933	1226
ENSG00000009307	CSDE1	8181	6803	7746	7329	8339	5668
ENSG00000009335	UBE3C	687	630	695	685	720	503
ENSG00000009413	REV3L	1291	1297	886	2361	2422	1470
ENSG00000009694	TENM1	2	1	0	2	3	1
ENSG00000009724	MASP2	10	2	1	7	22	5
ENSG00000009765	IYD	5	1	1	5	0	6
ENSG00000009780	FAM76A	192	246	247	207	210	202
ENSG00000009790	TRAF3IP3	0	8	3	5	9	1
ENSG00000009830	POMT2	111	59	146	68	74	68
ENSG00000009844	VTA1	2737	2872	3738	2273	2295	2182
ENSG00000009950	MLXIPL	45	25	42	32	34	34
ENSG00000009954	BAZ1B	2843	2169	1914	2474	2253	1651
ENSG00000010017	RANBP9	303	370	317	374	306	261
ENSG00000010030	ETV7	9	25	44	8	7	16
ENSG00000010072	SPRTN	438	433	536	421	408	327
ENSG00000010165	METTL13	503	474	710	362	419	350
ENSG00000010219	DYRK4	74	68	79	40	58	57
ENSG00000010244	ZNF207	1299	1369	1178	1115	1120	1012
ENSG00000010256	UQCRC1	574	429	908	275	276	509
ENSG00000010270	STARD3NL	207	218	270	167	146	156
ENSG00000010278	CD9	2479	2437	2888	1193	1300	1773
ENSG00000010292	NCAPD2	505	361	410	483	515	288
ENSG00000010295	IFFO1	10	4	11	8	8	10
ENSG00000010310	GIPR	6	3	18	10	10	12
ENSG00000010318	PHF7	36	24	15	27	29	24
ENSG00000010319	SEMA3G	0	1	0	0	0	0
ENSG00000010322	NISCH	131	52	108	76	69	77
ENSG00000010327	STAB1	0	0	0	0	2	0
ENSG00000010361	FUZ	9	5	46	4	8	15
ENSG00000010379	SLC6A13	0	0	0	0	1	0
ENSG00000010404	IDS	295	271	314	351	309	286
ENSG00000010539	ZNF200	719	677	753	523	438	499
ENSG00000010626	LRRC23	24	22	33	19	25	41
ENSG00000010671	BTK	0	4	3	2	4	4
ENSG00000010704	HFE	23	17	11	9	22	18
ENSG00000010803	SCMH1	143	105	148	86	115	116
ENSG00000010810	FYN	44	29	35	31	24	35
ENSG00000010818	HIVEP2	531	362	169	458	639	331
ENSG00000010932	FMO1	3	1	4	7	1	3
ENSG00000011007	TCEB3	1644	1637	1745	1112	1051	1196
ENSG00000011009	LYPLA2	114	79	250	58	53	63
ENSG00000011021	CLCN6	173	117	121	110	149	117
ENSG00000011028	MRC2	18	12	22	10	12	16
ENSG00000011052	NME2	5	2	5	5	6	6
ENSG00000011105	TSPAN9	22	25	57	22	37	19
ENSG00000011114	BTBD7	1408	1281	1280	1354	1245	1053
ENSG00000011132	APBA3	38	8	33	19	18	26
ENSG00000011143	MKS1	248	207	272	230	201	192
ENSG00000011198	ABHD5	193	216	250	163	122	191
ENSG00000011201	ANOS1	151	121	101	144	166	99
ENSG00000011243	AKAP8L	239	122	251	115	116	146
ENSG00000011258	MBTD1	754	636	459	772	827	436
ENSG00000011260	UTP18	1553	1269	2000	892	841	789
ENSG00000011275	RNF216	703	414	449	476	561	398
ENSG00000011295	TTC19	1037	818	1173	676	782	681
ENSG00000011304	PTBP1	955	997	1092	835	751	768
ENSG00000011332	DPF1	11	8	21	7	4	11
ENSG00000011347	SYT7	65	57	89	26	37	48
ENSG00000011376	LARS2	150	102	141	140	158	88
ENSG00000011405	PIK3C2A	925	820	458	956	1032	668
ENSG00000011422	PLAUR	49	29	59	41	24	58
ENSG00000011426	ANLN	1700	1054	790	1067	1118	615
ENSG00000011451	WIZ	44	26	76	46	42	44
ENSG00000011454	RABGAP1	1142	723	582	1082	1080	685
ENSG00000011478	QPCTL	39	38	54	37	41	50
ENSG00000011485	PPP5C	206	163	356	159	185	203
ENSG00000011523	CEP68	222	212	317	179	268	133
ENSG00000011566	MAP4K3	700	550	489	663	713	475
ENSG00000011590	ZBTB32	2	4	0	0	2	0
ENSG00000011638	TMEM159	453	403	384	339	351	371
ENSG00000012048	BRCA1	534	479	406	506	525	372
ENSG00000012061	ERCC1	82	89	94	58	65	83
ENSG00000012124	CD22	47	27	22	31	28	8
ENSG00000012171	SEMA3B	79	38	104	47	44	44
ENSG00000012174	MBTPS2	467	330	337	465	541	291
ENSG00000012211	PRICKLE3	125	54	81	67	74	77
ENSG00000012232	EXTL3	84	64	81	62	67	62
ENSG00000012660	ELOVL5	654	672	552	484	465	478
ENSG00000012779	ALOX5	24	27	33	43	44	32
ENSG00000012822	CALCOCO1	29	29	66	38	39	48
ENSG00000012963	UBR7	683	657	770	453	432	447
ENSG00000012983	MAP4K5	951	738	720	791	823	618
ENSG00000013016	EHD3	66	45	69	35	36	33
ENSG00000013275	PSMC4	570	477	804	335	444	560
ENSG00000013288	MAN2B2	85	63	87	57	75	76
ENSG00000013297	CLDN11	1	0	1	2	1	3
ENSG00000013306	SLC25A39	1708	993	2787	736	828	1186
ENSG00000013364	MVP	39	26	60	14	25	27
ENSG00000013374	NUB1	250	271	237	276	261	253
ENSG00000013375	PGM3	413	410	307	377	370	344
ENSG00000013392	RWDD2A	228	217	250	172	185	193
ENSG00000013441	CLK1	1231	1436	1721	1318	1317	1392
ENSG00000013503	POLR3B	492	429	300	454	448	350
ENSG00000013523	ANGEL1	271	203	388	197	214	211
ENSG00000013561	RNF14	631	626	787	564	571	520
ENSG00000013563	DNASE1L1	36	18	52	13	16	13
ENSG00000013573	DDX11	314	156	323	206	236	177
ENSG00000013583	HEBP1	203	173	213	131	107	174
ENSG00000013588	GPRC5A	4518	3976	3946	3569	4032	3783
ENSG00000013619	MAMLD1	45	21	20	18	15	13
ENSG00000013810	TACC3	398	279	533	176	165	182
ENSG00000014123	UFL1	854	801	615	1046	905	683
ENSG00000014138	POLA2	441	344	344	339	372	335
ENSG00000014164	ZC3H3	105	92	177	71	92	68
ENSG00000014216	CAPN1	442	341	724	295	345	400
ENSG00000014257	ACPP	14	12	16	18	19	9
ENSG00000014641	MDH1	1736	1570	1762	1273	1193	1460
ENSG00000014824	SLC30A9	351	211	255	243	310	210
ENSG00000014914	MTMR11	61	87	90	82	69	61
ENSG00000014919	COX15	484	373	378	343	383	334
ENSG00000015133	CCDC88C	376	315	417	260	302	241
ENSG00000015153	YAF2	329	385	367	291	316	267
ENSG00000015171	ZMYND11	853	705	567	774	748	581
ENSG00000015285	WAS	4	0	6	0	3	7
ENSG00000015475	BID	1131	1055	1478	705	690	841
ENSG00000015479	MATR3	98	66	33	132	154	69
ENSG00000015520	NPC1L1	0	2	2	0	0	0
ENSG00000015532	XYLT2	140	102	189	73	84	99
ENSG00000015568	RGPD5	47	43	7	55	59	41
ENSG00000015676	NUDCD3	405	231	368	318	362	243
ENSG00000016082	ISL1	5	18	10	5	6	3
ENSG00000016391	CHDH	210	182	229	112	102	147
ENSG00000016402	IL20RA	0	2	0	3	0	5
ENSG00000016864	GLT8D1	231	195	236	157	161	178
ENSG00000017260	ATP2C1	270	224	161	256	246	164
ENSG00000017427	IGF1	0	0	0	0	0	0
ENSG00000017483	SLC38A5	0	1	0	0	0	1
ENSG00000017797	RALBP1	753	838	1225	668	523	645
ENSG00000018189	RUFY3	270	200	158	208	238	155
ENSG00000018280	SLC11A1	10	7	14	9	3	7
ENSG00000018408	WWTR1	350	342	283	306	293	214
ENSG00000018510	AGPS	0	0	0	0	0	0
ENSG00000018610	CXorf56	97	156	121	113	101	105
ENSG00000018625	ATP1A2	0	0	0	0	1	0
ENSG00000018699	TTC27	365	247	212	230	279	193
ENSG00000019102	VSIG2	57	32	42	29	43	58
ENSG00000019144	PHLDB1	18	21	9	11	15	21
ENSG00000019186	CYP24A1	0	0	12	4	2	0
ENSG00000019485	PRDM11	31	31	18	41	26	33
ENSG00000019505	SYT13	0	0	0	0	2	0
ENSG00000019549	SNAI2	23	17	22	8	9	14
ENSG00000019582	CD74	1	0	0	0	2	1
ENSG00000019991	HGF	0	0	0	1	1	0
ENSG00000019995	ZRANB1	262	246	159	274	268	196
ENSG00000020129	NCDN	210	132	331	93	111	152
ENSG00000020181	ADGRA2	1	0	6	1	1	2
ENSG00000020219	CCT8L1P	0	0	1	3	5	1
ENSG00000020256	ZFP64	220	158	142	171	141	109
ENSG00000020426	MNAT1	637	657	676	538	440	507
ENSG00000020577	SAMD4A	565	499	464	791	788	502
ENSG00000020922	MRE11A	290	216	134	256	286	208
ENSG00000021300	PLEKHB1	18	6	20	1	6	17
ENSG00000021355	SERPINB1	378	340	288	340	274	314
ENSG00000021461	CYP3A43	0	0	0	1	1	0
ENSG00000021488	SLC7A9	1	0	0	2	0	0
ENSG00000021574	SPAST	405	407	253	355	343	242
ENSG00000021645	NRXN3	1	0	0	1	0	1
ENSG00000021762	OSBPL5	47	29	40	13	18	39
ENSG00000021776	AQR	516	425	389	477	605	348
ENSG00000021826	CPS1	0	0	0	0	0	0
ENSG00000022267	FHL1	83	96	92	60	62	44
ENSG00000022277	RTFDC1	635	485	908	396	420	531
ENSG00000022567	SLC45A4	79	66	86	40	48	54
ENSG00000022840	RNF10	809	550	862	556	591	500
ENSG00000022976	ZNF839	100	54	63	90	87	49
ENSG00000023041	ZDHHC6	442	396	494	408	389	398
ENSG00000023171	GRAMD1B	1	0	0	0	0	0
ENSG00000023191	RNH1	457	290	784	213	174	296
ENSG00000023228	NDUFS1	381	296	274	342	311	260
ENSG00000023287	RB1CC1	300	282	282	399	343	229
ENSG00000023318	ERP44	785	741	798	595	628	636
ENSG00000023330	ALAS1	272	240	341	248	186	262
ENSG00000023445	BIRC3	122	82	150	206	210	174
ENSG00000023516	AKAP11	686	585	306	768	796	426
ENSG00000023572	GLRX2	751	732	862	575	544	631
ENSG00000023608	SNAPC1	369	540	725	293	230	314
ENSG00000023697	DERA	274	270	302	208	208	277
ENSG00000023734	STRAP	2060	2360	2727	1550	1579	1880
ENSG00000023839	ABCC2	6	6	3	13	8	12
ENSG00000023892	DEF6	27	3	15	3	8	11
ENSG00000023902	PLEKHO1	96	74	154	43	65	56
ENSG00000023909	GCLM	723	858	803	791	712	750
ENSG00000024048	UBR2	570	391	336	427	608	390
ENSG00000024422	EHD2	43	28	50	43	34	35
ENSG00000024526	DEPDC1	613	715	704	362	302	302
ENSG00000024862	CCDC28A	176	208	185	134	128	202
ENSG00000025039	RRAGD	16	25	44	38	21	36
ENSG00000025156	HSF2	382	451	432	319	355	275
ENSG00000025293	PHF20	608	677	962	536	467	572
ENSG00000025423	HSD17B6	9	17	22	5	11	9
ENSG00000025434	NR1H3	36	37	51	45	26	39
ENSG00000025708	TYMP	48	62	70	40	33	34
ENSG00000025770	NCAPH2	121	90	189	92	103	96
ENSG00000025772	TOMM34	620	542	747	349	409	463
ENSG00000025796	SEC63	1153	1166	1395	857	810	788
ENSG00000025800	KPNA6	889	962	972	730	650	780
ENSG00000026025	VIM	0	1	3	0	0	1
ENSG00000026036	RTEL1-TNFRSF6B	7	5	7	6	3	6
ENSG00000026103	FAS	78	35	39	845	814	644
ENSG00000026297	RNASET2	145	96	176	81	75	90
ENSG00000026508	CD44	50	25	31	46	52	34
ENSG00000026559	KCNG1	22	14	42	11	20	12
ENSG00000026652	AGPAT4	3	5	1	14	13	8
ENSG00000026950	BTN3A1	1	1	0	4	0	0
ENSG00000027001	MIPEP	251	167	144	151	176	116
ENSG00000027075	PRKCH	944	767	708	690	646	548
ENSG00000027644	INSRR	0	0	0	0	1	0
ENSG00000027697	IFNGR1	1886	1488	2300	1505	1763	1606
ENSG00000027847	B4GALT7	143	86	192	69	68	98
ENSG00000027869	SH2D2A	1	0	3	2	1	0
ENSG00000028116	VRK2	282	205	292	232	275	240
ENSG00000028137	TNFRSF1B	0	0	0	1	2	0
ENSG00000028203	VEZT	882	755	759	723	802	552
ENSG00000028277	POU2F2	0	0	2	1	2	4
ENSG00000028310	BRD9	322	231	360	287	239	210
ENSG00000028528	SNX1	378	259	371	295	317	308
ENSG00000028839	TBPL1	450	458	783	417	430	315
ENSG00000029153	ARNTL2	205	163	178	173	155	110
ENSG00000029363	BCLAF1	6272	4961	3433	5941	5999	3938
ENSG00000029364	SLC39A9	1046	1114	1077	939	1075	845
ENSG00000029534	ANK1	14	2	11	27	39	41
ENSG00000029559	IBSP	7	6	3	8	3	1
ENSG00000029639	TFB1M	225	131	219	152	189	139
ENSG00000029725	RABEP1	485	463	395	437	366	328
ENSG00000029993	HMGB3	2027	2154	3089	1563	1525	1661
ENSG00000030066	NUP160	900	763	690	844	789	708
ENSG00000030110	BAK1	106	133	249	100	89	142
ENSG00000030304	MUSK	1	0	0	0	0	0
ENSG00000030419	IKZF2	341	385	165	311	341	225
ENSG00000030582	GRN	403	333	682	206	243	401
ENSG00000031003	FAM13B	428	326	225	386	346	245
ENSG00000031081	ARHGAP31	4	2	1	8	8	0
ENSG00000031691	CENPQ	662	989	877	535	527	658
ENSG00000031698	SARS	1033	917	1346	807	793	924
ENSG00000031823	RANBP3	84	68	95	99	94	81
ENSG00000032219	ARID4A	1543	1761	2008	1449	1418	1399
ENSG00000032389	TSSC1	384	312	446	237	225	280
ENSG00000032444	PNPLA6	16	10	3	13	17	17
ENSG00000032742	IFT88	252	223	115	189	211	184
ENSG00000033011	ALG1	220	173	292	114	121	148
ENSG00000033030	ZCCHC8	479	408	475	479	439	324
ENSG00000033050	ABCF2	492	418	777	349	353	302
ENSG00000033100	CHPF2	213	146	192	157	154	128
ENSG00000033122	LRRC7	12	8	15	26	29	9
ENSG00000033170	FUT8	1422	1297	1204	1431	1450	1013
ENSG00000033178	UBA6	600	393	336	549	590	415
ENSG00000033327	GAB2	86	70	85	58	93	64
ENSG00000033627	ATP6V0A1	165	137	127	190	251	168
ENSG00000033800	PIAS1	2001	1970	2137	1623	1564	1508
ENSG00000033867	SLC4A7	458	539	390	454	450	304
ENSG00000034053	APBA2	0	0	2	0	0	0
ENSG00000034152	MAP2K3	326	279	564	257	264	269
ENSG00000034510	TMSB10	911	874	1278	565	599	848
ENSG00000034533	ASTE1	685	570	631	441	513	527
ENSG00000034677	RNF19A	1752	1562	1129	1623	1900	1313
ENSG00000034693	PEX3	466	325	447	246	286	321
ENSG00000034713	GABARAPL2	984	1297	1267	839	894	1145
ENSG00000035115	SH3YL1	663	578	589	636	631	511
ENSG00000035141	FAM136A	1491	1418	2018	851	752	1084
ENSG00000035403	VCL	592	471	423	644	713	453
ENSG00000035499	DEPDC1B	435	302	297	376	314	247
ENSG00000035664	DAPK2	108	79	95	99	108	69
ENSG00000035681	NSMAF	296	246	205	268	288	199
ENSG00000035687	ADSS	460	423	446	312	347	277
ENSG00000035720	STAP1	0	0	0	0	0	0
ENSG00000035862	TIMP2	113	138	108	91	74	104
ENSG00000035928	RFC1	696	776	625	711	649	601
ENSG00000036054	TBC1D23	389	299	367	375	429	288
ENSG00000036257	CUL3	799	762	669	730	628	603
ENSG00000036448	MYOM2	0	0	0	0	0	0
ENSG00000036530	CYP46A1	4	2	8	6	7	9
ENSG00000036549	ZZZ3	1282	1244	798	1074	1225	905
ENSG00000036672	USP2	17	20	22	18	17	7
ENSG00000037042	TUBG2	91	53	127	42	70	54
ENSG00000037241	RPL26L1	1177	1138	1534	757	784	1051
ENSG00000037280	FLT4	14	14	28	7	6	15
ENSG00000037474	NSUN2	1132	734	1189	636	702	562
ENSG00000037637	FBXO42	323	343	397	243	335	271
ENSG00000037749	MFAP3	603	382	256	476	559	371
ENSG00000037757	MRI1	78	84	39	139	153	164
ENSG00000037897	METTL1	454	507	741	314	304	509
ENSG00000037965	HOXC8	27	15	22	21	17	14
ENSG00000038002	AGA	145	105	122	150	121	109
ENSG00000038210	PI4K2B	113	92	117	70	93	69
ENSG00000038219	BOD1L1	696	637	519	903	739	603
ENSG00000038274	MAT2B	742	624	967	576	488	559
ENSG00000038358	EDC4	70	56	94	88	90	109
ENSG00000038382	TRIO	687	494	357	776	828	509
ENSG00000038427	VCAN	3	0	0	3	2	0
ENSG00000038532	CLEC16A	397	255	296	254	252	291
ENSG00000038945	MSR1	0	0	0	0	0	0
ENSG00000039068	CDH1	3970	3435	3026	3299	3486	2507
ENSG00000039123	SKIV2L2	540	495	298	397	470	325
ENSG00000039139	DNAH5	65	75	52	78	84	72
