id	sym	Ctrl_1	Ctrl_2	Ctrl_3	Insm1_1	Insm1_2	Insm1_3
ENSMUSG00000000827	Tpd52l2	2683	2734	2695	2384	2640	2653
ENSMUSG00000000838	Fmr1	4413	4053	4449	4034	4822	4291
ENSMUSG00000000861	Bcl11a	21250	20821	21216	24883	26365	24037
ENSMUSG00000000869	Il4	0	0	0	0	0	0
ENSMUSG00000000876	Pxmp4	297	255	238	250	177	274
ENSMUSG00000000881	Dlg3	1937	2047	1983	1608	1824	1835
ENSMUSG00000000884	Gnb1l	279	215	277	239	266	217
ENSMUSG00000000889	Dbh	0	0	0	0	0	0
ENSMUSG00000000901	Mmp11	301	417	359	513	545	420
ENSMUSG00000000902	Smarcb1	7787	7919	7660	8352	8158	9146
ENSMUSG00000000903	Vpreb3	1	2	1	6	3	3
ENSMUSG00000000915	Hip1r	2272	2188	2098	2633	3015	2573
ENSMUSG00000000916	Nsun5	412	345	361	429	463	518
ENSMUSG00000000934	Top1mt	127	42	161	75	126	107
ENSMUSG00000000938	Hoxa10	0	0	0	0	1	1
ENSMUSG00000000942	Hoxa4	0	0	0	0	0	0
ENSMUSG00000000948	Gm38393	6164	6072	5973	6524	6769	7514
ENSMUSG00000000957	Mmp14	3144	3428	2735	3096	2890	2922
ENSMUSG00000000958	Slc7a7	98	106	57	104	108	54
ENSMUSG00000000959	Oxa1l	1243	1245	1302	1194	1296	1173
ENSMUSG00000000976	Heatr6	1908	2315	2338	2193	2311	2444
ENSMUSG00000000982	Ccl3	1	290	5	3	94	33
ENSMUSG00000000983	Wfdc18	0	0	0	0	0	0
ENSMUSG00000001014	Icam4	0	0	0	2	8	0
ENSMUSG00000001016	Ilf2	9956	10028	10118	10736	10273	10920
ENSMUSG00000001017	Chtop	8563	8359	7955	8374	8204	8435
ENSMUSG00000001018	Snapin	2274	2000	2125	2040	2357	2273
ENSMUSG00000001020	S100a4	0	5	0	0	0	0
ENSMUSG00000001021	S100a3	0	0	0	0	0	0
ENSMUSG00000001023	S100a5	0	0	0	0	0	0
ENSMUSG00000001025	S100a6	7	5	5	8	6	7
ENSMUSG00000001027	Scn4a	0	0	0	2	0	0
ENSMUSG00000001029	Icam2	0	4	0	0	2	5
ENSMUSG00000001034	Mapk7	4171	4634	4520	5411	4923	5220
ENSMUSG00000001036	Epn2	1711	1444	1583	1496	1417	1780
ENSMUSG00000001039	B9d1	316	250	364	316	323	287
ENSMUSG00000001052	Sec24b	2617	3062	2910	3228	3002	2718
ENSMUSG00000001053	N4bp3	89	53	67	75	77	52
ENSMUSG00000001054	Rmnd5b	1058	820	1024	1006	979	1038
ENSMUSG00000001056	Nhp2	1332	1333	1255	1442	1477	1437
ENSMUSG00000001062	Vps9d1	959	831	757	857	743	1039
ENSMUSG00000001065	Zfp276	361	523	571	419	492	352
ENSMUSG00000001076	C1ql4	0	0	0	0	3	0
ENSMUSG00000001082	Mfsd10	291	334	308	314	314	337
ENSMUSG00000001089	Luzp1	2880	3074	3105	2523	3225	3084
ENSMUSG00000001095	Slc13a2	0	0	0	0	0	0
ENSMUSG00000001098	Kctd10	3248	3010	2716	3394	3854	3848
ENSMUSG00000001100	Poldip2	4732	4377	4449	4822	5080	5075
ENSMUSG00000001103	Sebox	0	16	5	7	5	15
ENSMUSG00000001105	Ift20	695	877	871	945	780	874
ENSMUSG00000001119	Col6a1	0	2	0	0	0	0
ENSMUSG00000001120	Pcbp3	1213	1002	1213	1277	1349	1445
ENSMUSG00000001123	Lgals9	24	42	85	123	381	33
ENSMUSG00000001127	Araf	1867	1361	1726	1584	1773	1523
ENSMUSG00000001128	Cfp	52	86	63	60	45	47
ENSMUSG00000001131	Timp1	5	7	6	5	1	9
ENSMUSG00000001134	Uxt	383	283	293	342	350	346
ENSMUSG00000001138	Cnnm3	686	1002	991	759	824	727
ENSMUSG00000001143	Lman2l	2033	1613	2165	1677	1906	2010
ENSMUSG00000001150	Mcm3ap	3596	3533	3801	3028	3253	4097
ENSMUSG00000001151	Pcnt	2513	2907	2375	2904	2752	3246
ENSMUSG00000001155	Ftcd	0	0	0	0	0	0
ENSMUSG00000001156	Mxd1	2026	2192	1237	1823	2374	2179
ENSMUSG00000001157	Gmcl1	4379	4014	4273	4154	4854	4574
ENSMUSG00000001158	Snrnp27	1760	1787	1724	1914	1630	1894
ENSMUSG00000001166	Oas1c	14	26	5	39	42	31
ENSMUSG00000001168	Oas1h	0	0	0	1	0	0
ENSMUSG00000001173	Ocrl	1287	1081	1208	931	1432	1198
ENSMUSG00000001175	Calm1	27950	26460	28662	29215	28192	30118
ENSMUSG00000001211	Agpat3	3017	3097	2828	3006	3107	3091
ENSMUSG00000001225	Slc26a3	17	19	11	8	7	9
ENSMUSG00000001227	Sema6b	571	285	461	258	411	362
ENSMUSG00000001228	Uhrf1	4650	5516	5091	4684	3923	3983
ENSMUSG00000001229	Dpp9	1944	2010	1988	2495	2090	2321
ENSMUSG00000001240	Ramp2	19	12	18	20	10	5
ENSMUSG00000001247	Lsr	654	502	518	684	627	425
ENSMUSG00000001248	Gramd1a	2827	2428	2622	2698	3359	3017
ENSMUSG00000001249	Hpn	0	0	0	0	0	0
ENSMUSG00000001260	Gabrg1	28	0	50	5	20	2
ENSMUSG00000001270	Ckb	24631	24471	22713	22717	20473	19662
ENSMUSG00000001280	Sp1	2763	2782	2736	2648	3247	2786
ENSMUSG00000001281	Itgb7	0	5	3	0	6	13
ENSMUSG00000001285	Myg1	1351	1396	1146	1325	1210	1366
ENSMUSG00000001288	Rarg	91	67	71	83	74	67
ENSMUSG00000001289	Pfdn5	3650	3340	3266	3557	3705	3582
ENSMUSG00000001300	Efnb2	20108	23242	20332	21622	25350	24005
ENSMUSG00000001305	Rrp15	910	785	841	787	728	757
ENSMUSG00000001313	Rnd2	14255	16836	15782	18939	20634	21882
ENSMUSG00000001323	Srr	1612	1338	1560	1482	1485	1527
ENSMUSG00000001333	Sync	7	2	6	1	3	4
ENSMUSG00000001334	Fndc5	182	259	180	239	132	221
ENSMUSG00000001348	Acp5	0	2	0	5	6	6
ENSMUSG00000001349	Cnn1	9	5	1	8	7	2
ENSMUSG00000001366	Fbxo9	945	894	1077	984	1067	984
ENSMUSG00000001376	Vps50	1803	1669	1509	1627	1618	1608
ENSMUSG00000001380	Hars	2928	3007	2953	3271	3049	3252
ENSMUSG00000001383	Zmat2	2666	2345	2466	2533	2714	2606
ENSMUSG00000001403	Ube2c	5232	6662	5709	7911	4655	6064
ENSMUSG00000001415	Smg5	2588	2671	2213	2163	2334	2359
ENSMUSG00000001416	Cct3	11712	10959	11295	10961	11222	11188
ENSMUSG00000001418	Glmp	1009	1160	898	1014	1211	1010
ENSMUSG00000001419	Mef2d	1391	1680	1384	1770	1546	1491
ENSMUSG00000001420	Tmem79	56	69	60	61	54	31
ENSMUSG00000001424	Snd1	4444	3972	3713	4026	4264	4702
ENSMUSG00000001435	Col18a1	1125	914	946	529	764	660
ENSMUSG00000001436	Slc19a1	484	604	590	568	480	550
ENSMUSG00000001440	Kpnb1	8057	9230	8487	8677	7977	8197
ENSMUSG00000001441	Npepps	4038	3560	3650	3698	3705	4117
ENSMUSG00000001444	Tbx21	5	2	0	5	0	5
ENSMUSG00000001445	Mrpl10	1030	864	886	923	885	978
ENSMUSG00000001467	Cyp51	7981	7433	7973	8259	8960	7873
ENSMUSG00000001472	Tcf25	7509	7273	6951	7628	7648	7913
ENSMUSG00000001473	Tubb6	95	125	104	110	124	119
ENSMUSG00000001482	Def8	1648	1599	1573	1742	1573	1886
ENSMUSG00000001493	Meox1	3	0	0	0	3	0
ENSMUSG00000001494	Sost	0	0	0	0	0	0
ENSMUSG00000001496	Nkx2-1	20	25	39	37	20	24
ENSMUSG00000001497	Pax9	7	7	10	7	3	7
ENSMUSG00000001504	Irx2	0	0	0	0	0	0
ENSMUSG00000001506	Col1a1	51	74	61	67	47	48
ENSMUSG00000001507	Itga3	77	183	169	145	245	194
ENSMUSG00000001508	Sgca	0	0	0	0	0	0
ENSMUSG00000001510	Dlx3	2	2	5	4	3	7
ENSMUSG00000001517	Foxm1	3201	4550	3706	4717	2933	4286
ENSMUSG00000001518	Itfg2	724	655	682	816	778	734
ENSMUSG00000001520	Nrip2	85	83	67	105	100	61
ENSMUSG00000001521	Tulp3	192	190	213	163	187	121
ENSMUSG00000001524	Gtf2h4	900	951	869	934	849	894
ENSMUSG00000001525	Tubb5	56760	58558	56026	66250	60963	66644
ENSMUSG00000001542	Ell2	48	39	28	35	92	26
ENSMUSG00000001552	Jup	596	359	424	630	740	571
ENSMUSG00000001555	Fkbp10	84	35	31	42	42	45
ENSMUSG00000001558	Klhl10	17	0	11	7	11	2
ENSMUSG00000001566	Mnx1	0	0	0	0	0	0
ENSMUSG00000001569	Nom1	1252	1465	1195	1579	1386	1438
ENSMUSG00000001576	Ergic1	4893	4444	5000	5217	4427	4484
ENSMUSG00000001583	Tnk1	30	33	27	41	39	25
ENSMUSG00000001588	Acap1	0	0	2	0	0	5
ENSMUSG00000001604	Tcea3	0	0	0	0	0	0
ENSMUSG00000001622	Csn3	3	4	0	3	0	1
ENSMUSG00000001627	Ifrd1	2209	2407	2086	2525	2501	2067
ENSMUSG00000001630	Stk38l	1276	1289	1176	1458	1336	1152
ENSMUSG00000001632	Brpf1	2967	3561	3331	3375	3415	3774
ENSMUSG00000001642	Akr1b3	1684	1650	1613	1375	1195	1345
ENSMUSG00000001655	Hoxc13	0	2	2	2	0	2
ENSMUSG00000001656	Hoxc11	0	0	0	0	0	0
ENSMUSG00000001657	Hoxc8	4	4	5	4	3	4
ENSMUSG00000001661	Hoxc6	0	0	0	0	0	0
ENSMUSG00000001663	Gstt1	28	5	22	8	17	14
ENSMUSG00000001665	Gstt3	0	0	0	0	0	2
ENSMUSG00000001666	Ddt	514	500	462	451	483	517
ENSMUSG00000001670	Tat	0	0	0	0	0	0
ENSMUSG00000001672	Marveld3	27	5	27	8	7	7
ENSMUSG00000001674	Ddx18	1547	1509	1557	1713	1567	1394
ENSMUSG00000001687	Ubl3	4670	4403	4106	4423	4968	4295
ENSMUSG00000001700	Gramd3	138	109	183	82	96	61
ENSMUSG00000001707	Eef1e1	1889	1477	1917	1954	1790	1859
ENSMUSG00000001729	Akt1	12095	12376	12611	10368	12144	11543
ENSMUSG00000001739	Cldn15	13	14	4	8	11	3
ENSMUSG00000001741	Il16	11	11	8	9	16	27
ENSMUSG00000001750	Tcirg1	66	106	50	106	110	67
ENSMUSG00000001751	Naglu	118	176	70	161	57	126
ENSMUSG00000001755	Coasy	1086	898	899	943	1008	1233
ENSMUSG00000001761	Smo	2688	2783	2947	2649	2239	2395
ENSMUSG00000001763	Tspan33	134	174	158	144	110	71
ENSMUSG00000001767	Crnkl1	2772	2889	2822	2709	2743	2900
ENSMUSG00000001768	Rin2	320	461	307	297	312	335
ENSMUSG00000001773	Folh1	0	12	6	1	0	9
ENSMUSG00000001774	Chordc1	2558	2579	2779	2989	2625	2887
ENSMUSG00000001783	Rtcb	4918	5590	4825	5132	5126	5198
ENSMUSG00000001785	Pwp1	2529	2195	2517	2656	2412	2697
ENSMUSG00000001786	Fbxo7	501	474	508	432	443	441
ENSMUSG00000001794	Capns1	1526	1412	1431	1646	1378	1598
ENSMUSG00000001802	Lrp3	2879	2866	3569	2091	3782	2851
ENSMUSG00000001804	Dsg4	0	0	0	0	0	0
ENSMUSG00000001815	Evx2	0	2	0	0	0	0
ENSMUSG00000001819	Hoxd13	0	0	0	0	0	0
ENSMUSG00000001823	Hoxd12	1	0	0	1	1	0
ENSMUSG00000001827	Folr1	5	0	7	8	1	1
ENSMUSG00000001829	Clpb	1370	1306	1433	1268	1296	1545
ENSMUSG00000001833	Sept7	11371	10310	10632	9979	9975	9746
ENSMUSG00000001844	Zdhhc4	889	949	861	906	846	785
ENSMUSG00000001847	Rac1	13561	12586	13038	12148	13137	11670
ENSMUSG00000001855	Nup214	1787	2194	1765	2080	1919	1889
ENSMUSG00000001864	Aif1l	3046	3067	2841	2138	1955	1593
ENSMUSG00000001865	Cpa3	0	0	0	0	0	0
ENSMUSG00000001870	Ltbp1	1039	732	823	480	847	503
ENSMUSG00000001891	Ugp2	1682	1475	1431	1508	1269	1241
ENSMUSG00000001901	Kcnh6	26	19	14	9	10	17
ENSMUSG00000001909	Trmt1	736	940	772	920	836	886
ENSMUSG00000001910	Nacc1	2603	2843	2600	2721	2620	2671
ENSMUSG00000001911	Nfix	18718	12954	16132	16778	21011	16388
ENSMUSG00000001918	Slc1a5	562	544	566	453	442	351
ENSMUSG00000001924	Uba1	20534	19288	19957	22927	22478	22599
ENSMUSG00000001930	Vwf	9	19	0	12	1	0
ENSMUSG00000001942	Siae	350	266	179	239	160	175
ENSMUSG00000001943	Vsig2	0	0	1	4	2	0
ENSMUSG00000001946	Esam	11	5	28	15	13	16
ENSMUSG00000001948	Spa17	118	104	172	111	126	108
ENSMUSG00000001962	Fam50a	1312	1438	1331	1299	1218	1396
ENSMUSG00000001964	Emd	2863	2746	2631	2829	2505	2683
ENSMUSG00000001983	Taco1	135	192	188	161	106	126
ENSMUSG00000001985	Grik3	627	211	512	88	86	105
ENSMUSG00000001986	Gria3	725	433	664	420	432	476
ENSMUSG00000001988	Npas1	50	58	27	44	38	63
ENSMUSG00000001995	Sipa1l2	6577	6405	5653	5876	6210	7059
ENSMUSG00000001998	Ap4e1	549	762	589	399	511	371
ENSMUSG00000001999	Blvra	222	199	201	135	212	277
ENSMUSG00000002006	Pdzd4	225	259	192	267	254	250
ENSMUSG00000002007	Srpk3	5	5	6	1	7	9
ENSMUSG00000002010	Idh3g	2148	2074	2169	2203	2329	2114
ENSMUSG00000002012	Pnck	451	298	292	323	428	405
ENSMUSG00000002014	Ssr4	683	713	680	662	743	632
ENSMUSG00000002015	Bcap31	1257	1227	1260	994	1139	1082
ENSMUSG00000002017	Fam98a	2249	1547	1912	2099	2288	2110
ENSMUSG00000002020	Ltbp2	0	4	1	7	0	0
ENSMUSG00000002028	Kmt2a	5920	7068	6119	6261	7033	6519
ENSMUSG00000002031	Ift46	1977	1982	1820	2057	1914	2073
ENSMUSG00000002032	Tmem25	49	46	48	45	65	87
ENSMUSG00000002033	Cd3g	24	40	16	38	24	39
ENSMUSG00000002043	Trappc6a	282	218	228	253	332	291
ENSMUSG00000002052	Supt6	3466	3660	3328	4062	4113	3989
ENSMUSG00000002055	Spag5	1783	2139	2133	2252	1339	1883
ENSMUSG00000002057	Foxn1	1	0	1	2	0	0
ENSMUSG00000002058	Unc119	1663	1991	1622	1674	1831	1693
ENSMUSG00000002059	Rab34	266	296	270	307	317	278
ENSMUSG00000002064	Sdf2	1071	919	832	881	1130	1075
ENSMUSG00000002068	Ccne1	800	1116	831	841	798	829
ENSMUSG00000002076	Hsf2bp	2	0	6	0	6	0
ENSMUSG00000002083	Bbc3	323	262	220	467	354	369
ENSMUSG00000002100	Mybpc3	0	0	0	0	0	0
ENSMUSG00000002102	Psmc3	5625	5581	5384	5971	5510	5697
ENSMUSG00000002103	Acp2	1806	1716	1577	1652	1873	1818
ENSMUSG00000002104	Rapsn	5	11	4	14	4	2
ENSMUSG00000002105	Slc39a13	260	290	282	406	342	334
ENSMUSG00000002107	Celf2	24278	25258	24789	23369	27686	27315
ENSMUSG00000002108	Nr1h3	18	7	24	5	14	7
ENSMUSG00000002109	Ddb2	296	245	266	246	361	260
ENSMUSG00000002111	Spi1	0	95	10	6	33	9
ENSMUSG00000002129	Sf3a1	7639	8530	7710	8330	8073	8270
ENSMUSG00000002147	Stat6	6	39	20	28	32	9
ENSMUSG00000002190	Clgn	159	289	208	330	184	205
ENSMUSG00000002204	Napsa	2	2	7	4	0	4
ENSMUSG00000002205	Vrk3	924	1007	954	1018	1062	1087
ENSMUSG00000002210	Smg9	508	609	589	535	600	653
ENSMUSG00000002221	Paxip1	2502	2959	2309	2513	2336	2236
ENSMUSG00000002222	Rmnd5a	2761	2657	2899	2473	3150	2439
ENSMUSG00000002227	Mov10	107	114	110	107	131	57
ENSMUSG00000002228	Ppm1j	0	0	0	0	0	7
ENSMUSG00000002233	Rhoc	157	169	167	137	117	132
ENSMUSG00000002240	Prr27	0	0	0	0	0	0
ENSMUSG00000002249	Tead3	145	155	132	112	130	98
ENSMUSG00000002250	Ppard	19	16	51	32	52	26
ENSMUSG00000002257	Def6	17	23	14	2	10	1
ENSMUSG00000002265	Peg3	3788	2692	3578	3656	3380	3115
ENSMUSG00000002266	Zim1	0	5	14	0	6	5
ENSMUSG00000002274	Metrn	279	290	263	248	186	245
ENSMUSG00000002279	Lmf1	267	342	252	257	206	283
ENSMUSG00000002280	Narfl	621	632	549	542	579	629
ENSMUSG00000002289	Angptl4	38	70	69	76	9	23
ENSMUSG00000002297	Dbf4	1752	1836	1937	1815	1617	1796
ENSMUSG00000002307	Daxx	2287	2468	2232	2713	2292	2857
ENSMUSG00000002308	Cd320	654	683	644	724	645	710
ENSMUSG00000002319	Ipo4	1974	1801	1989	1839	1798	1675
ENSMUSG00000002320	Tm9sf1	1140	1382	1176	1342	1265	1331
ENSMUSG00000002324	Rec8	220	185	181	334	362	244
ENSMUSG00000002325	Irf9	452	363	952	1558	1152	420
ENSMUSG00000002326	Gmpr2	781	595	766	728	740	827
ENSMUSG00000002329	Mdp1	1051	1028	1143	1435	1115	1204
ENSMUSG00000002332	Dhrs1	1434	1312	1290	1286	1393	1565
ENSMUSG00000002341	Ncan	17190	17304	17127	19008	20764	19836
ENSMUSG00000002342	Tmem161a	959	817	884	1002	956	1028
ENSMUSG00000002343	Armc6	783	600	897	861	698	750
ENSMUSG00000002345	Borcs8	269	236	243	276	314	277
ENSMUSG00000002346	Slc25a42	142	165	113	180	138	160
ENSMUSG00000002365	Snx9	350	308	298	207	263	134
ENSMUSG00000002372	Ranbp3	3109	3711	3453	3854	3393	3395
ENSMUSG00000002379	Ndufa11	1400	1477	1423	1519	1494	1557
ENSMUSG00000002384	Bmp8b	1	0	1	6	4	1
ENSMUSG00000002393	Nr2f6	506	584	476	407	465	348
ENSMUSG00000002395	Use1	898	972	874	980	1038	976
ENSMUSG00000002396	Ocel1	158	150	139	99	135	151
ENSMUSG00000002409	Dyrk1b	386	548	424	454	559	478
ENSMUSG00000002413	Braf	4662	4517	5590	4655	5388	4622
ENSMUSG00000002416	Ndufb2	1252	1153	1313	1365	1229	1280
ENSMUSG00000002428	Hltf	1732	1750	1957	1532	1898	1695
ENSMUSG00000002455	Prpf6	3532	3834	3491	3682	3983	4032
