id	sym	matr3_yfp_1	matr3_yfp_2	matr3_yfp_3	matr3_f115c_1	matr3_f115c_2	matr3_f115c_3
ENSG00000004142	POLDIP2	2368	2287	2288	2463	2311	2092
ENSG00000004399	PLXND1	1927	2180	1525	2148	2688	2015
ENSG00000004455	AK2	3731	3615	3115	3590	3682	3319
ENSG00000004468	CD38	10	19	12	13	23	11
ENSG00000004478	FKBP4	3641	3535	3760	4008	3428	3128
ENSG00000004487	KDM1A	2438	2360	2202	2525	2437	2218
ENSG00000004534	RBM6	925	1138	1074	989	1207	1034
ENSG00000004660	CAMKK1	146	220	179	197	212	228
ENSG00000004700	RECQL	1268	1271	1183	1223	1298	1088
ENSG00000004766	CCDC132	399	448	372	463	469	469
ENSG00000004776	HSPB6	5	9	3	11	17	9
ENSG00000004777	ARHGAP33	51	139	113	112	139	140
ENSG00000004779	NDUFAB1	1165	852	809	1009	1024	857
ENSG00000004799	PDK4	26	32	28	61	73	60
ENSG00000004809	SLC22A16	0	0	0	0	0	1
ENSG00000004838	ZMYND10	7	14	13	15	12	13
ENSG00000004846	ABCB5	2	1	0	3	2	0
ENSG00000004848	ARX	3	5	6	11	4	5
ENSG00000004864	SLC25A13	1446	1321	1021	1563	1441	1274
ENSG00000004866	ST7	602	592	508	645	661	657
ENSG00000004897	CDC27	2134	2136	1800	2344	2282	2131
ENSG00000004948	CALCR	0	0	0	0	2	3
ENSG00000004961	HCCS	950	913	897	1009	936	773
ENSG00000004975	DVL2	976	927	863	1038	1123	901
ENSG00000005007	UPF1	4579	4889	5231	5192	5083	4532
ENSG00000005020	SKAP2	1865	1563	1413	1895	1626	1808
ENSG00000005022	SLC25A5	10128	8299	8224	9471	9174	7836
ENSG00000005059	CCDC109B	516	427	344	449	479	373
ENSG00000005073	HOXA11	10	8	21	11	9	16
ENSG00000005075	POLR2J	1002	716	751	874	891	769
ENSG00000005100	DHX33	676	829	852	822	757	813
ENSG00000005102	MEOX1	0	0	0	0	1	0
ENSG00000005108	THSD7A	12	15	21	18	26	20
ENSG00000005156	LIG3	895	935	853	987	1017	910
ENSG00000005175	RPAP3	1352	1169	1291	1302	1247	1137
ENSG00000005187	ACSM3	8	7	12	21	15	12
ENSG00000005189	na	64	92	77	95	97	122
ENSG00000005194	CIAPIN1	1195	1094	1075	1110	1114	938
ENSG00000005206	SPPL2B	597	1101	865	768	998	931
ENSG00000005238	FAM214B	548	588	575	587	671	554
ENSG00000005243	COPZ2	109	111	126	139	131	108
ENSG00000005249	PRKAR2B	621	447	289	441	565	558
ENSG00000005302	MSL3	646	672	589	655	741	682
ENSG00000005339	CREBBP	2024	2197	1976	2346	2558	2356
ENSG00000005379	BZRAP1	3	0	1	1	0	1
ENSG00000005421	PON1	2	0	0	1	0	0
ENSG00000005436	GCFC2	113	111	119	125	128	115
ENSG00000005448	WDR54	451	385	353	389	491	280
ENSG00000005469	CROT	576	598	431	542	609	550
ENSG00000005471	ABCB4	6	10	11	11	3	9
ENSG00000005483	KMT2E	1568	1876	1596	1742	2053	2040
ENSG00000005486	RHBDD2	2665	2411	1986	2582	2773	2284
ENSG00000005513	SOX8	50	39	22	27	32	21
ENSG00000005700	IBTK	1071	1049	911	1179	1182	1087
ENSG00000005801	ZNF195	558	600	621	638	627	582
ENSG00000005810	MYCBP2	1545	1411	1130	1627	1588	1562
ENSG00000005812	FBXL3	369	360	370	340	371	389
ENSG00000005844	ITGAL	0	2	0	0	1	2
ENSG00000005882	PDK2	183	161	135	190	222	167
ENSG00000005884	ITGA3	11557	11335	9905	12686	14065	11034
ENSG00000005889	ZFX	596	687	619	678	659	699
ENSG00000005893	LAMP2	6482	5757	4415	6034	6325	5957
ENSG00000005961	ITGA2B	14	35	32	28	37	36
ENSG00000005981	ASB4	1	0	0	1	0	2
ENSG00000006007	GDE1	1580	1460	1187	1590	1431	1481
ENSG00000006015	C19orf60	1329	1286	1053	1379	1422	1216
ENSG00000006016	CRLF1	548	421	394	483	528	429
ENSG00000006025	OSBPL7	381	782	740	550	695	694
ENSG00000006042	TMEM98	559	466	454	524	498	427
ENSG00000006047	YBX2	0	0	0	0	2	0
ENSG00000006059	KRT33A	0	0	2	0	0	0
ENSG00000006062	MAP3K14	593	640	566	692	721	620
ENSG00000006071	ABCC8	4	2	3	0	0	0
ENSG00000006116	CACNG3	1	0	0	1	0	0
ENSG00000006118	TMEM132A	7609	8011	5400	6509	9485	6222
ENSG00000006125	AP2B1	4306	3931	3553	4671	4579	4116
ENSG00000006128	TAC1	334	330	363	396	313	394
ENSG00000006194	ZNF263	1057	1051	1175	1107	1097	1090
ENSG00000006210	CX3CL1	2195	1597	1019	1258	2246	1163
ENSG00000006282	SPATA20	2164	2459	2083	2333	2592	2323
ENSG00000006283	CACNA1G	74	84	56	79	106	62
ENSG00000006327	TNFRSF12A	5947	5205	5179	5890	5654	4853
ENSG00000006377	DLX6	34	34	38	37	43	45
ENSG00000006432	MAP3K9	251	563	582	467	477	484
ENSG00000006451	RALA	3074	2510	2357	2491	2615	2326
ENSG00000006453	BAIAP2L1	1574	1371	1045	1250	1533	1232
ENSG00000006459	KDM7A	459	544	533	532	532	649
ENSG00000006468	ETV1	1042	944	703	1039	1133	902
ENSG00000006530	AGK	969	932	775	906	1044	922
ENSG00000006534	ALDH3B1	694	609	493	656	704	760
ENSG00000006555	TTC22	0	0	0	0	1	0
ENSG00000006576	PHTF2	1441	1351	1151	1548	1445	1361
ENSG00000006606	CCL26	146	120	148	151	124	133
ENSG00000006607	FARP2	718	796	827	884	757	807
ENSG00000006611	USH1C	1	1	0	0	0	0
ENSG00000006625	GGCT	1042	875	899	920	894	806
ENSG00000006634	DBF4	1200	1025	999	1276	1194	1180
ENSG00000006638	TBXA2R	1	0	1	1	0	1
ENSG00000006652	IFRD1	3602	3188	2694	3063	3509	3284
ENSG00000006659	LGALS14	1	0	0	0	0	0
ENSG00000006695	COX10	630	525	517	590	627	550
ENSG00000006704	GTF2IRD1	1265	1358	1011	1328	1576	1325
ENSG00000006712	PAF1	1766	1554	1483	1702	1690	1625
ENSG00000006715	VPS41	2064	1923	1560	1957	2241	1855
ENSG00000006740	ARHGAP44	159	128	141	114	161	132
ENSG00000006744	ELAC2	1110	1214	1336	1256	1203	1053
ENSG00000006747	SCIN	43	54	36	56	66	52
ENSG00000006756	ARSD	373	380	258	366	466	412
ENSG00000006757	PNPLA4	0	0	0	0	1	0
ENSG00000006788	MYH13	3	12	9	10	6	9
ENSG00000006831	ADIPOR2	2682	2617	2172	2916	2888	2587
ENSG00000006837	CDKL3	33	44	47	35	40	37
ENSG00000007001	UPP2	2	3	2	5	4	4
ENSG00000007047	MARK4	588	516	482	539	650	489
ENSG00000007062	PROM1	0	0	0	0	0	2
ENSG00000007080	CCDC124	2776	2218	2448	2494	2390	2138
ENSG00000007129	CEACAM21	5	0	1	2	2	2
ENSG00000007168	PAFAH1B1	1701	1574	1460	1710	1740	1593
ENSG00000007171	NOS2	355	244	106	97	379	170
ENSG00000007174	DNAH9	22	16	12	17	15	12
ENSG00000007202	KIAA0100	2271	2752	2478	2637	2754	2468
ENSG00000007216	SLC13A2	0	0	0	1	0	1
ENSG00000007237	GAS7	114	109	49	70	95	72
ENSG00000007255	TRAPPC6A	122	63	67	101	112	106
ENSG00000007264	MATK	5	3	1	0	3	2
ENSG00000007312	CD79B	0	0	4	0	0	3
ENSG00000007314	SCN4A	5	8	7	11	4	5
ENSG00000007341	ST7L	141	168	147	175	154	153
ENSG00000007350	TKTL1	2	1	0	2	1	0
ENSG00000007372	PAX6	11	16	6	11	22	6
ENSG00000007376	RPUSD1	885	817	868	904	874	738
ENSG00000007384	RHBDF1	886	1229	1001	1025	1342	1079
ENSG00000007392	LUC7L	860	1152	1082	957	1004	997
ENSG00000007402	CACNA2D2	10	13	15	13	16	10
ENSG00000007516	BAIAP3	26	29	30	25	41	31
ENSG00000007520	TSR3	1008	882	939	1023	994	836
ENSG00000007541	PIGQ	370	422	371	404	461	352
ENSG00000007545	CRAMP1L	247	402	423	324	367	316
ENSG00000007866	TEAD3	852	867	827	811	969	822
ENSG00000007908	SELE	3	1	5	0	4	8
ENSG00000007923	DNAJC11	762	818	800	837	803	735
ENSG00000007933	FMO3	15	11	13	11	17	15
ENSG00000007944	MYLIP	859	1103	1219	1377	1004	1308
ENSG00000007952	NOX1	4	9	18	21	11	13
ENSG00000007968	E2F2	271	247	240	339	298	248
ENSG00000008018	PSMB1	2789	2430	2048	2531	2519	2283
ENSG00000008056	SYN1	3	3	2	0	8	2
ENSG00000008083	JARID2	736	895	893	845	941	872
ENSG00000008086	CDKL5	341	396	366	395	441	506
ENSG00000008118	CAMK1G	3	0	1	2	0	0
ENSG00000008128	CDK11A	153	337	278	220	286	254
ENSG00000008130	NADK	2893	2904	2478	2997	3239	2742
ENSG00000008196	TFAP2B	0	0	0	0	1	0
ENSG00000008197	TFAP2D	23	26	19	31	33	36
ENSG00000008226	DLEC1	0	4	4	3	2	6
ENSG00000008256	CYTH3	939	999	1162	1123	1014	1034
ENSG00000008277	ADAM22	294	317	236	334	389	328
ENSG00000008282	SYPL1	2415	2286	1965	2353	2360	2340
ENSG00000008283	CYB561	2032	2175	2086	2273	2301	2239
ENSG00000008294	SPAG9	3282	3586	3196	3573	3692	3377
ENSG00000008300	CELSR3	905	1498	1085	1364	1529	1404
ENSG00000008311	AASS	402	509	507	498	547	595
ENSG00000008323	PLEKHG6	3	15	12	9	13	10
ENSG00000008324	SS18L2	286	212	217	261	228	224
ENSG00000008382	MPND	152	133	127	114	133	109
ENSG00000008394	MGST1	5456	4541	4292	5236	4709	4686
ENSG00000008405	CRY1	520	542	473	477	529	484
ENSG00000008438	PGLYRP1	0	4	4	0	2	2
ENSG00000008441	NFIX	1562	1483	1535	1705	1719	1548
ENSG00000008513	ST3GAL1	1149	1063	726	805	1216	884
ENSG00000008516	MMP25	290	280	221	274	357	293
ENSG00000008517	IL32	3493	2624	2482	2199	3071	2140
ENSG00000008710	PKD1	3204	4701	3762	4110	5194	4895
ENSG00000008735	MAPK8IP2	266	311	260	337	300	277
ENSG00000008838	MED24	959	1139	992	1088	1224	984
ENSG00000008853	RHOBTB2	354	514	461	521	545	406
ENSG00000008869	HEATR5B	101	189	192	139	170	185
ENSG00000008952	SEC62	2936	2727	2462	2840	2760	2841
ENSG00000008988	RPS20	17276	12804	14634	14795	13729	12710
ENSG00000009307	CSDE1	8006	7296	6983	7761	7881	7243
ENSG00000009335	UBE3C	4291	4303	4129	4497	4443	4030
ENSG00000009413	REV3L	645	657	594	790	695	788
ENSG00000009694	TENM1	181	289	195	201	270	334
ENSG00000009709	PAX7	106	100	99	113	126	108
ENSG00000009724	MASP2	8	14	14	21	24	23
ENSG00000009765	IYD	0	0	1	1	1	0
ENSG00000009780	FAM76A	170	142	126	152	141	143
ENSG00000009790	TRAF3IP3	3	1	5	1	6	4
ENSG00000009830	POMT2	495	741	576	559	685	580
ENSG00000009844	VTA1	1246	1057	1171	1279	1207	1156
ENSG00000009950	MLXIPL	13	31	16	23	32	31
ENSG00000009954	BAZ1B	5323	5135	4832	6026	5800	5121
ENSG00000010017	RANBP9	917	829	687	877	895	802
ENSG00000010030	ETV7	33	42	35	38	52	43
ENSG00000010072	SPRTN	394	368	364	377	341	359
ENSG00000010165	METTL13	1132	1064	1105	1085	1134	975
ENSG00000010219	DYRK4	480	515	439	490	528	494
ENSG00000010244	ZNF207	4450	5120	4846	4801	4906	4745
ENSG00000010256	UQCRC1	2734	2230	1943	2307	2621	2036
ENSG00000010270	STARD3NL	2215	1795	1559	2115	2101	1918
ENSG00000010278	CD9	1596	1320	1248	1381	1423	1221
ENSG00000010292	NCAPD2	3175	3036	2590	3987	3627	3298
ENSG00000010295	IFFO1	352	598	482	431	575	441
ENSG00000010310	GIPR	7	9	14	10	14	16
ENSG00000010318	PHF7	44	72	42	57	73	53
ENSG00000010319	SEMA3G	3	7	8	5	3	2
ENSG00000010322	NISCH	655	1175	973	939	1021	1009
ENSG00000010327	STAB1	0	1	3	6	4	1
ENSG00000010361	FUZ	418	387	316	447	466	417
ENSG00000010379	SLC6A13	58	85	111	86	66	84
ENSG00000010404	IDS	2091	1910	1601	1965	2015	1954
ENSG00000010438	PRSS3	0	2	0	1	0	1
ENSG00000010539	ZNF200	220	313	275	300	221	282
ENSG00000010610	CD4	9	7	10	7	9	3
ENSG00000010626	LRRC23	191	131	114	178	187	161
ENSG00000010671	BTK	0	1	3	0	5	4
ENSG00000010704	HFE	303	292	214	317	335	303
ENSG00000010803	SCMH1	1015	1075	852	1095	1119	1062
ENSG00000010810	FYN	642	506	474	550	580	571
ENSG00000010818	HIVEP2	1487	1451	1115	1327	1771	1508
ENSG00000010932	FMO1	0	0	0	0	0	2
ENSG00000011007	TCEB3	2174	2069	2163	2215	2124	1870
ENSG00000011009	LYPLA2	1215	1293	1129	1261	1375	1054
ENSG00000011021	CLCN6	516	767	650	630	727	745
ENSG00000011028	MRC2	6001	6484	4192	6586	8360	6271
ENSG00000011052	NME2	16	9	15	13	0	6
ENSG00000011083	SLC6A7	2	0	2	0	0	0
ENSG00000011105	TSPAN9	1315	1192	787	1173	1559	1102
ENSG00000011114	BTBD7	551	582	610	629	556	707
ENSG00000011132	APBA3	612	602	536	655	696	650
ENSG00000011143	MKS1	218	247	228	245	248	245
ENSG00000011198	ABHD5	188	197	178	197	159	188
ENSG00000011201	ANOS1	167	126	114	141	156	116
ENSG00000011243	AKAP8L	1797	2104	2264	2086	2189	2293
ENSG00000011258	MBTD1	395	454	393	433	479	483
ENSG00000011260	UTP18	1282	1100	945	1264	1157	1099
ENSG00000011275	RNF216	4068	4589	3717	4011	4843	4217
ENSG00000011295	TTC19	695	723	661	694	655	742
ENSG00000011304	PTBP1	11386	10753	9508	11285	11378	9775
ENSG00000011332	DPF1	126	155	111	112	160	122
ENSG00000011347	SYT7	155	182	194	161	196	177
ENSG00000011376	LARS2	466	448	383	508	522	414
ENSG00000011405	PIK3C2A	2114	2268	2096	2372	2438	2484
ENSG00000011422	PLAUR	3149	2747	2573	2424	2963	1923
ENSG00000011426	ANLN	4154	4502	3400	4954	4527	4166
ENSG00000011451	WIZ	3388	3359	3410	3748	3645	3213
ENSG00000011454	RABGAP1	1020	964	848	1027	1139	1108
ENSG00000011465	DCN	161	85	44	49	117	75
ENSG00000011478	QPCTL	233	255	227	268	235	275
ENSG00000011485	PPP5C	2141	2140	1906	2175	2266	1826
ENSG00000011523	CEP68	277	287	251	334	304	306
ENSG00000011566	MAP4K3	1464	1497	1239	1430	1603	1558
ENSG00000011590	ZBTB32	18	33	23	20	32	36
ENSG00000011600	TYROBP	0	1	0	0	2	0
ENSG00000011638	TMEM159	374	304	287	345	350	360
ENSG00000011677	GABRA3	142	129	86	142	168	148
ENSG00000012048	BRCA1	857	939	870	1031	934	893
ENSG00000012061	ERCC1	826	720	757	776	869	688
ENSG00000012124	CD22	162	199	179	140	160	151
ENSG00000012171	SEMA3B	369	499	422	664	532	673
ENSG00000012174	MBTPS2	897	835	605	928	954	911
ENSG00000012211	PRICKLE3	207	183	199	195	240	218
ENSG00000012223	LTF	3	6	3	1	4	1
ENSG00000012232	EXTL3	2136	2201	1775	2415	2590	2018
ENSG00000012504	NR1H4	21	9	16	20	16	15
ENSG00000012660	ELOVL5	3386	3250	2750	3805	3538	3627
ENSG00000012779	ALOX5	47	53	39	38	74	37
ENSG00000012817	KDM5D	832	1197	860	942	1198	1129
ENSG00000012822	CALCOCO1	574	810	619	573	863	821
ENSG00000012963	UBR7	887	776	736	854	817	658
ENSG00000012983	MAP4K5	995	1136	1183	1154	1120	1093
ENSG00000013016	EHD3	357	354	297	331	428	312
ENSG00000013275	PSMC4	5831	5285	5658	5430	5546	4783
ENSG00000013288	MAN2B2	1456	1648	1456	1679	1770	1511
ENSG00000013297	CLDN11	4	8	11	3	12	4
ENSG00000013306	SLC25A39	1876	2029	1970	2015	1938	1749
ENSG00000013364	MVP	5456	5134	4472	5103	5691	4627
ENSG00000013374	NUB1	4279	3382	2740	3403	4017	3159
ENSG00000013375	PGM3	651	732	641	676	669	640
ENSG00000013392	RWDD2A	64	88	91	92	122	100
ENSG00000013441	CLK1	1334	1844	1973	1595	1599	1677
ENSG00000013503	POLR3B	238	274	214	271	245	224
ENSG00000013523	ANGEL1	273	327	265	331	357	333
ENSG00000013561	RNF14	951	872	880	931	938	990
ENSG00000013563	DNASE1L1	350	297	264	346	367	345
ENSG00000013573	DDX11	1425	2494	2233	1898	2199	2048
ENSG00000013583	HEBP1	1035	734	620	782	958	792
ENSG00000013588	GPRC5A	1705	2867	3572	2289	1688	2227
ENSG00000013619	MAMLD1	109	99	82	95	118	104
ENSG00000013725	CD6	1	0	2	0	1	2
ENSG00000013810	TACC3	2527	2695	2337	3122	2979	2368
ENSG00000014123	UFL1	516	563	458	550	605	579
ENSG00000014138	POLA2	1207	1241	1066	1245	1308	992
ENSG00000014164	ZC3H3	608	544	604	674	665	590
ENSG00000014216	CAPN1	3105	2945	2737	3107	3254	2606
ENSG00000014257	ACPP	20	8	18	11	14	9
ENSG00000014641	MDH1	2847	2407	2221	2655	2658	2271
ENSG00000014824	SLC30A9	2191	1912	1656	2168	2133	1933
ENSG00000014914	MTMR11	277	452	291	338	411	373
ENSG00000014919	COX15	882	767	733	872	793	742
ENSG00000015133	CCDC88C	240	316	272	262	304	252
ENSG00000015153	YAF2	346	311	320	361	336	323
ENSG00000015171	ZMYND11	1351	1338	1265	1359	1416	1353
ENSG00000015285	WAS	2	10	5	5	8	3
ENSG00000015413	DPEP1	0	1	0	0	2	0
ENSG00000015475	BID	1759	1424	1206	1375	1705	1253
ENSG00000015479	MATR3	35	99	77	45	72	75
ENSG00000015520	NPC1L1	8	13	18	15	26	24
ENSG00000015532	XYLT2	1749	1873	1481	1901	2096	1730
ENSG00000015568	RGPD5	12	27	18	23	19	26
ENSG00000015592	STMN4	4	5	7	5	4	1
ENSG00000015676	NUDCD3	3343	3235	2915	3557	3604	3072
ENSG00000016082	ISL1	263	211	245	255	313	259
ENSG00000016391	CHDH	0	0	1	7	3	1
ENSG00000016402	IL20RA	3	3	1	6	2	3
ENSG00000016602	CLCA4	1	0	0	0	0	0
ENSG00000016864	GLT8D1	717	639	538	682	703	634
ENSG00000017260	ATP2C1	3798	3911	2976	4096	3985	3893
ENSG00000017427	IGF1	0	0	1	0	0	0
ENSG00000017483	SLC38A5	13	6	4	3	7	6
ENSG00000017797	RALBP1	1744	1524	1276	1687	1754	1541
ENSG00000018189	RUFY3	589	775	627	695	706	883
ENSG00000018236	CNTN1	7	3	10	10	10	5
ENSG00000018280	SLC11A1	6	9	3	3	2	5
ENSG00000018408	WWTR1	2731	2308	1970	2385	2810	2382
ENSG00000018510	AGPS	1906	1790	1501	1796	1796	1660
ENSG00000018610	CXorf56	405	412	400	437	432	429
ENSG00000018625	ATP1A2	0	0	0	2	5	10
ENSG00000018699	TTC27	247	207	245	256	233	222
ENSG00000018869	ZNF582	157	184	202	211	174	204
ENSG00000019102	VSIG2	20	17	22	16	20	21
ENSG00000019144	PHLDB1	954	1099	767	824	1207	779
ENSG00000019186	CYP24A1	13	15	7	6	16	1
ENSG00000019485	PRDM11	371	408	468	455	450	404
ENSG00000019505	SYT13	2	0	0	1	4	0
ENSG00000019549	SNAI2	1180	1132	922	1029	1153	1091
ENSG00000019582	CD74	159	105	32	80	177	74
ENSG00000019991	HGF	1954	1853	1483	2355	2156	2303
ENSG00000019995	ZRANB1	916	892	735	1064	1056	1029
ENSG00000020129	NCDN	523	714	640	667	663	600
ENSG00000020181	ADGRA2	551	474	305	474	654	503
ENSG00000020219	CCT8L1P	0	0	0	0	1	0
ENSG00000020256	ZFP64	594	481	490	612	561	517
ENSG00000020426	MNAT1	553	427	397	490	462	439
ENSG00000020577	SAMD4A	787	813	753	652	972	813
ENSG00000020633	RUNX3	645	613	645	677	718	659
ENSG00000020922	MRE11A	435	535	430	547	489	462
ENSG00000021300	PLEKHB1	3	0	0	3	0	0
ENSG00000021355	SERPINB1	1945	1747	1477	2036	2029	1794
ENSG00000021461	CYP3A43	1	0	0	1	0	1
ENSG00000021488	SLC7A9	1	0	0	2	2	9
ENSG00000021574	SPAST	208	178	149	203	213	192
ENSG00000021645	NRXN3	24	24	17	22	25	26
ENSG00000021762	OSBPL5	838	854	548	729	977	727
ENSG00000021776	AQR	1032	1007	978	1117	1108	997
ENSG00000021826	CPS1	216	227	166	270	236	225
ENSG00000021852	C8B	0	0	0	0	2	0
ENSG00000022267	FHL1	2369	1945	1749	2293	2311	2125
ENSG00000022277	RTFDC1	1825	1586	1671	1745	1670	1597
ENSG00000022355	GABRA1	28	21	3	24	17	31
ENSG00000022556	NLRP2	2	2	1	1	0	2
ENSG00000022567	SLC45A4	298	310	311	329	369	293
ENSG00000022840	RNF10	2983	2907	2853	3474	3327	3149
ENSG00000022976	ZNF839	181	286	275	226	266	257
ENSG00000023041	ZDHHC6	835	878	766	781	882	793
ENSG00000023171	GRAMD1B	753	911	612	917	1112	887
ENSG00000023191	RNH1	6182	5631	5896	6486	6217	5289
ENSG00000023228	NDUFS1	1969	1885	1739	1847	1863	1858
ENSG00000023287	RB1CC1	2202	1962	1567	1951	1975	2225
ENSG00000023318	ERP44	2332	2171	1852	2320	2300	2187
ENSG00000023330	ALAS1	1640	1391	1277	1388	1758	1319
ENSG00000023445	BIRC3	5534	4651	3221	3695	5525	3752
ENSG00000023516	AKAP11	838	921	853	976	1037	1146
ENSG00000023572	GLRX2	272	256	259	275	228	237
ENSG00000023608	SNAPC1	503	457	442	453	488	509
ENSG00000023697	DERA	963	766	602	799	773	736
ENSG00000023734	STRAP	5337	4777	4922	5362	4760	5023
ENSG00000023839	ABCC2	262	453	393	315	441	433
ENSG00000023892	DEF6	6	16	4	7	14	12
ENSG00000023902	PLEKHO1	918	841	983	934	1042	868
ENSG00000023909	GCLM	3313	2695	2354	2767	3020	3191
ENSG00000024048	UBR2	1345	1376	1219	1363	1413	1387
ENSG00000024422	EHD2	3943	3652	3762	4522	4336	3854
ENSG00000024526	DEPDC1	736	689	526	922	767	735
ENSG00000024862	CCDC28A	290	196	160	229	227	227
ENSG00000025039	RRAGD	661	574	540	706	616	543
ENSG00000025156	HSF2	501	460	398	518	474	513
ENSG00000025293	PHF20	950	942	902	1050	972	994
ENSG00000025423	HSD17B6	3	5	7	4	7	9
ENSG00000025434	NR1H3	224	233	173	256	249	266
ENSG00000025708	TYMP	144	260	229	207	210	243
ENSG00000025770	NCAPH2	1365	1436	1311	1368	1473	1201
ENSG00000025772	TOMM34	896	806	879	895	870	735
ENSG00000025796	SEC63	2045	1743	1671	1827	1801	1940
ENSG00000025800	KPNA6	1369	1685	1454	1448	1588	1525
ENSG00000026025	VIM	22063	21490	26497	21749	19899	18068
ENSG00000026036	RTEL1-TNFRSF6B	34	111	95	69	87	71
ENSG00000026103	FAS	1183	992	718	895	1393	970
ENSG00000026297	RNASET2	112	113	80	99	148	112
ENSG00000026508	CD44	28410	27568	25891	28436	28083	25188
ENSG00000026559	KCNG1	1054	924	953	970	1013	904
ENSG00000026652	AGPAT4	333	390	316	314	440	408
ENSG00000026751	SLAMF7	152	185	160	122	169	121
ENSG00000026950	BTN3A1	1199	1339	952	1183	1517	1229
ENSG00000027001	MIPEP	170	131	104	138	132	111
ENSG00000027075	PRKCH	75	56	47	65	74	55
ENSG00000027644	INSRR	1	4	8	10	4	2
ENSG00000027697	IFNGR1	886	706	532	734	810	891
ENSG00000027847	B4GALT7	1342	1228	1159	1336	1338	1135
ENSG00000027869	SH2D2A	88	82	59	89	103	78
ENSG00000028116	VRK2	6	7	7	5	8	4
ENSG00000028137	TNFRSF1B	423	296	190	230	415	238
ENSG00000028203	VEZT	1325	1314	1080	1271	1339	1291
ENSG00000028277	POU2F2	36	33	43	27	59	26
ENSG00000028310	BRD9	1088	1609	1518	1306	1370	1325
ENSG00000028528	SNX1	1385	1490	1118	1440	1674	1375
ENSG00000028839	TBPL1	501	385	371	401	468	397
ENSG00000029153	ARNTL2	864	762	745	719	731	761
ENSG00000029363	BCLAF1	3794	3918	3680	4111	4000	3890
ENSG00000029364	SLC39A9	1880	1833	1514	1952	1864	1937
ENSG00000029534	ANK1	12	12	9	26	14	17
ENSG00000029639	TFB1M	389	286	215	292	356	273
ENSG00000029725	RABEP1	1009	892	870	953	921	857
ENSG00000029993	HMGB3	1423	1362	1387	1612	1411	1293
ENSG00000030066	NUP160	1689	1836	1612	1893	1830	1680
ENSG00000030110	BAK1	1684	1416	1309	1422	1625	1270
ENSG00000030304	MUSK	6	2	3	9	8	2
ENSG00000030419	IKZF2	143	163	110	141	173	185
ENSG00000030582	GRN	4732	4245	3563	4694	5252	4082
ENSG00000031003	FAM13B	431	650	714	598	541	641
ENSG00000031081	ARHGAP31	977	888	795	862	1052	808
ENSG00000031691	CENPQ	557	453	348	527	447	446
ENSG00000031698	SARS	5532	4783	5024	5184	5143	5149
ENSG00000031823	RANBP3	1354	1353	1185	1368	1505	1154
