id	sym	WT_1	WT_2	WT_3	Cbfb_MYH11_1	Cbfb_MYH11_2	Cbfb_MYH11_3
ENSMUSG00000000276	Dgke	300	263	242	381	513	398
ENSMUSG00000000278	Scpep1	727	685	561	3578	4091	3651
ENSMUSG00000000282	Mnt	1119	1211	901	1549	1557	1611
ENSMUSG00000000290	Itgb2	35748	47667	38184	14283	19190	11900
ENSMUSG00000000295	Hddc2	466	362	309	521	526	525
ENSMUSG00000000296	Tpd52l1	6	1	1	70	53	91
ENSMUSG00000000301	Pemt	90	81	72	110	122	114
ENSMUSG00000000303	Cdh1	182	164	159	299	173	236
ENSMUSG00000000305	Cdh4	2	2	1	0	0	1
ENSMUSG00000000308	Ckmt1	0	1	1	1	0	0
ENSMUSG00000000317	Bcl6b	14	9	3	6	11	9
ENSMUSG00000000318	Clec10a	163	143	125	3205	2248	3161
ENSMUSG00000000320	Alox12	16	8	10	27	9	28
ENSMUSG00000000325	Arvcf	336	296	225	276	253	298
ENSMUSG00000000326	Comt	2374	2494	1952	4552	3911	4533
ENSMUSG00000000339	Rtca	1220	1185	984	1149	1189	1158
ENSMUSG00000000340	Dbt	611	457	472	1023	1016	998
ENSMUSG00000000346	Dazap2	16944	17240	15046	19350	18817	18195
ENSMUSG00000000355	Mcts1	1172	1127	1012	1285	1469	1353
ENSMUSG00000000359	Rem1	6	7	6	56	58	53
ENSMUSG00000000365	Rnf17	129	87	65	90	67	75
ENSMUSG00000000374	Trappc10	5475	5629	4617	4367	4876	4254
ENSMUSG00000000378	Ccm2	2507	2895	2284	3363	3158	3535
ENSMUSG00000000384	Tbrg4	2859	2949	2303	2667	2887	2544
ENSMUSG00000000386	Mx1	39	60	49	576	903	665
ENSMUSG00000000392	Fap	5	2	6	7	10	11
ENSMUSG00000000394	Gcg	0	1	1	0	7	0
ENSMUSG00000000399	Ndufa9	3493	3308	2800	3834	3807	3767
ENSMUSG00000000402	Egfl6	21	17	7	17	20	33
ENSMUSG00000000409	Lck	268	346	239	170	324	204
ENSMUSG00000000416	Cttnbp2	4	1	3	28	43	22
ENSMUSG00000000420	Galnt1	9032	8214	7281	10836	10674	10938
ENSMUSG00000000439	Mkrn2	876	911	699	967	966	983
ENSMUSG00000000440	Pparg	152	190	173	299	220	242
ENSMUSG00000000441	Raf1	5329	6323	5235	4736	5504	4622
ENSMUSG00000000486	Sept1	3911	4859	3862	2722	2705	2349
ENSMUSG00000000489	Pdgfb	69	68	82	264	254	301
ENSMUSG00000000530	Acvrl1	2148	2927	2343	977	1123	741
ENSMUSG00000000531	Grasp	15	12	12	26	25	27
ENSMUSG00000000532	Acvr1b	1313	1281	1043	4579	4182	4632
ENSMUSG00000000538	Tom1l2	511	481	449	880	994	869
ENSMUSG00000000552	Zfp385a	619	591	442	3311	2869	3288
ENSMUSG00000000555	Itga5	1725	1732	1333	1756	2039	1640
ENSMUSG00000000561	Wdr77	1314	1313	1015	1196	1288	1244
ENSMUSG00000000562	Adora3	50	45	63	860	642	885
ENSMUSG00000000563	Atp5f1	13118	13129	10982	14046	13676	13721
ENSMUSG00000000568	Hnrnpd	14207	12709	11384	12660	13770	12337
ENSMUSG00000000579	Dynlt1c	299	391	293	302	590	390
ENSMUSG00000000581	C1d	2463	2260	2008	2188	2159	2062
ENSMUSG00000000594	Gm2a	3574	3378	3090	14218	13099	13645
ENSMUSG00000000600	Krit1	1456	1556	1218	1824	2443	2058
ENSMUSG00000000605	Clcn4	1764	1896	1561	3119	3161	2920
ENSMUSG00000000617	Grm6	6	9	7	28	28	33
ENSMUSG00000000627	Sema4f	430	495	486	48	103	30
ENSMUSG00000000628	Hk2	3720	4192	3368	2757	3626	2696
ENSMUSG00000000631	Myo18a	4448	4815	3869	3234	4030	3621
ENSMUSG00000000632	Sez6	0	0	0	25	11	19
ENSMUSG00000000673	Haao	318	347	334	1122	1211	1120
ENSMUSG00000000682	Cd52	14872	20211	16157	8432	10732	7394
ENSMUSG00000000686	Abhd15	168	143	126	388	286	289
ENSMUSG00000000690	Hoxb6	0	1	0	2	0	3
ENSMUSG00000000693	Loxl3	49	68	42	82	99	102
ENSMUSG00000000706	Btn1a1	30	11	11	4	3	1
ENSMUSG00000000708	Kat2b	1824	1937	1670	2678	3234	2537
ENSMUSG00000000711	Rab5b	6962	7562	6258	5251	5946	5117
ENSMUSG00000000730	Dnmt3l	76	77	67	67	98	56
ENSMUSG00000000731	Aire	0	0	3	6	9	5
ENSMUSG00000000732	Icosl	846	1266	1108	1014	1269	807
ENSMUSG00000000738	Spg7	1996	1968	1589	2184	2124	2101
ENSMUSG00000000739	Sult5a1	0	0	0	1	5	0
ENSMUSG00000000740	Rpl13	25339	22235	17902	28709	24646	28581
ENSMUSG00000000743	Chmp1a	3545	3704	2976	3961	3966	3857
ENSMUSG00000000751	Rpa1	8214	7763	6455	10990	10281	11152
ENSMUSG00000000753	Serpinf1	459	320	292	771	741	815
ENSMUSG00000000759	Tubgcp3	2782	2869	2270	2772	3488	2884
ENSMUSG00000000776	Polr3d	482	520	401	470	531	530
ENSMUSG00000000782	Tcf7	218	231	190	42	79	40
ENSMUSG00000000787	Ddx3x	23461	23087	20349	24687	26926	24498
ENSMUSG00000000791	Il12rb1	78	97	56	124	299	156
ENSMUSG00000000792	Slc5a5	1	2	1	2	5	1
ENSMUSG00000000794	Kcnn3	2	2	0	1	1	0
ENSMUSG00000000804	Usp32	2782	3242	2678	3748	4198	3797
ENSMUSG00000000805	Car4	0	0	1	1	5	3
ENSMUSG00000000811	Txnrd3	366	279	285	384	515	428
ENSMUSG00000000817	Fasl	20	36	5	16	42	30
ENSMUSG00000000823	Zfp512b	784	737	668	1196	1642	1344
ENSMUSG00000000826	Dnajc5	6804	7088	6020	6313	7398	6412
ENSMUSG00000000827	Tpd52l2	2816	2767	2228	2563	2629	2409
ENSMUSG00000000838	Fmr1	4452	4600	3863	4352	5152	4074
ENSMUSG00000000861	Bcl11a	2540	2261	1766	4374	4350	4711
ENSMUSG00000000869	Il4	7	10	20	407	354	537
ENSMUSG00000000876	Pxmp4	1230	1183	990	1305	1267	1232
ENSMUSG00000000881	Dlg3	321	236	171	236	226	261
ENSMUSG00000000884	Gnb1l	232	191	153	163	155	181
ENSMUSG00000000901	Mmp11	25	25	17	116	181	149
ENSMUSG00000000902	Smarcb1	2917	3139	2354	3117	3156	3188
ENSMUSG00000000903	Vpreb3	459	471	295	513	879	749
ENSMUSG00000000915	Hip1r	3766	4381	3646	970	1385	909
ENSMUSG00000000916	Nsun5	591	597	449	521	570	537
ENSMUSG00000000934	Top1mt	281	259	218	312	331	317
ENSMUSG00000000938	Hoxa10	13	9	12	40	19	29
ENSMUSG00000000942	Hoxa4	11	13	9	7	8	14
ENSMUSG00000000948	Gm38393	0	0	0	0	1	1
ENSMUSG00000000957	Mmp14	1001	897	693	2935	2199	2656
ENSMUSG00000000958	Slc7a7	503	594	451	1114	1007	1099
ENSMUSG00000000959	Oxa1l	2383	2225	1748	2885	2759	2834
ENSMUSG00000000976	Heatr6	1537	1797	1349	1568	1837	1623
ENSMUSG00000000982	Ccl3	32	87	112	187	751	308
ENSMUSG00000000983	Wfdc18	0	2	1	10	9	9
ENSMUSG00000001014	Icam4	316	310	250	830	658	824
ENSMUSG00000001016	Ilf2	5600	5904	4792	4009	4745	4203
ENSMUSG00000001017	Chtop	5665	5984	4578	5989	5933	5916
ENSMUSG00000001018	Snapin	1259	1019	1040	1562	1620	1494
ENSMUSG00000001020	S100a4	39	20	22	583	461	523
ENSMUSG00000001021	S100a3	5	6	5	1	0	1
ENSMUSG00000001023	S100a5	1	2	0	1	3	1
ENSMUSG00000001025	S100a6	5875	8762	7581	3968	5131	2981
ENSMUSG00000001027	Scn4a	20	20	14	18	42	33
ENSMUSG00000001029	Icam2	909	1012	824	1584	1683	1658
ENSMUSG00000001034	Mapk7	1097	1339	1019	1828	2082	1817
ENSMUSG00000001036	Epn2	33	27	23	132	107	118
ENSMUSG00000001039	B9d1	30	21	14	323	268	423
ENSMUSG00000001052	Sec24b	2112	2375	1926	2996	3342	3003
ENSMUSG00000001053	N4bp3	171	165	135	80	90	100
ENSMUSG00000001054	Rmnd5b	2238	2442	2074	1363	1492	1313
ENSMUSG00000001056	Nhp2	3087	2831	2314	2374	2339	2310
ENSMUSG00000001062	Vps9d1	638	917	724	945	1209	897
ENSMUSG00000001065	Zfp276	1052	1576	1052	862	1213	929
ENSMUSG00000001082	Mfsd10	3426	3085	2651	2732	2758	2611
ENSMUSG00000001089	Luzp1	219	200	162	871	1015	1036
ENSMUSG00000001095	Slc13a2	26	42	21	10	12	7
ENSMUSG00000001098	Kctd10	4417	4986	3803	5329	5341	5075
ENSMUSG00000001100	Poldip2	2607	2562	2068	2360	2242	2353
ENSMUSG00000001105	Ift20	1123	1151	927	1361	1277	1244
ENSMUSG00000001119	Col6a1	0	3	6	8	7	23
ENSMUSG00000001120	Pcbp3	192	166	133	513	383	468
ENSMUSG00000001123	Lgals9	11181	11115	8247	13928	13911	13736
ENSMUSG00000001127	Araf	1984	2129	1721	2460	2913	2555
ENSMUSG00000001128	Cfp	3742	5209	3657	11662	11714	12020
ENSMUSG00000001131	Timp1	1	0	1	9	3	6
ENSMUSG00000001134	Uxt	766	720	606	657	754	672
ENSMUSG00000001138	Cnnm3	1441	1501	1310	1519	1543	1591
ENSMUSG00000001143	Lman2l	1728	2213	1614	1500	1822	1558
ENSMUSG00000001150	Mcm3ap	3708	4263	3458	3362	4091	3463
ENSMUSG00000001151	Pcnt	3243	3473	2817	4584	5378	4789
ENSMUSG00000001156	Mxd1	9338	13929	10789	2833	4717	2636
ENSMUSG00000001157	Gmcl1	1421	1435	1235	1271	1336	1359
ENSMUSG00000001158	Snrnp27	1449	1595	1305	1342	1359	1400
ENSMUSG00000001166	Oas1c	196	214	178	316	287	261
ENSMUSG00000001173	Ocrl	1807	1705	1521	1566	1931	1482
ENSMUSG00000001175	Calm1	24498	28123	22705	22828	23441	21475
ENSMUSG00000001211	Agpat3	853	872	628	1303	1199	1307
ENSMUSG00000001225	Slc26a3	12	5	8	4	3	7
ENSMUSG00000001227	Sema6b	271	244	198	555	666	679
ENSMUSG00000001228	Uhrf1	11347	11290	9465	9490	10928	9359
ENSMUSG00000001229	Dpp9	3291	3815	2875	4172	4691	4299
ENSMUSG00000001240	Ramp2	4	1	0	4	6	5
ENSMUSG00000001247	Lsr	32	15	31	63	62	63
ENSMUSG00000001248	Gramd1a	1751	2336	1641	1839	2654	1984
ENSMUSG00000001249	Hpn	893	870	587	1069	965	1166
ENSMUSG00000001270	Ckb	396	298	268	688	529	564
ENSMUSG00000001280	Sp1	7279	6874	5561	8525	9558	8716
ENSMUSG00000001281	Itgb7	1005	1166	1015	12449	12260	11506
ENSMUSG00000001285	Myg1	1181	1274	996	1176	1208	1255
ENSMUSG00000001288	Rarg	307	377	258	1244	1079	1115
ENSMUSG00000001289	Pfdn5	4764	4727	3972	4288	4299	4167
ENSMUSG00000001300	Efnb2	19	14	12	18	15	17
ENSMUSG00000001305	Rrp15	1305	1234	937	977	973	967
ENSMUSG00000001313	Rnd2	53	38	39	190	153	229
ENSMUSG00000001323	Srr	375	332	307	421	424	419
ENSMUSG00000001333	Sync	0	0	0	8	8	7
ENSMUSG00000001334	Fndc5	10	4	6	21	25	19
ENSMUSG00000001348	Acp5	1895	1387	1532	2580	2046	1975
ENSMUSG00000001349	Cnn1	8	3	2	65	72	80
ENSMUSG00000001366	Fbxo9	1842	1749	1557	1686	1694	1654
ENSMUSG00000001376	Vps50	1207	1166	948	1386	1433	1369
ENSMUSG00000001380	Hars	4894	4519	3773	4936	4720	4567
ENSMUSG00000001383	Zmat2	3913	3870	3236	3665	3778	3514
ENSMUSG00000001403	Ube2c	7531	7183	5767	5040	5502	5083
ENSMUSG00000001415	Smg5	4086	4473	3726	4889	5461	4977
ENSMUSG00000001416	Cct3	9849	9842	7925	10684	11137	10606
ENSMUSG00000001418	Glmp	2692	2976	2414	3752	3524	3642
ENSMUSG00000001419	Mef2d	3322	3026	2404	4936	6012	5869
ENSMUSG00000001420	Tmem79	145	152	139	74	77	65
ENSMUSG00000001424	Snd1	7241	6739	5986	10035	10400	10069
ENSMUSG00000001435	Col18a1	12	11	11	77	62	94
ENSMUSG00000001436	Slc19a1	1204	1280	988	1795	1707	1784
ENSMUSG00000001440	Kpnb1	20451	20932	17293	21595	24104	21373
ENSMUSG00000001441	Npepps	6411	7703	5779	3516	4260	3373
ENSMUSG00000001444	Tbx21	47	94	50	25	54	18
ENSMUSG00000001445	Mrpl10	2336	2392	1957	2096	2186	2139
ENSMUSG00000001467	Cyp51	659	566	570	904	827	774
ENSMUSG00000001472	Tcf25	6598	7097	6030	8902	9359	9557
ENSMUSG00000001473	Tubb6	206	473	120	877	864	857
ENSMUSG00000001482	Def8	4760	4695	3743	4817	5135	5166
ENSMUSG00000001493	Meox1	0	0	1	2	3	2
ENSMUSG00000001497	Pax9	1	0	0	0	0	0
ENSMUSG00000001506	Col1a1	176	146	230	18	30	39
ENSMUSG00000001507	Itga3	8	18	5	6	6	6
ENSMUSG00000001508	Sgca	2	0	0	0	1	0
ENSMUSG00000001517	Foxm1	4053	4557	3402	3639	4829	3975
ENSMUSG00000001518	Itfg2	428	454	340	546	565	574
ENSMUSG00000001520	Nrip2	0	0	0	2	4	5
ENSMUSG00000001521	Tulp3	83	73	43	163	192	168
ENSMUSG00000001524	Gtf2h4	753	727	541	676	661	697
ENSMUSG00000001525	Tubb5	54501	51248	40206	52999	57402	54905
ENSMUSG00000001542	Ell2	1686	1759	1471	1436	1245	1325
ENSMUSG00000001552	Jup	672	644	581	699	845	587
ENSMUSG00000001555	Fkbp10	7	2	4	2	4	5
ENSMUSG00000001558	Klhl10	2	2	4	10	12	11
ENSMUSG00000001569	Nom1	1879	1818	1504	2047	1960	1933
ENSMUSG00000001576	Ergic1	2359	2348	2032	2779	2939	2929
ENSMUSG00000001583	Tnk1	15	14	9	20	29	33
ENSMUSG00000001588	Acap1	4834	6591	5166	2950	4117	3279
ENSMUSG00000001604	Tcea3	30	47	26	34	36	34
ENSMUSG00000001627	Ifrd1	1612	1820	1520	1119	1291	1194
ENSMUSG00000001630	Stk38l	344	360	320	311	288	281
ENSMUSG00000001632	Brpf1	3530	4136	3400	3796	4753	3755
ENSMUSG00000001642	Akr1b3	3014	2756	2409	4847	4741	4851
ENSMUSG00000001661	Hoxc6	3	0	2	9	8	10
ENSMUSG00000001663	Gstt1	28	32	27	254	224	285
ENSMUSG00000001665	Gstt3	95	52	67	123	87	88
ENSMUSG00000001666	Ddt	230	223	192	297	278	310
ENSMUSG00000001672	Marveld3	0	0	0	1	0	0
ENSMUSG00000001674	Ddx18	3283	3211	2672	3142	3367	3190
ENSMUSG00000001687	Ubl3	3366	4200	3382	4497	4105	4322
ENSMUSG00000001700	Gramd3	254	198	201	660	881	683
ENSMUSG00000001707	Eef1e1	1642	1553	1215	1326	1194	1278
ENSMUSG00000001729	Akt1	9135	9835	8027	10838	11435	10625
ENSMUSG00000001739	Cldn15	4231	4644	3987	852	1612	724
ENSMUSG00000001741	Il16	7307	9262	7195	5032	6002	4807
ENSMUSG00000001750	Tcirg1	4446	5426	4544	4413	6791	4808
ENSMUSG00000001751	Naglu	557	517	487	756	640	759
ENSMUSG00000001755	Coasy	1347	1375	1235	1105	1242	1154
ENSMUSG00000001761	Smo	699	575	513	1833	1600	1592
ENSMUSG00000001763	Tspan33	2617	2484	1931	4350	3654	4345
ENSMUSG00000001767	Crnkl1	2976	3228	2593	2536	2676	2486
ENSMUSG00000001768	Rin2	1061	1524	1236	2209	2355	2251
ENSMUSG00000001774	Chordc1	2640	3029	2377	2332	2602	2422
ENSMUSG00000001783	Rtcb	5604	5276	4247	7409	7335	7567
ENSMUSG00000001785	Pwp1	3999	4194	3400	2893	3009	2920
ENSMUSG00000001786	Fbxo7	1883	1681	1489	1730	1668	1737
ENSMUSG00000001794	Capns1	12983	13701	11667	12653	13059	11886
ENSMUSG00000001802	Lrp3	2	0	0	0	0	0
ENSMUSG00000001827	Folr1	22	21	11	26	22	9
ENSMUSG00000001829	Clpb	1234	1363	1035	1158	1185	1133
ENSMUSG00000001833	Sept7	9797	10271	8540	9152	9780	9306
ENSMUSG00000001844	Zdhhc4	1176	1137	1011	1117	1233	1106
ENSMUSG00000001847	Rac1	14054	14593	11948	17718	18094	17178
ENSMUSG00000001855	Nup214	3090	3162	2810	4143	4904	4702
ENSMUSG00000001864	Aif1l	2	6	7	92	68	106
ENSMUSG00000001865	Cpa3	1904	1574	1448	35331	17481	34995
ENSMUSG00000001870	Ltbp1	70	66	39	25	21	12
ENSMUSG00000001891	Ugp2	5268	5962	5264	3004	3716	2989
ENSMUSG00000001901	Kcnh6	0	0	0	3	2	2
ENSMUSG00000001909	Trmt1	1497	1524	1141	1941	2092	2132
ENSMUSG00000001910	Nacc1	5810	6095	4641	6159	6848	6497
ENSMUSG00000001911	Nfix	1074	1070	833	1520	1446	1526
ENSMUSG00000001918	Slc1a5	2887	2825	2428	3769	4540	4031
ENSMUSG00000001924	Uba1	17754	19334	16296	25470	26264	26121
ENSMUSG00000001930	Vwf	488	399	441	199	143	172
ENSMUSG00000001942	Siae	730	669	536	1273	1179	1176
ENSMUSG00000001943	Vsig2	1	0	0	1	3	1
ENSMUSG00000001946	Esam	41	42	44	51	43	58
ENSMUSG00000001948	Spa17	46	41	26	42	44	30
ENSMUSG00000001962	Fam50a	1696	1817	1445	1581	1631	1520
ENSMUSG00000001964	Emd	2445	2393	2087	2560	2550	2521
ENSMUSG00000001983	Taco1	501	562	428	718	662	754
ENSMUSG00000001986	Gria3	1509	1138	1047	2293	2802	2643
ENSMUSG00000001995	Sipa1l2	940	1237	1094	754	1049	836
ENSMUSG00000001998	Ap4e1	779	871	706	1193	1374	1243
ENSMUSG00000001999	Blvra	1150	1058	841	2337	2087	2295
ENSMUSG00000002006	Pdzd4	57	39	39	144	140	174
ENSMUSG00000002007	Srpk3	21	29	18	3	6	3
ENSMUSG00000002010	Idh3g	4724	4543	3757	6042	5939	5803
ENSMUSG00000002012	Pnck	11	8	5	14	16	17
ENSMUSG00000002014	Ssr4	3842	3554	3235	4254	4198	4279
ENSMUSG00000002015	Bcap31	6059	6034	5139	6143	6028	5683
ENSMUSG00000002017	Fam98a	1928	1835	1482	1918	1947	1919
ENSMUSG00000002020	Ltbp2	5	3	1	8	9	19
ENSMUSG00000002028	Kmt2a	2142	2577	2073	4714	6575	5122
ENSMUSG00000002031	Ift46	513	538	440	849	758	763
ENSMUSG00000002032	Tmem25	5	1	1	5	13	3
ENSMUSG00000002033	Cd3g	60	173	71	122	274	122
ENSMUSG00000002043	Trappc6a	813	681	628	1069	834	1076
ENSMUSG00000002052	Supt6	5323	5994	4904	6655	7292	6935
ENSMUSG00000002055	Spag5	5090	5048	4320	3933	4966	4068
ENSMUSG00000002058	Unc119	2935	3789	2953	1538	2047	1247
ENSMUSG00000002059	Rab34	14	13	9	10	14	9
ENSMUSG00000002064	Sdf2	1202	1367	1104	1475	1495	1547
ENSMUSG00000002068	Ccne1	3104	2819	2235	1217	1410	1080
ENSMUSG00000002076	Hsf2bp	5	4	5	2	4	0
ENSMUSG00000002083	Bbc3	53	53	52	408	290	545
ENSMUSG00000002100	Mybpc3	21	25	20	39	67	26
ENSMUSG00000002102	Psmc3	8370	8113	6783	7594	7885	7471
ENSMUSG00000002103	Acp2	1480	1685	1431	2201	2017	1865
ENSMUSG00000002104	Rapsn	65	51	37	86	41	82
ENSMUSG00000002105	Slc39a13	318	332	254	466	508	495
ENSMUSG00000002107	Celf2	7913	8280	7143	9584	11177	10340
ENSMUSG00000002108	Nr1h3	115	201	142	444	289	408
ENSMUSG00000002109	Ddb2	300	299	287	319	548	374
ENSMUSG00000002111	Spi1	9028	10875	8447	6254	6683	5889
ENSMUSG00000002129	Sf3a1	5961	6018	4803	6951	7254	7055
ENSMUSG00000002147	Stat6	6532	7633	6204	7763	8785	7578
ENSMUSG00000002190	Clgn	67	66	56	706	506	851
ENSMUSG00000002204	Napsa	8819	9361	7908	11871	12412	11018
ENSMUSG00000002205	Vrk3	2485	2673	2114	2673	2687	2668
ENSMUSG00000002210	Smg9	2495	2923	2358	1934	1901	2012
ENSMUSG00000002221	Paxip1	2827	2955	2401	2716	3018	2723
ENSMUSG00000002222	Rmnd5a	4015	3699	3168	6334	6174	6219
ENSMUSG00000002227	Mov10	799	1047	896	803	1012	811
ENSMUSG00000002228	Ppm1j	8	14	5	5	13	11
ENSMUSG00000002233	Rhoc	66	130	110	163	87	138
ENSMUSG00000002249	Tead3	3	4	2	18	12	10
ENSMUSG00000002250	Ppard	579	596	461	2057	1965	2190
ENSMUSG00000002257	Def6	4831	5068	4018	3254	3353	3341
ENSMUSG00000002265	Peg3	1	1	1	0	1	1
ENSMUSG00000002274	Metrn	745	742	572	527	486	554
ENSMUSG00000002279	Lmf1	424	381	337	1023	807	914
ENSMUSG00000002280	Narfl	1111	1178	914	1205	1225	1240
ENSMUSG00000002289	Angptl4	452	425	358	441	418	426
ENSMUSG00000002297	Dbf4	4045	3590	3241	3061	3600	3274
ENSMUSG00000002307	Daxx	1844	2042	1598	1828	1955	1734
ENSMUSG00000002308	Cd320	247	237	229	171	226	186
ENSMUSG00000002319	Ipo4	957	970	804	1522	1544	1561
ENSMUSG00000002320	Tm9sf1	1698	1794	1424	2286	2624	2369
ENSMUSG00000002324	Rec8	404	411	289	981	1075	1010
ENSMUSG00000002325	Irf9	1638	2030	1348	2572	3069	2606
ENSMUSG00000002326	Gmpr2	1171	1099	979	1418	1554	1463
ENSMUSG00000002329	Mdp1	900	811	735	1218	1307	1179
ENSMUSG00000002332	Dhrs1	1732	2051	1733	1905	2062	1826
ENSMUSG00000002341	Ncan	0	0	1	0	0	0
ENSMUSG00000002342	Tmem161a	1023	1151	865	877	842	828
ENSMUSG00000002343	Armc6	439	497	347	399	443	477
ENSMUSG00000002345	Borcs8	964	1128	915	1059	1060	992
ENSMUSG00000002346	Slc25a42	325	303	215	219	201	208
ENSMUSG00000002365	Snx9	1813	1711	1486	1724	1942	1784
ENSMUSG00000002372	Ranbp3	3433	3586	2890	4558	4702	4769
ENSMUSG00000002379	Ndufa11	1482	1504	1201	1873	1728	1752
ENSMUSG00000002384	Bmp8b	7	5	4	1	3	1
ENSMUSG00000002393	Nr2f6	87	116	81	168	137	230
ENSMUSG00000002395	Use1	2685	2504	2184	2734	2716	2709
ENSMUSG00000002396	Ocel1	387	427	319	440	478	434
ENSMUSG00000002409	Dyrk1b	261	299	243	461	456	476
ENSMUSG00000002413	Braf	2398	2703	2299	2354	3162	2366
ENSMUSG00000002416	Ndufb2	231	217	165	244	249	222
ENSMUSG00000002428	Hltf	1987	2059	1666	2580	2847	2544
ENSMUSG00000002455	Prpf6	3180	3302	2856	3342	3407	3378
ENSMUSG00000002458	Rgs19	6956	8276	6534	4040	5253	4078
ENSMUSG00000002475	Abhd3	2	9	1	15	5	9
ENSMUSG00000002477	Snrpd1	4376	3974	3399	3407	3670	3565
ENSMUSG00000002486	Tchp	281	261	237	369	408	397
ENSMUSG00000002489	Tiam1	4916	5758	4656	4931	6138	4850
ENSMUSG00000002496	Tsc2	2717	2834	2490	3340	3555	3408
ENSMUSG00000002500	Rpl3l	18	19	22	29	35	23
ENSMUSG00000002504	Slc9a3r2	285	280	259	86	189	78
ENSMUSG00000002524	Puf60	5558	5883	4655	5211	5301	5469
ENSMUSG00000002546	Golga2	3219	3723	3072	3475	3888	3614
ENSMUSG00000002550	Uck1	1647	1630	1268	1940	1831	1931
ENSMUSG00000002565	Scin	171	163	109	653	387	473
ENSMUSG00000002578	Ikzf4	3	7	2	266	226	263
ENSMUSG00000002580	Mien1	1189	1390	1042	1174	1188	1178
ENSMUSG00000002602	Axl	2046	2590	1606	4639	3173	3599
ENSMUSG00000002603	Tgfb1	6397	6267	4926	10557	9722	11058
ENSMUSG00000002608	Ccdc97	2192	2528	1874	2051	2277	2026
ENSMUSG00000002617	Zfp40	231	199	165	330	378	338
ENSMUSG00000002625	Akap8l	822	897	726	1400	1613	1476
ENSMUSG00000002635	Pdcd2l	435	437	347	571	586	571
ENSMUSG00000002658	Gtf2f1	4783	4769	3831	4298	4423	4066
ENSMUSG00000002660	Clpp	1135	1098	917	1026	1061	1093
ENSMUSG00000002661	Alkbh7	202	189	138	238	178	220
ENSMUSG00000002664	Pspn	0	1	0	3	0	0
ENSMUSG00000002668	Dennd1c	1122	1593	1261	1022	1592	1079
ENSMUSG00000002679	Med6	699	700	570	533	612	539
ENSMUSG00000002688	Prkd1	0	1	1	515	441	592
ENSMUSG00000002699	Lcp2	7026	8790	7344	15506	13981	16030
ENSMUSG00000002718	Cse1l	6721	6527	5141	6733	7521	6776
ENSMUSG00000002728	Naa20	1488	1398	1175	1484	1686	1497
ENSMUSG00000002731	Prkra	798	788	722	820	761	798
ENSMUSG00000002732	Fkbp7	40	35	33	101	87	109
ENSMUSG00000002733	Plekha3	955	960	766	1582	1457	1610
ENSMUSG00000002741	Ykt6	4366	4565	3590	3644	3972	3629
