id	sym	WT_aTreg_1	WT_aTreg_2	WT_aTreg_3	WT_rTreg_1	WT_rTreg_2
ENSMUSG00000001441	Npepps	2636	2743	2828	636	863
ENSMUSG00000001444	Tbx21	32	16	531	21	22
ENSMUSG00000001445	Mrpl10	1208	1242	974	910	696
ENSMUSG00000001467	Cyp51	1521	1895	1337	1032	1078
ENSMUSG00000001472	Tcf25	5691	5344	5215	4478	6112
ENSMUSG00000001473	Tubb6	91	72	101	14	37
ENSMUSG00000001482	Def8	545	538	483	256	380
ENSMUSG00000001496	Nkx2-1	0	2	1	0	0
ENSMUSG00000001504	Irx2	0	1	0	0	0
ENSMUSG00000001506	Col1a1	7	11	43	10	4
ENSMUSG00000001507	Itga3	89	88	286	27	41
ENSMUSG00000001517	Foxm1	333	130	361	9	89
ENSMUSG00000001518	Itfg2	494	471	336	341	444
ENSMUSG00000001520	Nrip2	42	36	17	21	38
ENSMUSG00000001521	Tulp3	348	376	224	22	30
ENSMUSG00000001524	Gtf2h4	388	325	321	324	316
ENSMUSG00000001525	Tubb5	21970	22275	15555	3337	2982
ENSMUSG00000001542	Ell2	101	97	712	49	34
ENSMUSG00000001552	Jup	203	264	18	13	56
ENSMUSG00000001555	Fkbp10	3	1	0	2	1
ENSMUSG00000001558	Klhl10	11	3	6	8	4
ENSMUSG00000001566	Mnx1	0	3	0	2	0
ENSMUSG00000001569	Nom1	1398	1357	1235	921	1125
ENSMUSG00000001576	Ergic1	1804	1214	3704	801	1246
ENSMUSG00000001583	Tnk1	0	0	0	2	0
ENSMUSG00000001588	Acap1	5290	5002	5126	7886	10971
ENSMUSG00000001604	Tcea3	1	0	6	3	0
ENSMUSG00000001627	Ifrd1	866	1024	769	1465	899
ENSMUSG00000001630	Stk38l	424	402	423	203	309
ENSMUSG00000001632	Brpf1	1919	1901	1679	651	1848
ENSMUSG00000001642	Akr1b3	4055	4132	3066	4310	3313
ENSMUSG00000001663	Gstt1	1	0	4	0	0
ENSMUSG00000001665	Gstt3	2	6	159	5	3
ENSMUSG00000001666	Ddt	181	147	138	114	68
ENSMUSG00000001672	Marveld3	0	0	0	1	0
ENSMUSG00000001674	Ddx18	2456	2436	1682	897	867
ENSMUSG00000001687	Ubl3	2555	2593	4189	2404	2218
ENSMUSG00000001700	Gramd3	2737	3206	966	2199	2635
ENSMUSG00000001707	Eef1e1	861	805	555	1226	658
ENSMUSG00000001729	Akt1	3498	3109	3388	1873	3305
ENSMUSG00000001739	Cldn15	0	0	0	1	0
ENSMUSG00000001741	Il16	5268	6135	6190	5601	5921
ENSMUSG00000001750	Tcirg1	560	387	942	491	1169
ENSMUSG00000001751	Naglu	681	604	410	413	608
ENSMUSG00000001755	Coasy	520	516	505	560	686
ENSMUSG00000001761	Smo	118	130	10	7	20
ENSMUSG00000001763	Tspan33	2	1	1	0	3
ENSMUSG00000001767	Crnkl1	2055	2247	1989	1297	1169
ENSMUSG00000001768	Rin2	15	5	568	5	20
ENSMUSG00000001774	Chordc1	3914	3553	3909	3254	2526
ENSMUSG00000001783	Rtcb	4975	4477	3232	2646	2663
ENSMUSG00000001785	Pwp1	1532	1508	1087	1743	1660
ENSMUSG00000001786	Fbxo7	917	868	844	1073	775
ENSMUSG00000001794	Capns1	4371	4555	5270	605	956
ENSMUSG00000001802	Lrp3	2	0	35	0	0
ENSMUSG00000001827	Folr1	0	0	0	1	0
ENSMUSG00000001829	Clpb	612	667	505	463	631
ENSMUSG00000001833	Sept7	10052	10733	9924	11290	7139
ENSMUSG00000001844	Zdhhc4	832	738	745	848	742
ENSMUSG00000001847	Rac1	8436	9052	8201	8395	7003
ENSMUSG00000001855	Nup214	2907	2925	2582	719	1432
ENSMUSG00000001864	Aif1l	0	1	3	0	0
ENSMUSG00000001865	Cpa3	26	30	10	29	10
ENSMUSG00000001870	Ltbp1	18	7	6	15	30
ENSMUSG00000001891	Ugp2	1493	1470	1831	956	728
ENSMUSG00000001901	Kcnh6	2	1	1	11	12
ENSMUSG00000001909	Trmt1	1672	1501	1121	774	951
ENSMUSG00000001910	Nacc1	2796	2658	3221	94	477
ENSMUSG00000001911	Nfix	562	452	266	125	96
ENSMUSG00000001918	Slc1a5	2769	2100	3942	5359	5756
ENSMUSG00000001924	Uba1	15627	15133	14048	3547	6286
ENSMUSG00000001930	Vwf	1	1	4	1	1
ENSMUSG00000001942	Siae	527	620	811	342	365
ENSMUSG00000001946	Esam	2	1	1	1	1
ENSMUSG00000001948	Spa17	1	2	2	3	1
ENSMUSG00000001962	Fam50a	1283	1195	1067	1265	852
ENSMUSG00000001964	Emd	1490	1497	1586	362	276
ENSMUSG00000001983	Taco1	297	292	279	112	93
ENSMUSG00000001985	Grik3	0	1	0	0	0
ENSMUSG00000001986	Gria3	4	7	1	1	0
ENSMUSG00000001988	Npas1	13	10	9	9	14
ENSMUSG00000001995	Sipa1l2	828	778	475	65	449
ENSMUSG00000001998	Ap4e1	878	926	896	294	500
ENSMUSG00000001999	Blvra	705	653	690	880	554
ENSMUSG00000002006	Pdzd4	52	47	19	6	9
ENSMUSG00000002007	Srpk3	2	2	1	3	5
ENSMUSG00000002010	Idh3g	2440	2268	2005	3927	2889
ENSMUSG00000002012	Pnck	5	14	32	21	10
ENSMUSG00000002014	Ssr4	1539	1348	1271	2009	1386
ENSMUSG00000002015	Bcap31	4226	3933	3199	5229	3554
ENSMUSG00000002017	Fam98a	889	882	828	351	428
ENSMUSG00000002020	Ltbp2	2	0	0	0	3
ENSMUSG00000002028	Kmt2a	10879	12232	16255	2191	2975
ENSMUSG00000002031	Ift46	532	537	535	300	162
ENSMUSG00000002032	Tmem25	0	2	8	0	5
ENSMUSG00000002033	Cd3g	11935	16609	15924	11063	6656
ENSMUSG00000002043	Trappc6a	449	367	338	767	629
ENSMUSG00000002052	Supt6	5871	6299	5303	477	1235
ENSMUSG00000002055	Spag5	200	56	273	8	39
ENSMUSG00000002057	Foxn1	0	0	0	1	0
ENSMUSG00000002058	Unc119	322	237	1322	340	208
ENSMUSG00000002059	Rab34	0	0	1	3	3
ENSMUSG00000002064	Sdf2	869	987	974	1271	858
ENSMUSG00000002068	Ccne1	297	196	242	208	299
ENSMUSG00000002076	Hsf2bp	3	1	9	13	12
ENSMUSG00000002083	Bbc3	879	861	493	269	300
ENSMUSG00000002100	Mybpc3	0	2	1	2	4
ENSMUSG00000002102	Psmc3	3725	3429	3307	3478	2956
ENSMUSG00000002103	Acp2	353	360	608	287	290
ENSMUSG00000002104	Rapsn	14	8	70	9	3
ENSMUSG00000002105	Slc39a13	233	187	446	301	358
ENSMUSG00000002107	Celf2	8939	10119	10186	3792	3005
ENSMUSG00000002108	Nr1h3	27	24	22	5	5
ENSMUSG00000002109	Ddb2	502	445	614	1377	1191
ENSMUSG00000002111	Spi1	2	2	11	3	1
ENSMUSG00000002129	Sf3a1	5304	4658	4740	1388	1880
ENSMUSG00000002147	Stat6	7450	7700	7195	4494	8363
ENSMUSG00000002190	Clgn	0	0	9	0	0
ENSMUSG00000002204	Napsa	1	1	14	0	0
ENSMUSG00000002205	Vrk3	2261	2061	1813	2410	2050
ENSMUSG00000002210	Smg9	1248	1247	720	629	932
ENSMUSG00000002221	Paxip1	1097	901	1173	435	989
ENSMUSG00000002222	Rmnd5a	7036	7024	6745	658	1699
ENSMUSG00000002227	Mov10	2852	1720	1548	754	1671
ENSMUSG00000002228	Ppm1j	382	361	277	640	1050
ENSMUSG00000002233	Rhoc	75	77	232	29	15
ENSMUSG00000002249	Tead3	5	3	21	0	1
ENSMUSG00000002250	Ppard	625	655	474	22	28
ENSMUSG00000002257	Def6	4862	4728	3572	2921	3089
ENSMUSG00000002265	Peg3	21	22	1	0	0
ENSMUSG00000002274	Metrn	27	26	19	13	18
ENSMUSG00000002279	Lmf1	377	298	293	375	413
ENSMUSG00000002280	Narfl	414	478	423	661	603
ENSMUSG00000002289	Angptl4	72	50	60	51	56
ENSMUSG00000002297	Dbf4	980	1041	1031	475	380
ENSMUSG00000002307	Daxx	3408	3039	1987	1623	2516
ENSMUSG00000002308	Cd320	130	162	250	223	197
ENSMUSG00000002319	Ipo4	1342	1254	1088	445	1019
ENSMUSG00000002320	Tm9sf1	1021	911	1081	906	1034
ENSMUSG00000002324	Rec8	6	51	212	6	1
ENSMUSG00000002325	Irf9	6362	4288	4218	5067	5919
ENSMUSG00000002326	Gmpr2	825	779	667	1119	926
ENSMUSG00000002329	Mdp1	1326	1260	1152	2445	1592
ENSMUSG00000002332	Dhrs1	538	469	555	479	344
ENSMUSG00000002341	Ncan	3	3	0	1	0
ENSMUSG00000002342	Tmem161a	750	684	676	867	882
ENSMUSG00000002343	Armc6	223	188	154	167	185
ENSMUSG00000002345	Borcs8	779	760	722	692	397
ENSMUSG00000002346	Slc25a42	141	153	295	104	223
ENSMUSG00000002365	Snx9	167	155	555	84	113
ENSMUSG00000002372	Ranbp3	2479	2160	2030	1519	2045
ENSMUSG00000002379	Ndufa11	896	799	631	1403	760
ENSMUSG00000002384	Bmp8b	1	2	4	1	4
ENSMUSG00000002393	Nr2f6	43	35	89	19	7
ENSMUSG00000002395	Use1	3436	3280	1939	1002	692
ENSMUSG00000002396	Ocel1	368	407	361	335	298
ENSMUSG00000002409	Dyrk1b	289	299	505	138	123
ENSMUSG00000002413	Braf	1416	1345	1591	360	517
ENSMUSG00000002416	Ndufb2	201	184	120	240	191
ENSMUSG00000002428	Hltf	2417	2468	2910	1293	1646
ENSMUSG00000002455	Prpf6	3165	3246	3021	1920	2619
ENSMUSG00000002458	Rgs19	2471	2626	1527	5002	2890
ENSMUSG00000002459	Rgs20	1	0	0	0	0
ENSMUSG00000002475	Abhd3	0	1	0	3	0
ENSMUSG00000002477	Snrpd1	1130	923	879	1040	544
ENSMUSG00000002486	Tchp	342	297	418	193	199
ENSMUSG00000002489	Tiam1	2200	1029	9355	264	406
ENSMUSG00000002496	Tsc2	1799	1680	1751	251	1070
ENSMUSG00000002500	Rpl3l	1	0	0	2	1
ENSMUSG00000002504	Slc9a3r2	3	1	3	1	0
ENSMUSG00000002524	Puf60	4163	4182	3678	5457	4378
ENSMUSG00000002546	Golga2	1646	1648	2036	340	791
ENSMUSG00000002550	Uck1	1252	1066	1281	1591	1552
ENSMUSG00000002565	Scin	4	5	106	10	2
ENSMUSG00000002578	Ikzf4	2228	738	5187	1643	1858
ENSMUSG00000002580	Mien1	453	378	321	634	380
ENSMUSG00000002602	Axl	151	119	2968	65	67
ENSMUSG00000002603	Tgfb1	3992	3802	4461	885	1643
ENSMUSG00000002608	Ccdc97	1766	1985	1741	614	840
ENSMUSG00000002617	Zfp40	167	170	349	205	123
ENSMUSG00000002625	Akap8l	1056	869	1356	3067	2799
ENSMUSG00000002633	Shh	0	1	0	0	0
ENSMUSG00000002635	Pdcd2l	335	292	298	539	350
ENSMUSG00000002658	Gtf2f1	1818	1639	1492	1586	1469
ENSMUSG00000002660	Clpp	523	486	404	1181	783
ENSMUSG00000002661	Alkbh7	240	227	168	376	163
ENSMUSG00000002664	Pspn	7	6	7	3	6
ENSMUSG00000002668	Dennd1c	2405	2113	2823	2584	2834
ENSMUSG00000002679	Med6	231	289	291	403	221
ENSMUSG00000002688	Prkd1	1	0	0	0	0
ENSMUSG00000002699	Lcp2	10609	10567	14155	8671	6938
ENSMUSG00000002718	Cse1l	3229	3178	2471	1639	2085
ENSMUSG00000002728	Naa20	666	664	1079	1362	885
ENSMUSG00000002731	Prkra	115	136	310	82	22
ENSMUSG00000002732	Fkbp7	8	12	17	35	26
ENSMUSG00000002733	Plekha3	1217	1262	1333	1176	1102
ENSMUSG00000002741	Ykt6	2366	2393	2689	652	971
ENSMUSG00000002748	Baz1b	7419	7672	7458	1413	1840
ENSMUSG00000002763	Pex6	1116	1050	1285	694	1059
ENSMUSG00000002767	Mrpl2	617	540	447	670	508
ENSMUSG00000002768	Mea1	980	887	1179	1323	758
ENSMUSG00000002769	Gnmt	5	1	10	2	5
ENSMUSG00000002771	Grin2d	50	20	63	14	22
ENSMUSG00000002778	Kdelr1	1805	1862	1814	505	330
ENSMUSG00000002781	Tmem143	255	293	191	59	119
ENSMUSG00000002791	Pdxk-ps	2	1	0	1	1
ENSMUSG00000002797	Ggct	417	418	384	290	247
ENSMUSG00000002799	Jag2	75	66	67	21	46
ENSMUSG00000002803	Btbd6	878	953	760	568	758
ENSMUSG00000002804	Nudt14	299	301	270	367	236
ENSMUSG00000002808	Epdr1	3	0	68	1	0
ENSMUSG00000002812	Flii	4852	4929	5595	1740	3647
ENSMUSG00000002814	Top3a	679	707	543	271	544
ENSMUSG00000002820	Atg4d	888	819	594	867	883
ENSMUSG00000002825	Qtrt1	375	297	202	655	592
ENSMUSG00000002831	Plin4	2	0	2	0	0
ENSMUSG00000002833	Hdgfrp2	1646	1521	1633	1476	1718
ENSMUSG00000002835	Chaf1a	213	71	386	20	92
ENSMUSG00000002844	Adprh	2000	1873	2017	1484	1140
ENSMUSG00000002845	Tmem39a	531	490	492	479	328
ENSMUSG00000002846	Timmdc1	479	520	371	100	45
ENSMUSG00000002847	Pla1a	0	0	4	1	0
ENSMUSG00000002870	Mcm2	3444	2531	2414	999	2259
ENSMUSG00000002871	Tpra1	856	790	878	1389	1315
ENSMUSG00000002881	Nab1	3461	3806	3141	2128	2699
ENSMUSG00000002885	Adgre5	9302	9201	7412	6068	7480
ENSMUSG00000002897	Il17ra	8711	8546	4303	3658	8348
ENSMUSG00000002900	Lamb1	7	9	3	4	0
ENSMUSG00000002908	Kcnn1	0	1	0	0	0
ENSMUSG00000002910	Arrdc2	232	283	249	406	342
ENSMUSG00000002944	Cd36	2	0	9	0	3
ENSMUSG00000002948	Map2k7	1396	1369	1117	376	608
ENSMUSG00000002949	Timm44	1171	1195	1055	832	715
ENSMUSG00000002957	Ap2a2	2372	2602	1643	746	1615
ENSMUSG00000002963	Pnkp	1144	1194	1155	1323	1356
ENSMUSG00000002968	Med25	1306	1322	1428	499	613
ENSMUSG00000002980	Bcam	171	38	373	72	61
ENSMUSG00000002981	Clptm1	3132	2773	2685	2144	3175
ENSMUSG00000002983	Relb	768	1305	2323	1067	544
ENSMUSG00000002984	Tomm40	912	870	728	1007	933
ENSMUSG00000002985	Apoe	78	50	109	45	87
ENSMUSG00000002996	Hbp1	2628	2729	2884	4069	4042
ENSMUSG00000002997	Prkar2b	119	115	106	84	52
ENSMUSG00000003031	Cdkn1b	4486	4673	6175	1046	602
ENSMUSG00000003032	Klf4	20	25	35	21	12
ENSMUSG00000003033	Ap1m1	3589	3142	2262	3991	4183
ENSMUSG00000003037	Rab8a	5628	5612	3857	5363	4872
