id	sym	gfp_plus_1	gfp_plus_2	gfp_plus_3	gfp_minus_1	gfp_minus_2	gfp_minus_3
ENSMUSG00000000794	Kcnn3	31	14	33	51	31	10
ENSMUSG00000000804	Usp32	2542	1802	2279	1251	665	989
ENSMUSG00000000805	Car4	55	17	14	7	3	20
ENSMUSG00000000811	Txnrd3	101	54	83	36	27	51
ENSMUSG00000000817	Fasl	15	16	17	0	3	1
ENSMUSG00000000823	Zfp512b	771	773	745	724	393	569
ENSMUSG00000000826	Dnajc5	3816	2850	3407	2777	1601	2203
ENSMUSG00000000827	Tpd52l2	995	627	951	748	307	540
ENSMUSG00000000838	Fmr1	1248	723	1020	761	245	543
ENSMUSG00000000861	Bcl11a	148	70	228	31	40	23
ENSMUSG00000000869	Il4	28	4	45	2	5	2
ENSMUSG00000000876	Pxmp4	297	262	404	287	188	195
ENSMUSG00000000881	Dlg3	228	173	327	219	193	177
ENSMUSG00000000884	Gnb1l	39	24	57	50	50	22
ENSMUSG00000000901	Mmp11	51	42	41	27	17	27
ENSMUSG00000000902	Smarcb1	1124	1111	928	781	596	692
ENSMUSG00000000903	Vpreb3	0	2	7	0	2	2
ENSMUSG00000000915	Hip1r	176	134	182	130	59	99
ENSMUSG00000000916	Nsun5	387	432	403	297	155	344
ENSMUSG00000000934	Top1mt	122	112	112	123	99	88
ENSMUSG00000000938	Hoxa10	0	3	0	0	1	0
ENSMUSG00000000942	Hoxa4	2	0	6	1	0	0
ENSMUSG00000000948	Gm38393	12	8	10	14	5	5
ENSMUSG00000000957	Mmp14	2300	2501	2484	596	499	561
ENSMUSG00000000958	Slc7a7	1347	1323	1515	2133	905	1522
ENSMUSG00000000959	Oxa1l	1429	1285	1540	1295	767	1295
ENSMUSG00000000976	Heatr6	1613	1354	1629	1348	702	1170
ENSMUSG00000000982	Ccl3	10049	8698	13551	6463	3359	4392
ENSMUSG00000000983	Wfdc18	33	67	67	6	14	11
ENSMUSG00000001014	Icam4	10	8	8	24	7	11
ENSMUSG00000001016	Ilf2	915	818	1039	506	375	374
ENSMUSG00000001017	Chtop	1785	1397	2082	1244	542	942
ENSMUSG00000001018	Snapin	1092	1064	1301	846	729	706
ENSMUSG00000001020	S100a4	10	0	17	0	12	0
ENSMUSG00000001021	S100a3	0	0	0	0	4	0
ENSMUSG00000001023	S100a5	0	1	1	0	0	0
ENSMUSG00000001025	S100a6	233	104	338	6	29	1
ENSMUSG00000001027	Scn4a	1	1	1	0	3	1
ENSMUSG00000001029	Icam2	37	7	18	3	7	3
ENSMUSG00000001034	Mapk7	494	491	672	579	232	324
ENSMUSG00000001036	Epn2	496	302	525	688	261	557
ENSMUSG00000001039	B9d1	54	32	63	52	9	31
ENSMUSG00000001052	Sec24b	5535	4445	5917	3975	3344	3828
ENSMUSG00000001053	N4bp3	30	10	31	12	5	2
ENSMUSG00000001054	Rmnd5b	328	336	370	413	181	308
ENSMUSG00000001056	Nhp2	18	53	72	19	23	32
ENSMUSG00000001062	Vps9d1	1774	1355	1486	1990	834	1373
ENSMUSG00000001065	Zfp276	631	514	576	755	386	498
ENSMUSG00000001082	Mfsd10	311	247	406	277	138	230
ENSMUSG00000001089	Luzp1	1701	1392	2122	781	797	664
ENSMUSG00000001095	Slc13a2	5	12	18	6	3	0
ENSMUSG00000001098	Kctd10	187	130	196	121	63	126
ENSMUSG00000001100	Poldip2	382	455	360	424	263	421
ENSMUSG00000001103	Sebox	5	2	9	7	5	9
ENSMUSG00000001105	Ift20	266	234	391	160	238	227
ENSMUSG00000001119	Col6a1	14	13	4	1	1	3
ENSMUSG00000001120	Pcbp3	114	103	129	43	110	28
ENSMUSG00000001123	Lgals9	3734	4362	4908	3607	2360	3220
ENSMUSG00000001127	Araf	2869	2266	2500	1728	972	1275
ENSMUSG00000001128	Cfp	526	232	726	133	95	55
ENSMUSG00000001131	Timp1	8	4	6	0	1	1
ENSMUSG00000001134	Uxt	120	98	71	103	52	54
ENSMUSG00000001138	Cnnm3	1067	1043	1368	861	544	810
ENSMUSG00000001143	Lman2l	1577	1324	1847	1669	803	1248
ENSMUSG00000001150	Mcm3ap	1284	911	1083	775	334	709
ENSMUSG00000001151	Pcnt	1323	1157	1551	860	512	738
ENSMUSG00000001156	Mxd1	7806	3086	8622	1218	1410	1045
ENSMUSG00000001157	Gmcl1	835	605	757	644	366	629
ENSMUSG00000001158	Snrnp27	121	110	148	99	160	115
ENSMUSG00000001166	Oas1c	104	79	122	35	36	16
ENSMUSG00000001168	Oas1h	64	17	38	3	5	2
ENSMUSG00000001173	Ocrl	3302	2725	2766	1078	619	721
ENSMUSG00000001175	Calm1	5614	3157	5184	1825	830	1186
ENSMUSG00000001211	Agpat3	1787	1464	1692	1451	965	1069
ENSMUSG00000001225	Slc26a3	2	0	1	2	30	2
ENSMUSG00000001227	Sema6b	77	104	121	32	35	32
ENSMUSG00000001228	Uhrf1	109	67	162	24	20	26
ENSMUSG00000001229	Dpp9	902	729	874	545	272	553
ENSMUSG00000001240	Ramp2	18	9	12	1	16	2
ENSMUSG00000001247	Lsr	72	37	62	52	23	52
ENSMUSG00000001248	Gramd1a	2108	2153	2396	3808	1553	2262
ENSMUSG00000001249	Hpn	320	401	364	587	160	306
ENSMUSG00000001260	Gabrg1	4	4	12	5	3	0
ENSMUSG00000001270	Ckb	1026	764	1366	1949	1000	1790
ENSMUSG00000001280	Sp1	4223	3148	4254	2816	1768	2679
ENSMUSG00000001281	Itgb7	324	169	512	216	121	169
ENSMUSG00000001285	Myg1	722	459	330	476	152	193
ENSMUSG00000001288	Rarg	526	290	501	73	75	83
ENSMUSG00000001289	Pfdn5	459	540	736	336	216	202
ENSMUSG00000001300	Efnb2	76	10	83	315	77	209
ENSMUSG00000001305	Rrp15	187	100	164	78	48	44
ENSMUSG00000001313	Rnd2	60	23	41	6	5	3
ENSMUSG00000001323	Srr	410	293	281	282	369	209
ENSMUSG00000001333	Sync	26	7	40	18	4	14
ENSMUSG00000001334	Fndc5	6	5	22	7	5	12
ENSMUSG00000001348	Acp5	42	35	100	6	18	3
ENSMUSG00000001349	Cnn1	50	2	20	7	7	9
ENSMUSG00000001366	Fbxo9	492	408	417	312	393	234
ENSMUSG00000001376	Vps50	2386	1984	1997	1520	691	891
ENSMUSG00000001380	Hars	210	171	268	164	115	127
ENSMUSG00000001383	Zmat2	458	275	338	203	146	156
ENSMUSG00000001403	Ube2c	51	11	136	3	63	5
ENSMUSG00000001415	Smg5	1398	885	1411	1131	781	853
ENSMUSG00000001416	Cct3	581	358	622	328	172	314
ENSMUSG00000001418	Glmp	1634	1493	1660	1214	763	1064
ENSMUSG00000001419	Mef2d	9053	7224	11061	9590	4715	7534
ENSMUSG00000001420	Tmem79	3	3	18	3	5	4
ENSMUSG00000001424	Snd1	2389	1782	1780	1513	605	1018
ENSMUSG00000001435	Col18a1	11	7	12	7	5	8
ENSMUSG00000001436	Slc19a1	289	234	336	344	172	275
ENSMUSG00000001440	Kpnb1	3652	2924	4153	2801	2295	2771
ENSMUSG00000001441	Npepps	2463	1632	2446	1295	781	1040
ENSMUSG00000001444	Tbx21	28	16	46	0	9	0
ENSMUSG00000001445	Mrpl10	183	108	184	143	68	106
ENSMUSG00000001467	Cyp51	392	169	483	120	96	103
ENSMUSG00000001472	Tcf25	3955	3495	4153	3099	1553	2232
ENSMUSG00000001473	Tubb6	1005	533	947	337	185	167
ENSMUSG00000001482	Def8	181	135	160	125	61	57
ENSMUSG00000001493	Meox1	12	12	0	10	13	12
ENSMUSG00000001494	Sost	1	2	0	18	1	2
ENSMUSG00000001504	Irx2	0	2	6	5	0	0
ENSMUSG00000001506	Col1a1	24	8	51	0	7	1
ENSMUSG00000001507	Itga3	38	14	67	1	28	17
ENSMUSG00000001508	Sgca	0	0	5	0	2	2
ENSMUSG00000001517	Foxm1	220	116	261	127	80	59
ENSMUSG00000001518	Itfg2	290	211	334	226	117	177
ENSMUSG00000001520	Nrip2	94	41	55	46	73	47
ENSMUSG00000001521	Tulp3	196	162	155	240	414	238
ENSMUSG00000001524	Gtf2h4	107	77	148	106	60	71
ENSMUSG00000001525	Tubb5	1748	1228	2187	1382	1158	1226
ENSMUSG00000001542	Ell2	2167	1289	2194	561	428	416
ENSMUSG00000001552	Jup	732	509	856	1467	631	1193
ENSMUSG00000001555	Fkbp10	0	1	3	4	0	7
ENSMUSG00000001558	Klhl10	34	10	29	18	35	10
ENSMUSG00000001566	Mnx1	0	0	0	2	0	0
ENSMUSG00000001569	Nom1	460	371	438	379	140	289
ENSMUSG00000001576	Ergic1	1385	1023	1502	1273	842	1154
ENSMUSG00000001583	Tnk1	28	18	61	40	11	14
ENSMUSG00000001588	Acap1	359	67	310	7	49	14
ENSMUSG00000001604	Tcea3	19	4	14	0	25	6
ENSMUSG00000001627	Ifrd1	4193	2299	5153	2175	1026	1308
ENSMUSG00000001630	Stk38l	1546	827	1333	718	274	432
ENSMUSG00000001632	Brpf1	2076	1585	2107	1813	732	1258
ENSMUSG00000001642	Akr1b3	930	952	1103	543	306	512
ENSMUSG00000001655	Hoxc13	0	2	0	0	19	0
ENSMUSG00000001656	Hoxc11	0	1	0	0	3	0
ENSMUSG00000001657	Hoxc8	0	0	11	0	3	0
ENSMUSG00000001661	Hoxc6	19	4	4	0	4	0
ENSMUSG00000001663	Gstt1	5	2	13	2	2	1
ENSMUSG00000001665	Gstt3	35	45	31	19	11	22
ENSMUSG00000001666	Ddt	12	3	11	6	41	3
ENSMUSG00000001670	Tat	0	0	0	0	23	0
ENSMUSG00000001672	Marveld3	0	1	0	2	0	0
ENSMUSG00000001674	Ddx18	458	441	467	347	255	305
ENSMUSG00000001687	Ubl3	8820	7005	8869	5668	2150	3736
ENSMUSG00000001700	Gramd3	324	231	398	32	63	38
ENSMUSG00000001707	Eef1e1	58	29	29	36	32	33
ENSMUSG00000001729	Akt1	1053	658	963	1001	636	799
ENSMUSG00000001739	Cldn15	77	9	28	4	9	5
ENSMUSG00000001741	Il16	1660	1013	1917	1474	983	1202
ENSMUSG00000001750	Tcirg1	6598	6271	7444	7424	3944	5118
ENSMUSG00000001751	Naglu	616	659	541	686	317	678
ENSMUSG00000001755	Coasy	185	227	375	295	353	221
ENSMUSG00000001761	Smo	1121	974	1317	1243	496	806
ENSMUSG00000001763	Tspan33	210	133	315	217	118	162
ENSMUSG00000001767	Crnkl1	409	375	405	398	97	312
ENSMUSG00000001768	Rin2	5436	4141	5678	3498	2140	2910
ENSMUSG00000001773	Folh1	11	4	24	1	4	9
ENSMUSG00000001774	Chordc1	834	755	906	521	431	418
ENSMUSG00000001783	Rtcb	1642	1666	1619	542	343	374
ENSMUSG00000001785	Pwp1	452	473	577	254	171	259
ENSMUSG00000001786	Fbxo7	1239	1033	1044	686	278	540
ENSMUSG00000001794	Capns1	2016	1752	2434	1548	1226	1364
ENSMUSG00000001802	Lrp3	14	1	24	12	4	1
ENSMUSG00000001815	Evx2	2	2	0	0	1	0
ENSMUSG00000001823	Hoxd12	0	0	0	0	2	0
ENSMUSG00000001827	Folr1	2	8	18	8	6	5
ENSMUSG00000001829	Clpb	431	471	458	322	199	302
ENSMUSG00000001833	Sept7	879	670	843	565	355	458
ENSMUSG00000001844	Zdhhc4	266	259	220	169	153	168
ENSMUSG00000001847	Rac1	6400	5054	7313	5555	3713	6207
ENSMUSG00000001855	Nup214	5132	4841	5241	4685	2545	3943
ENSMUSG00000001864	Aif1l	15	0	8	2	2	1
ENSMUSG00000001865	Cpa3	49	13	13	0	3	2
ENSMUSG00000001870	Ltbp1	5	3	7	4	4	8
ENSMUSG00000001891	Ugp2	741	551	569	442	210	318
ENSMUSG00000001901	Kcnh6	18	16	13	16	3	14
ENSMUSG00000001909	Trmt1	935	777	792	706	391	414
ENSMUSG00000001910	Nacc1	1916	1598	1948	1510	906	1210
ENSMUSG00000001911	Nfix	1603	1170	1584	1856	1131	1439
ENSMUSG00000001918	Slc1a5	614	427	643	85	171	71
ENSMUSG00000001924	Uba1	3461	2024	3023	2210	1357	2041
ENSMUSG00000001930	Vwf	195	130	205	83	87	52
ENSMUSG00000001942	Siae	611	754	758	552	258	472
ENSMUSG00000001943	Vsig2	25	16	9	3	1	2
ENSMUSG00000001946	Esam	31	8	41	5	3	11
ENSMUSG00000001948	Spa17	23	16	34	3	2	3
ENSMUSG00000001962	Fam50a	498	362	426	404	215	256
ENSMUSG00000001964	Emd	951	767	1014	346	464	340
ENSMUSG00000001983	Taco1	26	42	65	50	72	38
ENSMUSG00000001985	Grik3	43	34	43	12	17	4
ENSMUSG00000001986	Gria3	193	43	126	14	59	13
ENSMUSG00000001988	Npas1	25	4	24	17	10	8
ENSMUSG00000001995	Sipa1l2	5287	4685	4835	6779	2860	4849
ENSMUSG00000001998	Ap4e1	1066	905	995	852	293	622
ENSMUSG00000001999	Blvra	912	480	754	246	213	172
ENSMUSG00000002006	Pdzd4	312	241	339	339	162	357
ENSMUSG00000002007	Srpk3	415	420	395	680	316	535
ENSMUSG00000002010	Idh3g	1540	1399	1525	1543	663	1219
ENSMUSG00000002012	Pnck	47	53	48	12	5	7
ENSMUSG00000002014	Ssr4	589	459	581	475	486	402
ENSMUSG00000002015	Bcap31	743	636	926	542	436	542
ENSMUSG00000002017	Fam98a	371	296	277	351	230	263
ENSMUSG00000002020	Ltbp2	12	32	41	11	11	16
ENSMUSG00000002028	Kmt2a	18337	16506	19801	14301	7047	11162
ENSMUSG00000002031	Ift46	423	431	408	424	206	262
ENSMUSG00000002032	Tmem25	33	18	25	12	4	29
ENSMUSG00000002043	Trappc6a	37	54	60	12	82	15
ENSMUSG00000002052	Supt6	3091	2118	2877	2118	1318	1491
ENSMUSG00000002055	Spag5	91	26	111	11	19	14
ENSMUSG00000002058	Unc119	56	41	85	7	41	3
ENSMUSG00000002059	Rab34	128	91	164	51	69	53
ENSMUSG00000002064	Sdf2	372	273	515	148	166	124
ENSMUSG00000002068	Ccne1	13	4	4	3	3	6
ENSMUSG00000002076	Hsf2bp	4	5	27	127	39	125
ENSMUSG00000002083	Bbc3	109	88	199	108	73	80
ENSMUSG00000002100	Mybpc3	103	87	98	125	103	39
ENSMUSG00000002102	Psmc3	410	404	544	460	294	423
ENSMUSG00000002103	Acp2	4133	4037	4199	4448	2539	4204
ENSMUSG00000002104	Rapsn	79	46	102	35	43	40
ENSMUSG00000002105	Slc39a13	1207	1127	1475	1094	633	926
ENSMUSG00000002107	Celf2	11486	8938	11733	12338	8095	10135
ENSMUSG00000002108	Nr1h3	53	25	66	12	14	16
ENSMUSG00000002109	Ddb2	413	374	376	338	163	274
ENSMUSG00000002111	Spi1	3628	2842	4299	3115	2768	2193
ENSMUSG00000002129	Sf3a1	1215	760	1187	899	368	639
ENSMUSG00000002147	Stat6	6614	5567	7083	4527	3024	3519
ENSMUSG00000002190	Clgn	56	20	21	188	52	162
ENSMUSG00000002204	Napsa	146	62	177	2	18	5
ENSMUSG00000002205	Vrk3	1135	892	1145	1012	575	932
ENSMUSG00000002210	Smg9	1014	902	1312	977	1004	923
ENSMUSG00000002221	Paxip1	1741	1432	1792	1160	918	986
ENSMUSG00000002222	Rmnd5a	1632	1081	1587	832	330	611
ENSMUSG00000002227	Mov10	1374	1304	1583	1253	633	936
ENSMUSG00000002228	Ppm1j	10	2	16	8	0	8
ENSMUSG00000002233	Rhoc	93	73	127	73	77	67
ENSMUSG00000002249	Tead3	58	59	99	90	40	47
ENSMUSG00000002250	Ppard	1702	1400	1914	1924	951	1146
ENSMUSG00000002257	Def6	488	260	553	390	207	233
ENSMUSG00000002265	Peg3	438	188	342	102	136	101
ENSMUSG00000002266	Zim1	3	1	21	1	4	5
ENSMUSG00000002274	Metrn	0	1	0	0	10	0
ENSMUSG00000002279	Lmf1	1985	1752	2052	2510	1202	1928
ENSMUSG00000002280	Narfl	151	184	304	205	194	171
ENSMUSG00000002289	Angptl4	0	20	5	3	33	1
ENSMUSG00000002297	Dbf4	360	227	268	117	100	124
ENSMUSG00000002307	Daxx	449	405	439	328	202	255
ENSMUSG00000002308	Cd320	46	25	56	40	13	36
ENSMUSG00000002319	Ipo4	667	525	550	546	212	421
ENSMUSG00000002320	Tm9sf1	243	220	206	256	117	155
ENSMUSG00000002324	Rec8	77	20	30	3	25	9
ENSMUSG00000002325	Irf9	1590	1249	1710	829	469	610
ENSMUSG00000002326	Gmpr2	1173	907	1034	935	342	733
ENSMUSG00000002329	Mdp1	268	147	333	165	105	108
ENSMUSG00000002332	Dhrs1	544	326	742	268	495	210
ENSMUSG00000002341	Ncan	89	39	133	35	38	28
ENSMUSG00000002342	Tmem161a	341	279	456	238	150	165
ENSMUSG00000002343	Armc6	68	39	102	51	41	48
ENSMUSG00000002345	Borcs8	640	529	651	413	210	436
ENSMUSG00000002346	Slc25a42	382	296	382	268	154	193
ENSMUSG00000002365	Snx9	1261	1061	1506	845	568	660
ENSMUSG00000002372	Ranbp3	471	330	531	423	306	278
ENSMUSG00000002379	Ndufa11	66	55	55	51	36	68
ENSMUSG00000002384	Bmp8b	33	15	18	23	5	18
ENSMUSG00000002393	Nr2f6	13	5	8	4	1	11
ENSMUSG00000002395	Use1	348	318	549	194	138	169
ENSMUSG00000002396	Ocel1	428	279	276	256	167	248
ENSMUSG00000002409	Dyrk1b	480	402	462	499	194	378
ENSMUSG00000002413	Braf	4937	3601	4838	3307	1856	2803
ENSMUSG00000002416	Ndufb2	314	207	188	227	118	127
ENSMUSG00000002428	Hltf	2371	2033	1955	1780	568	1486
ENSMUSG00000002455	Prpf6	687	554	664	447	299	315
ENSMUSG00000002458	Rgs19	1261	1101	1412	1288	1009	1211
ENSMUSG00000002459	Rgs20	10	12	24	7	6	10
ENSMUSG00000002475	Abhd3	74	58	40	87	11	24
ENSMUSG00000002477	Snrpd1	70	69	115	30	19	39
ENSMUSG00000002486	Tchp	458	382	440	583	284	433
ENSMUSG00000002489	Tiam1	906	271	872	753	309	656
ENSMUSG00000002496	Tsc2	1587	1612	1875	1737	908	1194
ENSMUSG00000002500	Rpl3l	2	13	2	0	1	4
ENSMUSG00000002504	Slc9a3r2	48	43	96	22	18	41
ENSMUSG00000002524	Puf60	562	477	911	336	221	294
ENSMUSG00000002546	Golga2	791	543	917	713	557	450
ENSMUSG00000002550	Uck1	136	123	193	126	97	84
ENSMUSG00000002565	Scin	18	4	2	5	0	1
ENSMUSG00000002578	Ikzf4	10	1	7	7	34	0
ENSMUSG00000002580	Mien1	33	29	70	9	19	12
ENSMUSG00000002588	Pon1	2	1	2	0	0	1
ENSMUSG00000002602	Axl	18601	17242	18879	1398	3243	871
ENSMUSG00000002603	Tgfb1	3307	2644	4108	4330	2681	3865
ENSMUSG00000002608	Ccdc97	2674	2065	2626	2562	1896	2248
ENSMUSG00000002617	Zfp40	77	143	95	186	72	142
ENSMUSG00000002625	Akap8l	1190	1298	1505	1449	889	984
ENSMUSG00000002633	Shh	0	2	0	0	0	0
ENSMUSG00000002635	Pdcd2l	291	257	283	121	40	132
ENSMUSG00000002658	Gtf2f1	398	264	371	324	146	178
ENSMUSG00000002660	Clpp	148	169	219	113	146	115
ENSMUSG00000002661	Alkbh7	16	38	27	34	9	41
ENSMUSG00000002664	Pspn	0	1	0	0	0	1
ENSMUSG00000002668	Dennd1c	4341	4069	4598	4984	1602	3005
ENSMUSG00000002679	Med6	436	395	362	309	85	194
ENSMUSG00000002688	Prkd1	14	2	0	1	2	0
ENSMUSG00000002699	Lcp2	12924	11262	11696	9950	4390	7637
ENSMUSG00000002718	Cse1l	1848	1538	1820	1325	866	1001
ENSMUSG00000002728	Naa20	648	608	702	549	175	404
