Geneid	SYM	BMP5.1	BMP5.2	BMP5.3	Control1	Control2	Control3
ENSG00000072778	ACADVL	2717	3419	3284	2946	3084	3305
ENSG00000157766	ACAN	1	0	0	0	0	0
ENSG00000072818	ACAP1	1	0	2	2	1	3
ENSG00000114331	ACAP2	333	313	390	309	290	325
ENSG00000131584	ACAP3	333	377	410	433	386	370
ENSG00000075239	ACAT1	440	385	519	451	465	570
ENSG00000120437	ACAT2	675	693	769	795	670	803
ENSG00000182827	ACBD3	477	513	496	509	450	492
ENSG00000181513	ACBD4	104	90	111	115	111	114
ENSG00000107897	ACBD5	494	534	551	505	480	528
ENSG00000230124	ACBD6	294	298	346	328	313	317
ENSG00000176244	ACBD7	23	13	25	16	12	20
ENSG00000110455	ACCS	74	95	88	114	115	99
ENSG00000205126	ACCSL	1	0	1	2	2	0
ENSG00000102977	ACD	307	331	372	319	335	331
ENSG00000159640	ACE	3	1	0	3	3	0
ENSG00000130234	ACE2	0	1	0	1	1	1
ENSG00000224353	ACE3P	0	0	1	0	0	0
ENSG00000167769	ACER1	0	0	0	0	0	0
ENSG00000177076	ACER2	40	34	38	34	50	47
ENSG00000078124	ACER3	248	228	221	189	217	192
ENSG00000087085	ACHE	5	5	0	1	2	2
ENSG00000100813	ACIN1	1374	1533	1654	1714	1747	1762
ENSG00000213088	ACKR1	0	0	0	0	0	0
ENSG00000144648	ACKR2	0	1	0	0	0	0
ENSG00000144476	ACKR3	0	0	1	0	0	0
ENSG00000129048	ACKR4	23	21	18	50	47	54
ENSG00000131473	ACLY	3652	3970	4628	4594	4224	4592
ENSG00000153086	ACMSD	0	0	0	0	0	0
ENSG00000122729	ACO1	313	295	361	195	175	231
ENSG00000100412	ACO2	859	1018	1097	1077	930	990
ENSG00000184227	ACOT1	27	28	39	46	61	46
ENSG00000162390	ACOT11	293	289	349	341	340	318
ENSG00000172497	ACOT12	0	0	0	0	0	0
ENSG00000112304	ACOT13	318	290	364	331	325	387
ENSG00000119673	ACOT2	77	75	77	77	91	107
ENSG00000177465	ACOT4	45	59	70	85	86	93
ENSG00000205669	ACOT6	0	0	0	2	0	0
ENSG00000097021	ACOT7	479	519	567	709	538	661
ENSG00000101473	ACOT8	351	371	431	404	422	461
ENSG00000123130	ACOT9	90	112	129	130	106	115
ENSG00000161533	ACOX1	460	480	528	468	440	502
ENSG00000168306	ACOX2	0	0	2	1	1	1
ENSG00000087008	ACOX3	77	103	94	99	89	83
ENSG00000153093	ACOXL	3	7	4	14	15	7
ENSG00000143727	ACP1	1453	1389	1648	1537	1664	1674
ENSG00000134575	ACP2	598	696	676	798	793	873
ENSG00000102575	ACP5	12	21	7	14	15	24
ENSG00000162836	ACP6	405	579	528	502	509	559
ENSG00000014257	ACPP	15	8	14	18	17	13
ENSG00000142513	ACPT	0	0	0	0	0	0
ENSG00000100312	ACR	0	0	0	0	0	0
ENSG00000111644	ACRBP	2	7	1	7	3	3
ENSG00000147174	ACRC	33	19	21	30	28	35
ENSG00000134940	ACRV1	0	0	0	0	0	0
ENSG00000103740	ACSBG1	3	6	7	3	3	6
ENSG00000130377	ACSBG2	0	0	2	1	0	2
ENSG00000167107	ACSF2	305	353	409	407	427	386
ENSG00000176715	ACSF3	319	368	435	452	453	432
ENSG00000151726	ACSL1	544	526	631	665	581	669
ENSG00000123983	ACSL3	1857	1881	2191	2193	2147	2299
ENSG00000068366	ACSL4	862	857	959	930	897	947
ENSG00000197142	ACSL5	6296	6738	7669	7266	7205	7398
ENSG00000164398	ACSL6	0	0	0	0	0	1
ENSG00000166743	ACSM1	0	0	0	1	1	0
ENSG00000183747	ACSM2A	0	0	0	0	0	0
ENSG00000066813	ACSM2B	0	0	0	0	0	0
ENSG00000005187	ACSM3	271	287	323	290	273	304
ENSG00000215009	ACSM4	0	0	1	0	0	0
ENSG00000183549	ACSM5	0	0	0	0	0	0
ENSG00000260762	ACSM5P1	0	1	0	0	0	0
ENSG00000173124	ACSM6	0	0	0	0	0	0
ENSG00000154930	ACSS1	1282	1463	1592	1654	1689	1824
ENSG00000131069	ACSS2	227	264	292	319	308	333
ENSG00000111058	ACSS3	0	0	0	0	0	0
ENSG00000143632	ACTA1	2	15	15	10	17	9
ENSG00000107796	ACTA2	11	7	5	5	3	6
ENSG00000180139	ACTA2-AS1	2	8	4	3	4	4
ENSG00000075624	ACTB	21723	23670	28172	27375	25636	28673
ENSG00000169067	ACTBL2	8	11	17	5	6	4
ENSG00000229145	ACTBP1	13	18	20	24	25	23
ENSG00000188460	ACTBP11	111	84	125	102	96	189
ENSG00000233125	ACTBP12	11	10	12	27	27	23
ENSG00000234667	ACTBP13	1	0	0	2	2	3
ENSG00000229001	ACTBP14	2	7	4	2	1	5
ENSG00000213763	ACTBP2	182	184	217	209	185	200
ENSG00000203413	ACTBP6	0	0	0	0	1	0
ENSG00000185607	ACTBP7	12	15	26	23	20	17
ENSG00000220267	ACTBP8	30	31	38	32	36	39
ENSG00000266920	ACTBP9	22	27	30	39	33	26
ENSG00000159251	ACTC1	5	3	7	6	2	4
ENSG00000184009	ACTG1	20465	21203	25949	23591	23872	24969
ENSG00000178631	ACTG1P1	15	30	26	31	17	26
ENSG00000231340	ACTG1P10	22	33	34	37	30	28
ENSG00000229465	ACTG1P11	9	15	6	10	10	15
ENSG00000226642	ACTG1P12	10	28	22	16	26	26
ENSG00000241305	ACTG1P13	0	0	0	0	0	0
ENSG00000230581	ACTG1P14	91	97	110	118	93	118
ENSG00000259904	ACTG1P15	2	0	1	1	0	1
ENSG00000260298	ACTG1P16	8	2	5	7	3	8
ENSG00000259315	ACTG1P17	2	1	3	2	0	2
ENSG00000218475	ACTG1P18	0	3	0	4	1	0
ENSG00000237999	ACTG1P19	2	4	7	8	7	5
ENSG00000229129	ACTG1P2	14	12	13	15	13	7
ENSG00000241547	ACTG1P20	233	215	118	283	186	218
ENSG00000232672	ACTG1P21	1	1	0	1	1	1
ENSG00000271615	ACTG1P22	1	0	0	0	1	0
ENSG00000230362	ACTG1P23	7	13	16	7	8	10
ENSG00000226359	ACTG1P24	5	5	6	5	11	13
ENSG00000215388	ACTG1P3	8	4	7	4	9	6
ENSG00000236085	ACTG1P4	6	7	9	11	11	11
ENSG00000229349	ACTG1P9	24	25	36	28	36	26
ENSG00000163017	ACTG2	6	2	2	1	0	2
ENSG00000182584	ACTL10	29	48	51	31	38	54
ENSG00000136518	ACTL6A	1194	1253	1380	1186	1275	1267
ENSG00000077080	ACTL6B	0	0	0	0	0	0
ENSG00000187003	ACTL7A	0	0	0	0	0	0
ENSG00000148156	ACTL7B	0	1	0	0	0	0
ENSG00000117148	ACTL8	0	2	8	3	1	10
ENSG00000181786	ACTL9	0	0	0	0	0	0
ENSG00000072110	ACTN1	2848	3118	3523	3583	3269	3634
ENSG00000259062	ACTN1-AS1	0	0	0	0	0	0
ENSG00000077522	ACTN2	1	0	1	3	1	0
ENSG00000248746	ACTN3	1	2	1	2	4	1
ENSG00000130402	ACTN4	14355	17538	19045	17640	16492	17438
ENSG00000213493	ACTN4P1	336	318	441	364	362	373
ENSG00000214141	ACTN4P2	1	0	0	0	0	0
ENSG00000131966	ACTR10	226	223	236	231	247	263
ENSG00000138107	ACTR1A	1195	1323	1471	1376	1403	1518
ENSG00000115073	ACTR1B	735	888	938	938	895	981
ENSG00000138071	ACTR2	2340	2212	2422	2054	1906	2114
ENSG00000115091	ACTR3	2046	2065	2349	1926	1962	2165
ENSG00000133627	ACTR3B	330	320	400	384	405	404
ENSG00000270242	ACTR3BP1	0	0	0	1	0	0
ENSG00000226481	ACTR3BP2	0	1	0	1	0	0
ENSG00000260327	ACTR3BP3	1	0	0	1	0	1
ENSG00000249283	ACTR3BP4	0	0	0	0	0	1
ENSG00000227264	ACTR3BP5	0	1	2	0	0	2
ENSG00000226444	ACTR3BP6	0	0	0	0	0	0
ENSG00000106526	ACTR3C	153	180	169	174	175	185
ENSG00000232267	ACTR3P2	55	46	47	37	41	41
ENSG00000242573	ACTR3P3	0	0	0	0	0	0
ENSG00000101442	ACTR5	304	306	322	302	291	326
ENSG00000075089	ACTR6	130	128	172	142	131	123
ENSG00000248915	ACTR6P1	0	0	0	0	0	0
ENSG00000113812	ACTR8	216	208	279	248	243	213
ENSG00000123165	ACTRT1	0	1	0	0	0	0
ENSG00000169717	ACTRT2	0	0	0	0	0	0
ENSG00000184378	ACTRT3	29	27	18	28	20	40
ENSG00000115170	ACVR1	532	534	613	606	620	666
ENSG00000135503	ACVR1B	541	575	688	770	698	746
ENSG00000123612	ACVR1C	4	4	6	6	1	1
ENSG00000121989	ACVR2A	61	54	66	54	62	54
ENSG00000114739	ACVR2B	91	84	94	83	79	67
ENSG00000229589	ACVR2B-AS1	2	4	3	7	6	8
ENSG00000139567	ACVRL1	0	0	0	0	0	0
ENSG00000243989	ACY1	491	548	624	678	703	692
ENSG00000132744	ACY3	67	72	76	114	99	114
ENSG00000119640	ACYP1	97	106	112	78	95	114
ENSG00000170634	ACYP2	42	24	48	64	37	43
ENSG00000196839	ADA	1	12	5	3	5	7
ENSG00000164113	ADAD1	0	0	0	0	0	0
ENSG00000267511	ADAD1P2	0	0	0	0	0	0
ENSG00000140955	ADAD2	0	0	0	0	0	0
ENSG00000168803	ADAL	128	119	152	143	136	150
ENSG00000137845	ADAM10	1468	1499	1516	1444	1417	1501
ENSG00000073670	ADAM11	7	4	6	1	2	6
ENSG00000148848	ADAM12	0	0	0	0	0	0
ENSG00000143537	ADAM15	2717	2873	3200	3137	3087	3278
ENSG00000151694	ADAM17	315	319	358	354	325	365
ENSG00000168619	ADAM18	0	0	0	0	0	0
ENSG00000135074	ADAM19	531	634	707	565	498	480
ENSG00000229186	ADAM1A	69	68	79	83	76	89
ENSG00000226469	ADAM1B	0	0	0	0	0	0
ENSG00000104755	ADAM2	1	0	0	0	0	0
ENSG00000134007	ADAM20	2	2	1	0	1	1
ENSG00000259158	ADAM20P1	0	2	0	2	1	0
ENSG00000248574	ADAM20P2	0	0	0	0	0	0
ENSG00000249162	ADAM20P3	0	0	0	0	0	0
ENSG00000139985	ADAM21	0	0	0	0	1	1
ENSG00000235812	ADAM21P1	0	0	0	0	0	0
ENSG00000008277	ADAM22	178	145	205	167	164	170
ENSG00000114948	ADAM23	0	0	0	0	0	0
ENSG00000214607	ADAM24P	0	0	0	0	0	0
ENSG00000042980	ADAM28	29	32	44	44	28	43
ENSG00000168594	ADAM29	0	0	0	0	0	0
ENSG00000134249	ADAM30	0	0	0	0	0	0
ENSG00000197140	ADAM32	0	2	1	0	1	0
ENSG00000149451	ADAM33	0	0	0	0	0	0
ENSG00000197475	ADAM3A	0	0	0	0	0	0
ENSG00000260089	ADAM3B	0	0	0	0	0	0
ENSG00000196115	ADAM5	0	0	0	0	0	0
ENSG00000271968	ADAM6	0	0	0	0	0	0
ENSG00000069206	ADAM7	0	0	0	0	0	0
ENSG00000151651	ADAM8	496	557	645	661	666	632
ENSG00000168615	ADAM9	942	936	904	801	843	798
ENSG00000134028	ADAMDEC1	0	0	0	0	0	0
ENSG00000154734	ADAMTS1	0	0	0	0	0	0
ENSG00000142303	ADAMTS10	0	0	0	0	0	0
ENSG00000151388	ADAMTS12	0	0	0	0	0	0
ENSG00000160323	ADAMTS13	19	20	17	22	13	6
ENSG00000138316	ADAMTS14	1	0	2	5	0	1
ENSG00000166106	ADAMTS15	2	0	0	0	0	0
ENSG00000145536	ADAMTS16	0	0	2	1	0	0
ENSG00000140470	ADAMTS17	15	20	25	24	33	22
ENSG00000140873	ADAMTS18	0	0	0	0	0	0
ENSG00000145808	ADAMTS19	0	0	0	0	0	0
ENSG00000249421	ADAMTS19-AS1	0	0	0	0	0	0
ENSG00000087116	ADAMTS2	0	0	0	0	1	0
ENSG00000173157	ADAMTS20	0	0	0	2	0	0
ENSG00000156140	ADAMTS3	0	0	2	0	0	0
ENSG00000158859	ADAMTS4	1	0	0	0	0	0
ENSG00000154736	ADAMTS5	0	0	0	0	0	0
ENSG00000049192	ADAMTS6	134	143	132	168	164	159
ENSG00000136378	ADAMTS7	3	0	4	8	3	4
ENSG00000274376	ADAMTS7P1	0	0	0	0	0	0
ENSG00000261143	ADAMTS7P3	0	0	0	0	0	0
ENSG00000218052	ADAMTS7P4	0	0	0	0	0	0
ENSG00000134917	ADAMTS8	0	1	0	0	0	0
ENSG00000163638	ADAMTS9	1	1	0	0	1	1
ENSG00000241158	ADAMTS9-AS1	0	0	0	0	0	0
ENSG00000241684	ADAMTS9-AS2	0	0	0	0	0	0
ENSG00000178031	ADAMTSL1	0	0	0	0	0	0
ENSG00000197859	ADAMTSL2	1	4	3	5	13	4
ENSG00000156218	ADAMTSL3	0	0	0	0	0	0
ENSG00000143382	ADAMTSL4	0	2	0	2	1	2
ENSG00000203804	ADAMTSL4-AS1	1	1	2	1	2	3
ENSG00000185761	ADAMTSL5	38	39	40	34	36	45
ENSG00000105963	ADAP1	3115	3309	3846	3878	3679	3670
ENSG00000184060	ADAP2	4	2	1	1	0	1
ENSG00000160710	ADAR	5317	5838	6882	8187	7876	8114
ENSG00000197381	ADARB1	103	117	125	124	102	127
ENSG00000185736	ADARB2	0	0	0	0	0	0
ENSG00000205696	ADARB2-AS1	0	0	0	0	0	0
ENSG00000065457	ADAT1	247	244	273	261	262	286
ENSG00000189007	ADAT2	178	183	189	209	214	229
ENSG00000213638	ADAT3	4	3	2	7	6	8
ENSG00000063761	ADCK1	70	58	63	75	74	67
ENSG00000133597	ADCK2	340	411	440	392	375	343
ENSG00000163050	ADCK3	682	804	868	907	827	943
ENSG00000123815	ADCK4	255	362	385	352	319	321
ENSG00000173137	ADCK5	120	137	132	137	138	132
ENSG00000164742	ADCY1	0	0	0	0	0	1
ENSG00000143199	ADCY10	0	1	0	1	1	3
ENSG00000161912	ADCY10P1	22	28	20	16	22	23
ENSG00000078295	ADCY2	0	0	0	0	0	0
ENSG00000138031	ADCY3	1188	1197	1434	1470	1336	1462
ENSG00000129467	ADCY4	24	33	39	36	37	28
ENSG00000173175	ADCY5	29	51	44	53	53	54
ENSG00000174233	ADCY6	1256	1343	1526	1568	1531	1453
ENSG00000121281	ADCY7	46	39	45	32	35	36
ENSG00000155897	ADCY8	0	0	0	0	0	0
ENSG00000162104	ADCY9	11	13	11	6	10	11
ENSG00000141433	ADCYAP1	0	0	0	0	0	0
ENSG00000078549	ADCYAP1R1	0	0	0	0	0	0
ENSG00000087274	ADD1	1649	1788	2020	1967	1923	1952
ENSG00000075340	ADD2	4	3	8	3	3	3
ENSG00000148700	ADD3	1798	1855	1926	1651	1632	1821
ENSG00000203876	ADD3-AS1	2	8	1	5	5	2
ENSG00000118492	ADGB	0	0	0	0	0	0
ENSG00000197177	ADGRA1	0	0	0	0	0	0
ENSG00000256925	ADGRA1-AS1	0	0	0	0	0	0
ENSG00000020181	ADGRA2	0	1	0	1	0	1
ENSG00000152990	ADGRA3	619	633	700	613	645	640
ENSG00000181790	ADGRB1	2	4	3	3	1	3
ENSG00000121753	ADGRB2	27	37	51	34	51	43
ENSG00000135298	ADGRB3	0	0	0	0	0	0
ENSG00000111452	ADGRD1	0	0	0	0	0	0
ENSG00000180264	ADGRD2	0	0	0	0	0	1
ENSG00000174837	ADGRE1	0	0	0	0	0	0
ENSG00000127507	ADGRE2	8	17	14	7	5	30
ENSG00000131355	ADGRE3	0	0	0	0	0	0
ENSG00000268758	ADGRE4P	0	0	0	0	0	0
ENSG00000123146	ADGRE5	991	1108	1282	1437	1380	1484
ENSG00000153292	ADGRF1	464	515	487	445	438	452
ENSG00000164393	ADGRF2	6	13	7	7	1	7
ENSG00000173567	ADGRF3	7	9	7	10	12	4
ENSG00000153294	ADGRF4	91	95	110	90	103	114
ENSG00000069122	ADGRF5	4	7	6	6	5	7
ENSG00000227582	ADGRF5P1	4	7	1	3	14	7
ENSG00000204818	ADGRF5P2	0	0	0	1	0	0
ENSG00000205336	ADGRG1	2088	2251	2877	2954	2762	2924
ENSG00000173698	ADGRG2	0	0	0	0	0	0
ENSG00000182885	ADGRG3	0	0	0	2	0	0
ENSG00000156920	ADGRG4	0	0	0	0	0	0
ENSG00000159618	ADGRG5	116	161	135	141	128	160
ENSG00000112414	ADGRG6	471	512	562	440	455	442
ENSG00000144820	ADGRG7	1	0	1	3	2	2
ENSG00000072071	ADGRL1	35	46	41	64	51	59
ENSG00000117114	ADGRL2	1	0	1	1	1	1
ENSG00000150471	ADGRL3	0	0	0	0	0	0
ENSG00000248692	ADGRL3-AS1	0	0	0	0	0	0
ENSG00000162618	ADGRL4	8	5	2	8	4	12
ENSG00000164199	ADGRV1	2	4	4	0	8	0
ENSG00000187758	ADH1A	0	0	0	0	0	0
ENSG00000196616	ADH1B	0	1	0	0	0	0
ENSG00000248144	ADH1C	1	1	5	1	0	0
ENSG00000198099	ADH4	0	0	1	1	0	1
ENSG00000197894	ADH5	1035	1129	1257	977	1106	1099
ENSG00000232676	ADH5P2	11	7	10	7	17	7
ENSG00000223694	ADH5P3	11	7	15	12	14	18
ENSG00000233859	ADH5P4	127	108	147	130	106	118
ENSG00000172955	ADH6	16	19	14	13	11	18
ENSG00000196344	ADH7	0	0	0	0	0	0
ENSG00000147576	ADHFE1	0	0	0	0	0	0
ENSG00000182551	ADI1	1103	1305	1440	1293	1255	1337
ENSG00000182035	ADIG	0	0	0	0	0	0
ENSG00000181092	ADIPOQ	0	0	0	0	0	0
ENSG00000226482	ADIPOQ-AS1	0	0	0	0	0	0
ENSG00000159346	ADIPOR1	1564	1711	1807	1892	1799	2030
ENSG00000232497	ADIPOR1P1	0	0	0	0	0	0
ENSG00000258805	ADIPOR1P2	4	4	4	2	6	4
ENSG00000006831	ADIPOR2	1551	1607	1843	1688	1862	1824
ENSG00000148671	ADIRF	6	10	8	12	10	16
ENSG00000156110	ADK	375	363	420	408	401	464
ENSG00000148926	ADM	107	144	127	151	149	140
ENSG00000128165	ADM2	17	16	22	29	21	29
ENSG00000224420	ADM5	14	22	35	34	13	21
ENSG00000101126	ADNP	2280	2146	2720	2451	2402	2663
ENSG00000259456	ADNP-AS1	29	38	46	43	45	37
ENSG00000101544	ADNP2	376	412	445	460	411	473
ENSG00000181915	ADO	261	326	367	335	329	359
ENSG00000163485	ADORA1	0	0	1	2	0	0
ENSG00000128271	ADORA2A	2	0	0	2	4	1
ENSG00000178803	ADORA2A-AS1	0	0	0	0	0	0
ENSG00000170425	ADORA2B	51	52	63	73	48	65
ENSG00000236136	ADORA2BP1	0	0	0	0	0	0
ENSG00000121933	ADORA3	0	1	1	0	0	0
ENSG00000159322	ADPGK	1159	1128	1358	1415	1401	1472
ENSG00000260898	ADPGK-AS1	0	0	0	0	0	0
ENSG00000144843	ADPRH	25	19	16	35	33	20
ENSG00000153531	ADPRHL1	16	20	16	13	21	30
ENSG00000116863	ADPRHL2	318	425	429	516	522	579
ENSG00000170222	ADPRM	25	24	23	35	18	23
ENSG00000120907	ADRA1A	0	0	0	0	0	0
