id	sym	siCTR_1	siCTR_2	siCTR_3	siER_1	siER_2	siER_3
ENSG00000005187	ACSM3	29	38	69	40	41	53
ENSG00000005189	AC004381.6	637	675	1410	371	296	473
ENSG00000005194	CIAPIN1	3187	3226	6463	3244	2895	4238
ENSG00000005206	SPPL2B	1297	1319	2593	1870	1420	2285
ENSG00000005238	FAM214B	996	881	1688	608	467	730
ENSG00000005243	COPZ2	257	179	403	274	196	292
ENSG00000005249	PRKAR2B	959	872	1527	1419	1261	1695
ENSG00000005302	MSL3	1181	1190	2264	1353	1167	1709
ENSG00000005339	CREBBP	10614	12229	23412	14856	10643	14542
ENSG00000005379	TSPOAP1	2	6	4	1	0	6
ENSG00000005381	MPO	0	0	2	1	0	0
ENSG00000005421	PON1	1	0	1	0	1	1
ENSG00000005436	GCFC2	595	639	1048	680	526	727
ENSG00000005448	WDR54	1511	1767	3273	1267	1303	1932
ENSG00000005469	CROT	2782	2321	4487	3274	2287	3221
ENSG00000005471	ABCB4	52	75	139	48	61	56
ENSG00000005483	KMT2E	5682	6177	11540	7623	5714	7990
ENSG00000005486	RHBDD2	7366	6744	14738	7751	6607	10411
ENSG00000005513	SOX8	14	15	19	27	29	30
ENSG00000005700	IBTK	5243	5333	9618	4532	3875	5167
ENSG00000005801	ZNF195	1192	1210	2249	1657	1262	1731
ENSG00000005810	MYCBP2	4065	4481	8115	6267	3696	5038
ENSG00000005812	FBXL3	2416	2478	4151	2761	2385	3134
ENSG00000005844	ITGAL	50	42	61	29	22	28
ENSG00000005882	PDK2	974	1041	2195	956	821	1329
ENSG00000005884	ITGA3	7497	7153	14862	9567	7415	10956
ENSG00000005889	ZFX	2335	2475	4544	3255	2796	3763
ENSG00000005893	LAMP2	21115	21484	39429	18848	16122	21982
ENSG00000005961	ITGA2B	24	40	85	21	11	9
ENSG00000005981	ASB4	0	0	1	0	1	2
ENSG00000006007	GDE1	7139	7376	13845	7681	6443	9006
ENSG00000006015	C19orf60	868	881	1741	877	841	1197
ENSG00000006016	CRLF1	742	842	1823	810	814	1266
ENSG00000006025	OSBPL7	1773	1752	3339	2313	1486	2202
ENSG00000006042	TMEM98	15	10	25	14	10	11
ENSG00000006047	YBX2	1062	1191	2648	742	604	876
ENSG00000006059	KRT33A	1	1	2	1	0	0
ENSG00000006062	MAP3K14	534	450	906	869	642	1034
ENSG00000006071	ABCC8	208	167	326	288	177	298
ENSG00000006116	CACNG3	0	0	0	1	1	2
ENSG00000006118	TMEM132A	11713	11296	23049	12851	10638	16064
ENSG00000006125	AP2B1	11118	11909	22994	13193	11057	15354
ENSG00000006128	TAC1	0	1	0	0	0	0
ENSG00000006194	ZNF263	2614	2764	5188	3395	2887	4360
ENSG00000006210	CX3CL1	3	4	9	31	11	19
ENSG00000006282	SPATA20	5299	4856	9557	6119	4453	6727
ENSG00000006283	CACNA1G	10	5	16	34	13	19
ENSG00000006327	TNFRSF12A	10885	8772	16780	14748	10970	16401
ENSG00000006377	DLX6	0	0	1	0	0	0
ENSG00000006432	MAP3K9	6651	6297	12457	8633	5581	7707
ENSG00000006451	RALA	4643	4584	8215	5759	4534	6209
ENSG00000006453	BAIAP2L1	1121	992	1964	1668	1186	1646
ENSG00000006459	KDM7A	1863	2051	3654	2369	1883	2450
ENSG00000006468	ETV1	1	3	0	1	0	1
ENSG00000006530	AGK	1814	1855	3428	1757	1490	2167
ENSG00000006534	ALDH3B1	365	294	587	205	148	246
ENSG00000006555	TTC22	28	28	47	39	28	38
ENSG00000006576	PHTF2	3593	3686	6473	6660	5322	7181
ENSG00000006606	CCL26	15	5	10	9	3	7
ENSG00000006607	FARP2	3739	3754	7189	5063	3740	5044
ENSG00000006611	USH1C	0	3	6	3	1	2
ENSG00000006625	GGCT	3215	3365	6494	1775	1450	2085
ENSG00000006634	DBF4	2117	2635	5014	1434	1421	1894
ENSG00000006638	TBXA2R	4	5	10	5	6	2
ENSG00000006652	IFRD1	2483	2405	4674	2685	1901	2726
ENSG00000006695	COX10	868	876	1739	968	873	1228
ENSG00000006704	GTF2IRD1	2532	2591	5031	2974	2385	3622
ENSG00000006712	PAF1	5671	6185	12074	5816	4824	7685
ENSG00000006715	VPS41	4211	4499	8219	5718	4473	6130
ENSG00000006740	ARHGAP44	897	991	1837	1549	1209	1699
ENSG00000006744	ELAC2	5199	5554	10804	5482	4637	6864
ENSG00000006747	SCIN	1805	1248	2452	1098	677	975
ENSG00000006756	ARSD	5751	5851	11358	8154	6925	10179
ENSG00000006757	PNPLA4	439	403	711	415	413	618
ENSG00000006788	MYH13	0	1	0	1	0	0
ENSG00000006831	ADIPOR2	19065	19152	35656	17409	15019	21679
ENSG00000006837	CDKL3	18	21	44	31	21	35
ENSG00000007001	UPP2	3	4	2	7	8	5
ENSG00000007038	PRSS21	3	1	5	1	0	0
ENSG00000007047	MARK4	1598	1694	3211	1875	1432	2267
ENSG00000007062	PROM1	9	5	9	8	8	6
ENSG00000007080	CCDC124	2528	2446	5359	2221	1947	3013
ENSG00000007129	CEACAM21	4	3	4	1	1	5
ENSG00000007168	PAFAH1B1	8860	9360	17250	11750	9870	13785
ENSG00000007171	NOS2	0	5	3	6	1	2
ENSG00000007174	DNAH9	0	0	3	2	2	0
ENSG00000007202	KIAA0100	16174	17066	32796	17142	13880	19411
ENSG00000007216	SLC13A2	9	12	13	9	2	3
ENSG00000007237	GAS7	9	6	4	11	7	7
ENSG00000007255	TRAPPC6A	1447	1360	2791	1429	1431	2078
ENSG00000007264	MATK	334	296	622	322	278	439
ENSG00000007306	CEACAM7	26	17	36	34	20	21
ENSG00000007312	CD79B	0	0	0	2	3	0
ENSG00000007314	SCN4A	2	3	2	3	1	0
ENSG00000007341	ST7L	680	732	1351	711	712	1026
ENSG00000007350	TKTL1	0	1	1	7	0	3
ENSG00000007372	PAX6	34	26	60	42	37	55
ENSG00000007376	RPUSD1	2495	2548	5446	2599	2405	3630
ENSG00000007384	RHBDF1	6210	5608	11543	8570	6010	9381
ENSG00000007392	LUC7L	2820	2657	5259	3331	2240	3219
ENSG00000007402	CACNA2D2	104	102	210	197	138	186
ENSG00000007516	BAIAP3	962	1044	2083	1619	1303	1942
ENSG00000007520	TSR3	1973	1941	3948	2252	2008	3147
ENSG00000007541	PIGQ	2104	1927	4130	2934	2249	3433
ENSG00000007545	CRAMP1	1643	1573	3087	2306	1609	2269
ENSG00000007866	TEAD3	3105	3061	6286	3220	2312	3552
ENSG00000007908	SELE	38	11	28	74	37	41
ENSG00000007923	DNAJC11	2173	2494	4765	2230	2002	2832
ENSG00000007933	FMO3	1	0	1	3	0	1
ENSG00000007944	MYLIP	3840	3670	7106	5295	4432	6325
ENSG00000007952	NOX1	18	19	25	15	13	18
ENSG00000007968	E2F2	1224	1504	3075	636	623	923
ENSG00000008018	PSMB1	10571	11426	21783	9311	8527	12355
ENSG00000008056	SYN1	31	31	76	27	30	46
ENSG00000008083	JARID2	6403	6783	12759	6742	4882	7298
ENSG00000008086	CDKL5	2456	2317	4280	4598	2841	3755
ENSG00000008118	CAMK1G	43	36	60	42	31	40
ENSG00000008128	CDK11A	234	241	404	342	217	344
ENSG00000008130	NADK	6252	5291	11135	8403	5792	8838
ENSG00000008196	TFAP2B	6	5	6	6	4	5
ENSG00000008226	DLEC1	11	11	19	13	8	20
ENSG00000008256	CYTH3	965	928	1803	1608	1278	1962
ENSG00000008277	ADAM22	637	773	1407	1122	857	1216
ENSG00000008282	SYPL1	16269	16292	29928	16647	14879	20615
ENSG00000008283	CYB561	24125	23855	48360	21919	18316	27648
ENSG00000008294	SPAG9	10007	10843	20318	14589	11446	15574
ENSG00000008300	CELSR3	1528	1688	3303	2478	1664	2401
ENSG00000008311	AASS	75	64	146	163	81	159
ENSG00000008323	PLEKHG6	460	426	891	679	560	868
ENSG00000008324	SS18L2	838	879	1689	585	523	720
ENSG00000008382	MPND	1219	1341	2652	1239	1122	1689
ENSG00000008394	MGST1	12473	13513	26338	12312	12006	17203
ENSG00000008405	CRY1	1618	1584	2922	1843	1572	2172
ENSG00000008438	PGLYRP1	1	1	4	9	3	0
ENSG00000008441	NFIX	729	804	1858	1055	1141	1560
ENSG00000008513	ST3GAL1	13312	12034	24162	15906	11705	16663
ENSG00000008516	MMP25	62	79	154	91	69	94
ENSG00000008517	IL32	15	23	35	30	38	46
ENSG00000008710	PKD1	4376	4114	8472	7334	4291	6424
ENSG00000008735	MAPK8IP2	991	1060	2222	815	785	1207
ENSG00000008838	MED24	1848	1986	4117	1641	1289	1990
ENSG00000008853	RHOBTB2	1624	1893	3485	1596	1263	1995
ENSG00000008869	HEATR5B	2966	3198	5873	3460	2633	3652
ENSG00000008952	SEC62	8337	8344	14447	11161	9583	12626
ENSG00000008988	RPS20	28629	28522	56960	23846	21729	32307
ENSG00000009307	CSDE1	231295	232083	428321	255663	206856	293632
ENSG00000009335	UBE3C	16161	15317	29167	16721	13352	18651
ENSG00000009413	REV3L	3969	4168	7407	5750	3460	4725
ENSG00000009694	TENM1	13	8	15	22	18	25
ENSG00000009709	PAX7	0	4	2	4	4	1
ENSG00000009724	MASP2	42	25	61	55	42	59
ENSG00000009765	IYD	94	55	131	96	48	65
ENSG00000009780	FAM76A	627	681	1217	661	576	850
ENSG00000009790	TRAF3IP3	7	6	8	4	1	10
ENSG00000009830	POMT2	2009	2076	3993	3259	2868	4336
ENSG00000009844	VTA1	5195	5661	10215	4490	4195	5753
ENSG00000009950	MLXIPL	170	174	414	273	161	279
ENSG00000009954	BAZ1B	11849	13444	25091	8599	6220	8973
ENSG00000010017	RANBP9	5508	5532	10202	5707	4619	6569
ENSG00000010030	ETV7	22	22	61	28	42	43
ENSG00000010072	SPRTN	1341	1306	2529	1493	1288	1802
ENSG00000010165	METTL13	4785	4977	9929	4298	3632	5417
ENSG00000010219	DYRK4	11	22	38	20	11	18
ENSG00000010244	ZNF207	7624	8017	15265	7788	6273	9288
ENSG00000010256	UQCRC1	8542	9089	17913	7889	7071	10730
ENSG00000010270	STARD3NL	1537	1447	2656	1182	997	1484
ENSG00000010278	CD9	26517	26173	47415	27463	26364	37599
ENSG00000010282	HHATL	0	1	1	1	0	0
ENSG00000010292	NCAPD2	7554	9386	18474	5141	4713	6724
ENSG00000010295	IFFO1	6	6	15	5	2	4
ENSG00000010310	GIPR	26	32	42	34	13	28
ENSG00000010318	PHF7	118	111	228	138	126	139
ENSG00000010319	SEMA3G	14	18	29	10	6	14
ENSG00000010322	NISCH	3421	3161	6560	4004	2687	4208
ENSG00000010327	STAB1	2	5	4	5	0	3
ENSG00000010361	FUZ	428	405	788	364	284	442
ENSG00000010379	SLC6A13	7	2	5	2	4	3
ENSG00000010404	IDS	8973	9677	17246	12171	10541	14100
ENSG00000010438	PRSS3	1	0	0	3	1	0
ENSG00000010539	ZNF200	1140	1221	2183	1260	1051	1571
ENSG00000010610	CD4	1	0	2	3	1	2
ENSG00000010626	LRRC23	242	232	421	122	81	120
ENSG00000010671	BTK	2	2	13	5	2	1
ENSG00000010704	HFE	216	190	388	302	168	236
ENSG00000010803	SCMH1	1039	1024	2105	1335	924	1422
ENSG00000010810	FYN	148	115	205	305	228	330
ENSG00000010818	HIVEP2	1529	1701	3103	2066	1570	2214
ENSG00000010932	FMO1	16	11	22	20	11	19
ENSG00000011007	TCEB3	4052	4091	7943	3612	2824	4249
ENSG00000011009	LYPLA2	3867	3751	7894	4832	4095	6276
ENSG00000011021	CLCN6	1017	1118	2066	1382	938	1444
ENSG00000011028	MRC2	526	578	1145	1340	1423	2125
ENSG00000011052	NME1-NME2	7	4	14	3	3	5
ENSG00000011083	SLC6A7	2	1	2	1	0	1
ENSG00000011105	TSPAN9	1334	1380	2730	1626	1263	1936
ENSG00000011114	BTBD7	4549	4633	8292	8378	6296	8468
ENSG00000011132	APBA3	317	290	593	341	262	450
ENSG00000011143	MKS1	1472	1504	3070	1646	1319	2220
ENSG00000011198	ABHD5	2457	2581	4687	1836	1641	2310
ENSG00000011201	ANOS1	576	635	1157	1116	1026	1455
ENSG00000011243	AKAP8L	2351	2371	4739	2785	2028	3257
ENSG00000011258	MBTD1	3398	3774	6456	4507	3263	4487
ENSG00000011260	UTP18	5409	5969	10808	4759	4296	6105
ENSG00000011275	RNF216	5530	5557	10593	6212	4976	7308
ENSG00000011295	TTC19	3388	3474	6816	3834	3155	4706
ENSG00000011304	PTBP1	14934	17235	34050	13959	13011	19095
ENSG00000011332	DPF1	158	189	325	125	97	190
ENSG00000011347	SYT7	5560	5478	10951	4736	2814	4435
ENSG00000011376	LARS2	1958	2047	3902	1666	1519	2308
ENSG00000011405	PIK3C2A	4862	5299	9303	6192	4448	5747
ENSG00000011422	PLAUR	72	64	169	72	53	114
ENSG00000011426	ANLN	7864	9707	18064	5373	5325	7192
ENSG00000011451	WIZ	3851	3527	7707	4930	4027	6154
ENSG00000011454	RABGAP1	11901	12881	24366	14030	11404	16372
ENSG00000011465	DCN	2	1	3	5	0	0
ENSG00000011478	QPCTL	486	433	1000	464	328	476
ENSG00000011485	PPP5C	3838	3959	7763	3357	2776	4308
ENSG00000011523	CEP68	887	921	1775	1247	1025	1525
ENSG00000011566	MAP4K3	4281	4081	7259	5911	4387	5887
ENSG00000011590	ZBTB32	31	28	55	49	25	34
ENSG00000011638	TMEM159	2988	2538	4962	3042	2405	3436
ENSG00000011677	GABRA3	5	3	0	2	0	0
ENSG00000012048	BRCA1	1864	2452	4603	1245	1028	1405
ENSG00000012061	ERCC1	1685	1646	3328	1476	1281	1908
ENSG00000012124	CD22	52	31	63	44	19	36
ENSG00000012171	SEMA3B	1423	1109	2103	1338	841	1317
ENSG00000012174	MBTPS2	2287	2335	4324	1724	1430	1929
ENSG00000012211	PRICKLE3	630	660	1371	504	431	598
ENSG00000012223	LTF	2	6	4	4	6	4
ENSG00000012232	EXTL3	1725	1910	3620	1692	1436	1951
ENSG00000012504	NR1H4	1	0	3	0	0	2
ENSG00000012660	ELOVL5	5242	5318	9887	5264	4751	6318
ENSG00000012779	ALOX5	14	8	25	37	18	40
ENSG00000012822	CALCOCO1	2683	2397	4349	3625	2307	3593
ENSG00000012963	UBR7	6900	7370	14456	5279	4748	6892
ENSG00000012983	MAP4K5	3564	3632	6448	4415	3351	4534
ENSG00000013016	EHD3	629	550	1060	881	656	914
ENSG00000013275	PSMC4	7104	7234	14625	6803	5747	8785
ENSG00000013288	MAN2B2	2968	3162	6244	3746	3100	4624
ENSG00000013293	SLC7A14	1	0	4	1	0	3
ENSG00000013297	CLDN11	11	14	21	19	13	19
ENSG00000013306	SLC25A39	11343	11555	24071	11508	9976	15526
ENSG00000013364	MVP	5024	4337	8669	6004	4970	6974
ENSG00000013374	NUB1	3049	3212	5720	3778	3125	4563
ENSG00000013375	PGM3	3099	2902	5427	4097	3126	4267
ENSG00000013392	RWDD2A	1051	902	1692	1320	960	1433
ENSG00000013441	CLK1	1851	1901	3336	2678	1662	2555
ENSG00000013503	POLR3B	1293	1490	2755	1511	1235	1839
ENSG00000013523	ANGEL1	3924	4039	7888	4351	3771	5327
ENSG00000013561	RNF14	4049	4079	7637	4739	4264	5897
ENSG00000013563	DNASE1L1	1709	1655	3237	1715	1332	2005
ENSG00000013573	DDX11	1894	2080	4188	1526	1130	1801
ENSG00000013583	HEBP1	2405	2242	4415	2098	1981	2918
ENSG00000013588	GPRC5A	20780	14091	27131	24581	14281	19927
ENSG00000013619	MAMLD1	327	453	822	354	279	427
ENSG00000013725	CD6	0	1	0	3	3	3
ENSG00000013810	TACC3	4323	5101	10436	2527	2238	3544
ENSG00000014123	UFL1	3214	3110	5196	3916	3262	4331
ENSG00000014138	POLA2	3761	4053	8101	2121	1883	2889
ENSG00000014164	ZC3H3	1643	1687	3651	1804	1719	2493
ENSG00000014216	CAPN1	28822	27049	55088	28894	24072	35638
ENSG00000014257	ACPP	253	319	678	153	134	205
ENSG00000014641	MDH1	8833	9567	18011	8436	7712	11031
ENSG00000014824	SLC30A9	4513	4699	8147	4862	4134	5827
ENSG00000014914	MTMR11	936	988	1935	842	588	874
ENSG00000014919	COX15	2837	3149	5993	2544	2395	3343
ENSG00000015133	CCDC88C	2939	2696	5382	3129	1982	2998
ENSG00000015153	YAF2	1110	1110	1885	1121	998	1349
ENSG00000015171	ZMYND11	15562	15922	29040	14769	10936	15431
ENSG00000015285	WAS	50	51	126	47	37	74
ENSG00000015413	DPEP1	12	10	10	19	9	17
ENSG00000015475	BID	4697	4109	8344	5489	4480	6504
ENSG00000015479	MATR3	133	125	222	232	142	198
ENSG00000015520	NPC1L1	274	237	501	248	137	215
ENSG00000015532	XYLT2	2094	2244	4487	1964	1662	2474
ENSG00000015568	RGPD5	21	21	27	33	20	26
ENSG00000015592	STMN4	1	2	7	23	17	27
ENSG00000015676	NUDCD3	6681	6831	13222	8457	6947	10204
ENSG00000016082	ISL1	1	3	6	3	4	3
ENSG00000016391	CHDH	1265	1268	2396	999	675	1019
ENSG00000016402	IL20RA	16	34	59	30	22	46
ENSG00000016602	CLCA4	0	0	2	0	2	0
ENSG00000016864	GLT8D1	1667	1608	2938	1853	1506	2151
ENSG00000017260	ATP2C1	7662	7826	14400	6396	5215	7102
ENSG00000017427	IGF1	0	0	2	1	0	0
ENSG00000017483	SLC38A5	3	4	13	4	1	6
ENSG00000017797	RALBP1	7137	7509	14268	7517	6242	9230
ENSG00000018189	RUFY3	442	475	878	744	462	708
ENSG00000018236	CNTN1	0	1	1	0	2	0
ENSG00000018280	SLC11A1	101	107	194	96	110	135
ENSG00000018408	WWTR1	1100	1066	1987	1611	1306	1874
ENSG00000018510	AGPS	1	0	2	4	2	1
ENSG00000018610	CXorf56	2261	2199	4166	2512	2149	2903
ENSG00000018625	ATP1A2	5	5	7	7	1	6
ENSG00000018699	TTC27	1104	1155	2065	799	736	1010
ENSG00000018869	ZNF582	0	0	0	1	0	0
ENSG00000019102	VSIG2	58	30	76	66	60	76
ENSG00000019144	PHLDB1	1127	1159	2351	1591	1287	1870
ENSG00000019169	MARCO	0	0	1	1	1	0
ENSG00000019186	CYP24A1	54	51	89	103	132	173
ENSG00000019485	PRDM11	390	522	1024	494	373	505
ENSG00000019505	SYT13	19	18	46	56	61	95
ENSG00000019549	SNAI2	369	199	355	372	231	306
ENSG00000019582	CD74	34	42	80	70	75	130
ENSG00000019991	HGF	1	0	0	1	0	2
ENSG00000019995	ZRANB1	1745	1928	3656	2399	2006	2814
ENSG00000020129	NCDN	4221	4158	8378	3594	2862	4283
ENSG00000020181	ADGRA2	71	64	130	302	252	355
ENSG00000020219	CCT8L1P	0	0	1	1	0	1
ENSG00000020256	ZFP64	1648	1682	3396	1829	1515	2320
ENSG00000020426	MNAT1	2664	2510	4621	2545	2174	3022
ENSG00000020577	SAMD4A	1399	1222	2336	3154	1888	2692
ENSG00000020633	RUNX3	1	2	2	1	1	2
ENSG00000020922	MRE11A	1230	1353	2429	1309	1081	1409
ENSG00000021300	PLEKHB1	2298	2463	4903	2151	2202	3195
ENSG00000021355	SERPINB1	2807	2596	5035	2381	1997	2677
ENSG00000021461	CYP3A43	0	0	0	1	0	0
ENSG00000021488	SLC7A9	3	1	8	7	0	5
ENSG00000021574	SPAST	1970	2087	3572	2131	1806	2453
ENSG00000021645	NRXN3	3	6	20	10	6	11
ENSG00000021762	OSBPL5	899	835	1848	849	742	1149
ENSG00000021776	AQR	4587	5366	9523	5654	5111	7171
ENSG00000021826	CPS1	15	34	68	22	37	28
ENSG00000022267	FHL1	974	718	1305	786	498	693
ENSG00000022277	RTFDC1	13145	13479	25334	13521	11897	17621
ENSG00000022355	GABRA1	21	46	87	17	18	29
ENSG00000022556	NLRP2	1	0	0	0	1	0
ENSG00000022567	SLC45A4	1023	1132	2234	1639	1238	1714
ENSG00000022840	RNF10	12125	12367	23927	12614	10498	15326
ENSG00000022976	ZNF839	415	416	810	526	425	659
ENSG00000023041	ZDHHC6	2413	2549	4697	2067	1821	2552
ENSG00000023171	GRAMD1B	11	6	9	18	12	21
ENSG00000023191	RNH1	6930	6873	14819	7254	6230	9516
ENSG00000023228	NDUFS1	8233	8782	16317	9432	8089	11301
ENSG00000023287	RB1CC1	4158	4075	7342	6022	4666	6149
ENSG00000023318	ERP44	5218	4972	9348	5299	4367	6263
ENSG00000023330	ALAS1	3189	2820	5571	2232	1599	2384
ENSG00000023445	BIRC3	37	39	66	78	48	73
ENSG00000023516	AKAP11	6493	6719	11790	12800	9343	11954
ENSG00000023572	GLRX2	988	910	1732	754	742	963
ENSG00000023608	SNAPC1	360	347	645	417	370	465
ENSG00000023697	DERA	1096	1371	2644	765	765	1082
ENSG00000023734	STRAP	8860	8493	16622	9544	8601	12452
ENSG00000023839	ABCC2	455	486	967	395	313	397
ENSG00000023892	DEF6	194	174	424	132	117	173
ENSG00000023902	PLEKHO1	194	268	490	463	446	654
ENSG00000023909	GCLM	1509	1542	2805	1430	1295	1589
ENSG00000024048	UBR2	4066	4362	7838	5830	4627	6504
ENSG00000024422	EHD2	808	681	1443	616	480	755
ENSG00000024526	DEPDC1	1436	2040	3786	786	835	1158
ENSG00000024862	CCDC28A	631	497	875	809	607	869
ENSG00000025039	RRAGD	502	482	858	776	651	884
ENSG00000025156	HSF2	942	979	1685	981	844	1161
ENSG00000025293	PHF20	2845	3070	5657	3486	3098	4388
ENSG00000025423	HSD17B6	90	117	183	36	30	51
ENSG00000025434	NR1H3	365	358	707	341	311	458
ENSG00000025708	TYMP	27	28	48	46	41	54
ENSG00000025770	NCAPH2	1361	1618	3268	1112	916	1507
ENSG00000025772	TOMM34	4140	4072	7982	3300	2793	4027
ENSG00000025796	SEC63	5437	5588	10090	5939	4637	6645
ENSG00000025800	KPNA6	7077	6858	13327	9188	7527	10941
ENSG00000026025	VIM	303	254	476	327	287	461
ENSG00000026036	RTEL1-TNFRSF6B	165	199	319	292	134	192
ENSG00000026103	FAS	418	345	574	554	349	508
ENSG00000026297	RNASET2	1781	1583	2963	2150	1869	2883
ENSG00000026508	CD44	1551	1319	2519	2015	1711	2358
ENSG00000026559	KCNG1	51	54	92	75	104	157
ENSG00000026652	AGPAT4	3	2	6	17	5	10
ENSG00000026751	SLAMF7	0	1	2	0	2	2
ENSG00000026950	BTN3A1	34	33	55	13	8	22
ENSG00000027001	MIPEP	1921	1872	3597	1744	1409	1969
ENSG00000027075	PRKCH	2361	2456	4638	4517	3509	4925
ENSG00000027644	INSRR	1	0	2	0	0	0
ENSG00000027697	IFNGR1	1082	1038	2022	1591	1346	1893
ENSG00000027847	B4GALT7	1317	1281	2676	1740	1442	2174
ENSG00000027869	SH2D2A	1	0	7	0	0	3
ENSG00000028116	VRK2	1113	1232	2323	1077	854	1286
ENSG00000028137	TNFRSF1B	1	0	2	0	1	3
ENSG00000028203	VEZT	4687	4617	8608	5154	4054	5775
