id	sym	DMSO_1	DMSO_2	JQ1_1	JQ1_2
ENSG00000007168	PAFAH1B1	3046	3254	4538	5231
ENSG00000007171	NOS2	0	2	0	1
ENSG00000007174	DNAH9	2	1	2	1
ENSG00000007202	KIAA0100	7595	7521	5922	6685
ENSG00000007216	SLC13A2	0	0	0	1
ENSG00000007237	GAS7	0	3	1	2
ENSG00000007255	TRAPPC6A	398	389	640	790
ENSG00000007264	MATK	1395	1379	39	40
ENSG00000007312	CD79B	2	1	1	1
ENSG00000007314	SCN4A	4	2	1	1
ENSG00000007341	ST7L	456	437	489	543
ENSG00000007350	TKTL1	3	3	7	8
ENSG00000007372	PAX6	219	211	189	204
ENSG00000007376	RPUSD1	1572	1540	838	949
ENSG00000007384	RHBDF1	136	126	343	407
ENSG00000007392	LUC7L	1350	1509	1964	2155
ENSG00000007402	CACNA2D2	19	15	18	17
ENSG00000007516	BAIAP3	42	35	631	682
ENSG00000007520	TSR3	1008	992	897	986
ENSG00000007541	PIGQ	699	670	1067	1145
ENSG00000007545	CRAMP1	491	526	450	521
ENSG00000007866	TEAD3	534	568	319	350
ENSG00000007923	DNAJC11	4968	5229	3073	3290
ENSG00000007933	FMO3	0	0	1	0
ENSG00000007944	MYLIP	1759	1778	3174	3702
ENSG00000007968	E2F2	1222	1188	327	382
ENSG00000008018	PSMB1	7764	8082	6645	7555
ENSG00000008056	SYN1	15	19	135	167
ENSG00000008083	JARID2	2401	2317	2872	3104
ENSG00000008086	CDKL5	4	7	13	17
ENSG00000008128	CDK11A	145	145	126	149
ENSG00000008130	NADK	4250	4288	3917	4680
ENSG00000008196	TFAP2B	911	943	89	80
ENSG00000008226	DLEC1	2	4	5	5
ENSG00000008256	CYTH3	856	785	788	926
ENSG00000008277	ADAM22	22	15	17	22
ENSG00000008282	SYPL1	2969	3140	3871	5115
ENSG00000008283	CYB561	1959	2127	803	937
ENSG00000008294	SPAG9	3624	3829	4684	5319
ENSG00000008300	CELSR3	60	47	101	102
ENSG00000008311	AASS	198	179	196	205
ENSG00000008323	PLEKHG6	19	12	1	4
ENSG00000008324	SS18L2	921	981	592	759
ENSG00000008382	MPND	236	208	364	453
ENSG00000008394	MGST1	2774	2860	886	1081
ENSG00000008405	CRY1	785	859	1040	1174
ENSG00000008441	NFIX	593	642	385	395
ENSG00000008513	ST3GAL1	148	147	51	63
ENSG00000008516	MMP25	1	3	1	1
ENSG00000008517	IL32	6	9	1	4
ENSG00000008710	PKD1	929	869	895	969
ENSG00000008735	MAPK8IP2	120	113	115	97
ENSG00000008838	MED24	3671	3654	2242	2456
ENSG00000008853	RHOBTB2	96	140	291	327
ENSG00000008869	HEATR5B	1182	1112	1822	2055
ENSG00000008952	SEC62	3468	3905	3233	3839
ENSG00000008988	RPS20	13089	13752	9218	10678
ENSG00000009307	CSDE1	18557	19018	14402	15674
ENSG00000009335	UBE3C	4045	4058	4005	4586
ENSG00000009413	REV3L	1158	1192	1348	1454
ENSG00000009694	TENM1	5	10	8	7
ENSG00000009709	PAX7	2	0	0	0
ENSG00000009724	MASP2	2	2	3	2
ENSG00000009765	IYD	1	0	2	4
ENSG00000009780	FAM76A	258	270	355	393
ENSG00000009790	TRAF3IP3	3	0	0	1
ENSG00000009830	POMT2	562	584	588	688
ENSG00000009844	VTA1	2258	2390	1927	2298
ENSG00000009950	MLXIPL	111	95	115	136
ENSG00000009954	BAZ1B	9345	9811	10407	11367
ENSG00000010017	RANBP9	3848	3949	4818	5284
ENSG00000010030	ETV7	0	3	1	1
ENSG00000010072	SPRTN	780	904	719	862
ENSG00000010165	METTL13	2926	3021	1578	1829
ENSG00000010219	DYRK4	277	268	277	236
ENSG00000010244	ZNF207	7591	8127	7582	9467
ENSG00000010256	UQCRC1	3575	3348	2767	3293
ENSG00000010270	STARD3NL	1361	1357	1065	1275
ENSG00000010278	CD9	427	374	953	1215
ENSG00000010292	NCAPD2	4663	4788	5204	5707
ENSG00000010295	IFFO1	2	7	26	20
ENSG00000010310	GIPR	382	425	678	790
ENSG00000010318	PHF7	229	261	281	315
ENSG00000010319	SEMA3G	1	0	2	3
ENSG00000010322	NISCH	1412	1422	2012	2310
ENSG00000010327	STAB1	49	42	4	5
ENSG00000010361	FUZ	170	163	114	134
ENSG00000010379	SLC6A13	21	13	13	31
ENSG00000010404	IDS	1125	1190	5299	7049
ENSG00000010438	PRSS3	2	4	97	82
ENSG00000010539	ZNF200	559	607	403	447
ENSG00000010626	LRRC23	59	51	92	84
ENSG00000010671	BTK	5984	6042	1744	1794
ENSG00000010704	HFE	42	35	51	43
ENSG00000010803	SCMH1	1348	1344	2094	2340
ENSG00000010810	FYN	1622	1638	1783	1922
ENSG00000010818	HIVEP2	213	227	96	120
ENSG00000011007	TCEB3	4120	4289	3357	3481
ENSG00000011009	LYPLA2	2732	2696	2593	2994
ENSG00000011021	CLCN6	813	822	986	1071
ENSG00000011028	MRC2	498	472	835	1012
ENSG00000011105	TSPAN9	20	19	39	43
ENSG00000011114	BTBD7	614	573	770	848
ENSG00000011132	APBA3	366	392	341	364
ENSG00000011143	MKS1	889	948	574	619
ENSG00000011198	ABHD5	1004	1004	1061	1178
ENSG00000011243	AKAP8L	2311	2454	2773	3029
ENSG00000011258	MBTD1	1714	1719	947	1215
ENSG00000011260	UTP18	2731	3000	1568	1786
ENSG00000011275	RNF216	1719	1808	2134	2301
ENSG00000011295	TTC19	1253	1308	1456	1522
ENSG00000011304	PTBP1	17281	17060	13123	14237
ENSG00000011332	DPF1	170	145	175	148
ENSG00000011347	SYT7	5	6	2	6
ENSG00000011376	LARS2	2461	2488	1580	1639
ENSG00000011405	PIK3C2A	1463	1484	1956	2362
ENSG00000011422	PLAUR	236	216	177	222
ENSG00000011426	ANLN	2429	2482	4046	4563
ENSG00000011451	WIZ	1479	1571	1267	1297
ENSG00000011454	RABGAP1	1086	1060	1700	1725
ENSG00000011465	DCN	12	6	12	10
ENSG00000011478	QPCTL	596	610	187	246
ENSG00000011485	PPP5C	3207	3297	2133	2148
ENSG00000011523	CEP68	852	878	1644	1857
ENSG00000011566	MAP4K3	698	647	1156	1367
ENSG00000011590	ZBTB32	0	1	0	0
ENSG00000011600	TYROBP	2	1	0	0
ENSG00000011638	TMEM159	335	360	381	443
ENSG00000011677	GABRA3	305	340	446	541
ENSG00000012048	BRCA1	3201	3278	3397	3583
ENSG00000012061	ERCC1	1048	953	1571	1803
ENSG00000012124	CD22	12	19	1	7
ENSG00000012171	SEMA3B	12	18	3	8
ENSG00000012174	MBTPS2	988	1053	1153	1278
ENSG00000012211	PRICKLE3	449	529	133	149
ENSG00000012223	LTF	1	0	1	0
ENSG00000012232	EXTL3	1666	1516	1205	1258
ENSG00000012504	NR1H4	0	1	2	3
ENSG00000012660	ELOVL5	9056	9438	6920	7695
ENSG00000012779	ALOX5	179	199	144	161
ENSG00000012817	KDM5D	1	0	0	0
ENSG00000012822	CALCOCO1	636	746	1889	2103
ENSG00000012963	UBR7	1754	1779	1866	1944
ENSG00000012983	MAP4K5	1071	1151	806	925
ENSG00000013016	EHD3	0	2	0	0
ENSG00000013275	PSMC4	4190	4127	3259	3325
ENSG00000013288	MAN2B2	416	421	1190	1283
ENSG00000013293	SLC7A14	5	8	7	6
ENSG00000013297	CLDN11	4	6	6	10
ENSG00000013306	SLC25A39	6061	6192	5396	5984
ENSG00000013364	MVP	32	36	76	99
ENSG00000013374	NUB1	2600	2706	3467	3593
ENSG00000013375	PGM3	1812	1943	1767	2089
ENSG00000013392	RWDD2A	213	222	233	281
ENSG00000013441	CLK1	1511	1757	3317	3683
ENSG00000013503	POLR3B	1329	1394	1600	1708
ENSG00000013523	ANGEL1	945	933	956	1109
ENSG00000013561	RNF14	2037	2150	1914	2238
ENSG00000013563	DNASE1L1	409	415	439	456
ENSG00000013573	DDX11	1908	2190	2221	2533
ENSG00000013583	HEBP1	261	264	242	229
ENSG00000013588	GPRC5A	243	256	68	55
ENSG00000013619	MAMLD1	0	1	2	3
ENSG00000013725	CD6	1	0	0	0
ENSG00000013810	TACC3	4135	4205	4969	5483
ENSG00000014123	UFL1	1331	1446	1809	2128
ENSG00000014138	POLA2	2337	2434	2405	2622
ENSG00000014164	ZC3H3	757	747	795	907
ENSG00000014216	CAPN1	5014	4884	3883	4440
ENSG00000014257	ACPP	45	56	11	16
ENSG00000014641	MDH1	5815	6039	4051	4825
ENSG00000014824	SLC30A9	2982	3040	3046	3446
ENSG00000014914	MTMR11	5	12	52	51
ENSG00000014919	COX15	1745	1719	1235	1382
ENSG00000015133	CCDC88C	960	947	457	523
ENSG00000015153	YAF2	657	766	510	731
ENSG00000015171	ZMYND11	875	882	705	837
ENSG00000015285	WAS	99	91	55	50
ENSG00000015413	DPEP1	0	0	1	1
ENSG00000015475	BID	1828	1874	710	787
ENSG00000015479	MATR3	37	44	42	68
ENSG00000015520	NPC1L1	0	1	0	0
ENSG00000015532	XYLT2	491	437	258	279
ENSG00000015568	RGPD5	5	1	6	7
ENSG00000015676	NUDCD3	2435	2403	2749	3254
ENSG00000016391	CHDH	587	627	120	116
ENSG00000016402	IL20RA	1	0	0	0
ENSG00000016490	CLCA1	43	42	284	295
ENSG00000016864	GLT8D1	893	907	742	819
ENSG00000017260	ATP2C1	1630	1616	1495	1691
ENSG00000017427	IGF1	61	70	375	431
ENSG00000017483	SLC38A5	2674	2669	144	172
ENSG00000017797	RALBP1	3063	3080	3349	3643
ENSG00000018189	RUFY3	815	869	656	801
ENSG00000018280	SLC11A1	91	98	17	20
ENSG00000018408	WWTR1	68	78	66	67
ENSG00000018510	AGPS	3142	3395	1907	2227
ENSG00000018610	CXorf56	1612	1619	1087	1257
ENSG00000018625	ATP1A2	0	1	0	0
ENSG00000018699	TTC27	2140	2251	918	1033
ENSG00000018869	ZNF582	29	24	59	92
ENSG00000019102	VSIG2	0	0	0	1
ENSG00000019144	PHLDB1	636	643	1281	1353
ENSG00000019186	CYP24A1	1	0	0	0
ENSG00000019485	PRDM11	43	55	112	112
ENSG00000019505	SYT13	3	0	0	1
ENSG00000019549	SNAI2	3	2	3	0
ENSG00000019582	CD74	1	0	1	1
ENSG00000019995	ZRANB1	58	71	111	121
ENSG00000020129	NCDN	1959	1944	2285	2796
ENSG00000020181	ADGRA2	15	12	75	64
ENSG00000020256	ZFP64	293	302	147	169
ENSG00000020426	MNAT1	741	863	740	769
ENSG00000020577	SAMD4A	86	74	124	136
ENSG00000020633	RUNX3	10	16	7	7
ENSG00000020922	MRE11A	1759	1843	1405	1655
ENSG00000021300	PLEKHB1	7	9	33	36
ENSG00000021355	SERPINB1	2639	2615	6129	7025
ENSG00000021461	CYP3A43	3	0	0	1
ENSG00000021488	SLC7A9	1	3	0	2
ENSG00000021574	SPAST	1221	1167	1092	1486
ENSG00000021645	NRXN3	6	3	9	8
ENSG00000021762	OSBPL5	186	182	179	190
ENSG00000021776	AQR	2242	2217	1997	2152
ENSG00000021826	CPS1	365	374	458	506
ENSG00000022267	FHL1	7	8	18	19
ENSG00000022277	RTFDC1	1608	1665	1257	1507
ENSG00000022556	NLRP2	2941	3036	3296	3773
ENSG00000022567	SLC45A4	439	450	588	648
ENSG00000022840	RNF10	6788	6503	6714	7141
ENSG00000022976	ZNF839	288	327	277	327
ENSG00000023041	ZDHHC6	835	967	594	626
ENSG00000023171	GRAMD1B	0	1	0	1
ENSG00000023191	RNH1	1904	1934	1587	1864
ENSG00000023228	NDUFS1	5893	5993	3771	4339
ENSG00000023287	RB1CC1	3300	3227	3445	3833
ENSG00000023318	ERP44	2836	3154	3225	3292
ENSG00000023330	ALAS1	1091	1082	647	746
ENSG00000023445	BIRC3	7	11	10	9
ENSG00000023516	AKAP11	3207	3171	2000	2432
ENSG00000023572	GLRX2	715	824	688	810
ENSG00000023608	SNAPC1	61	65	60	40
ENSG00000023697	DERA	270	270	563	597
ENSG00000023734	STRAP	5787	6255	4114	4526
ENSG00000023839	ABCC2	9	11	13	7
ENSG00000023892	DEF6	852	807	72	97
ENSG00000023902	PLEKHO1	107	99	78	86
ENSG00000023909	GCLM	1743	1860	2337	3067
ENSG00000024048	UBR2	2560	2623	2812	3180
ENSG00000024422	EHD2	978	936	2160	2271
ENSG00000024526	DEPDC1	1157	1180	681	825
ENSG00000024862	CCDC28A	365	395	386	432
ENSG00000025039	RRAGD	361	323	118	146
ENSG00000025156	HSF2	1270	1363	1047	1204
ENSG00000025293	PHF20	1954	2026	1869	2124
ENSG00000025423	HSD17B6	15	20	25	33
ENSG00000025434	NR1H3	295	322	426	494
ENSG00000025708	TYMP	15	11	22	4
ENSG00000025770	NCAPH2	1667	1696	1704	2173
ENSG00000025772	TOMM34	1534	1555	1374	1574
ENSG00000025796	SEC63	3350	3567	2870	3083
ENSG00000025800	KPNA6	3317	3415	3178	3633
ENSG00000026025	VIM	34509	33518	76513	81966
ENSG00000026036	RTEL1-TNFRSF6B	56	70	65	97
ENSG00000026103	FAS	2	2	1	3
ENSG00000026297	RNASET2	239	259	299	333
ENSG00000026508	CD44	234	253	572	588
ENSG00000026559	KCNG1	10	10	6	5
ENSG00000026652	AGPAT4	809	920	1795	1916
ENSG00000026751	SLAMF7	32	41	29	24
ENSG00000026950	BTN3A1	224	237	166	147
ENSG00000027001	MIPEP	499	499	394	428
ENSG00000027075	PRKCH	1	1	1	0
ENSG00000027644	INSRR	4	4	13	20
ENSG00000027697	IFNGR1	1208	1306	1192	1330
ENSG00000027847	B4GALT7	396	423	517	511
ENSG00000027869	SH2D2A	172	159	63	77
ENSG00000028116	VRK2	1214	1438	1070	1185
ENSG00000028137	TNFRSF1B	2861	2853	2477	3078
ENSG00000028203	VEZT	1344	1387	1984	2100
ENSG00000028277	POU2F2	20	12	22	47
ENSG00000028310	BRD9	1928	2155	1427	1663
ENSG00000028528	SNX1	2887	3072	3297	3649
ENSG00000028839	TBPL1	2366	2476	3091	3511
ENSG00000029153	ARNTL2	768	754	841	942
ENSG00000029363	BCLAF1	7258	7656	8068	9252
ENSG00000029364	SLC39A9	1959	1892	1926	2243
ENSG00000029534	ANK1	4119	4129	3737	4211
ENSG00000029639	TFB1M	639	621	521	551
ENSG00000029725	RABEP1	2546	2649	2657	2780
ENSG00000029993	HMGB3	1459	1555	679	717
ENSG00000030066	NUP160	4928	5083	3142	3430
ENSG00000030110	BAK1	967	943	880	1000
ENSG00000030419	IKZF2	537	496	611	847
ENSG00000030582	GRN	2198	2121	4459	5168
ENSG00000031003	FAM13B	728	836	2047	2303
ENSG00000031081	ARHGAP31	74	79	78	76
ENSG00000031691	CENPQ	699	764	604	647
ENSG00000031698	SARS	7992	7607	7446	8359
ENSG00000031823	RANBP3	2002	2033	1823	1976
ENSG00000032219	ARID4A	545	537	560	692
ENSG00000032389	TSSC1	1180	1152	752	824
ENSG00000032444	PNPLA6	922	848	1075	1212
ENSG00000032742	IFT88	587	606	1025	1138
ENSG00000033011	ALG1	741	638	470	515
ENSG00000033030	ZCCHC8	1555	1491	1210	1276
ENSG00000033050	ABCF2	6152	6330	3226	3546
ENSG00000033100	CHPF2	899	895	1754	2037
ENSG00000033122	LRRC7	6	3	2	6
ENSG00000033170	FUT8	883	856	651	791
ENSG00000033178	UBA6	4323	4328	4411	5375
ENSG00000033327	GAB2	2486	2333	4068	4502
ENSG00000033627	ATP6V0A1	6018	6131	6642	6933
ENSG00000033800	PIAS1	1531	1683	2122	2375
ENSG00000033867	SLC4A7	734	730	223	281
ENSG00000034053	APBA2	997	1009	707	726
ENSG00000034152	MAP2K3	382	352	255	270
ENSG00000034510	TMSB10	4676	4810	20206	22473
ENSG00000034533	ASTE1	173	192	226	239
ENSG00000034677	RNF19A	700	819	1305	1540
ENSG00000034693	PEX3	512	548	483	480
ENSG00000034713	GABARAPL2	2375	2382	2905	3073
ENSG00000035115	SH3YL1	57	67	47	42
ENSG00000035141	FAM136A	3980	4364	1470	1575
ENSG00000035403	VCL	8680	8691	9602	10671
ENSG00000035499	DEPDC1B	1642	1652	1368	1604
ENSG00000035664	DAPK2	43	35	50	73
ENSG00000035681	NSMAF	2590	2813	1435	1551
ENSG00000035687	ADSS	3292	3510	2531	2879
ENSG00000035720	STAP1	374	378	93	109
ENSG00000035862	TIMP2	5	3	26	31
ENSG00000035928	RFC1	3360	3410	3349	3505
ENSG00000036054	TBC1D23	2047	2094	1573	1774
ENSG00000036257	CUL3	4151	4231	4265	4581
ENSG00000036448	MYOM2	3	4	3	4
ENSG00000036530	CYP46A1	0	1	8	6
ENSG00000036549	ZZZ3	1703	1734	1729	1954
ENSG00000036565	SLC18A1	0	2	0	0
ENSG00000036672	USP2	631	593	275	281
ENSG00000037042	TUBG2	60	51	99	114
ENSG00000037241	RPL26L1	544	646	416	516
ENSG00000037280	FLT4	6	10	18	23
ENSG00000037474	NSUN2	9102	9859	5771	6179
ENSG00000037637	FBXO42	1183	1209	1627	1737
ENSG00000037749	MFAP3	926	899	905	1093
ENSG00000037757	MRI1	1094	1159	1310	1443
ENSG00000037897	METTL1	522	583	412	462
ENSG00000037965	HOXC8	23	32	17	16
ENSG00000038002	AGA	280	297	752	831
ENSG00000038210	PI4K2B	732	732	555	937
ENSG00000038219	BOD1L1	1679	1689	1965	2116
ENSG00000038274	MAT2B	1998	2086	1606	2091
ENSG00000038358	EDC4	3327	3427	3572	3985
ENSG00000038382	TRIO	865	765	1368	1420
ENSG00000038427	VCAN	38	39	12	7
ENSG00000038532	CLEC16A	1196	1150	1788	2110
ENSG00000038945	MSR1	1	6	13	11
ENSG00000039068	CDH1	4	2	0	1
ENSG00000039123	SKIV2L2	6533	6722	3624	3999
ENSG00000039139	DNAH5	33	31	66	79
ENSG00000039319	ZFYVE16	1111	1092	2119	2400
ENSG00000039523	FAM65A	476	464	103	112
ENSG00000039560	RAI14	2761	2871	2094	2344
ENSG00000039600	SOX30	14	10	30	23
ENSG00000039650	PNKP	727	745	1267	1416
ENSG00000039987	BEST2	0	0	1	1
ENSG00000040199	PHLPP2	393	433	678	775
ENSG00000040275	SPDL1	2062	2193	2276	2580
ENSG00000040341	STAU2	1776	1872	2927	3336
ENSG00000040487	PQLC2	676	683	1400	1514
ENSG00000040531	CTNS	427	421	992	1081
ENSG00000040608	RTN4R	13	11	19	18
ENSG00000040633	PHF23	1278	1383	1151	1460
ENSG00000040731	CDH10	2	0	0	0
ENSG00000040933	INPP4A	786	787	1510	1744
ENSG00000041353	RAB27B	2	2	0	0
ENSG00000041357	PSMA4	9204	9778	7221	7577
ENSG00000041515	MYO16	4	3	3	1
ENSG00000041802	LSG1	1468	1523	1480	1589
ENSG00000041880	PARP3	125	125	42	45
ENSG00000041982	TNC	4	1	1	1
ENSG00000041988	THAP3	415	390	339	388
ENSG00000042062	FAM65C	701	734	1222	1539
ENSG00000042088	TDP1	978	1016	937	958
ENSG00000042286	AIFM2	535	552	282	319
ENSG00000042304	C2orf83	2	3	3	5
ENSG00000042317	SPATA7	107	112	137	188
ENSG00000042429	MED17	956	993	1039	1138
ENSG00000042445	RETSAT	702	674	1741	2079
ENSG00000042493	CAPG	408	445	379	456
ENSG00000042753	AP2S1	3084	3080	3266	4011
ENSG00000042832	TG	0	0	3	2
ENSG00000043039	BARX2	0	1	0	0
ENSG00000043093	DCUN1D1	1224	1304	1251	1690
ENSG00000043143	JADE2	574	571	360	417
ENSG00000043355	ZIC2	356	387	261	291
ENSG00000043462	LCP2	285	293	450	555
ENSG00000043514	TRIT1	2325	2411	1325	1498
ENSG00000044090	CUL7	899	842	1490	1852
ENSG00000044115	CTNNA1	5387	5396	10139	11457
ENSG00000044446	PHKA2	572	581	422	482
ENSG00000044459	CNTLN	188	185	96	99
ENSG00000044524	EPHA3	0	0	2	1
ENSG00000044574	HSPA5	10372	11327	10176	10869
ENSG00000046604	DSG2	5418	5556	4153	4705
ENSG00000046647	GEMIN8	388	318	221	252
ENSG00000046651	OFD1	951	1122	1074	1214
ENSG00000046653	GPM6B	0	0	0	1
ENSG00000046774	MAGEC2	2238	2298	2355	2878
ENSG00000046889	PREX2	0	0	0	1
ENSG00000047056	WDR37	506	538	702	778
ENSG00000047188	YTHDC2	1611	1724	1080	1291
ENSG00000047230	CTPS2	544	545	169	185
