id	sym	Control_1	Control_2	BMI1_Knockdown_1	BMI1_Knockdown_2
ENSG00000005059	CCDC109B	28	35	41	35
ENSG00000005073	HOXA11	86	84	105	83
ENSG00000005075	POLR2J	819	750	1113	800
ENSG00000005100	DHX33	783	758	654	514
ENSG00000005108	THSD7A	121	104	130	101
ENSG00000005156	LIG3	2140	1827	2380	1586
ENSG00000005175	RPAP3	739	804	916	686
ENSG00000005187	ACSM3	349	327	437	305
ENSG00000005189	AC004381.6	875	724	979	716
ENSG00000005194	CIAPIN1	895	833	1347	1014
ENSG00000005206	SPPL2B	478	390	407	346
ENSG00000005238	FAM214B	667	474	677	500
ENSG00000005243	COPZ2	0	0	0	1
ENSG00000005249	PRKAR2B	477	515	554	391
ENSG00000005302	MSL3	526	498	607	443
ENSG00000005339	CREBBP	1485	1393	690	560
ENSG00000005379	TSPOAP1	538	424	583	415
ENSG00000005436	GCFC2	773	804	927	642
ENSG00000005448	WDR54	285	242	384	341
ENSG00000005469	CROT	848	819	887	641
ENSG00000005471	ABCB4	14	10	13	11
ENSG00000005483	KMT2E	2012	1836	1478	1040
ENSG00000005486	RHBDD2	1248	1038	1178	937
ENSG00000005513	SOX8	184	132	160	109
ENSG00000005700	IBTK	1835	1875	2114	1575
ENSG00000005801	ZNF195	718	651	1011	686
ENSG00000005810	MYCBP2	8635	7645	7577	5352
ENSG00000005812	FBXL3	1149	1204	1395	1033
ENSG00000005844	ITGAL	4	5	0	1
ENSG00000005882	PDK2	577	491	659	538
ENSG00000005884	ITGA3	280	219	174	129
ENSG00000005889	ZFX	1483	1348	1584	1197
ENSG00000005893	LAMP2	5407	5431	5046	3979
ENSG00000005961	ITGA2B	20	21	36	19
ENSG00000006007	GDE1	1871	1700	2518	1904
ENSG00000006015	C19orf60	778	701	818	616
ENSG00000006016	CRLF1	45	23	45	38
ENSG00000006025	OSBPL7	110	69	107	72
ENSG00000006042	TMEM98	989	895	1317	961
ENSG00000006047	YBX2	28	26	28	31
ENSG00000006062	MAP3K14	193	154	179	119
ENSG00000006071	ABCC8	197	177	118	97
ENSG00000006118	TMEM132A	2916	2387	3052	2369
ENSG00000006125	AP2B1	5498	4901	4941	3540
ENSG00000006194	ZNF263	795	711	1089	799
ENSG00000006282	SPATA20	5906	4905	6329	4899
ENSG00000006283	CACNA1G	5	1	5	5
ENSG00000006327	TNFRSF12A	169	147	233	193
ENSG00000006377	DLX6	0	0	0	1
ENSG00000006432	MAP3K9	681	577	623	463
ENSG00000006451	RALA	535	507	657	427
ENSG00000006453	BAIAP2L1	2320	2114	2681	1952
ENSG00000006459	KDM7A	643	581	651	421
ENSG00000006468	ETV1	3	1	0	1
ENSG00000006530	AGK	1254	1193	1799	1348
ENSG00000006534	ALDH3B1	12	19	16	19
ENSG00000006576	PHTF2	881	895	1269	868
ENSG00000006606	CCL26	6	1	1	2
ENSG00000006607	FARP2	1406	1218	1263	864
ENSG00000006611	USH1C	0	2	2	0
ENSG00000006625	GGCT	1173	1182	1653	1313
ENSG00000006634	DBF4	1234	1212	1638	1183
ENSG00000006638	TBXA2R	6	2	2	4
ENSG00000006652	IFRD1	957	883	923	695
ENSG00000006695	COX10	396	356	512	358
ENSG00000006704	GTF2IRD1	604	577	659	502
ENSG00000006712	PAF1	1935	1617	2406	1731
ENSG00000006715	VPS41	1244	1028	1529	1127
ENSG00000006740	ARHGAP44	414	334	329	262
ENSG00000006744	ELAC2	3273	2853	3935	2933
ENSG00000006747	SCIN	10	12	7	12
ENSG00000006756	ARSD	1750	1453	1964	1437
ENSG00000006757	PNPLA4	502	424	579	420
ENSG00000006788	MYH13	1	0	2	1
ENSG00000006831	ADIPOR2	1756	1499	1655	1162
ENSG00000006837	CDKL3	19	22	22	11
ENSG00000007001	UPP2	1	4	0	0
ENSG00000007047	MARK4	158	108	131	111
ENSG00000007062	PROM1	0	2	1	0
ENSG00000007080	CCDC124	1119	1030	1486	1316
ENSG00000007168	PAFAH1B1	2506	2418	3042	2147
ENSG00000007171	NOS2	2	0	1	0
ENSG00000007174	DNAH9	23	21	23	20
ENSG00000007202	KIAA0100	13667	11259	14855	10962
ENSG00000007237	GAS7	9	9	3	3
ENSG00000007255	TRAPPC6A	225	216	344	211
ENSG00000007264	MATK	4	5	2	1
ENSG00000007314	SCN4A	1	2	0	0
ENSG00000007341	ST7L	558	528	718	539
ENSG00000007350	TKTL1	0	0	0	2
ENSG00000007372	PAX6	1	0	2	0
ENSG00000007376	RPUSD1	971	849	1282	950
ENSG00000007384	RHBDF1	631	492	557	458
ENSG00000007392	LUC7L	534	495	578	460
ENSG00000007402	CACNA2D2	90	84	45	27
ENSG00000007516	BAIAP3	277	184	207	145
ENSG00000007520	TSR3	791	675	927	737
ENSG00000007541	PIGQ	503	483	500	398
ENSG00000007545	CRAMP1	282	233	201	136
ENSG00000007866	TEAD3	375	292	402	311
ENSG00000007908	SELE	0	1	1	1
ENSG00000007923	DNAJC11	1555	1388	1898	1383
ENSG00000007933	FMO3	1	0	1	1
ENSG00000007944	MYLIP	546	481	631	470
ENSG00000007968	E2F2	333	291	438	279
ENSG00000008018	PSMB1	2829	2522	3266	2441
ENSG00000008083	JARID2	961	790	1238	885
ENSG00000008086	CDKL5	257	266	280	195
ENSG00000008118	CAMK1G	0	1	0	0
ENSG00000008128	CDK11A	96	84	92	83
ENSG00000008130	NADK	2457	2129	2790	2176
ENSG00000008226	DLEC1	3	0	0	1
ENSG00000008256	CYTH3	788	700	746	580
ENSG00000008277	ADAM22	405	433	398	254
ENSG00000008282	SYPL1	1829	1877	2122	1542
ENSG00000008283	CYB561	6582	5610	5405	4069
ENSG00000008294	SPAG9	2215	1980	2546	1757
ENSG00000008300	CELSR3	116	118	86	76
ENSG00000008311	AASS	520	482	498	325
ENSG00000008323	PLEKHG6	14	10	12	14
ENSG00000008324	SS18L2	280	245	371	292
ENSG00000008382	MPND	379	303	540	367
ENSG00000008394	MGST1	2035	2059	2831	2136
ENSG00000008405	CRY1	552	520	617	411
ENSG00000008441	NFIX	6587	5750	3306	2375
ENSG00000008513	ST3GAL1	9945	8345	8851	6269
ENSG00000008516	MMP25	5	1	4	0
ENSG00000008517	IL32	2	1	1	1
ENSG00000008710	PKD1	1445	1223	1257	964
ENSG00000008735	MAPK8IP2	623	506	537	437
ENSG00000008838	MED24	1017	969	1247	908
ENSG00000008853	RHOBTB2	739	597	718	564
ENSG00000008869	HEATR5B	1560	1424	1925	1447
ENSG00000008952	SEC62	2152	2081	2771	2043
ENSG00000008988	RPS20	11943	11287	16790	12529
ENSG00000009307	CSDE1	16346	15137	20679	15078
ENSG00000009335	UBE3C	5399	4948	6267	4617
ENSG00000009413	REV3L	976	905	643	421
ENSG00000009694	TENM1	4023	3832	3674	2630
ENSG00000009709	PAX7	1	0	1	1
ENSG00000009724	MASP2	0	3	1	0
ENSG00000009765	IYD	126	130	109	77
ENSG00000009780	FAM76A	341	261	329	264
ENSG00000009830	POMT2	455	378	402	362
ENSG00000009844	VTA1	1066	1026	1582	1100
ENSG00000009950	MLXIPL	52	49	48	34
ENSG00000009954	BAZ1B	6243	5466	6970	4938
ENSG00000010017	RANBP9	1197	1210	1301	958
ENSG00000010030	ETV7	25	17	17	14
ENSG00000010072	SPRTN	422	385	608	414
ENSG00000010165	METTL13	1490	1303	1702	1298
ENSG00000010219	DYRK4	498	464	622	455
ENSG00000010244	ZNF207	3900	3433	5317	3867
ENSG00000010256	UQCRC1	4132	3533	5189	4035
ENSG00000010270	STARD3NL	837	818	1077	856
ENSG00000010278	CD9	5930	5751	7274	5428
ENSG00000010282	HHATL	0	0	1	1
ENSG00000010292	NCAPD2	5463	4654	5966	4348
ENSG00000010295	IFFO1	6	5	6	3
ENSG00000010310	GIPR	2	0	2	0
ENSG00000010318	PHF7	173	168	151	111
ENSG00000010319	SEMA3G	232	179	227	196
ENSG00000010322	NISCH	1732	1496	1595	1265
ENSG00000010327	STAB1	14	13	14	11
ENSG00000010361	FUZ	80	58	66	42
ENSG00000010379	SLC6A13	16	10	8	9
ENSG00000010404	IDS	384	367	321	248
ENSG00000010438	PRSS3	1	3	0	1
ENSG00000010539	ZNF200	313	284	391	319
ENSG00000010610	CD4	10	19	10	11
ENSG00000010626	LRRC23	185	156	263	192
ENSG00000010671	BTK	2	0	1	3
ENSG00000010704	HFE	238	204	292	224
ENSG00000010803	SCMH1	1679	1430	1975	1441
ENSG00000010810	FYN	29	34	20	19
ENSG00000010818	HIVEP2	1310	1130	1404	927
ENSG00000011007	TCEB3	1449	1383	1646	1208
ENSG00000011009	LYPLA2	717	550	1131	794
ENSG00000011021	CLCN6	431	336	368	237
ENSG00000011028	MRC2	11	5	6	2
ENSG00000011052	NME1-NME2	5	2	5	4
ENSG00000011083	SLC6A7	0	1	2	2
ENSG00000011105	TSPAN9	744	591	959	709
ENSG00000011114	BTBD7	1115	1038	1048	726
ENSG00000011132	APBA3	290	277	346	286
ENSG00000011143	MKS1	480	459	657	450
ENSG00000011198	ABHD5	515	441	511	364
ENSG00000011201	ANOS1	6	2	0	1
ENSG00000011243	AKAP8L	1015	842	1296	929
ENSG00000011258	MBTD1	560	607	530	356
ENSG00000011260	UTP18	1240	1176	1556	1146
ENSG00000011275	RNF216	1184	1025	1325	901
ENSG00000011295	TTC19	1701	1457	1998	1520
ENSG00000011304	PTBP1	5905	5355	6360	4767
ENSG00000011332	DPF1	124	104	122	102
ENSG00000011347	SYT7	813	669	449	286
ENSG00000011376	LARS2	1374	1214	1747	1313
ENSG00000011405	PIK3C2A	3040	2968	3270	2495
ENSG00000011422	PLAUR	15	12	24	21
ENSG00000011426	ANLN	2934	2718	3606	2559
ENSG00000011451	WIZ	1152	1037	800	554
ENSG00000011454	RABGAP1	2544	2385	2881	2065
ENSG00000011465	DCN	3	1	1	2
ENSG00000011478	QPCTL	184	160	239	182
ENSG00000011485	PPP5C	1149	979	1385	1067
ENSG00000011523	CEP68	322	286	333	293
ENSG00000011566	MAP4K3	390	424	500	328
ENSG00000011590	ZBTB32	2	2	2	0
ENSG00000011638	TMEM159	628	581	822	625
ENSG00000011677	GABRA3	160	146	163	112
ENSG00000012048	BRCA1	2066	1792	2491	1719
ENSG00000012061	ERCC1	933	801	1200	937
ENSG00000012124	CD22	0	0	3	3
ENSG00000012171	SEMA3B	132	139	170	115
ENSG00000012174	MBTPS2	817	770	460	355
ENSG00000012211	PRICKLE3	210	205	223	192
ENSG00000012223	LTF	6	0	2	2
ENSG00000012232	EXTL3	1072	877	1129	826
ENSG00000012660	ELOVL5	12455	12620	12319	9149
ENSG00000012779	ALOX5	14	4	2	9
ENSG00000012822	CALCOCO1	612	492	717	557
ENSG00000012963	UBR7	1541	1398	1731	1240
ENSG00000012983	MAP4K5	594	553	578	394
ENSG00000013016	EHD3	564	500	549	396
ENSG00000013275	PSMC4	2767	2400	3514	2700
ENSG00000013288	MAN2B2	751	640	665	570
ENSG00000013293	SLC7A14	0	0	1	0
ENSG00000013297	CLDN11	7	4	3	3
ENSG00000013306	SLC25A39	3580	2819	4456	3312
ENSG00000013364	MVP	86	87	100	103
ENSG00000013374	NUB1	1334	1177	1631	1179
ENSG00000013375	PGM3	2190	1898	1594	1202
ENSG00000013392	RWDD2A	835	824	950	714
ENSG00000013441	CLK1	1127	1207	1429	1056
ENSG00000013503	POLR3B	708	682	847	628
ENSG00000013523	ANGEL1	770	671	759	503
ENSG00000013561	RNF14	1693	1664	2221	1549
ENSG00000013563	DNASE1L1	1314	1062	1434	1049
ENSG00000013573	DDX11	1077	881	1264	896
ENSG00000013583	HEBP1	274	244	235	158
ENSG00000013588	GPRC5A	15	11	8	10
ENSG00000013619	MAMLD1	25	15	8	8
ENSG00000013810	TACC3	2103	1797	1832	1443
ENSG00000014123	UFL1	1310	1382	1499	1164
ENSG00000014138	POLA2	1129	980	1241	890
ENSG00000014164	ZC3H3	269	243	222	152
ENSG00000014216	CAPN1	3277	2807	3349	2568
ENSG00000014257	ACPP	514	476	413	352
ENSG00000014641	MDH1	2182	2080	2976	2301
ENSG00000014824	SLC30A9	2284	2239	2895	2146
ENSG00000014914	MTMR11	41	33	27	29
ENSG00000014919	COX15	861	788	1149	821
ENSG00000015133	CCDC88C	1523	1322	1405	1023
ENSG00000015153	YAF2	259	258	250	219
ENSG00000015171	ZMYND11	2265	2249	2616	1828
ENSG00000015285	WAS	13	10	15	13
ENSG00000015413	DPEP1	1	0	0	0
ENSG00000015475	BID	653	543	893	652
ENSG00000015479	MATR3	240	226	191	121
ENSG00000015520	NPC1L1	2	2	3	2
ENSG00000015532	XYLT2	852	656	947	748
ENSG00000015568	RGPD5	25	31	23	19
ENSG00000015592	STMN4	0	2	2	1
ENSG00000015676	NUDCD3	2450	2055	3011	2343
ENSG00000016082	ISL1	6	8	5	8
ENSG00000016391	CHDH	786	667	709	494
ENSG00000016402	IL20RA	20	24	24	26
ENSG00000016490	CLCA1	0	0	1	0
ENSG00000016864	GLT8D1	645	630	818	594
ENSG00000017260	ATP2C1	2543	2344	2537	1798
ENSG00000017427	IGF1	67	68	75	43
ENSG00000017483	SLC38A5	12	7	7	9
ENSG00000017797	RALBP1	2395	2146	2771	2010
ENSG00000018189	RUFY3	317	361	330	227
ENSG00000018236	CNTN1	0	1	0	0
ENSG00000018280	SLC11A1	140	120	151	116
ENSG00000018408	WWTR1	69	58	42	36
ENSG00000018510	AGPS	690	692	647	550
ENSG00000018607	ZNF806	1	1	1	2
ENSG00000018610	CXorf56	554	513	732	580
ENSG00000018625	ATP1A2	2	0	1	0
ENSG00000018699	TTC27	379	366	501	379
ENSG00000018869	ZNF582	54	46	59	46
ENSG00000019102	VSIG2	2	0	1	0
ENSG00000019144	PHLDB1	573	484	627	465
ENSG00000019485	PRDM11	98	82	80	56
ENSG00000019505	SYT13	9	8	8	8
ENSG00000019549	SNAI2	47	35	33	25
ENSG00000019582	CD74	1	1	0	0
ENSG00000019991	HGF	0	0	0	1
ENSG00000019995	ZRANB1	658	606	832	565
ENSG00000020129	NCDN	1468	1201	1534	1208
ENSG00000020181	ADGRA2	13	15	16	10
ENSG00000020219	CCT8L1P	0	1	1	0
ENSG00000020256	ZFP64	607	486	643	490
ENSG00000020426	MNAT1	532	517	578	405
ENSG00000020577	SAMD4A	10	9	11	8
ENSG00000020922	MRE11A	967	929	1253	802
ENSG00000021300	PLEKHB1	2854	2366	3746	2884
ENSG00000021355	SERPINB1	0	0	0	1
ENSG00000021461	CYP3A43	5	6	1	3
ENSG00000021488	SLC7A9	4	9	8	11
ENSG00000021574	SPAST	421	482	514	343
ENSG00000021645	NRXN3	125	99	112	94
ENSG00000021762	OSBPL5	2193	1798	2388	2001
ENSG00000021776	AQR	2060	1893	2583	1864
ENSG00000021826	CPS1	75	59	59	45
ENSG00000022267	FHL1	1	0	0	1
ENSG00000022277	RTFDC1	1484	1295	1977	1461
ENSG00000022556	NLRP2	1782	1486	2092	1633
ENSG00000022567	SLC45A4	373	327	326	257
ENSG00000022840	RNF10	2068	1905	2138	1589
ENSG00000022976	ZNF839	361	329	401	328
ENSG00000023041	ZDHHC6	671	634	898	592
ENSG00000023171	GRAMD1B	0	3	1	0
ENSG00000023191	RNH1	3797	2944	4291	3464
ENSG00000023228	NDUFS1	3545	3190	4605	3328
ENSG00000023287	RB1CC1	1564	1552	1750	1225
ENSG00000023318	ERP44	1027	906	1071	808
ENSG00000023330	ALAS1	1374	1221	2024	1577
ENSG00000023445	BIRC3	90	109	95	70
ENSG00000023516	AKAP11	2021	1961	1760	1204
ENSG00000023572	GLRX2	360	364	530	381
ENSG00000023608	SNAPC1	211	190	265	177
ENSG00000023697	DERA	523	489	689	537
ENSG00000023734	STRAP	2347	2269	3009	2286
ENSG00000023839	ABCC2	7	12	5	3
ENSG00000023892	DEF6	737	654	831	661
ENSG00000023902	PLEKHO1	80	64	62	59
ENSG00000023909	GCLM	731	822	758	578
ENSG00000024048	UBR2	1507	1399	1815	1264
ENSG00000024526	DEPDC1	1773	1881	2150	1645
ENSG00000024862	CCDC28A	167	130	152	153
ENSG00000025039	RRAGD	320	298	347	274
ENSG00000025156	HSF2	349	318	465	347
ENSG00000025293	PHF20	1894	1688	2036	1508
ENSG00000025423	HSD17B6	47	44	55	35
ENSG00000025434	NR1H3	404	337	505	435
ENSG00000025708	TYMP	549	423	367	295
ENSG00000025770	NCAPH2	1191	1045	1386	1148
ENSG00000025772	TOMM34	1506	1238	2073	1501
ENSG00000025796	SEC63	1535	1601	1186	798
ENSG00000025800	KPNA6	2961	2455	3245	2321
ENSG00000026025	VIM	82	62	54	47
ENSG00000026036	RTEL1-TNFRSF6B	29	18	26	19
ENSG00000026103	FAS	91	78	117	95
ENSG00000026297	RNASET2	571	519	647	458
ENSG00000026508	CD44	0	3	1	1
ENSG00000026559	KCNG1	63	56	55	30
ENSG00000026652	AGPAT4	10	10	5	4
ENSG00000026950	BTN3A1	254	197	263	209
ENSG00000027001	MIPEP	2724	2661	3631	2751
ENSG00000027075	PRKCH	449	388	491	376
ENSG00000027644	INSRR	0	0	0	1
ENSG00000027697	IFNGR1	471	450	577	407
ENSG00000027847	B4GALT7	540	425	626	470
ENSG00000028116	VRK2	294	252	378	269
ENSG00000028137	TNFRSF1B	8	8	6	5
ENSG00000028203	VEZT	1201	1101	1462	1015
ENSG00000028277	POU2F2	4	2	2	0
ENSG00000028310	BRD9	892	795	952	736
ENSG00000028528	SNX1	1935	1705	1852	1317
ENSG00000028839	TBPL1	1059	1088	1772	1353
ENSG00000029153	ARNTL2	843	837	1025	648
ENSG00000029363	BCLAF1	4139	3972	5284	3790
ENSG00000029364	SLC39A9	3472	3384	5228	3930
ENSG00000029534	ANK1	49	40	35	14
ENSG00000029559	IBSP	0	0	1	0
ENSG00000029639	TFB1M	205	171	235	195
ENSG00000029725	RABEP1	2261	2127	2774	2046
ENSG00000029993	HMGB3	1385	1216	1664	1207
ENSG00000030066	NUP160	2032	1900	2165	1524
ENSG00000030110	BAK1	490	369	700	516
ENSG00000030419	IKZF2	113	113	98	81
ENSG00000030582	GRN	2061	1765	2237	1747
ENSG00000031003	FAM13B	1867	1772	1885	1444
ENSG00000031081	ARHGAP31	227	214	151	112
ENSG00000031691	CENPQ	375	351	604	448
ENSG00000031698	SARS	3842	3157	4323	3202
ENSG00000031823	RANBP3	1494	1225	1711	1355
ENSG00000032219	ARID4A	386	387	430	327
ENSG00000032389	TSSC1	676	534	808	658
ENSG00000032444	PNPLA6	981	827	935	770
ENSG00000032742	IFT88	549	551	754	560
ENSG00000033011	ALG1	1014	847	1112	879
ENSG00000033030	ZCCHC8	554	464	602	438
ENSG00000033050	ABCF2	2798	2320	3344	2514
ENSG00000033100	CHPF2	1252	1143	1112	886
ENSG00000033122	LRRC7	53	66	60	38
ENSG00000033170	FUT8	460	458	482	339
ENSG00000033178	UBA6	1512	1481	1928	1393
ENSG00000033327	GAB2	73	53	62	57
ENSG00000033627	ATP6V0A1	964	903	881	636
ENSG00000033800	PIAS1	835	840	890	599
ENSG00000033867	SLC4A7	901	963	1047	724
ENSG00000034053	APBA2	1033	927	1257	928
ENSG00000034152	MAP2K3	1194	1026	916	722
ENSG00000034510	TMSB10	4203	3818	5183	4023
ENSG00000034533	ASTE1	392	356	525	393
ENSG00000034677	RNF19A	622	572	781	582
ENSG00000034693	PEX3	339	373	445	333
ENSG00000034713	GABARAPL2	957	999	1137	808
ENSG00000035115	SH3YL1	355	378	319	231
ENSG00000035141	FAM136A	1155	966	1402	1010
ENSG00000035403	VCL	4460	3897	4706	3481
ENSG00000035499	DEPDC1B	682	738	976	689
ENSG00000035664	DAPK2	150	127	142	96
ENSG00000035681	NSMAF	950	911	1080	738
ENSG00000035687	ADSS	907	868	1077	808
ENSG00000035720	STAP1	0	0	1	0
ENSG00000035862	TIMP2	1584	1330	864	636
ENSG00000035928	RFC1	2639	2346	2789	1931
ENSG00000036054	TBC1D23	374	392	455	391
ENSG00000036257	CUL3	1689	1538	1663	1263
ENSG00000036448	MYOM2	23	10	20	18
ENSG00000036530	CYP46A1	59	37	26	24
ENSG00000036549	ZZZ3	2039	1928	2481	1812
ENSG00000036565	SLC18A1	0	0	0	1
ENSG00000036672	USP2	170	126	130	87
ENSG00000037042	TUBG2	483	374	589	448
ENSG00000037241	RPL26L1	772	632	1166	844
ENSG00000037280	FLT4	64	71	73	46
ENSG00000037474	NSUN2	2277	1973	2643	1892
ENSG00000037637	FBXO42	575	502	628	451
ENSG00000037749	MFAP3	867	871	1188	913
ENSG00000037757	MRI1	631	549	733	593
ENSG00000037897	METTL1	462	361	504	371
ENSG00000037965	HOXC8	23	24	37	25
ENSG00000038002	AGA	603	583	860	633
ENSG00000038210	PI4K2B	156	237	179	128
ENSG00000038219	BOD1L1	1359	1190	1444	1015
ENSG00000038274	MAT2B	824	899	1152	875
ENSG00000038295	TLL1	7	12	18	10
ENSG00000038358	EDC4	1042	801	1230	966
ENSG00000038382	TRIO	2425	2072	2162	1565
ENSG00000038532	CLEC16A	531	503	410	309
ENSG00000038945	MSR1	0	0	1	1
ENSG00000039068	CDH1	8504	7554	7177	5175
ENSG00000039123	SKIV2L2	1119	1085	1661	1265
ENSG00000039139	DNAH5	1076	1029	871	676
ENSG00000039319	ZFYVE16	2131	2136	2230	1602
ENSG00000039523	FAM65A	487	469	147	97
ENSG00000039537	C6	0	2	0	0
ENSG00000039560	RAI14	1069	938	1203	816
ENSG00000039650	PNKP	625	540	656	496
ENSG00000039987	BEST2	0	2	2	0
ENSG00000040199	PHLPP2	477	425	536	392
ENSG00000040275	SPDL1	812	768	1131	820
ENSG00000040341	STAU2	1103	1120	1334	974
ENSG00000040487	PQLC2	203	155	190	141
ENSG00000040531	CTNS	418	398	394	322
ENSG00000040608	RTN4R	331	259	327	270
ENSG00000040633	PHF23	1463	1152	1747	1232
ENSG00000040731	CDH10	0	0	0	1
ENSG00000040933	INPP4A	556	505	561	438
ENSG00000041353	RAB27B	256	260	292	204
ENSG00000041357	PSMA4	3334	3069	4171	3047
ENSG00000041515	MYO16	31	35	26	15
ENSG00000041802	LSG1	1723	1464	2127	1531
ENSG00000041880	PARP3	222	178	242	171
ENSG00000041982	TNC	135	134	112	94
ENSG00000041988	THAP3	368	297	490	407
ENSG00000042062	FAM65C	4	5	1	0
ENSG00000042088	TDP1	1235	1113	1488	1137
ENSG00000042286	AIFM2	75	64	47	35
ENSG00000042317	SPATA7	198	209	305	205
ENSG00000042429	MED17	904	851	1201	794
ENSG00000042445	RETSAT	1943	1572	2470	1882
ENSG00000042493	CAPG	6	9	15	9
ENSG00000042753	AP2S1	2089	1771	2687	2168
ENSG00000042781	USH2A	1	1	3	0
ENSG00000042832	TG	42	39	21	19
ENSG00000042980	ADAM28	12	13	15	5
ENSG00000043039	BARX2	23	27	45	37
ENSG00000043093	DCUN1D1	1683	1873	2257	1660
ENSG00000043143	JADE2	1300	1057	943	706
ENSG00000043355	ZIC2	317	325	291	209
ENSG00000043462	LCP2	0	1	1	0
ENSG00000043514	TRIT1	702	722	941	698
ENSG00000043591	ADRB1	66	70	85	69
ENSG00000044090	CUL7	1396	1193	1214	897
ENSG00000044115	CTNNA1	8565	7373	10024	7290
ENSG00000044446	PHKA2	777	684	735	531
ENSG00000044459	CNTLN	408	419	460	354
ENSG00000044524	EPHA3	1163	1124	2008	1479
ENSG00000044574	HSPA5	17867	15985	12002	8683
ENSG00000046604	DSG2	4052	3846	3749	2618
ENSG00000046647	GEMIN8	374	357	448	340
ENSG00000046651	OFD1	357	292	351	261
ENSG00000046653	GPM6B	56	73	60	60
ENSG00000046774	MAGEC2	18	15	21	13
ENSG00000046889	PREX2	269	262	268	221
ENSG00000047056	WDR37	632	554	736	540
ENSG00000047188	YTHDC2	1721	1544	1758	1241
ENSG00000047230	CTPS2	1042	994	1248	942
ENSG00000047249	ATP6V1H	1199	1138	1451	1155
ENSG00000047315	POLR2B	4008	3660	5571	4137
ENSG00000047346	FAM214A	1784	1821	1662	1287
ENSG00000047365	ARAP2	79	69	92	75
ENSG00000047410	TPR	5139	4517	6651	4730
ENSG00000047457	CP	18	13	17	7
ENSG00000047578	KIAA0556	731	629	778	577
ENSG00000047579	DTNBP1	241	228	225	138
ENSG00000047617	ANO2	15	16	8	4
ENSG00000047621	C12orf4	607	655	667	432
ENSG00000047634	SCML1	631	674	981	657
