id	sym	Control_1	Control_2	preS_1	preS_2
ENSG00000006757	PNPLA4	40	13	46	19
ENSG00000006831	ADIPOR2	1866	1886	2043	1574
ENSG00000006837	CDKL3	18	18	13	15
ENSG00000007001	UPP2	2	0	0	1
ENSG00000007047	MARK4	835	920	817	689
ENSG00000007080	CCDC124	1629	1792	1418	1284
ENSG00000007129	CEACAM21	1	0	0	0
ENSG00000007168	PAFAH1B1	2600	2961	2974	2387
ENSG00000007171	NOS2	1	4	3	1
ENSG00000007174	DNAH9	2	1	0	0
ENSG00000007202	KIAA0100	6216	5752	6225	4330
ENSG00000007237	GAS7	8	5	12	6
ENSG00000007255	TRAPPC6A	22	23	17	16
ENSG00000007264	MATK	1	0	0	0
ENSG00000007312	CD79B	0	0	2	4
ENSG00000007314	SCN4A	1	1	0	0
ENSG00000007341	ST7L	208	281	228	171
ENSG00000007350	TKTL1	1	0	3	1
ENSG00000007372	PAX6	6	6	9	3
ENSG00000007376	RPUSD1	1236	1187	1176	1142
ENSG00000007384	RHBDF1	1454	1451	1362	1305
ENSG00000007392	LUC7L	851	858	785	681
ENSG00000007402	CACNA2D2	5	9	4	11
ENSG00000007516	BAIAP3	10	3	4	7
ENSG00000007520	TSR3	1078	1224	1184	1012
ENSG00000007541	PIGQ	619	698	486	514
ENSG00000007545	CRAMP1L	416	473	305	312
ENSG00000007866	TEAD3	1515	1790	1492	1327
ENSG00000007923	DNAJC11	1744	1627	1549	1429
ENSG00000007944	MYLIP	160	137	107	59
ENSG00000007952	NOX1	2	6	5	3
ENSG00000007968	E2F2	299	291	48	48
ENSG00000008018	PSMB1	2793	2600	2929	2510
ENSG00000008056	SYN1	1	1	0	2
ENSG00000008083	JARID2	384	368	527	461
ENSG00000008086	CDKL5	211	411	222	181
ENSG00000008118	CAMK1G	132	111	659	573
ENSG00000008128	CDK11A	153	149	113	129
ENSG00000008130	NADK	1611	1571	1368	1204
ENSG00000008226	DLEC1	7	3	4	8
ENSG00000008256	CYTH3	1633	1540	819	711
ENSG00000008277	ADAM22	47	46	43	22
ENSG00000008282	SYPL1	1561	1789	1717	1605
ENSG00000008283	CYB561	110	149	102	118
ENSG00000008294	SPAG9	2411	3887	2387	2244
ENSG00000008300	CELSR3	148	213	117	93
ENSG00000008311	AASS	182	213	220	121
ENSG00000008323	PLEKHG6	7	18	10	10
ENSG00000008324	SS18L2	149	141	181	158
ENSG00000008382	MPND	135	159	88	92
ENSG00000008394	MGST1	2792	3130	3631	3040
ENSG00000008405	CRY1	622	632	433	426
ENSG00000008438	PGLYRP1	8	5	2	3
ENSG00000008441	NFIX	2413	2778	908	868
ENSG00000008513	ST3GAL1	1055	1226	1433	1239
ENSG00000008516	MMP25	4	9	7	10
ENSG00000008517	IL32	7	5	6	10
ENSG00000008710	PKD1	4334	5419	1721	2520
ENSG00000008735	MAPK8IP2	8	26	15	12
ENSG00000008838	MED24	1972	2015	1640	1666
ENSG00000008853	RHOBTB2	531	542	500	483
ENSG00000008869	HEATR5B	494	685	684	507
ENSG00000008952	SEC62	2100	2782	2532	1949
ENSG00000008988	RPS20	8350	8036	9207	7372
ENSG00000009307	CSDE1	15547	18606	18634	14054
ENSG00000009335	UBE3C	3525	3649	3313	2605
ENSG00000009413	REV3L	1457	1752	1198	830
ENSG00000009694	TENM1	2	2	2	1
ENSG00000009724	MASP2	44	65	55	38
ENSG00000009780	FAM76A	168	227	182	161
ENSG00000009790	TRAF3IP3	0	0	3	2
ENSG00000009830	POMT2	616	728	561	622
ENSG00000009844	VTA1	1575	1988	1808	1450
ENSG00000009950	MLXIPL	2	0	1	1
ENSG00000009954	BAZ1B	3869	4519	3815	2920
ENSG00000010017	RANBP9	1460	1778	1074	1099
ENSG00000010030	ETV7	3	4	3	0
ENSG00000010072	SPRTN	290	352	304	253
ENSG00000010165	METTL13	1184	1064	1284	1084
ENSG00000010219	DYRK4	245	232	361	260
ENSG00000010244	ZNF207	3419	3415	3625	3205
ENSG00000010256	UQCRC1	3919	4190	4160	3458
ENSG00000010270	STARD3NL	858	772	967	827
ENSG00000010278	CD9	1205	1074	1914	1281
ENSG00000010292	NCAPD2	7799	6423	3910	3623
ENSG00000010295	IFFO1	1131	1259	1214	1066
ENSG00000010310	GIPR	5	14	7	7
ENSG00000010318	PHF7	82	88	39	52
ENSG00000010319	SEMA3G	1	0	0	1
ENSG00000010322	NISCH	2099	2153	1638	1409
ENSG00000010327	STAB1	1	2	0	3
ENSG00000010361	FUZ	206	236	143	151
ENSG00000010379	SLC6A13	1	1	3	1
ENSG00000010404	IDS	853	1307	1274	1182
ENSG00000010438	PRSS3	172	129	531	399
ENSG00000010539	ZNF200	186	212	192	212
ENSG00000010610	CD4	8	6	22	7
ENSG00000010626	LRRC23	94	96	73	50
ENSG00000010671	BTK	1	2	0	3
ENSG00000010704	HFE	411	358	322	296
ENSG00000010803	SCMH1	1028	1019	704	647
ENSG00000010810	FYN	817	999	762	719
ENSG00000010818	HIVEP2	1192	1876	1781	1284
ENSG00000010932	FMO1	1	0	0	0
ENSG00000011007	TCEB3	2624	2494	3014	2678
ENSG00000011009	LYPLA2	1031	951	1513	1192
ENSG00000011021	CLCN6	892	939	1074	818
ENSG00000011028	MRC2	7427	7381	3925	3693
ENSG00000011052	NME2	4	2	6	7
ENSG00000011083	SLC6A7	1	1	0	0
ENSG00000011105	TSPAN9	876	867	812	489
ENSG00000011114	BTBD7	1062	1510	1317	938
ENSG00000011132	APBA3	244	259	218	199
ENSG00000011143	MKS1	168	157	128	147
ENSG00000011198	ABHD5	684	696	1005	1132
ENSG00000011201	ANOS1	6	9	4	3
ENSG00000011243	AKAP8L	1027	1032	1043	888
ENSG00000011258	MBTD1	238	315	233	193
ENSG00000011260	UTP18	1295	1475	1418	1304
ENSG00000011275	RNF216	1517	1774	1137	1233
ENSG00000011295	TTC19	391	422	452	412
ENSG00000011304	PTBP1	10320	9081	7409	6504
ENSG00000011332	DPF1	193	189	131	131
ENSG00000011347	SYT7	632	599	2339	1341
ENSG00000011376	LARS2	1081	1053	1178	862
ENSG00000011405	PIK3C2A	937	1468	1628	957
ENSG00000011422	PLAUR	2301	2530	3409	3486
ENSG00000011426	ANLN	11276	12466	5773	4553
ENSG00000011451	WIZ	2270	2398	1659	1758
ENSG00000011454	RABGAP1	811	968	996	744
ENSG00000011465	DCN	1326	1155	221	92
ENSG00000011478	QPCTL	404	418	399	417
ENSG00000011485	PPP5C	2171	2070	1918	1874
ENSG00000011523	CEP68	275	319	196	180
ENSG00000011566	MAP4K3	522	788	750	557
ENSG00000011590	ZBTB32	5	12	8	8
ENSG00000011638	TMEM159	234	342	182	199
ENSG00000011677	GABRA3	0	0	1	1
ENSG00000012048	BRCA1	981	1414	894	703
ENSG00000012061	ERCC1	1827	1729	2556	1876
ENSG00000012124	CD22	32	36	163	205
ENSG00000012171	SEMA3B	284	267	87	64
ENSG00000012174	MBTPS2	820	1206	1024	799
ENSG00000012211	PRICKLE3	248	340	174	235
ENSG00000012223	LTF	1	1	2	4
ENSG00000012232	EXTL3	2107	1951	2060	1598
ENSG00000012504	NR1H4	0	0	3	0
ENSG00000012660	ELOVL5	3323	3759	2843	2277
ENSG00000012779	ALOX5	0	0	1	0
ENSG00000012817	KDM5D	839	878	687	596
ENSG00000012822	CALCOCO1	673	661	635	628
ENSG00000012963	UBR7	1079	1107	965	792
ENSG00000012983	MAP4K5	1467	2290	1958	1552
ENSG00000013016	EHD3	4077	3149	3715	1945
ENSG00000013275	PSMC4	3110	3236	3424	3065
ENSG00000013288	MAN2B2	1472	1669	1014	997
ENSG00000013293	SLC7A14	10	8	2	4
ENSG00000013297	CLDN11	78	58	26	13
ENSG00000013306	SLC25A39	2130	1971	1971	1794
ENSG00000013364	MVP	5430	6129	8319	6534
ENSG00000013374	NUB1	711	697	604	483
ENSG00000013375	PGM3	1504	1922	2046	1684
ENSG00000013392	RWDD2A	119	133	138	130
ENSG00000013441	CLK1	687	897	717	601
ENSG00000013503	POLR3B	598	662	657	526
ENSG00000013523	ANGEL1	522	558	596	599
ENSG00000013561	RNF14	748	886	1084	984
ENSG00000013563	DNASE1L1	697	647	764	531
ENSG00000013573	DDX11	1342	1406	861	942
ENSG00000013583	HEBP1	781	831	759	902
ENSG00000013588	GPRC5A	2405	2753	1524	1191
ENSG00000013619	MAMLD1	372	338	206	180
ENSG00000013725	CD6	0	1	0	0
ENSG00000013810	TACC3	4167	3405	2439	2249
ENSG00000014123	UFL1	647	854	740	532
ENSG00000014138	POLA2	1542	1460	1281	1068
ENSG00000014164	ZC3H3	649	684	459	542
ENSG00000014216	CAPN1	4544	4297	5603	4245
ENSG00000014257	ACPP	62	51	752	336
ENSG00000014641	MDH1	2227	2284	2505	2058
ENSG00000014824	SLC30A9	1315	1588	1640	1172
ENSG00000014914	MTMR11	258	254	196	147
ENSG00000014919	COX15	897	980	931	921
ENSG00000015133	CCDC88C	1	3	2	1
ENSG00000015153	YAF2	274	271	296	197
ENSG00000015171	ZMYND11	1694	2328	1745	1384
ENSG00000015285	WAS	4	4	2	1
ENSG00000015475	BID	751	779	895	772
ENSG00000015479	MATR3	136	131	106	98
ENSG00000015520	NPC1L1	0	4	2	3
ENSG00000015532	XYLT2	1041	975	1247	957
ENSG00000015568	RGPD5	29	29	22	20
ENSG00000015592	STMN4	0	1	1	0
ENSG00000015676	NUDCD3	2265	2080	2159	1782
ENSG00000016082	ISL1	125	97	83	71
ENSG00000016391	CHDH	0	0	1	0
ENSG00000016864	GLT8D1	864	823	785	662
ENSG00000017260	ATP2C1	3891	5335	4192	3454
ENSG00000017427	IGF1	0	1	0	1
ENSG00000017483	SLC38A5	7	2	3	2
ENSG00000017797	RALBP1	2244	2321	2239	1828
ENSG00000018189	RUFY3	265	359	287	256
ENSG00000018236	CNTN1	0	0	1	1
ENSG00000018280	SLC11A1	7	5	11	4
ENSG00000018408	WWTR1	1292	1946	2568	1699
ENSG00000018510	AGPS	919	1331	866	937
ENSG00000018610	CXorf56	469	468	389	418
ENSG00000018625	ATP1A2	1	0	0	1
ENSG00000018699	TTC27	670	705	719	604
ENSG00000018869	ZNF582	15	11	21	17
ENSG00000019102	VSIG2	0	2	4	6
ENSG00000019144	PHLDB1	2377	2439	2079	2080
ENSG00000019169	MARCO	1	0	0	0
ENSG00000019485	PRDM11	192	254	119	169
ENSG00000019549	SNAI2	1727	1969	1625	1658
ENSG00000019582	CD74	4	2	1	3
ENSG00000019991	HGF	299	370	574	204
ENSG00000019995	ZRANB1	461	624	397	363
ENSG00000020129	NCDN	1337	1328	1878	1657
ENSG00000020181	ADGRA2	1761	1671	768	647
ENSG00000020256	ZFP64	455	515	394	394
ENSG00000020426	MNAT1	719	707	648	599
ENSG00000020577	SAMD4A	1936	2601	1907	1507
ENSG00000020633	RUNX3	0	0	1	1
ENSG00000020922	MRE11A	650	914	707	578
ENSG00000021300	PLEKHB1	5	6	5	4
ENSG00000021355	SERPINB1	464	582	495	415
ENSG00000021488	SLC7A9	0	4	0	3
ENSG00000021574	SPAST	231	397	270	196
ENSG00000021645	NRXN3	3	6	1	3
ENSG00000021762	OSBPL5	991	985	759	583
ENSG00000021776	AQR	1302	1784	1443	1145
ENSG00000021826	CPS1	320	446	305	260
ENSG00000022267	FHL1	6124	5951	1841	1488
ENSG00000022277	RTFDC1	2942	3090	2624	2274
ENSG00000022567	SLC45A4	225	266	169	190
ENSG00000022840	RNF10	3001	3093	3029	2759
ENSG00000022976	ZNF839	224	230	133	145
ENSG00000023041	ZDHHC6	855	990	990	819
ENSG00000023171	GRAMD1B	1155	1401	1492	1136
ENSG00000023191	RNH1	4595	4415	4138	3457
ENSG00000023228	NDUFS1	2411	2836	2924	2233
ENSG00000023287	RB1CC1	1166	1483	1412	1058
ENSG00000023318	ERP44	945	1012	1327	941
ENSG00000023330	ALAS1	1201	1534	1422	1721
ENSG00000023445	BIRC3	42	90	74	77
ENSG00000023516	AKAP11	2075	2906	2616	1806
ENSG00000023572	GLRX2	232	236	313	250
ENSG00000023608	SNAPC1	646	888	464	412
ENSG00000023697	DERA	529	538	460	383
ENSG00000023734	STRAP	3884	4191	4778	3861
ENSG00000023839	ABCC2	40	52	37	56
ENSG00000023892	DEF6	90	99	38	50
ENSG00000023902	PLEKHO1	836	968	957	1063
ENSG00000023909	GCLM	1308	2009	1542	1664
ENSG00000024048	UBR2	878	1416	1046	872
ENSG00000024422	EHD2	11649	11869	7946	7217
ENSG00000024526	DEPDC1	1752	1815	1451	1206
ENSG00000024862	CCDC28A	132	130	131	142
ENSG00000025039	RRAGD	1	5	15	21
ENSG00000025156	HSF2	335	502	368	333
ENSG00000025293	PHF20	1007	1557	979	898
ENSG00000025423	HSD17B6	7	33	9	7
ENSG00000025434	NR1H3	195	196	122	123
ENSG00000025708	TYMP	23	34	15	13
ENSG00000025770	NCAPH2	1952	1712	1120	1121
ENSG00000025772	TOMM34	2462	2276	3848	3206
ENSG00000025796	SEC63	2067	3061	2721	2095
ENSG00000025800	KPNA6	3687	3622	3625	2998
ENSG00000026025	VIM	73585	63863	76715	65046
ENSG00000026036	RTEL1-TNFRSF6B	167	184	81	118
ENSG00000026103	FAS	398	501	405	241
ENSG00000026297	RNASET2	118	132	87	71
ENSG00000026508	CD44	26196	28427	24961	22917
ENSG00000026559	KCNG1	174	264	99	180
ENSG00000026652	AGPAT4	112	105	100	86
ENSG00000026751	SLAMF7	0	0	6	9
ENSG00000026950	BTN3A1	193	198	175	156
ENSG00000027001	MIPEP	280	316	363	320
ENSG00000027075	PRKCH	13	12	10	13
ENSG00000027644	INSRR	3	3	1	1
ENSG00000027697	IFNGR1	533	689	560	509
ENSG00000027847	B4GALT7	614	664	702	604
ENSG00000027869	SH2D2A	0	0	0	1
ENSG00000028116	VRK2	452	646	577	394
ENSG00000028137	TNFRSF1B	7	9	47	31
ENSG00000028203	VEZT	998	1309	1222	878
ENSG00000028277	POU2F2	1053	999	1923	1635
ENSG00000028310	BRD9	1471	1458	1248	1105
ENSG00000028528	SNX1	2069	2298	1934	1675
ENSG00000028839	TBPL1	356	421	432	376
ENSG00000029153	ARNTL2	1887	2204	2473	2361
ENSG00000029363	BCLAF1	4610	5522	5252	3564
ENSG00000029364	SLC39A9	1525	1546	1439	1040
ENSG00000029534	ANK1	255	271	44	16
ENSG00000029559	IBSP	1	0	0	0
ENSG00000029639	TFB1M	375	363	414	285
ENSG00000029725	RABEP1	1265	1483	1745	1281
ENSG00000029993	HMGB3	1099	907	646	524
ENSG00000030066	NUP160	1185	1627	1334	1193
ENSG00000030110	BAK1	458	455	579	445
ENSG00000030304	MUSK	19	14	10	8
ENSG00000030419	IKZF2	210	243	363	168
ENSG00000030582	GRN	4220	5432	4819	5034
ENSG00000031003	FAM13B	989	1503	1123	891
ENSG00000031081	ARHGAP31	959	1322	1288	1035
ENSG00000031691	CENPQ	342	331	350	241
ENSG00000031698	SARS	4919	5389	4538	4347
ENSG00000031823	RANBP3	2192	2048	1733	1466
ENSG00000032219	ARID4A	299	438	417	252
ENSG00000032389	TSSC1	530	540	624	488
ENSG00000032444	PNPLA6	2321	2945	1883	2023
ENSG00000032742	IFT88	176	241	225	171
ENSG00000033011	ALG1	701	665	703	586
ENSG00000033030	ZCCHC8	478	624	372	399
ENSG00000033050	ABCF2	2941	2879	2832	2454
ENSG00000033100	CHPF2	2321	2189	2472	1931
ENSG00000033122	LRRC7	17	21	16	21
ENSG00000033170	FUT8	1701	2080	2601	2080
ENSG00000033178	UBA6	1244	1360	2455	1474
ENSG00000033327	GAB2	624	842	481	543
ENSG00000033627	ATP6V0A1	690	765	948	835
ENSG00000033800	PIAS1	795	959	790	628
ENSG00000033867	SLC4A7	1440	1621	1783	1296
ENSG00000034053	APBA2	1397	1529	1664	1491
ENSG00000034152	MAP2K3	2020	2120	2487	2093
ENSG00000034239	EFCAB1	3	12	2	6
ENSG00000034510	TMSB10	19460	17955	19499	16246
ENSG00000034533	ASTE1	173	188	162	150
ENSG00000034677	RNF19A	545	786	619	503
ENSG00000034693	PEX3	443	548	637	463
ENSG00000034713	GABARAPL2	826	825	892	891
ENSG00000034971	MYOC	0	0	1	0
ENSG00000035115	SH3YL1	252	258	178	148
ENSG00000035141	FAM136A	832	727	781	665
ENSG00000035403	VCL	18333	20826	18510	13006
ENSG00000035499	DEPDC1B	261	295	175	130
ENSG00000035664	DAPK2	33	20	18	15
ENSG00000035681	NSMAF	1491	1762	1595	1427
ENSG00000035687	ADSS	1224	1488	1214	1016
ENSG00000035720	STAP1	0	0	1	1
ENSG00000035862	TIMP2	11422	12617	8146	7681
ENSG00000035928	RFC1	1721	2168	1716	1280
ENSG00000036054	TBC1D23	866	1144	1084	771
ENSG00000036257	CUL3	1592	1955	1779	1410
ENSG00000036448	MYOM2	0	0	1	0
ENSG00000036530	CYP46A1	7	5	2	1
ENSG00000036549	ZZZ3	1235	1609	1228	1038
ENSG00000036672	USP2	2	2	3	1
ENSG00000037042	TUBG2	391	427	380	296
ENSG00000037241	RPL26L1	621	617	653	562
ENSG00000037280	FLT4	1	1	0	0
ENSG00000037474	NSUN2	2768	2905	2889	2490
ENSG00000037637	FBXO42	682	686	658	561
ENSG00000037749	MFAP3	324	536	389	322
ENSG00000037757	MRI1	733	669	729	609
ENSG00000037897	METTL1	443	420	356	418
ENSG00000037965	HOXC8	1	0	0	0
ENSG00000038002	AGA	336	341	416	337
ENSG00000038210	PI4K2B	430	451	558	360
ENSG00000038219	BOD1L1	1547	1845	1701	1110
ENSG00000038274	MAT2B	993	1114	1216	957
ENSG00000038295	TLL1	6	1	2	0
ENSG00000038358	EDC4	2058	1920	1630	1508
ENSG00000038382	TRIO	10435	12375	6249	5727
ENSG00000038427	VCAN	605	589	672	327
ENSG00000038532	CLEC16A	941	1026	771	730
ENSG00000038945	MSR1	297	161	394	157
ENSG00000039068	CDH1	2	4	2	1
ENSG00000039123	SKIV2L2	1895	2337	2250	1909
ENSG00000039139	DNAH5	70	109	41	57
ENSG00000039319	ZFYVE16	797	1155	944	762
ENSG00000039523	FAM65A	2916	3135	2057	2596
ENSG00000039537	C6	2	0	0	0
ENSG00000039560	RAI14	5217	7969	7796	6277
ENSG00000039600	SOX30	4	1	1	5
ENSG00000039650	PNKP	665	665	582	558
ENSG00000039987	BEST2	1	3	0	2
ENSG00000040199	PHLPP2	660	847	688	525
ENSG00000040275	SPDL1	1342	1557	910	808
ENSG00000040341	STAU2	422	530	532	389
ENSG00000040487	PQLC2	513	629	670	686
ENSG00000040531	CTNS	296	323	349	458
ENSG00000040608	RTN4R	3	1	2	2
ENSG00000040633	PHF23	877	822	970	771
ENSG00000040731	CDH10	0	0	2	4
ENSG00000040933	INPP4A	739	842	697	584
ENSG00000041353	RAB27B	175	278	579	433
ENSG00000041357	PSMA4	2401	2506	2935	2410
ENSG00000041515	MYO16	0	0	4	5
ENSG00000041802	LSG1	1391	1612	1647	1486
ENSG00000041880	PARP3	500	486	429	337
ENSG00000041982	TNC	18564	25815	19351	15336
ENSG00000041988	THAP3	315	292	275	284
ENSG00000042062	FAM65C	19	21	39	50
ENSG00000042088	TDP1	695	609	580	455
ENSG00000042286	AIFM2	680	831	692	881
ENSG00000042304	C2orf83	0	1	0	2
ENSG00000042317	SPATA7	102	124	97	82
ENSG00000042429	MED17	675	810	853	815
ENSG00000042445	RETSAT	830	798	1053	812
ENSG00000042493	CAPG	621	586	607	481
ENSG00000042753	AP2S1	3389	2971	3504	2972
ENSG00000042781	USH2A	5	4	2	2
ENSG00000042832	TG	5	6	15	13
ENSG00000042980	ADAM28	3	4	3	4
ENSG00000043093	DCUN1D1	775	1001	916	753
ENSG00000043143	JADE2	2207	2427	1830	1517
ENSG00000043355	ZIC2	4	3	1	0
ENSG00000043514	TRIT1	552	588	696	553
ENSG00000043591	ADRB1	1	1	1	0
ENSG00000044090	CUL7	1647	1896	1560	1352
ENSG00000044115	CTNNA1	8318	8336	7356	6169
ENSG00000044446	PHKA2	438	538	320	244
ENSG00000044459	CNTLN	281	316	289	211
ENSG00000044524	EPHA3	0	0	0	1
ENSG00000044574	HSPA5	13700	12997	18574	15124
ENSG00000046604	DSG2	0	1	0	0
ENSG00000046647	GEMIN8	125	165	147	127
ENSG00000046651	OFD1	180	300	266	214
ENSG00000046653	GPM6B	7	19	10	17
ENSG00000046774	MAGEC2	0	0	3	0
ENSG00000046889	PREX2	9	11	2	3
ENSG00000047056	WDR37	618	599	612	501
ENSG00000047188	YTHDC2	830	1098	846	678
ENSG00000047230	CTPS2	327	370	315	281
ENSG00000047249	ATP6V1H	886	998	1230	1208
ENSG00000047315	POLR2B	2293	2873	3148	2273
ENSG00000047346	FAM214A	219	280	397	268
ENSG00000047410	TPR	3481	3899	3347	2271
ENSG00000047457	CP	3	6	1	3
ENSG00000047578	KIAA0556	703	810	541	497
ENSG00000047579	DTNBP1	280	314	261	228
ENSG00000047597	XK	1	1	1	6
ENSG00000047617	ANO2	0	0	0	1
ENSG00000047621	C12orf4	422	557	534	399
