id	sym	Ishi_Dex_1	Ishi_Dex_2	Ishi_DMSO_1	Ishi_DMSO_2
ENSG00000004779	NDUFAB1	1617	1522	1370	1814
ENSG00000004799	PDK4	99	85	93	107
ENSG00000004809	SLC22A16	11	9	6	8
ENSG00000004838	ZMYND10	19	16	23	15
ENSG00000004846	ABCB5	48	41	61	57
ENSG00000004848	ARX	5	9	5	6
ENSG00000004864	SLC25A13	1336	1311	1370	1522
ENSG00000004866	ST7	1194	1370	1093	1304
ENSG00000004897	CDC27	3659	3101	3646	3726
ENSG00000004939	SLC4A1	5	1	10	3
ENSG00000004948	CALCR	6	10	0	0
ENSG00000004961	HCCS	610	542	579	691
ENSG00000004975	DVL2	1587	1288	1413	1533
ENSG00000005001	PRSS22	140	92	112	118
ENSG00000005007	UPF1	4888	4041	4606	4450
ENSG00000005020	SKAP2	1040	895	1032	913
ENSG00000005022	SLC25A5	11386	11577	9753	13233
ENSG00000005059	CCDC109B	459	438	453	523
ENSG00000005073	HOXA11	104	88	90	93
ENSG00000005075	POLR2J	464	443	448	506
ENSG00000005100	DHX33	1516	1071	1387	1401
ENSG00000005102	MEOX1	2113	2068	2784	3036
ENSG00000005108	THSD7A	497	502	550	689
ENSG00000005156	LIG3	919	749	1016	1020
ENSG00000005175	RPAP3	1666	1254	1736	1449
ENSG00000005187	ACSM3	312	253	238	262
ENSG00000005189	na	153	166	135	159
ENSG00000005194	CIAPIN1	1594	1411	1351	1620
ENSG00000005206	SPPL2B	536	437	500	615
ENSG00000005238	FAM214B	150	139	148	160
ENSG00000005243	COPZ2	6	9	18	17
ENSG00000005249	PRKAR2B	306	270	339	302
ENSG00000005302	MSL3	528	503	458	516
ENSG00000005339	CREBBP	5179	4026	5291	5315
ENSG00000005379	BZRAP1	191	140	144	148
ENSG00000005436	GCFC2	982	696	1019	970
ENSG00000005448	WDR54	252	239	211	257
ENSG00000005469	CROT	437	338	433	457
ENSG00000005471	ABCB4	6	8	12	10
ENSG00000005483	KMT2E	2786	2048	2632	2316
ENSG00000005486	RHBDD2	1942	2171	1653	2413
ENSG00000005513	SOX8	3	1	5	4
ENSG00000005700	IBTK	2118	1640	2032	1967
ENSG00000005801	ZNF195	620	563	679	617
ENSG00000005810	MYCBP2	1896	1445	2229	2279
ENSG00000005812	FBXL3	1725	1497	1544	1618
ENSG00000005844	ITGAL	2	0	2	2
ENSG00000005882	PDK2	869	896	636	837
ENSG00000005884	ITGA3	1478	1471	1306	1724
ENSG00000005889	ZFX	1173	879	1120	1175
ENSG00000005893	LAMP2	3711	3206	3240	3497
ENSG00000005961	ITGA2B	65	60	52	62
ENSG00000005981	ASB4	4	0	2	0
ENSG00000006007	GDE1	3561	3715	3391	4202
ENSG00000006015	C19orf60	430	425	340	505
ENSG00000006016	CRLF1	140	151	110	134
ENSG00000006025	OSBPL7	47	28	24	31
ENSG00000006042	TMEM98	1085	1104	908	1211
ENSG00000006047	YBX2	20	8	16	14
ENSG00000006062	MAP3K14	200	111	249	161
ENSG00000006071	ABCC8	1	0	2	0
ENSG00000006118	TMEM132A	1564	1191	1176	1479
ENSG00000006125	AP2B1	7016	6795	6815	8218
ENSG00000006194	ZNF263	639	491	595	562
ENSG00000006210	CX3CL1	31	24	29	26
ENSG00000006282	SPATA20	1820	1890	1494	1957
ENSG00000006283	CACNA1G	147	114	135	157
ENSG00000006327	TNFRSF12A	900	798	999	1373
ENSG00000006377	DLX6	260	207	275	275
ENSG00000006432	MAP3K9	1080	736	1091	1073
ENSG00000006451	RALA	2147	1986	2163	2195
ENSG00000006453	BAIAP2L1	1007	1044	1044	1103
ENSG00000006459	KDM7A	249	163	232	197
ENSG00000006468	ETV1	90	87	104	102
ENSG00000006530	AGK	650	600	649	658
ENSG00000006534	ALDH3B1	101	108	72	88
ENSG00000006555	TTC22	0	3	0	0
ENSG00000006576	PHTF2	2281	1861	2445	2209
ENSG00000006607	FARP2	1787	1479	2169	2409
ENSG00000006611	USH1C	5	6	6	10
ENSG00000006625	GGCT	1006	851	996	908
ENSG00000006634	DBF4	949	873	974	933
ENSG00000006638	TBXA2R	40	35	27	35
ENSG00000006652	IFRD1	1401	1107	1390	1211
ENSG00000006695	COX10	476	430	445	482
ENSG00000006704	GTF2IRD1	849	744	688	737
ENSG00000006712	PAF1	1911	1806	1782	1748
ENSG00000006715	VPS41	1298	1053	1332	1178
ENSG00000006740	ARHGAP44	106	94	91	91
ENSG00000006744	ELAC2	2682	2280	2542	2652
ENSG00000006747	SCIN	10	6	7	8
ENSG00000006756	ARSD	825	839	787	923
ENSG00000006757	PNPLA4	307	358	234	344
ENSG00000006831	ADIPOR2	4327	3572	4452	4461
ENSG00000006837	CDKL3	38	22	17	18
ENSG00000007038	PRSS21	2	1	1	0
ENSG00000007047	MARK4	823	691	755	759
ENSG00000007062	PROM1	799	712	787	852
ENSG00000007080	CCDC124	2196	2009	2030	2270
ENSG00000007168	PAFAH1B1	5450	4421	5583	5594
ENSG00000007171	NOS2	0	0	0	1
ENSG00000007174	DNAH9	0	0	0	1
ENSG00000007202	KIAA0100	10727	9722	9802	11862
ENSG00000007237	GAS7	3	0	0	0
ENSG00000007255	TRAPPC6A	174	157	134	211
ENSG00000007264	MATK	570	475	421	476
ENSG00000007312	CD79B	4	3	1	3
ENSG00000007314	SCN4A	57	48	61	61
ENSG00000007341	ST7L	477	472	482	519
ENSG00000007350	TKTL1	3	0	0	1
ENSG00000007372	PAX6	343	285	333	339
ENSG00000007376	RPUSD1	1042	776	735	1023
ENSG00000007384	RHBDF1	337	307	346	420
ENSG00000007392	LUC7L	549	409	618	522
ENSG00000007402	CACNA2D2	35	35	42	41
ENSG00000007516	BAIAP3	305	228	261	374
ENSG00000007520	TSR3	1511	1318	1224	1686
ENSG00000007541	PIGQ	716	614	581	782
ENSG00000007545	CRAMP1L	431	267	379	377
ENSG00000007866	TEAD3	1101	1032	1023	1067
ENSG00000007923	DNAJC11	2046	1688	1833	1886
ENSG00000007944	MYLIP	491	332	434	500
ENSG00000007968	E2F2	646	417	433	510
ENSG00000008018	PSMB1	3897	3927	3471	4536
ENSG00000008056	SYN1	80	77	88	84
ENSG00000008083	JARID2	497	364	481	407
ENSG00000008086	CDKL5	315	278	380	382
ENSG00000008118	CAMK1G	2	1	0	3
ENSG00000008128	CDK11A	34	20	39	26
ENSG00000008130	NADK	1867	1605	1678	2017
ENSG00000008226	DLEC1	2	1	2	0
ENSG00000008256	CYTH3	1821	1709	1743	1614
ENSG00000008277	ADAM22	748	513	726	637
ENSG00000008282	SYPL1	2787	2472	2824	2793
ENSG00000008283	CYB561	1804	1496	1506	1733
ENSG00000008294	SPAG9	1057	715	1173	1019
ENSG00000008300	CELSR3	155	133	112	128
ENSG00000008311	AASS	206	176	235	231
ENSG00000008323	PLEKHG6	439	410	477	527
ENSG00000008324	SS18L2	335	225	296	350
ENSG00000008382	MPND	308	271	236	340
ENSG00000008394	MGST1	931	858	668	809
ENSG00000008405	CRY1	801	758	833	742
ENSG00000008441	NFIX	2093	1880	1732	2020
ENSG00000008513	ST3GAL1	42	29	39	38
ENSG00000008516	MMP25	7	3	6	3
ENSG00000008517	IL32	0	0	0	1
ENSG00000008710	PKD1	521	247	501	406
ENSG00000008735	MAPK8IP2	374	356	279	388
ENSG00000008838	MED24	2741	2357	2451	2787
ENSG00000008853	RHOBTB2	689	532	659	800
ENSG00000008869	HEATR5B	901	649	935	829
ENSG00000008952	SEC62	4579	3721	4851	4367
ENSG00000008988	RPS20	10255	9878	8020	11512
ENSG00000009307	CSDE1	16916	15958	16322	17501
ENSG00000009335	UBE3C	4606	3801	4361	4859
ENSG00000009413	REV3L	1647	1107	1702	1184
ENSG00000009694	TENM1	18	22	17	22
ENSG00000009724	MASP2	3	1	3	1
ENSG00000009765	IYD	4	3	4	4
ENSG00000009780	FAM76A	405	323	376	486
ENSG00000009830	POMT2	1314	1209	1159	1311
ENSG00000009844	VTA1	2202	1924	2166	2281
ENSG00000009950	MLXIPL	165	110	140	106
ENSG00000009954	BAZ1B	6410	4342	6602	5648
ENSG00000010017	RANBP9	1459	1216	1323	1289
ENSG00000010030	ETV7	34	31	74	33
ENSG00000010072	SPRTN	679	580	653	671
ENSG00000010165	METTL13	1224	904	1012	1238
ENSG00000010219	DYRK4	352	403	330	411
ENSG00000010244	ZNF207	4663	4354	4779	5187
ENSG00000010256	UQCRC1	4632	4563	3717	5296
ENSG00000010270	STARD3NL	982	888	884	1004
ENSG00000010278	CD9	4113	4456	3497	4209
ENSG00000010292	NCAPD2	12085	10495	11428	13061
ENSG00000010295	IFFO1	2	2	5	0
ENSG00000010310	GIPR	9	8	10	8
ENSG00000010318	PHF7	159	176	175	186
ENSG00000010319	SEMA3G	170	118	187	145
ENSG00000010322	NISCH	1338	1003	1195	1203
ENSG00000010327	STAB1	3	3	9	6
ENSG00000010361	FUZ	265	288	162	238
ENSG00000010379	SLC6A13	47	19	19	25
ENSG00000010404	IDS	921	876	1023	905
ENSG00000010438	PRSS3	12	19	8	13
ENSG00000010539	ZNF200	347	247	364	314
ENSG00000010610	CD4	35	29	25	35
ENSG00000010626	LRRC23	155	185	149	175
ENSG00000010671	BTK	1	2	2	1
ENSG00000010704	HFE	1	0	1	4
ENSG00000010803	SCMH1	545	520	341	451
ENSG00000010810	FYN	360	327	314	301
ENSG00000010818	HIVEP2	365	315	452	461
ENSG00000011007	TCEB3	2668	2029	2641	2554
ENSG00000011009	LYPLA2	1014	944	804	1073
ENSG00000011021	CLCN6	218	151	206	162
ENSG00000011028	MRC2	782	655	635	774
ENSG00000011105	TSPAN9	1020	818	906	1038
ENSG00000011114	BTBD7	2563	2177	2550	2793
ENSG00000011132	APBA3	193	170	169	202
ENSG00000011143	MKS1	490	426	454	471
ENSG00000011198	ABHD5	816	739	785	883
ENSG00000011201	ANOS1	6	7	8	3
ENSG00000011243	AKAP8L	1007	825	1100	1083
ENSG00000011258	MBTD1	775	602	818	757
ENSG00000011260	UTP18	1324	1160	1271	1359
ENSG00000011275	RNF216	1507	1173	1382	1536
ENSG00000011295	TTC19	1744	1411	1649	1814
ENSG00000011304	PTBP1	14059	12690	12808	14529
ENSG00000011332	DPF1	219	194	180	252
ENSG00000011347	SYT7	88	61	47	42
ENSG00000011376	LARS2	1765	1378	1471	1583
ENSG00000011405	PIK3C2A	2253	1598	2315	2209
ENSG00000011422	PLAUR	39	36	33	38
ENSG00000011426	ANLN	5360	4646	5473	4842
ENSG00000011451	WIZ	1953	1709	1969	1968
ENSG00000011454	RABGAP1	996	680	903	781
ENSG00000011465	DCN	6	2	2	2
ENSG00000011478	QPCTL	241	169	213	224
ENSG00000011485	PPP5C	1970	1754	1505	1598
ENSG00000011523	CEP68	498	392	566	581
ENSG00000011566	MAP4K3	1006	734	843	838
ENSG00000011638	TMEM159	259	224	259	321
ENSG00000011677	GABRA3	476	474	453	469
ENSG00000012048	BRCA1	1176	867	1067	875
ENSG00000012061	ERCC1	960	841	810	1021
ENSG00000012124	CD22	3	2	3	4
ENSG00000012171	SEMA3B	1184	960	1037	1136
ENSG00000012174	MBTPS2	1190	1074	1115	1285
ENSG00000012211	PRICKLE3	302	224	247	293
ENSG00000012223	LTF	19	13	3	5
ENSG00000012232	EXTL3	2550	2324	2443	2990
ENSG00000012504	NR1H4	0	0	1	3
ENSG00000012660	ELOVL5	3637	3583	3647	3899
ENSG00000012779	ALOX5	6	0	11	4
ENSG00000012822	CALCOCO1	498	476	429	425
ENSG00000012963	UBR7	2307	2241	2200	2285
ENSG00000012983	MAP4K5	1771	1353	1807	1433
ENSG00000013016	EHD3	137	129	112	126
ENSG00000013275	PSMC4	2268	2068	1986	2397
ENSG00000013288	MAN2B2	551	511	566	569
ENSG00000013293	SLC7A14	8	5	5	5
ENSG00000013297	CLDN11	136	120	128	121
ENSG00000013306	SLC25A39	4456	4558	3852	5266
ENSG00000013364	MVP	141	107	128	126
ENSG00000013374	NUB1	1337	1357	1418	1429
ENSG00000013375	PGM3	2073	1647	2114	2038
ENSG00000013392	RWDD2A	218	267	214	256
ENSG00000013441	CLK1	352	258	416	297
ENSG00000013503	POLR3B	1079	878	1189	1194
ENSG00000013523	ANGEL1	760	626	646	677
ENSG00000013561	RNF14	1173	1023	1165	1282
ENSG00000013563	DNASE1L1	211	184	154	240
ENSG00000013573	DDX11	1214	1003	1078	1057
ENSG00000013583	HEBP1	1202	1207	1057	1342
ENSG00000013588	GPRC5A	82	91	81	119
ENSG00000013619	MAMLD1	49	60	54	55
ENSG00000013725	CD6	9	7	5	7
ENSG00000013810	TACC3	4306	3464	3890	4092
ENSG00000014123	UFL1	1875	1593	1814	1714
ENSG00000014138	POLA2	1279	1361	1070	1372
ENSG00000014164	ZC3H3	648	535	683	783
ENSG00000014216	CAPN1	2819	2788	2273	2988
ENSG00000014257	ACPP	165	174	132	159
ENSG00000014641	MDH1	4429	3879	3969	4754
ENSG00000014824	SLC30A9	3043	2729	3060	3061
ENSG00000014914	MTMR11	96	86	76	81
ENSG00000014919	COX15	1780	1506	1486	1753
ENSG00000015133	CCDC88C	1024	631	960	834
ENSG00000015153	YAF2	788	839	822	856
ENSG00000015171	ZMYND11	3077	2477	2993	2693
ENSG00000015285	WAS	14	6	8	7
ENSG00000015475	BID	591	439	471	562
ENSG00000015479	MATR3	40	26	42	27
ENSG00000015520	NPC1L1	4	1	4	3
ENSG00000015532	XYLT2	1360	1176	1156	1257
ENSG00000015568	RGPD5	0	1	6	4
ENSG00000015676	NUDCD3	2315	2008	2147	2512
ENSG00000016082	ISL1	100	102	99	116
ENSG00000016391	CHDH	456	240	287	269
ENSG00000016402	IL20RA	6	7	5	6
ENSG00000016864	GLT8D1	1020	889	878	970
ENSG00000017260	ATP2C1	4946	4000	4533	4723
ENSG00000017427	IGF1	0	0	1	2
ENSG00000017483	SLC38A5	4	7	5	4
ENSG00000017797	RALBP1	5168	4184	4913	4907
ENSG00000018189	RUFY3	365	294	418	340
ENSG00000018236	CNTN1	699	656	742	738
ENSG00000018280	SLC11A1	3	5	7	10
ENSG00000018408	WWTR1	1006	962	945	875
ENSG00000018510	AGPS	2727	2125	2887	2716
ENSG00000018610	CXorf56	696	599	693	621
ENSG00000018625	ATP1A2	155	164	25	36
ENSG00000018699	TTC27	714	640	694	851
ENSG00000018869	ZNF582	71	52	77	74
ENSG00000019144	PHLDB1	886	758	875	933
ENSG00000019485	PRDM11	1390	1002	1125	1096
ENSG00000019505	SYT13	678	668	592	749
ENSG00000019549	SNAI2	1	0	1	0
ENSG00000019582	CD74	883	905	735	883
ENSG00000019995	ZRANB1	1644	1496	1647	1662
ENSG00000020129	NCDN	1551	1259	1235	1540
ENSG00000020181	ADGRA2	180	150	165	138
ENSG00000020256	ZFP64	739	620	539	616
ENSG00000020426	MNAT1	502	454	493	473
ENSG00000020577	SAMD4A	450	330	507	408
ENSG00000020633	RUNX3	601	490	504	534
ENSG00000020922	MRE11A	754	560	845	791
ENSG00000021300	PLEKHB1	793	878	628	799
ENSG00000021355	SERPINB1	451	481	397	517
ENSG00000021461	CYP3A43	0	2	3	2
ENSG00000021488	SLC7A9	2	3	0	1
ENSG00000021574	SPAST	1410	926	1503	1419
ENSG00000021645	NRXN3	0	0	0	1
ENSG00000021762	OSBPL5	227	209	158	197
ENSG00000021776	AQR	2113	1930	2399	2293
ENSG00000021826	CPS1	40	30	32	44
ENSG00000022267	FHL1	355	339	320	294
ENSG00000022277	RTFDC1	1463	1402	1261	1524
ENSG00000022556	NLRP2	0	1	2	1
ENSG00000022567	SLC45A4	276	200	215	292
ENSG00000022840	RNF10	4704	4181	4348	4768
ENSG00000022976	ZNF839	239	163	211	208
ENSG00000023041	ZDHHC6	1212	1108	1099	1026
ENSG00000023171	GRAMD1B	0	0	0	1
ENSG00000023191	RNH1	2470	2088	2101	2536
ENSG00000023228	NDUFS1	3900	2639	3640	3094
ENSG00000023287	RB1CC1	1454	1059	1599	1443
ENSG00000023318	ERP44	1740	1679	1660	1780
ENSG00000023330	ALAS1	1036	1016	946	1130
ENSG00000023445	BIRC3	19	9	18	11
ENSG00000023516	AKAP11	1505	1260	1687	1615
ENSG00000023572	GLRX2	216	168	217	238
ENSG00000023608	SNAPC1	144	123	146	143
ENSG00000023697	DERA	1167	1233	1072	1234
ENSG00000023734	STRAP	8784	8601	8104	9528
ENSG00000023839	ABCC2	17	10	23	17
ENSG00000023892	DEF6	180	139	131	154
ENSG00000023902	PLEKHO1	555	464	371	454
ENSG00000023909	GCLM	1670	1358	2122	1806
ENSG00000024048	UBR2	1679	1281	1692	1747
ENSG00000024422	EHD2	688	741	568	662
ENSG00000024526	DEPDC1	1684	1183	1686	1440
ENSG00000024862	CCDC28A	221	187	195	209
ENSG00000025039	RRAGD	1437	1258	1199	1332
ENSG00000025156	HSF2	455	352	426	343
ENSG00000025293	PHF20	1844	1408	1769	1863
ENSG00000025423	HSD17B6	34	25	26	28
ENSG00000025434	NR1H3	239	233	173	229
ENSG00000025708	TYMP	19	16	15	19
ENSG00000025770	NCAPH2	1425	1182	1258	1559
ENSG00000025772	TOMM34	1330	1250	1265	1448
ENSG00000025796	SEC63	3320	2738	3390	3068
ENSG00000025800	KPNA6	3159	1971	3082	3262
ENSG00000026025	VIM	97	86	80	115
ENSG00000026036	RTEL1-TNFRSF6B	6	1	6	4
ENSG00000026103	FAS	821	750	732	798
ENSG00000026297	RNASET2	274	275	251	346
ENSG00000026508	CD44	3158	2735	2443	2774
ENSG00000026559	KCNG1	9	3	12	7
ENSG00000026652	AGPAT4	264	218	220	257
ENSG00000026751	SLAMF7	1	0	0	0
ENSG00000026950	BTN3A1	83	70	87	99
ENSG00000027001	MIPEP	309	306	245	332
ENSG00000027075	PRKCH	222	181	208	258
ENSG00000027697	IFNGR1	707	612	591	709
ENSG00000027847	B4GALT7	394	390	343	433
ENSG00000027869	SH2D2A	7	10	6	19
ENSG00000028116	VRK2	755	644	752	701
ENSG00000028137	TNFRSF1B	17	10	8	8
ENSG00000028203	VEZT	1975	1840	1946	2020
ENSG00000028277	POU2F2	4	0	1	3
ENSG00000028310	BRD9	662	544	649	658
ENSG00000028528	SNX1	2280	1917	2283	2219
ENSG00000028839	TBPL1	334	315	354	411
ENSG00000029153	ARNTL2	3166	2373	3273	3145
ENSG00000029363	BCLAF1	6099	4629	6706	5721
ENSG00000029364	SLC39A9	5518	4641	5028	6221
ENSG00000029534	ANK1	39	19	24	20
ENSG00000029639	TFB1M	218	194	195	210
ENSG00000029725	RABEP1	3122	2493	3105	2911
ENSG00000029993	HMGB3	5522	5371	5382	5639
ENSG00000030066	NUP160	3037	2579	3016	3131
ENSG00000030110	BAK1	1244	1110	1034	1445
ENSG00000030304	MUSK	1	0	0	0
ENSG00000030419	IKZF2	360	379	347	382
ENSG00000030582	GRN	6332	6131	5444	7256
ENSG00000031003	FAM13B	1261	931	1350	1140
ENSG00000031081	ARHGAP31	44	44	33	45
ENSG00000031691	CENPQ	366	281	362	331
ENSG00000031698	SARS	2862	2921	2569	3103
ENSG00000031823	RANBP3	1712	1296	1522	1537
ENSG00000032219	ARID4A	547	355	596	511
ENSG00000032389	TSSC1	749	633	582	697
ENSG00000032444	PNPLA6	1426	1251	1127	1391
ENSG00000032742	IFT88	259	196	249	238
ENSG00000033011	ALG1	729	732	615	815
ENSG00000033030	ZCCHC8	556	489	534	551
ENSG00000033050	ABCF2	2762	2547	2674	2806
ENSG00000033100	CHPF2	1028	811	815	958
ENSG00000033122	LRRC7	3	0	0	1
ENSG00000033170	FUT8	882	767	823	833
ENSG00000033178	UBA6	1849	1403	2059	2042
ENSG00000033327	GAB2	512	457	456	430
ENSG00000033627	ATP6V0A1	1667	1595	1452	1860
ENSG00000033800	PIAS1	1104	971	1120	1095
ENSG00000033867	SLC4A7	1191	865	1284	1248
ENSG00000034053	APBA2	1105	891	914	994
ENSG00000034152	MAP2K3	1512	1167	1457	1646
ENSG00000034239	EFCAB1	1	0	1	0
ENSG00000034510	TMSB10	28122	30068	19995	28950
ENSG00000034533	ASTE1	320	297	268	305
ENSG00000034677	RNF19A	802	726	899	784
ENSG00000034693	PEX3	372	313	351	369
ENSG00000034713	GABARAPL2	1165	1119	1062	1261
ENSG00000035115	SH3YL1	1264	1154	1315	1316
ENSG00000035141	FAM136A	2944	2666	2719	2749
ENSG00000035403	VCL	16035	14701	15606	16970
ENSG00000035499	DEPDC1B	941	826	888	1000
ENSG00000035664	DAPK2	34	27	20	26
ENSG00000035681	NSMAF	1063	909	1008	999
ENSG00000035687	ADSS	946	887	1025	1039
ENSG00000035720	STAP1	0	1	0	0
ENSG00000035862	TIMP2	4951	5061	4980	5718
ENSG00000035928	RFC1	2924	2170	3081	2538
ENSG00000036054	TBC1D23	701	567	763	711
ENSG00000036257	CUL3	1466	1247	1561	1433
ENSG00000036448	MYOM2	9	4	6	6
ENSG00000036473	OTC	0	1	0	0
ENSG00000036530	CYP46A1	5	2	4	5
ENSG00000036549	ZZZ3	1794	1545	1958	1760
ENSG00000036565	SLC18A1	0	0	1	0
ENSG00000036672	USP2	177	156	131	148
ENSG00000037042	TUBG2	101	88	116	104
ENSG00000037241	RPL26L1	432	436	339	482
ENSG00000037280	FLT4	101	76	31	42
ENSG00000037474	NSUN2	2101	1524	2097	1873
ENSG00000037637	FBXO42	947	741	866	1097
ENSG00000037749	MFAP3	1308	1042	1291	1351
ENSG00000037757	MRI1	499	388	437	475
ENSG00000037897	METTL1	445	361	370	436
ENSG00000037965	HOXC8	3	0	3	1
ENSG00000038002	AGA	126	147	121	155
ENSG00000038210	PI4K2B	586	515	641	514
ENSG00000038219	BOD1L1	721	401	725	437
ENSG00000038274	MAT2B	1025	812	983	1021
ENSG00000038295	TLL1	18	15	15	18
ENSG00000038358	EDC4	1410	1129	1403	1446
ENSG00000038382	TRIO	466	229	518	282
ENSG00000038427	VCAN	64	41	64	53
ENSG00000038532	CLEC16A	1219	1053	1258	1462
ENSG00000038945	MSR1	2	1	2	1
ENSG00000039068	CDH1	10859	11242	10797	12176
ENSG00000039123	SKIV2L2	2169	1687	2223	2209
ENSG00000039139	DNAH5	14	8	22	16
ENSG00000039319	ZFYVE16	1715	1304	1738	1700
ENSG00000039523	FAM65A	534	437	452	465
ENSG00000039537	C6	0	0	0	1
ENSG00000039560	RAI14	2124	1640	2218	1745
ENSG00000039600	SOX30	2	0	4	2
ENSG00000039650	PNKP	429	427	370	501
ENSG00000039987	BEST2	2	1	1	1
ENSG00000040199	PHLPP2	481	295	470	411
ENSG00000040275	SPDL1	1094	755	1052	900
ENSG00000040341	STAU2	1739	1572	1754	1680
ENSG00000040487	PQLC2	347	248	303	332
ENSG00000040531	CTNS	673	674	588	676
ENSG00000040608	RTN4R	487	417	343	457
ENSG00000040633	PHF23	1380	1324	1030	1165
ENSG00000040933	INPP4A	664	470	650	680
ENSG00000041353	RAB27B	438	419	531	544
ENSG00000041357	PSMA4	3813	3495	3497	4049
ENSG00000041515	MYO16	5	8	4	5
ENSG00000041802	LSG1	1858	1442	1830	1706
ENSG00000041880	PARP3	247	200	179	205
ENSG00000041982	TNC	17276	16943	16451	18546
ENSG00000041988	THAP3	253	219	230	269
ENSG00000042062	FAM65C	5	3	3	2
ENSG00000042088	TDP1	953	880	943	922
ENSG00000042286	AIFM2	533	465	453	536
ENSG00000042304	C2orf83	4	0	2	1
ENSG00000042317	SPATA7	103	105	101	97
ENSG00000042429	MED17	585	495	600	577
ENSG00000042445	RETSAT	2377	2391	2207	2698
ENSG00000042493	CAPG	144	126	63	103
ENSG00000042753	AP2S1	3886	3676	2767	4141
ENSG00000042832	TG	1	0	0	0
ENSG00000043039	BARX2	2	1	1	1
ENSG00000043093	DCUN1D1	3184	2535	3422	3488
ENSG00000043143	JADE2	1456	1183	671	666
ENSG00000043355	ZIC2	4506	3780	3422	3444
ENSG00000043462	LCP2	1	1	0	0
ENSG00000043514	TRIT1	538	488	482	531
ENSG00000043591	ADRB1	29	23	39	47
ENSG00000044090	CUL7	880	713	893	1028
ENSG00000044115	CTNNA1	17202	16218	17506	18454
ENSG00000044446	PHKA2	460	378	450	494
ENSG00000044459	CNTLN	738	534	747	626
ENSG00000044524	EPHA3	203	195	210	188
ENSG00000044574	HSPA5	16699	14667	14854	16366
ENSG00000046604	DSG2	7600	6229	7376	7296
ENSG00000046647	GEMIN8	192	169	183	217
ENSG00000046651	OFD1	331	280	338	346
ENSG00000046653	GPM6B	299	319	290	319
ENSG00000046774	MAGEC2	23	14	12	23
ENSG00000046889	PREX2	2	4	2	1
ENSG00000047056	WDR37	444	360	475	491
ENSG00000047188	YTHDC2	1747	1383	1829	1566
ENSG00000047230	CTPS2	647	636	593	640
ENSG00000047249	ATP6V1H	806	706	784	815
ENSG00000047315	POLR2B	3385	2803	3397	3334
ENSG00000047346	FAM214A	299	204	305	263
ENSG00000047365	ARAP2	713	516	807	752
ENSG00000047410	TPR	5968	3660	6955	4874
ENSG00000047457	CP	64	89	67	67
