id	sym	C1	C2	C3	C4	BPA_1	BPA_2	BPA_3	BPA_4
ENSMUSG00000000365	Rnf17	23	36	21	35	62	49	26	37
ENSMUSG00000000374	Trappc10	2997	2725	2231	1979	3247	4009	3209	3250
ENSMUSG00000000378	Ccm2	1045	858	742	628	1208	1445	1083	1101
ENSMUSG00000000381	Wap	0	0	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	439	418	299	265	527	557	524	434
ENSMUSG00000000385	Tmprss2	1	0	1	0	1	0	0	1
ENSMUSG00000000386	Mx1	5	5	4	3	9	1	5	4
ENSMUSG00000000392	Fap	17	98	13	11	20	15	39	23
ENSMUSG00000000394	Gcg	1	1	0	0	1	1	0	0
ENSMUSG00000000399	Ndufa9	2651	2444	1980	1850	2840	3605	2943	2906
ENSMUSG00000000402	Egfl6	196	145	141	125	193	279	181	179
ENSMUSG00000000409	Lck	43	24	18	9	21	31	21	35
ENSMUSG00000000411	Tssk3	0	0	3	0	3	4	0	1
ENSMUSG00000000416	Cttnbp2	6686	6185	5482	4425	7611	10218	7879	7776
ENSMUSG00000000420	Galnt1	2610	2507	1900	1735	2870	3380	2809	3050
ENSMUSG00000000435	Myf5	0	0	0	2	0	0	1	0
ENSMUSG00000000439	Mkrn2	1115	1098	966	775	1333	1553	1354	1369
ENSMUSG00000000440	Pparg	54	38	59	33	63	61	58	59
ENSMUSG00000000441	Raf1	1238	1315	1121	966	1573	1797	1444	1463
ENSMUSG00000000486	Sept1	21	32	15	8	32	41	23	25
ENSMUSG00000000489	Pdgfb	393	405	359	237	552	606	578	407
ENSMUSG00000000530	Acvrl1	419	342	313	228	397	514	546	453
ENSMUSG00000000531	Grasp	1357	1336	1225	892	1645	2149	1869	1494
ENSMUSG00000000532	Acvr1b	3153	3023	2533	1989	3618	4343	3339	3596
ENSMUSG00000000538	Tom1l2	8138	7240	6235	5412	8696	10521	8660	8801
ENSMUSG00000000544	Gpa33	0	1	0	0	0	0	0	0
ENSMUSG00000000552	Zfp385a	933	884	726	580	1054	1256	1113	1009
ENSMUSG00000000555	Itga5	43	48	16	23	48	45	46	38
ENSMUSG00000000560	Gabra2	2903	2539	2363	1839	3044	3718	2574	3156
ENSMUSG00000000561	Wdr77	1096	1071	839	758	1208	1339	1273	1161
ENSMUSG00000000562	Adora3	14	6	6	8	9	12	9	8
ENSMUSG00000000563	Atp5f1	5191	4701	3788	3515	5859	7136	5774	5627
ENSMUSG00000000567	Sox9	2610	2560	2036	1694	3316	2969	2581	2687
ENSMUSG00000000568	Hnrnpd	9247	8897	6848	6160	10516	12700	10788	9971
ENSMUSG00000000579	Dynlt1c	0	0	0	0	0	0	0	0
ENSMUSG00000000581	C1d	1454	1496	1068	1151	1501	1980	1737	1778
ENSMUSG00000000594	Gm2a	2188	2341	2015	1678	2598	3019	2696	2564
ENSMUSG00000000600	Krit1	2278	2151	1677	1561	2262	2941	2179	2556
ENSMUSG00000000605	Clcn4	7197	6562	5164	4863	7682	8887	7491	7291
ENSMUSG00000000606	Vmn2r88	0	0	1	0	1	0	1	0
ENSMUSG00000000617	Grm6	0	0	0	0	1	0	1	0
ENSMUSG00000000627	Sema4f	970	841	801	576	1118	1286	970	1098
ENSMUSG00000000628	Hk2	313	286	217	217	371	403	302	318
ENSMUSG00000000631	Myo18a	8140	7220	6364	5266	8997	11858	8923	8739
ENSMUSG00000000632	Sez6	7601	6352	5121	5129	8175	10520	8236	7603
ENSMUSG00000000673	Haao	0	0	0	1	5	1	1	2
ENSMUSG00000000682	Cd52	21	27	30	24	42	48	35	32
ENSMUSG00000000686	Abhd15	26	20	39	22	39	45	32	37
ENSMUSG00000000690	Hoxb6	0	0	0	0	0	0	0	0
ENSMUSG00000000693	Loxl3	106	159	83	66	131	123	120	141
ENSMUSG00000000701	Tcl1b5	0	0	0	0	0	0	0	0
ENSMUSG00000000706	Btn1a1	5	0	1	4	0	1	1	6
ENSMUSG00000000708	Kat2b	888	929	565	569	867	1032	911	815
ENSMUSG00000000711	Rab5b	5585	4832	4153	3475	5800	7092	5761	5991
ENSMUSG00000000724	Cryba1	1	4	8	0	0	5	3	2
ENSMUSG00000000730	Dnmt3l	7	5	7	1	6	6	8	3
ENSMUSG00000000731	Aire	5	3	2	3	7	0	2	4
ENSMUSG00000000732	Icosl	275	261	257	158	335	394	288	432
ENSMUSG00000000738	Spg7	1206	1202	841	921	1354	1701	1520	1243
ENSMUSG00000000739	Sult5a1	15	22	13	31	21	39	27	26
ENSMUSG00000000740	Rpl13	3039	3009	2115	2177	3660	4148	3485	3364
ENSMUSG00000000743	Chmp1a	1250	1110	901	860	1255	1530	1168	1373
ENSMUSG00000000751	Rpa1	2111	2143	1669	1485	2397	3058	2432	2556
ENSMUSG00000000753	Serpinf1	420	450	297	260	408	548	689	425
ENSMUSG00000000759	Tubgcp3	1091	1043	798	660	1158	1359	1107	1064
ENSMUSG00000000766	Oprm1	123	95	89	62	118	151	103	136
ENSMUSG00000000776	Polr3d	814	793	650	552	904	1261	1019	927
ENSMUSG00000000782	Tcf7	116	114	88	66	131	154	145	114
ENSMUSG00000000787	Ddx3x	17039	16983	13234	11932	19085	22858	20852	17268
ENSMUSG00000000791	Il12rb1	4	9	4	2	7	6	8	5
ENSMUSG00000000792	Slc5a5	597	514	482	348	716	817	645	614
ENSMUSG00000000794	Kcnn3	1244	1255	898	729	1226	1738	1232	1423
ENSMUSG00000000804	Usp32	10132	9075	7373	6735	10201	13325	10612	11108
ENSMUSG00000000805	Car4	1780	1628	1604	1150	2304	2760	1924	1781
ENSMUSG00000000811	Txnrd3	112	115	90	69	142	148	142	103
ENSMUSG00000000817	Fasl	2	3	4	0	0	2	4	2
ENSMUSG00000000823	Zfp512b	1983	1835	1351	1140	2053	2370	2049	1872
ENSMUSG00000000826	Dnajc5	10178	9047	7972	6711	11430	13193	10449	10694
ENSMUSG00000000827	Tpd52l2	1563	1370	1178	964	1666	2259	1624	1743
ENSMUSG00000000838	Fmr1	4352	3858	3110	3043	4698	5636	4610	4705
ENSMUSG00000000861	Bcl11a	6283	5452	4800	4172	7012	8648	6366	6483
ENSMUSG00000000869	Il4	0	3	0	1	3	0	3	0
ENSMUSG00000000876	Pxmp4	279	247	226	136	316	360	271	322
ENSMUSG00000000881	Dlg3	10926	10176	8972	7428	13127	15646	12667	12631
ENSMUSG00000000884	Gnb1l	51	52	38	36	68	65	65	60
ENSMUSG00000000889	Dbh	10	21	13	6	32	18	28	20
ENSMUSG00000000901	Mmp11	33	38	18	11	29	43	32	24
ENSMUSG00000000902	Smarcb1	1218	1073	883	738	1431	1663	1252	1271
ENSMUSG00000000903	Vpreb3	1	2	1	0	3	7	3	3
ENSMUSG00000000915	Hip1r	1454	1272	1101	920	1648	1987	1590	1648
ENSMUSG00000000916	Nsun5	168	172	136	87	183	227	157	175
ENSMUSG00000000934	Top1mt	604	533	437	342	699	826	610	668
ENSMUSG00000000938	Hoxa10	0	0	0	0	0	0	0	0
ENSMUSG00000000942	Hoxa4	0	0	0	0	0	0	0	1
ENSMUSG00000000957	Mmp14	687	610	471	345	737	845	653	602
ENSMUSG00000000958	Slc7a7	78	81	72	45	92	101	101	104
ENSMUSG00000000959	Oxa1l	1257	1208	961	812	1457	1854	1422	1422
ENSMUSG00000000976	Heatr6	680	707	578	477	812	916	743	783
ENSMUSG00000000982	Ccl3	6	8	7	2	12	10	7	10
ENSMUSG00000000983	Wfdc18	11	20	7	12	16	13	8	10
ENSMUSG00000001014	Icam4	42	38	31	21	49	47	43	38
ENSMUSG00000001016	Ilf2	2845	2920	2476	2008	3487	4844	3609	3516
ENSMUSG00000001017	Chtop	3703	3597	2669	2454	4069	4757	4055	4015
ENSMUSG00000001018	Snapin	2037	2008	1429	1426	2349	2674	2161	2202
ENSMUSG00000001020	S100a4	40	37	24	36	36	55	43	42
ENSMUSG00000001021	S100a3	4	1	1	0	3	5	2	0
ENSMUSG00000001023	S100a5	1	1	0	0	1	0	0	0
ENSMUSG00000001025	S100a6	259	259	153	179	257	331	317	261
ENSMUSG00000001027	Scn4a	3	5	0	0	2	2	1	1
ENSMUSG00000001029	Icam2	66	71	50	43	84	82	82	78
ENSMUSG00000001034	Mapk7	513	467	420	305	658	710	601	531
ENSMUSG00000001036	Epn2	5153	4884	4282	3423	6108	7357	5155	5890
ENSMUSG00000001039	B9d1	135	117	85	82	121	138	97	128
ENSMUSG00000001052	Sec24b	3827	3512	2936	2310	4317	5387	3848	4180
ENSMUSG00000001053	N4bp3	284	269	247	156	302	391	315	309
ENSMUSG00000001054	Rmnd5b	779	732	549	506	853	941	774	775
ENSMUSG00000001056	Nhp2	554	529	440	420	638	763	630	603
ENSMUSG00000001062	Vps9d1	998	904	782	627	1118	1360	1055	976
ENSMUSG00000001065	Zfp276	232	194	172	111	243	308	221	264
ENSMUSG00000001076	C1ql4	1	0	0	0	1	0	0	0
ENSMUSG00000001082	Mfsd10	187	177	131	112	217	227	187	151
ENSMUSG00000001089	Luzp1	7912	6530	6244	4904	8171	10431	7959	8169
ENSMUSG00000001095	Slc13a2	0	0	0	0	0	0	0	0
ENSMUSG00000001098	Kctd10	1131	1056	891	767	1279	1587	1270	1305
ENSMUSG00000001100	Poldip2	1718	1566	1303	1014	2032	2341	1896	1762
ENSMUSG00000001103	Sebox	121	91	81	74	106	101	100	84
ENSMUSG00000001105	Ift20	993	924	933	707	1224	1496	1211	1099
ENSMUSG00000001119	Col6a1	358	426	290	181	518	533	349	386
ENSMUSG00000001120	Pcbp3	1853	1762	1507	1169	2208	2913	2116	2181
ENSMUSG00000001123	Lgals9	139	123	86	56	130	148	114	123
ENSMUSG00000001127	Araf	4254	3918	3116	2682	4536	5664	4628	4819
ENSMUSG00000001128	Cfp	73	43	46	33	71	68	39	59
ENSMUSG00000001131	Timp1	6	3	2	0	4	5	5	3
ENSMUSG00000001134	Uxt	42	52	53	31	68	67	65	81
ENSMUSG00000001138	Cnnm3	701	600	504	418	833	917	672	715
ENSMUSG00000001143	Lman2l	1580	1450	1501	986	1740	2445	1495	2093
ENSMUSG00000001150	Mcm3ap	1983	1852	1501	1251	2196	2802	2094	2158
ENSMUSG00000001151	Pcnt	2252	1883	1534	1341	2197	2855	2324	2294
ENSMUSG00000001155	Ftcd	0	1	0	0	0	0	1	1
ENSMUSG00000001156	Mxd1	1146	932	845	726	1097	1396	1269	1081
ENSMUSG00000001157	Gmcl1	932	873	744	688	1071	1185	1067	981
ENSMUSG00000001158	Snrnp27	2099	1751	2016	1509	2530	3135	2507	2457
ENSMUSG00000001166	Oas1c	10	11	13	9	10	18	17	10
ENSMUSG00000001168	Oas1h	0	0	0	0	0	0	0	0
ENSMUSG00000001173	Ocrl	3840	3537	3084	2776	4387	5434	4386	4253
ENSMUSG00000001175	Calm1	137447	127442	106499	101445	155898	189038	150852	162189
ENSMUSG00000001211	Agpat3	7367	6263	5513	4717	8014	9586	7430	7444
ENSMUSG00000001225	Slc26a3	12	18	4	8	20	10	10	19
ENSMUSG00000001227	Sema6b	2193	1892	1886	1566	2765	3121	2466	2450
ENSMUSG00000001228	Uhrf1	20	33	13	13	30	35	20	30
ENSMUSG00000001229	Dpp9	1909	1723	1574	1221	2194	2620	1796	2280
ENSMUSG00000001240	Ramp2	509	539	412	329	633	758	706	561
ENSMUSG00000001247	Lsr	231	237	176	146	254	321	303	252
ENSMUSG00000001248	Gramd1a	1283	1198	971	818	1476	1749	1278	1327
ENSMUSG00000001249	Hpn	14	5	5	5	3	6	7	7
ENSMUSG00000001260	Gabrg1	1369	1223	982	905	1428	1737	1346	1470
ENSMUSG00000001270	Ckb	13635	12033	10778	8502	15392	17830	14269	14993
ENSMUSG00000001280	Sp1	1433	1422	1034	973	1466	1786	1517	1499
ENSMUSG00000001281	Itgb7	7	11	3	10	8	7	6	9
ENSMUSG00000001285	Myg1	565	511	393	295	563	742	561	618
ENSMUSG00000001288	Rarg	245	245	180	143	302	319	230	235
ENSMUSG00000001289	Pfdn5	1875	1881	1414	1360	2164	2769	2086	2096
ENSMUSG00000001300	Efnb2	2710	2190	2100	1374	2900	3573	2924	2871
ENSMUSG00000001305	Rrp15	273	214	212	171	330	401	293	276
ENSMUSG00000001313	Rnd2	428	417	408	293	472	594	512	474
ENSMUSG00000001323	Srr	4150	4232	3559	2859	4624	6149	4965	5244
ENSMUSG00000001333	Sync	12	14	7	8	12	12	23	9
ENSMUSG00000001334	Fndc5	2902	2480	2210	2027	3308	3618	2996	2967
ENSMUSG00000001348	Acp5	5	5	3	4	11	2	7	6
ENSMUSG00000001349	Cnn1	12	10	5	9	9	6	34	18
ENSMUSG00000001366	Fbxo9	2488	2254	1889	1761	2813	3313	2811	2516
ENSMUSG00000001376	Vps50	3250	3188	2625	2556	3732	4717	3898	3707
ENSMUSG00000001380	Hars	2159	1878	1592	1417	2394	2876	2469	2285
ENSMUSG00000001383	Zmat2	6323	5683	5463	4573	7694	9600	7108	7099
ENSMUSG00000001403	Ube2c	17	16	8	8	11	29	15	27
ENSMUSG00000001415	Smg5	2354	2143	1843	1439	2691	3322	2338	2647
ENSMUSG00000001416	Cct3	2283	2063	1785	1358	2514	3107	2207	2544
ENSMUSG00000001418	Glmp	487	453	386	268	532	574	493	463
ENSMUSG00000001419	Mef2d	10248	9352	8979	6455	11470	15044	11797	11725
ENSMUSG00000001420	Tmem79	36	30	25	23	44	41	34	39
ENSMUSG00000001424	Snd1	2371	2050	1756	1566	2459	3228	2439	2429
ENSMUSG00000001435	Col18a1	191	241	88	72	169	196	285	177
ENSMUSG00000001436	Slc19a1	199	173	148	102	196	208	231	183
ENSMUSG00000001440	Kpnb1	11327	10783	8618	7597	12502	16399	12772	13482
ENSMUSG00000001441	Npepps	5790	5219	4642	3804	6447	7904	5763	6347
ENSMUSG00000001444	Tbx21	3	3	2	1	5	7	2	5
ENSMUSG00000001445	Mrpl10	747	727	601	518	823	1050	910	833
ENSMUSG00000001467	Cyp51	2551	2003	1752	1625	2533	3174	2803	2735
ENSMUSG00000001472	Tcf25	16328	14188	12127	11003	18114	22327	17747	17522
ENSMUSG00000001473	Tubb6	150	146	131	80	170	223	142	160
ENSMUSG00000001482	Def8	1344	1157	1026	834	1414	1678	1381	1435
ENSMUSG00000001493	Meox1	42	46	45	28	43	52	29	39
ENSMUSG00000001494	Sost	2	5	6	1	2	0	1	0
ENSMUSG00000001496	Nkx2-1	17	28	17	11	18	21	15	13
ENSMUSG00000001497	Pax9	4	0	1	0	1	1	0	5
ENSMUSG00000001504	Irx2	0	3	0	1	1	1	1	2
ENSMUSG00000001506	Col1a1	253	235	76	55	132	123	346	123
ENSMUSG00000001507	Itga3	424	395	295	250	466	553	458	389
ENSMUSG00000001508	Sgca	3	4	2	2	6	8	7	5
ENSMUSG00000001510	Dlx3	1	3	0	2	3	1	5	3
ENSMUSG00000001517	Foxm1	39	60	41	25	49	73	38	44
ENSMUSG00000001518	Itfg2	478	470	345	306	556	611	503	513
ENSMUSG00000001520	Nrip2	318	338	276	183	402	479	390	458
ENSMUSG00000001521	Tulp3	482	436	385	278	491	592	472	538
ENSMUSG00000001524	Gtf2h4	287	319	268	189	388	450	335	394
ENSMUSG00000001525	Tubb5	11953	11201	10131	8366	14257	16557	13464	13229
ENSMUSG00000001542	Ell2	1363	981	862	739	1193	1694	1293	1246
ENSMUSG00000001552	Jup	902	786	686	493	960	992	850	940
ENSMUSG00000001555	Fkbp10	157	160	102	103	146	166	195	164
ENSMUSG00000001558	Klhl10	16	5	6	2	11	18	9	13
ENSMUSG00000001566	Mnx1	0	0	0	0	0	0	0	0
ENSMUSG00000001569	Nom1	901	854	704	662	1095	1242	1094	1021
ENSMUSG00000001576	Ergic1	2999	2565	2053	1872	3389	3962	3022	3111
ENSMUSG00000001583	Tnk1	2	1	0	0	0	3	3	2
ENSMUSG00000001588	Acap1	6	8	1	6	5	6	1	6
ENSMUSG00000001604	Tcea3	27	41	8	5	14	13	30	8
ENSMUSG00000001622	Csn3	0	0	0	0	0	0	0	0
ENSMUSG00000001627	Ifrd1	813	737	561	589	857	1053	894	763
ENSMUSG00000001630	Stk38l	906	882	674	710	1046	1217	1131	969
ENSMUSG00000001632	Brpf1	1579	1628	1325	1095	1978	2449	1922	1837
ENSMUSG00000001642	Akr1b3	0	0	0	0	0	0	0	0
ENSMUSG00000001655	Hoxc13	0	0	2	0	0	0	0	0
ENSMUSG00000001656	Hoxc11	0	0	0	0	0	0	0	0
ENSMUSG00000001657	Hoxc8	1	0	0	0	0	0	0	0
ENSMUSG00000001661	Hoxc6	0	0	1	0	0	0	0	0
ENSMUSG00000001663	Gstt1	93	71	57	48	89	110	96	106
ENSMUSG00000001665	Gstt3	44	46	27	28	39	51	71	46
ENSMUSG00000001666	Ddt	555	535	552	427	650	768	684	675
ENSMUSG00000001670	Tat	7	1	0	1	3	2	2	4
ENSMUSG00000001672	Marveld3	6	9	2	3	3	5	3	5
ENSMUSG00000001674	Ddx18	600	523	500	365	664	791	655	621
ENSMUSG00000001687	Ubl3	6864	6432	4963	4854	7308	9131	7507	7319
ENSMUSG00000001700	Gramd3	570	496	469	380	620	713	501	720
ENSMUSG00000001707	Eef1e1	878	766	667	627	930	1066	997	861
ENSMUSG00000001729	Akt1	3166	2578	2333	1880	3581	4189	3240	3123
ENSMUSG00000001739	Cldn15	2	0	1	1	0	3	2	1
ENSMUSG00000001741	Il16	1387	1333	1204	1081	1819	2124	1494	1545
ENSMUSG00000001750	Tcirg1	173	162	106	92	145	192	149	153
ENSMUSG00000001751	Naglu	122	120	73	76	147	147	142	108
ENSMUSG00000001755	Coasy	537	437	376	313	575	638	426	520
ENSMUSG00000001761	Smo	730	710	601	394	803	988	766	842
ENSMUSG00000001763	Tspan33	681	751	596	408	839	1027	686	925
ENSMUSG00000001767	Crnkl1	1853	1716	1503	1204	2066	2600	2247	2207
ENSMUSG00000001768	Rin2	1390	1392	1122	904	1570	1963	1649	1471
ENSMUSG00000001773	Folh1	390	400	248	267	384	519	397	381
ENSMUSG00000001774	Chordc1	3017	2326	2089	1636	3055	3912	2421	3566
ENSMUSG00000001783	Rtcb	2451	2174	1713	1543	2718	3475	2531	2499
ENSMUSG00000001785	Pwp1	769	755	591	538	851	983	856	820
ENSMUSG00000001786	Fbxo7	660	730	524	489	746	959	804	782
ENSMUSG00000001794	Capns1	5184	4445	3867	3294	5960	6874	5354	5533
ENSMUSG00000001802	Lrp3	1469	1223	1115	891	1697	1868	1434	1480
ENSMUSG00000001804	Dsg4	0	0	0	0	0	0	0	0
ENSMUSG00000001815	Evx2	0	0	0	0	0	0	0	0
ENSMUSG00000001819	Hoxd13	0	0	0	0	0	0	0	0
ENSMUSG00000001823	Hoxd12	0	0	0	0	0	0	0	0
ENSMUSG00000001827	Folr1	34	313	12	17	25	9	94	8
ENSMUSG00000001829	Clpb	1228	1110	955	799	1271	1553	1173	1281
ENSMUSG00000001833	Sept7	21814	18780	14918	14658	23024	28020	22834	23480
ENSMUSG00000001844	Zdhhc4	320	402	273	261	419	472	489	363
ENSMUSG00000001847	Rac1	10203	9182	7747	6648	11398	13294	10993	10591
ENSMUSG00000001855	Nup214	2140	1913	1716	1362	2246	2967	2354	2205
ENSMUSG00000001864	Aif1l	266	325	213	177	328	349	244	294
ENSMUSG00000001865	Cpa3	3	0	1	1	2	0	4	0
ENSMUSG00000001870	Ltbp1	301	280	244	168	302	385	358	302
ENSMUSG00000001891	Ugp2	3653	3219	2622	2705	3918	4558	3716	3752
ENSMUSG00000001901	Kcnh6	29	37	32	15	47	51	48	41
ENSMUSG00000001909	Trmt1	643	564	451	336	722	840	647	598
ENSMUSG00000001910	Nacc1	5368	4686	4425	3375	6157	7532	5929	5834
ENSMUSG00000001911	Nfix	13220	12686	11352	8734	15895	19324	15470	15327
ENSMUSG00000001918	Slc1a5	23	30	16	19	15	34	24	25
ENSMUSG00000001924	Uba1	13825	12624	11005	8684	15579	19146	16073	14961
ENSMUSG00000001930	Vwf	445	472	238	180	286	487	763	437
ENSMUSG00000001942	Siae	612	582	476	408	634	723	587	691
ENSMUSG00000001943	Vsig2	379	328	323	227	421	478	432	416
ENSMUSG00000001946	Esam	223	231	133	141	229	266	318	239
ENSMUSG00000001948	Spa17	128	176	101	88	163	193	164	171
ENSMUSG00000001962	Fam50a	955	1059	807	692	1203	1597	1473	1093
ENSMUSG00000001964	Emd	813	824	708	581	993	1189	1018	970
ENSMUSG00000001983	Taco1	310	315	225	214	376	443	315	403
ENSMUSG00000001985	Grik3	3424	2889	2747	1642	3520	4711	3744	3989
ENSMUSG00000001986	Gria3	12240	10515	8963	8139	13230	15689	12467	12184
ENSMUSG00000001988	Npas1	165	165	135	109	213	239	190	166
ENSMUSG00000001995	Sipa1l2	2859	3353	2633	1685	3789	4722	3315	3977
ENSMUSG00000001998	Ap4e1	562	583	377	359	565	723	608	558
ENSMUSG00000001999	Blvra	310	254	200	164	276	382	319	309
ENSMUSG00000002006	Pdzd4	4518	3937	3514	2812	5120	6487	4866	4742
ENSMUSG00000002007	Srpk3	37	60	35	17	54	48	58	39
ENSMUSG00000002010	Idh3g	3860	3850	3032	2635	4732	5279	4425	4273
ENSMUSG00000002012	Pnck	737	706	619	421	891	991	778	733
ENSMUSG00000002014	Ssr4	426	443	329	341	545	639	536	481
ENSMUSG00000002015	Bcap31	1607	1352	1151	862	1767	1939	1415	1691
ENSMUSG00000002017	Fam98a	1159	1116	834	774	1247	1503	1276	1192
ENSMUSG00000002020	Ltbp2	7	7	4	3	5	2	6	2
ENSMUSG00000002028	Kmt2a	11770	9704	8992	5955	10357	15504	10694	12018
ENSMUSG00000002031	Ift46	1119	1056	890	748	1343	1508	1165	1270
ENSMUSG00000002032	Tmem25	829	718	567	485	831	954	749	857
ENSMUSG00000002033	Cd3g	0	2	0	1	0	3	2	3
ENSMUSG00000002043	Trappc6a	23	30	25	21	38	30	28	34
ENSMUSG00000002052	Supt6	13607	12740	11063	8727	15897	20240	15480	15566
ENSMUSG00000002055	Spag5	201	175	168	125	212	244	185	220
ENSMUSG00000002057	Foxn1	0	0	1	0	1	2	1	0
ENSMUSG00000002058	Unc119	351	321	239	204	415	483	367	339
ENSMUSG00000002059	Rab34	118	131	77	85	173	151	138	114
ENSMUSG00000002064	Sdf2	779	689	566	436	805	1145	792	895
ENSMUSG00000002068	Ccne1	501	472	459	356	637	822	639	648
ENSMUSG00000002076	Hsf2bp	10	11	1	5	4	19	4	11
ENSMUSG00000002083	Bbc3	120	162	109	92	188	224	195	171
ENSMUSG00000002100	Mybpc3	5	5	5	6	22	14	5	12
ENSMUSG00000002102	Psmc3	4419	4039	3490	2800	5221	6700	5019	4825
ENSMUSG00000002103	Acp2	3568	3307	2710	2432	3872	4629	3790	3958
ENSMUSG00000002104	Rapsn	10	8	7	6	8	4	6	2
