id	sym	WT_1	WT_2	P95H_1	P95H_2
ENSG00000005884	ITGA3	9	3	1	2
ENSG00000005889	ZFX	3045	3160	2642	2756
ENSG00000005893	LAMP2	4210	5084	3788	4904
ENSG00000005961	ITGA2B	23717	20310	20880	26272
ENSG00000005981	ASB4	42	15	13	25
ENSG00000006007	GDE1	2721	2648	2120	2725
ENSG00000006015	C19orf60	659	856	503	871
ENSG00000006016	CRLF1	28	67	35	57
ENSG00000006025	OSBPL7	625	777	521	903
ENSG00000006042	TMEM98	295	209	211	250
ENSG00000006047	YBX2	1	3	1	1
ENSG00000006059	KRT33A	0	0	0	0
ENSG00000006062	MAP3K14	234	195	187	214
ENSG00000006071	ABCC8	1	2	2	1
ENSG00000006116	CACNG3	0	2	2	1
ENSG00000006118	TMEM132A	1	1	1	1
ENSG00000006125	AP2B1	19501	16873	15628	17574
ENSG00000006128	TAC1	0	0	0	0
ENSG00000006194	ZNF263	1749	1687	1442	1821
ENSG00000006210	CX3CL1	0	1	0	0
ENSG00000006282	SPATA20	989	902	723	1006
ENSG00000006283	CACNA1G	8	6	6	8
ENSG00000006327	TNFRSF12A	42	85	44	82
ENSG00000006377	DLX6	79	60	59	60
ENSG00000006432	MAP3K9	150	196	130	145
ENSG00000006451	RALA	1901	1703	1698	1771
ENSG00000006453	BAIAP2L1	6	10	9	17
ENSG00000006459	KDM7A	238	221	226	242
ENSG00000006468	ETV1	762	376	660	513
ENSG00000006530	AGK	2112	2035	1949	2268
ENSG00000006534	ALDH3B1	23	21	26	25
ENSG00000006555	TTC22	0	0	0	0
ENSG00000006576	PHTF2	3044	4013	2586	3754
ENSG00000006606	CCL26	0	0	0	0
ENSG00000006607	FARP2	2949	2615	2565	2578
ENSG00000006611	USH1C	2	2	0	3
ENSG00000006625	GGCT	1179	819	801	891
ENSG00000006634	DBF4	3741	4196	3484	4194
ENSG00000006638	TBXA2R	440	344	285	401
ENSG00000006652	IFRD1	2694	2800	2226	2955
ENSG00000006659	LGALS14	0	1	0	0
ENSG00000006695	COX10	1388	1368	1278	1577
ENSG00000006704	GTF2IRD1	833	615	649	672
ENSG00000006712	PAF1	3297	3274	3011	3673
ENSG00000006715	VPS41	3240	2850	2542	3156
ENSG00000006740	ARHGAP44	25	40	41	23
ENSG00000006744	ELAC2	5683	5771	4509	6100
ENSG00000006747	SCIN	2	3	1	0
ENSG00000006756	ARSD	0	0	0	0
ENSG00000006757	PNPLA4	283	200	242	248
ENSG00000006788	MYH13	0	0	0	1
ENSG00000006831	ADIPOR2	9881	8604	8483	9871
ENSG00000006837	CDKL3	52	42	53	39
ENSG00000007001	UPP2	6	3	2	1
ENSG00000007038	PRSS21	1694	1879	1475	2143
ENSG00000007047	MARK4	1405	1057	1121	1281
ENSG00000007062	PROM1	1	1	1	0
ENSG00000007080	CCDC124	2701	2428	2097	2424
ENSG00000007129	CEACAM21	19	13	28	35
ENSG00000007168	PAFAH1B1	8492	8153	7474	8050
ENSG00000007171	NOS2	452	214	318	274
ENSG00000007174	DNAH9	17	10	20	11
ENSG00000007202	KIAA0100	9402	10044	8267	11170
ENSG00000007216	SLC13A2	1	0	0	0
ENSG00000007237	GAS7	1	0	0	0
ENSG00000007255	TRAPPC6A	301	137	189	118
ENSG00000007264	MATK	636	306	520	436
ENSG00000007306	CEACAM7	0	0	0	0
ENSG00000007312	CD79B	59	36	38	33
ENSG00000007314	SCN4A	9	2	4	4
ENSG00000007341	ST7L	949	1008	1005	1214
ENSG00000007350	TKTL1	7	2	1	3
ENSG00000007372	PAX6	1218	1098	1002	1300
ENSG00000007376	RPUSD1	883	916	672	883
ENSG00000007384	RHBDF1	26	51	22	43
ENSG00000007392	LUC7L	2506	2623	2242	2816
ENSG00000007402	CACNA2D2	13	4	8	10
ENSG00000007516	BAIAP3	23	24	11	27
ENSG00000007520	TSR3	371	322	240	345
ENSG00000007541	PIGQ	622	828	497	967
ENSG00000007545	CRAMP1	650	669	514	669
ENSG00000007866	TEAD3	111	73	81	68
ENSG00000007908	SELE	0	0	0	0
ENSG00000007923	DNAJC11	3968	3801	3424	4111
ENSG00000007933	FMO3	9	6	10	1
ENSG00000007944	MYLIP	1380	661	1135	1401
ENSG00000007952	NOX1	35	45	50	51
ENSG00000007968	E2F2	2522	2123	1992	2364
ENSG00000008018	PSMB1	8609	7509	6922	8038
ENSG00000008056	SYN1	14	19	17	29
ENSG00000008083	JARID2	4028	2995	3344	3598
ENSG00000008086	CDKL5	24	27	15	21
ENSG00000008118	CAMK1G	2	0	6	1
ENSG00000008128	CDK11A	68	103	54	110
ENSG00000008130	NADK	3544	3430	2879	3624
ENSG00000008196	TFAP2B	0	0	0	0
ENSG00000008197	TFAP2D	0	0	0	0
ENSG00000008226	DLEC1	14	19	10	30
ENSG00000008256	CYTH3	502	454	435	506
ENSG00000008277	ADAM22	1730	1496	1539	1971
ENSG00000008282	SYPL1	5996	5184	5038	5993
ENSG00000008283	CYB561	2502	2936	1958	2886
ENSG00000008294	SPAG9	4205	3390	3496	3674
ENSG00000008300	CELSR3	475	397	323	437
ENSG00000008311	AASS	1562	1249	1245	1628
ENSG00000008323	PLEKHG6	42	69	39	52
ENSG00000008324	SS18L2	891	793	851	857
ENSG00000008382	MPND	145	144	127	185
ENSG00000008394	MGST1	6419	4543	5514	5755
ENSG00000008405	CRY1	1148	1294	1199	1322
ENSG00000008438	PGLYRP1	21	23	23	33
ENSG00000008441	NFIX	2328	3391	1958	3066
ENSG00000008513	ST3GAL1	3567	2409	2904	2810
ENSG00000008516	MMP25	16	19	17	19
ENSG00000008517	IL32	8	7	10	7
ENSG00000008710	PKD1	1710	1815	1402	1889
ENSG00000008735	MAPK8IP2	7	11	8	17
ENSG00000008838	MED24	2325	2224	1765	2309
ENSG00000008853	RHOBTB2	562	521	384	545
ENSG00000008869	HEATR5B	3571	3211	2751	3229
ENSG00000008952	SEC62	7505	7796	7047	9142
ENSG00000008988	RPS20	31555	18625	25093	20793
ENSG00000009307	CSDE1	56401	49071	48603	52294
ENSG00000009335	UBE3C	9852	9351	8634	9246
ENSG00000009413	REV3L	7208	7435	6416	7602
ENSG00000009694	TENM1	10	2	17	10
ENSG00000009709	PAX7	0	0	0	0
ENSG00000009724	MASP2	119	131	137	186
ENSG00000009765	IYD	5	2	1	4
ENSG00000009780	FAM76A	459	457	422	509
ENSG00000009790	TRAF3IP3	45	24	51	15
ENSG00000009830	POMT2	426	447	382	589
ENSG00000009844	VTA1	5833	4955	4934	5405
ENSG00000009950	MLXIPL	0	0	0	0
ENSG00000009954	BAZ1B	12308	11237	10685	11385
ENSG00000010017	RANBP9	2874	2614	2605	2731
ENSG00000010030	ETV7	4	9	4	2
ENSG00000010072	SPRTN	1129	1290	1139	1248
ENSG00000010165	METTL13	3774	3501	3074	3566
ENSG00000010219	DYRK4	3314	1854	3003	3019
ENSG00000010244	ZNF207	13931	12709	13005	14036
ENSG00000010256	UQCRC1	4711	4191	3536	4405
ENSG00000010270	STARD3NL	3059	2687	2583	2906
ENSG00000010278	CD9	1944	1871	1250	2024
ENSG00000010282	HHATL	0	0	0	0
ENSG00000010292	NCAPD2	17187	15668	12860	14306
ENSG00000010295	IFFO1	24	51	27	37
ENSG00000010310	GIPR	36	20	30	34
ENSG00000010318	PHF7	275	257	253	278
ENSG00000010319	SEMA3G	114	110	80	146
ENSG00000010322	NISCH	1957	2294	1824	2529
ENSG00000010327	STAB1	3512	5385	2261	5237
ENSG00000010361	FUZ	722	588	584	769
ENSG00000010379	SLC6A13	55	83	60	58
ENSG00000010404	IDS	2884	3248	2867	2925
ENSG00000010438	PRSS3	0	1	2	1
ENSG00000010539	ZNF200	887	873	797	864
ENSG00000010610	CD4	58	40	71	67
ENSG00000010626	LRRC23	50	43	35	38
ENSG00000010671	BTK	10066	10070	8931	10865
ENSG00000010704	HFE	55	18	35	38
ENSG00000010803	SCMH1	2915	2523	2371	2787
ENSG00000010810	FYN	3160	3420	2964	3388
ENSG00000010818	HIVEP2	4206	3927	3425	3625
ENSG00000010932	FMO1	32	10	15	12
ENSG00000011007	TCEB3	6550	6997	5826	7149
ENSG00000011009	LYPLA2	2626	2183	2057	2432
ENSG00000011021	CLCN6	1241	887	1118	1230
ENSG00000011028	MRC2	1556	1190	1229	1227
ENSG00000011052	NME1-NME2	0	0	0	0
ENSG00000011083	SLC6A7	0	0	0	0
ENSG00000011105	TSPAN9	580	742	458	705
ENSG00000011114	BTBD7	3135	3197	2698	3021
ENSG00000011132	APBA3	467	442	333	448
ENSG00000011143	MKS1	643	619	549	661
ENSG00000011198	ABHD5	1692	2068	1622	1846
ENSG00000011201	ANOS1	4	3	6	2
ENSG00000011243	AKAP8L	1865	2011	1635	2477
ENSG00000011258	MBTD1	4424	3410	3958	3890
ENSG00000011260	UTP18	5513	4208	4746	4790
ENSG00000011275	RNF216	3003	2964	2633	3127
ENSG00000011295	TTC19	2178	1973	2013	2141
ENSG00000011304	PTBP1	33223	34212	25812	33701
ENSG00000011332	DPF1	190	203	149	215
ENSG00000011347	SYT7	10	9	14	10
ENSG00000011376	LARS2	2262	2406	1925	2491
ENSG00000011405	PIK3C2A	2981	3495	2739	2954
ENSG00000011422	PLAUR	300	238	281	277
ENSG00000011426	ANLN	3026	3820	2940	3834
ENSG00000011451	WIZ	3011	3386	2654	3523
ENSG00000011454	RABGAP1	2936	2387	2444	2791
ENSG00000011465	DCN	0	1	0	0
ENSG00000011478	QPCTL	628	467	550	630
ENSG00000011485	PPP5C	5759	5176	4928	5947
ENSG00000011523	CEP68	1742	1542	1392	1499
ENSG00000011566	MAP4K3	1245	1342	1332	1626
ENSG00000011590	ZBTB32	39	30	43	34
ENSG00000011600	TYROBP	5	1	4	6
ENSG00000011638	TMEM159	302	232	243	222
ENSG00000011677	GABRA3	581	409	492	565
ENSG00000012048	BRCA1	7448	7197	6372	6749
ENSG00000012061	ERCC1	2684	2429	2190	2546
ENSG00000012124	CD22	0	2	1	0
ENSG00000012171	SEMA3B	6	24	15	8
ENSG00000012174	MBTPS2	1023	903	755	986
ENSG00000012211	PRICKLE3	337	248	279	254
ENSG00000012223	LTF	53	18	63	30
ENSG00000012232	EXTL3	1974	1950	1550	2046
ENSG00000012504	NR1H4	0	0	2	0
ENSG00000012660	ELOVL5	14632	13223	12888	16003
ENSG00000012779	ALOX5	2	8	3	3
ENSG00000012817	KDM5D	1	0	0	0
ENSG00000012822	CALCOCO1	661	728	482	724
ENSG00000012963	UBR7	3070	2755	2609	2787
ENSG00000012983	MAP4K5	2394	2240	2166	2688
ENSG00000013016	EHD3	874	790	589	791
ENSG00000013275	PSMC4	6787	6499	5854	6951
ENSG00000013288	MAN2B2	1190	1752	1126	1681
ENSG00000013293	SLC7A14	0	1	1	1
ENSG00000013297	CLDN11	5	8	6	11
ENSG00000013306	SLC25A39	4749	4373	3673	4743
ENSG00000013364	MVP	71	59	53	56
ENSG00000013374	NUB1	1329	1131	992	1214
ENSG00000013375	PGM3	876	760	746	795
ENSG00000013392	RWDD2A	81	62	75	87
ENSG00000013441	CLK1	2820	1816	2518	2055
ENSG00000013503	POLR3B	2763	3132	2457	3140
ENSG00000013523	ANGEL1	1619	1578	1373	1708
ENSG00000013561	RNF14	2106	1853	1636	1946
ENSG00000013563	DNASE1L1	93	80	74	84
ENSG00000013573	DDX11	3464	3559	2838	4071
ENSG00000013583	HEBP1	254	189	197	223
ENSG00000013588	GPRC5A	0	0	0	0
ENSG00000013619	MAMLD1	36	59	25	56
ENSG00000013725	CD6	0	1	1	1
ENSG00000013810	TACC3	8275	8635	7235	9302
ENSG00000014123	UFL1	2789	3257	2359	3638
ENSG00000014138	POLA2	2512	2377	2125	2356
ENSG00000014164	ZC3H3	1569	1721	1321	1688
ENSG00000014216	CAPN1	5540	5244	4366	5168
ENSG00000014257	ACPP	3	4	3	4
ENSG00000014641	MDH1	9564	6888	7581	7364
ENSG00000014824	SLC30A9	4546	3969	3963	4183
ENSG00000014914	MTMR11	196	206	146	251
ENSG00000014919	COX15	3368	2814	2629	2921
ENSG00000015133	CCDC88C	1882	1728	1449	1947
ENSG00000015153	YAF2	2250	1987	2119	2307
ENSG00000015171	ZMYND11	5176	5485	4561	5324
ENSG00000015285	WAS	2944	2191	2517	2660
ENSG00000015413	DPEP1	3	4	0	5
ENSG00000015475	BID	2239	2095	1977	2264
ENSG00000015479	MATR3	1165	863	1101	973
ENSG00000015520	NPC1L1	24	10	21	13
ENSG00000015532	XYLT2	2744	2829	2150	3347
ENSG00000015568	RGPD5	26	20	14	28
ENSG00000015592	STMN4	1	0	4	0
ENSG00000015676	NUDCD3	2751	2193	2119	2411
ENSG00000016082	ISL1	0	2	0	0
ENSG00000016391	CHDH	0	1	1	1
ENSG00000016402	IL20RA	0	0	0	0
ENSG00000016490	CLCA1	0	0	0	1
ENSG00000016602	CLCA4	0	0	0	1
ENSG00000016864	GLT8D1	984	1113	854	1195
ENSG00000017260	ATP2C1	9100	11785	7905	11791
ENSG00000017427	IGF1	25	24	32	36
ENSG00000017483	SLC38A5	3731	5515	3023	5498
ENSG00000017797	RALBP1	4191	3452	3208	3427
ENSG00000018189	RUFY3	918	555	674	747
ENSG00000018236	CNTN1	8	6	2	19
ENSG00000018280	SLC11A1	116	123	123	158
ENSG00000018408	WWTR1	271	229	225	244
ENSG00000018510	AGPS	7090	6261	6782	7139
ENSG00000018607	ZNF806	0	0	0	0
ENSG00000018610	CXorf56	1091	990	866	1042
ENSG00000018625	ATP1A2	0	0	0	0
ENSG00000018699	TTC27	2981	2330	2744	2583
ENSG00000018869	ZNF582	533	558	508	564
ENSG00000019102	VSIG2	332	456	333	500
ENSG00000019144	PHLDB1	655	666	567	820
ENSG00000019169	MARCO	0	0	0	0
ENSG00000019186	CYP24A1	0	0	0	0
ENSG00000019485	PRDM11	896	1358	843	1111
ENSG00000019505	SYT13	0	0	0	0
ENSG00000019549	SNAI2	0	0	0	0
ENSG00000019582	CD74	26	28	30	18
ENSG00000019991	HGF	400	283	324	341
ENSG00000019995	ZRANB1	1049	1028	932	996
ENSG00000020129	NCDN	2092	2349	1831	2474
ENSG00000020181	ADGRA2	139	101	90	105
ENSG00000020219	CCT8L1P	1	3	1	0
ENSG00000020256	ZFP64	587	476	486	488
ENSG00000020426	MNAT1	949	690	856	821
ENSG00000020577	SAMD4A	133	99	100	96
ENSG00000020633	RUNX3	608	424	515	515
ENSG00000020922	MRE11A	4729	3803	4099	3983
ENSG00000021300	PLEKHB1	32	41	38	33
ENSG00000021355	SERPINB1	6048	2439	5030	3375
ENSG00000021461	CYP3A43	5	2	3	3
ENSG00000021488	SLC7A9	0	1	0	2
ENSG00000021574	SPAST	4484	4803	3722	4698
ENSG00000021645	NRXN3	0	0	0	0
ENSG00000021762	OSBPL5	549	594	400	679
ENSG00000021776	AQR	11501	10910	10242	11377
ENSG00000021826	CPS1	3255	3246	2436	3536
ENSG00000021852	C8B	0	0	0	0
ENSG00000022267	FHL1	100	62	80	92
ENSG00000022277	RTFDC1	2275	1986	1793	2099
ENSG00000022355	GABRA1	2540	2733	2205	2898
ENSG00000022556	NLRP2	1469	1216	1159	1293
ENSG00000022567	SLC45A4	1101	2106	876	1787
ENSG00000022840	RNF10	8510	7224	6953	7880
ENSG00000022976	ZNF839	338	281	272	286
ENSG00000023041	ZDHHC6	1027	1122	1057	1278
ENSG00000023171	GRAMD1B	0	2	0	0
ENSG00000023191	RNH1	2247	1975	1687	2129
ENSG00000023228	NDUFS1	11292	10287	9266	10305
ENSG00000023287	RB1CC1	6395	5855	5108	5766
ENSG00000023318	ERP44	2314	3134	2042	3210
ENSG00000023330	ALAS1	1628	1288	1474	1391
ENSG00000023445	BIRC3	74	44	68	52
ENSG00000023516	AKAP11	4853	5300	4206	4967
ENSG00000023572	GLRX2	898	767	711	823
ENSG00000023608	SNAPC1	193	168	149	130
ENSG00000023697	DERA	1391	929	1067	959
ENSG00000023734	STRAP	12974	11270	10963	11377
ENSG00000023839	ABCC2	101	138	95	113
ENSG00000023892	DEF6	1323	670	1131	943
ENSG00000023902	PLEKHO1	51	50	49	61
ENSG00000023909	GCLM	4490	7925	4533	6355
ENSG00000024048	UBR2	4925	4714	3802	4570
ENSG00000024422	EHD2	240	205	223	184
ENSG00000024526	DEPDC1	6622	6542	5859	6562
ENSG00000024862	CCDC28A	854	584	636	624
ENSG00000025039	RRAGD	2267	1454	1906	1790
ENSG00000025156	HSF2	2393	1970	1907	2339
ENSG00000025293	PHF20	7345	5225	5758	5407
ENSG00000025423	HSD17B6	114	100	71	122
ENSG00000025434	NR1H3	128	95	84	115
ENSG00000025708	TYMP	65	51	57	90
ENSG00000025770	NCAPH2	1599	1793	1382	1873
ENSG00000025772	TOMM34	1600	1363	1250	1467
ENSG00000025796	SEC63	9742	10047	8874	11138
ENSG00000025800	KPNA6	12232	11102	10073	10869
ENSG00000026025	VIM	6212	5105	5619	4696
ENSG00000026036	RTEL1-TNFRSF6B	145	148	120	223
ENSG00000026103	FAS	7	21	11	12
ENSG00000026297	RNASET2	84	51	84	60
ENSG00000026508	CD44	23868	20425	17570	26616
ENSG00000026559	KCNG1	0	0	0	0
ENSG00000026652	AGPAT4	1646	2703	1271	2568
ENSG00000026751	SLAMF7	15	8	19	5
ENSG00000026950	BTN3A1	777	726	669	810
ENSG00000027001	MIPEP	390	362	297	416
ENSG00000027075	PRKCH	5	4	6	5
ENSG00000027644	INSRR	13	20	19	16
ENSG00000027697	IFNGR1	1683	1615	1464	1765
ENSG00000027847	B4GALT7	811	937	690	1024
ENSG00000027869	SH2D2A	436	286	498	372
ENSG00000028116	VRK2	1266	1160	1182	1310
ENSG00000028137	TNFRSF1B	0	0	0	0
ENSG00000028203	VEZT	3836	3709	3448	4361
ENSG00000028277	POU2F2	218	259	219	303
ENSG00000028310	BRD9	2335	2135	1939	3031
ENSG00000028528	SNX1	4660	4284	4213	4715
ENSG00000028839	TBPL1	3243	3042	2778	3059
ENSG00000029153	ARNTL2	1846	1503	1535	1559
ENSG00000029363	BCLAF1	21373	20729	17457	21465
ENSG00000029364	SLC39A9	4380	5038	3586	4984
ENSG00000029534	ANK1	17200	18124	13484	17060
ENSG00000029559	IBSP	0	0	0	0
ENSG00000029639	TFB1M	669	537	522	517
ENSG00000029725	RABEP1	5348	4751	4851	5254
ENSG00000029993	HMGB3	5246	4090	4539	4847
ENSG00000030066	NUP160	6805	6744	5658	6729
ENSG00000030110	BAK1	696	667	577	667
ENSG00000030304	MUSK	2	0	1	0
ENSG00000030419	IKZF2	1264	786	1037	995
ENSG00000030582	GRN	1467	1543	992	1467
ENSG00000031003	FAM13B	1781	2456	1771	2251
ENSG00000031081	ARHGAP31	417	467	334	460
ENSG00000031691	CENPQ	901	641	700	683
ENSG00000031698	SARS	6625	5542	5401	5964
ENSG00000031823	RANBP3	3359	2971	2792	3217
ENSG00000032219	ARID4A	1466	1104	1172	1289
ENSG00000032389	TSSC1	1652	1341	1429	1599
ENSG00000032444	PNPLA6	1144	954	693	1159
ENSG00000032742	IFT88	717	511	619	580
ENSG00000033011	ALG1	484	654	364	653
ENSG00000033030	ZCCHC8	2168	1852	1824	2078
ENSG00000033050	ABCF2	4704	4740	4107	5111
ENSG00000033100	CHPF2	1163	1494	1025	1597
ENSG00000033122	LRRC7	4258	5078	4021	5512
ENSG00000033170	FUT8	5119	4281	3937	5034
ENSG00000033178	UBA6	9238	8201	7729	8652
ENSG00000033327	GAB2	468	326	431	412
ENSG00000033627	ATP6V0A1	4719	6187	3811	5340
ENSG00000033800	PIAS1	5144	4937	4921	5323
ENSG00000033867	SLC4A7	3359	2712	2825	3005
ENSG00000034053	APBA2	4373	4539	3474	4408
ENSG00000034152	MAP2K3	1193	1203	946	1204
ENSG00000034239	EFCAB1	0	0	0	0
ENSG00000034510	TMSB10	6193	3809	4683	4072
ENSG00000034533	ASTE1	400	394	337	411
ENSG00000034677	RNF19A	2553	2383	2257	2637
ENSG00000034693	PEX3	1136	1087	1051	1307
ENSG00000034713	GABARAPL2	2253	1763	1858	1964
ENSG00000034971	MYOC	1	2	1	1
ENSG00000035115	SH3YL1	808	847	692	830
ENSG00000035141	FAM136A	3929	3768	3462	4021
ENSG00000035403	VCL	10478	9740	8270	11221
ENSG00000035499	DEPDC1B	2343	2332	2131	2382
ENSG00000035664	DAPK2	22	5	23	12
ENSG00000035681	NSMAF	5502	4884	4950	5329
ENSG00000035687	ADSS	4836	3967	3999	4131
ENSG00000035720	STAP1	1075	518	1098	790
ENSG00000035862	TIMP2	0	1	0	3
ENSG00000035928	RFC1	10549	8783	8643	9703
ENSG00000036054	TBC1D23	3031	2811	2618	2798
ENSG00000036257	CUL3	7557	7511	6584	7901
ENSG00000036448	MYOM2	0	1	0	0
ENSG00000036473	OTC	3	1	0	4
ENSG00000036530	CYP46A1	0	0	0	0
ENSG00000036549	ZZZ3	8030	7783	7452	7829
ENSG00000036565	SLC18A1	1	0	0	0
ENSG00000036672	USP2	813	649	761	760
ENSG00000037042	TUBG2	82	68	65	78
ENSG00000037241	RPL26L1	1207	1163	1038	1140
ENSG00000037280	FLT4	7	4	3	5
ENSG00000037474	NSUN2	6623	6897	6275	7311
ENSG00000037637	FBXO42	2616	2460	2125	2418
ENSG00000037749	MFAP3	2032	2220	1766	2214
ENSG00000037757	MRI1	279	212	204	225
ENSG00000037897	METTL1	685	780	583	916
ENSG00000037965	HOXC8	11	8	14	6
ENSG00000038002	AGA	306	361	266	355
ENSG00000038210	PI4K2B	1378	864	1131	914
ENSG00000038219	BOD1L1	8002	7462	6976	7458
ENSG00000038274	MAT2B	4732	3801	3692	3906
ENSG00000038295	TLL1	0	0	0	0
ENSG00000038358	EDC4	3095	3245	2269	3472
ENSG00000038382	TRIO	2529	2056	2078	2320
ENSG00000038427	VCAN	3	4	6	4
ENSG00000038532	CLEC16A	1460	1463	1151	1419
ENSG00000038945	MSR1	3	1	0	0
ENSG00000039068	CDH1	1	0	0	2
ENSG00000039123	SKIV2L2	11107	9494	8944	9740
ENSG00000039139	DNAH5	31	61	45	44
ENSG00000039319	ZFYVE16	2397	2793	2110	2861
ENSG00000039523	FAM65A	765	626	543	674
ENSG00000039537	C6	0	0	0	0
ENSG00000039560	RAI14	2066	1754	1476	1765
ENSG00000039600	SOX30	0	2	0	2
ENSG00000039650	PNKP	1733	1989	1576	2277
