id	sym	shp65_Vehicle_1	shp65_Vehicle_2	shp65_Vehicle_3	shp65_TNF_1	shp65_TNF_2	shp65_TNF_3
ENSG00000005469	CROT	144	150	164	153	168	137
ENSG00000005471	ABCB4	0	1	1	1	0	0
ENSG00000005483	KMT2E	378	205	363	709	428	290
ENSG00000005486	RHBDD2	252	152	255	324	208	260
ENSG00000005513	SOX8	0	1	1	4	2	0
ENSG00000005700	IBTK	2203	1729	2177	2816	3008	1646
ENSG00000005801	ZNF195	264	201	225	308	286	153
ENSG00000005810	MYCBP2	2122	1508	2667	4951	2657	2176
ENSG00000005812	FBXL3	352	263	352	464	616	268
ENSG00000005844	ITGAL	9	6	10	15	9	3
ENSG00000005882	PDK2	212	166	190	271	201	194
ENSG00000005884	ITGA3	133	144	143	217	182	133
ENSG00000005889	ZFX	566	543	622	1262	878	521
ENSG00000005893	LAMP2	1423	1002	1725	1834	1828	1411
ENSG00000005961	ITGA2B	3	5	4	9	3	4
ENSG00000005981	ASB4	4	3	2	5	0	3
ENSG00000006007	GDE1	2460	1934	2633	2569	2496	1905
ENSG00000006015	C19orf60	365	791	382	333	639	380
ENSG00000006016	CRLF1	206	722	252	367	613	267
ENSG00000006025	OSBPL7	4	11	8	16	8	4
ENSG00000006042	TMEM98	115	82	89	96	100	98
ENSG00000006047	YBX2	26	29	14	46	31	17
ENSG00000006059	KRT33A	0	0	1	0	0	0
ENSG00000006062	MAP3K14	12	20	13	35	39	14
ENSG00000006116	CACNG3	0	1	0	0	0	0
ENSG00000006118	TMEM132A	54	91	66	95	92	69
ENSG00000006125	AP2B1	853	597	956	2638	964	876
ENSG00000006194	ZNF263	233	345	257	285	346	225
ENSG00000006210	CX3CL1	11	2	8	63	54	32
ENSG00000006282	SPATA20	531	731	562	574	672	498
ENSG00000006283	CACNA1G	0	1	0	4	6	0
ENSG00000006327	TNFRSF12A	62	86	86	94	205	102
ENSG00000006432	MAP3K9	8	9	3	16	15	5
ENSG00000006451	RALA	117	83	116	223	117	83
ENSG00000006453	BAIAP2L1	14	21	14	35	30	20
ENSG00000006459	KDM7A	82	70	97	162	101	78
ENSG00000006468	ETV1	31	26	57	47	46	38
ENSG00000006530	AGK	373	366	419	472	536	315
ENSG00000006534	ALDH3B1	56	84	71	94	66	66
ENSG00000006555	TTC22	1	3	3	7	3	3
ENSG00000006576	PHTF2	232	145	260	298	259	176
ENSG00000006606	CCL26	0	1	0	1	0	1
ENSG00000006607	FARP2	613	508	607	942	697	565
ENSG00000006611	USH1C	0	0	0	0	0	1
ENSG00000006625	GGCT	116	83	101	105	112	59
ENSG00000006634	DBF4	104	52	84	83	91	49
ENSG00000006638	TBXA2R	7	5	7	12	5	9
ENSG00000006652	IFRD1	326	483	402	519	599	353
ENSG00000006695	COX10	331	252	414	380	304	310
ENSG00000006704	GTF2IRD1	53	39	43	120	58	49
ENSG00000006712	PAF1	199	207	175	190	241	152
ENSG00000006715	VPS41	870	765	985	947	969	717
ENSG00000006740	ARHGAP44	16	17	26	24	19	15
ENSG00000006744	ELAC2	773	887	807	1074	985	733
ENSG00000006747	SCIN	9	4	5	8	6	6
ENSG00000006756	ARSD	303	260	282	374	316	244
ENSG00000006757	PNPLA4	81	55	88	83	59	78
ENSG00000006831	ADIPOR2	1431	1070	1593	3669	1582	1397
ENSG00000006837	CDKL3	11	5	7	11	5	2
ENSG00000007047	MARK4	143	127	145	305	146	153
ENSG00000007080	CCDC124	112	89	93	125	117	66
ENSG00000007168	PAFAH1B1	748	621	729	1095	864	541
ENSG00000007171	NOS2	0	0	0	0	2	0
ENSG00000007174	DNAH9	1	3	3	5	0	1
ENSG00000007202	KIAA0100	2618	2154	2676	4176	2745	2358
ENSG00000007237	GAS7	33	18	23	44	25	20
ENSG00000007255	TRAPPC6A	51	69	58	62	73	47
ENSG00000007264	MATK	2	10	7	1	6	2
ENSG00000007306	CEACAM7	0	1	0	0	0	0
ENSG00000007312	CD79B	3	3	5	0	0	1
ENSG00000007314	SCN4A	381	402	554	758	505	444
ENSG00000007341	ST7L	196	150	226	196	229	154
ENSG00000007350	TKTL1	1	2	1	0	2	1
ENSG00000007372	PAX6	3	6	3	4	5	4
ENSG00000007376	RPUSD1	195	212	174	188	252	165
ENSG00000007384	RHBDF1	121	168	134	200	206	103
ENSG00000007392	LUC7L	237	251	227	231	321	169
ENSG00000007402	CACNA2D2	0	1	0	0	2	1
ENSG00000007516	BAIAP3	4	9	8	6	8	8
ENSG00000007520	TSR3	338	542	347	318	503	262
ENSG00000007541	PIGQ	122	129	140	153	116	96
ENSG00000007545	CRAMP1	46	35	41	147	66	56
ENSG00000007866	TEAD3	38	43	58	150	41	62
ENSG00000007908	SELE	0	0	0	3	2	3
ENSG00000007923	DNAJC11	469	427	517	716	517	468
ENSG00000007933	FMO3	11	12	27	17	21	10
ENSG00000007944	MYLIP	271	253	325	333	333	225
ENSG00000007952	NOX1	1	0	0	2	0	1
ENSG00000007968	E2F2	2	3	7	10	7	1
ENSG00000008018	PSMB1	1991	1899	2056	1671	2281	1637
ENSG00000008056	SYN1	0	1	2	1	1	2
ENSG00000008083	JARID2	307	260	348	523	314	284
ENSG00000008086	CDKL5	99	64	80	168	107	68
ENSG00000008118	CAMK1G	1	0	0	0	1	0
ENSG00000008128	CDK11A	42	19	33	41	41	24
ENSG00000008130	NADK	1353	1584	1397	1877	1755	1174
ENSG00000008196	TFAP2B	0	0	0	0	0	1
ENSG00000008226	DLEC1	5	10	11	31	14	7
ENSG00000008256	CYTH3	192	185	247	365	300	188
ENSG00000008277	ADAM22	17	6	11	11	4	6
ENSG00000008282	SYPL1	386	247	531	743	454	348
ENSG00000008283	CYB561	152	131	121	174	152	104
ENSG00000008294	SPAG9	1450	1183	1400	2057	1725	1028
ENSG00000008300	CELSR3	12	21	17	37	18	11
ENSG00000008311	AASS	776	621	845	865	919	614
ENSG00000008323	PLEKHG6	460	437	436	632	558	412
ENSG00000008324	SS18L2	41	43	42	56	42	31
ENSG00000008382	MPND	36	42	23	44	48	28
ENSG00000008394	MGST1	4828	2992	4546	7095	5448	3483
ENSG00000008405	CRY1	106	90	83	129	145	69
ENSG00000008438	PGLYRP1	0	0	1	0	0	0
ENSG00000008441	NFIX	316	306	382	2095	418	409
ENSG00000008513	ST3GAL1	1505	1514	2024	2495	1887	1616
ENSG00000008516	MMP25	0	0	1	4	2	1
ENSG00000008517	IL32	1	3	5	17	18	6
ENSG00000008710	PKD1	338	536	443	1151	525	434
ENSG00000008735	MAPK8IP2	110	162	149	157	171	120
ENSG00000008838	MED24	432	422	459	731	458	432
ENSG00000008853	RHOBTB2	67	81	82	132	59	56
ENSG00000008869	HEATR5B	1094	683	1208	1298	1082	895
ENSG00000008952	SEC62	600	342	465	870	637	312
ENSG00000008988	RPS20	9679	8195	7337	7128	8511	5836
ENSG00000009307	CSDE1	7980	5156	7012	8274	7315	4749
ENSG00000009335	UBE3C	2556	1950	2991	2930	2888	2154
ENSG00000009413	REV3L	2027	1197	1516	4435	3353	1275
ENSG00000009694	TENM1	3	5	5	1	8	10
ENSG00000009709	PAX7	0	0	0	1	0	0
ENSG00000009724	MASP2	3	1	9	12	6	7
ENSG00000009765	IYD	8	4	3	10	10	6
ENSG00000009780	FAM76A	193	149	222	160	183	166
ENSG00000009790	TRAF3IP3	2	0	2	2	3	6
ENSG00000009830	POMT2	202	212	237	363	198	199
ENSG00000009844	VTA1	511	344	489	518	542	319
ENSG00000009950	MLXIPL	214	371	282	1066	462	311
ENSG00000009954	BAZ1B	1007	802	926	1423	986	668
ENSG00000010017	RANBP9	289	193	337	519	338	237
ENSG00000010030	ETV7	1	2	2	3	1	2
ENSG00000010072	SPRTN	213	126	187	231	227	113
ENSG00000010165	METTL13	251	265	240	336	302	227
ENSG00000010219	DYRK4	73	82	75	67	82	60
ENSG00000010244	ZNF207	868	536	916	1173	912	671
ENSG00000010256	UQCRC1	2422	2574	2422	2523	2899	2384
ENSG00000010270	STARD3NL	221	237	254	201	297	160
ENSG00000010278	CD9	415	380	359	347	547	268
ENSG00000010292	NCAPD2	190	206	215	376	275	189
ENSG00000010295	IFFO1	82	142	81	116	160	72
ENSG00000010310	GIPR	146	125	99	300	171	90
ENSG00000010318	PHF7	116	129	113	107	126	90
ENSG00000010319	SEMA3G	1346	1762	1486	3596	2053	1263
ENSG00000010322	NISCH	421	505	512	902	571	516
ENSG00000010327	STAB1	1	0	1	0	0	1
ENSG00000010361	FUZ	52	54	60	54	42	45
ENSG00000010379	SLC6A13	6	1	2	1	2	1
ENSG00000010404	IDS	125	124	156	197	191	134
ENSG00000010438	PRSS3	8	5	3	6	10	6
ENSG00000010539	ZNF200	127	123	149	141	180	106
ENSG00000010610	CD4	18	8	8	17	8	7
ENSG00000010626	LRRC23	36	37	35	39	33	19
ENSG00000010704	HFE	194	93	150	343	152	101
ENSG00000010803	SCMH1	299	222	305	474	289	299
ENSG00000010810	FYN	537	586	673	623	743	525
ENSG00000010818	HIVEP2	188	129	188	659	331	246
ENSG00000010932	FMO1	0	0	2	1	1	0
ENSG00000011007	TCEB3	1440	1298	1538	1922	1521	1217
ENSG00000011009	LYPLA2	376	350	361	341	356	336
ENSG00000011021	CLCN6	233	132	241	503	222	209
ENSG00000011028	MRC2	73	97	112	160	133	112
ENSG00000011105	TSPAN9	100	117	90	125	117	100
ENSG00000011114	BTBD7	574	333	573	706	595	412
ENSG00000011132	APBA3	104	103	103	149	134	127
ENSG00000011143	MKS1	66	55	76	71	84	53
ENSG00000011198	ABHD5	1684	1247	1754	1645	1619	1203
ENSG00000011201	ANOS1	9	7	11	7	4	7
ENSG00000011243	AKAP8L	312	337	286	303	436	285
ENSG00000011258	MBTD1	230	167	261	411	289	204
ENSG00000011260	UTP18	346	429	369	293	515	241
ENSG00000011275	RNF216	517	465	532	720	573	437
ENSG00000011295	TTC19	290	254	306	343	341	219
ENSG00000011304	PTBP1	399	411	404	937	560	365
ENSG00000011332	DPF1	9	6	4	6	10	3
ENSG00000011347	SYT7	25	31	15	39	29	16
ENSG00000011376	LARS2	643	600	721	930	713	576
ENSG00000011405	PIK3C2A	1418	842	1195	2134	1701	809
ENSG00000011422	PLAUR	81	79	95	102	123	115
ENSG00000011426	ANLN	19	10	15	26	34	15
ENSG00000011451	WIZ	182	275	289	741	301	257
ENSG00000011454	RABGAP1	517	388	472	739	513	388
ENSG00000011465	DCN	2607	5299	3314	2785	6559	2637
ENSG00000011478	QPCTL	91	115	101	164	125	118
ENSG00000011485	PPP5C	265	234	279	378	286	236
ENSG00000011523	CEP68	257	233	273	489	300	240
ENSG00000011566	MAP4K3	345	283	352	385	438	242
ENSG00000011590	ZBTB32	11	6	9	19	12	13
ENSG00000011638	TMEM159	132	116	153	143	168	123
ENSG00000011677	GABRA3	0	0	0	0	1	0
ENSG00000012048	BRCA1	69	57	74	88	87	54
ENSG00000012061	ERCC1	825	780	793	725	854	688
ENSG00000012124	CD22	3	0	2	7	2	2
ENSG00000012171	SEMA3B	60	119	40	104	116	40
ENSG00000012174	MBTPS2	126	85	159	496	187	151
ENSG00000012211	PRICKLE3	40	34	31	91	44	32
ENSG00000012223	LTF	0	3	0	1	5	2
ENSG00000012232	EXTL3	654	547	744	1253	672	666
ENSG00000012504	NR1H4	1	4	5	0	7	2
ENSG00000012660	ELOVL5	9795	3430	8811	12238	6036	5464
ENSG00000012779	ALOX5	2	0	2	2	1	2
ENSG00000012817	KDM5D	305	272	314	420	330	249
ENSG00000012822	CALCOCO1	1492	1788	1466	1638	1918	1382
ENSG00000012963	UBR7	163	165	205	231	191	134
ENSG00000012983	MAP4K5	385	323	381	537	523	268
ENSG00000013016	EHD3	45	78	57	88	95	64
ENSG00000013275	PSMC4	1090	979	1166	1177	1195	1021
ENSG00000013288	MAN2B2	235	245	311	691	316	281
ENSG00000013293	SLC7A14	10	14	20	31	17	10
ENSG00000013297	CLDN11	204	202	222	288	275	173
ENSG00000013306	SLC25A39	905	842	888	1030	948	790
ENSG00000013364	MVP	900	1245	933	1109	1308	876
ENSG00000013374	NUB1	410	310	369	363	426	293
ENSG00000013375	PGM3	762	627	771	869	1025	571
ENSG00000013392	RWDD2A	44	37	40	99	57	25
ENSG00000013441	CLK1	442	566	476	676	964	351
ENSG00000013503	POLR3B	340	225	308	471	374	229
ENSG00000013523	ANGEL1	187	121	187	322	196	138
ENSG00000013561	RNF14	852	804	933	746	951	705
ENSG00000013563	DNASE1L1	71	52	86	77	89	70
ENSG00000013573	DDX11	54	57	59	69	90	50
ENSG00000013583	HEBP1	37	29	42	183	46	37
ENSG00000013588	GPRC5A	7	0	1	14	13	2
ENSG00000013619	MAMLD1	18	13	24	95	31	23
ENSG00000013725	CD6	20	7	9	17	11	13
ENSG00000013810	TACC3	12	24	16	46	23	19
ENSG00000014123	UFL1	466	368	464	572	612	333
ENSG00000014138	POLA2	75	65	61	97	71	64
ENSG00000014164	ZC3H3	41	37	59	153	53	55
ENSG00000014216	CAPN1	662	658	632	1066	792	650
ENSG00000014257	ACPP	0	1	2	0	0	0
ENSG00000014641	MDH1	10017	11107	10388	9768	12526	7836
ENSG00000014824	SLC30A9	1107	826	1163	1230	1288	846
ENSG00000014914	MTMR11	22	22	14	30	26	12
ENSG00000014919	COX15	790	738	1098	882	887	776
ENSG00000015133	CCDC88C	9	15	10	10	11	8
ENSG00000015153	YAF2	168	191	166	224	244	147
ENSG00000015171	ZMYND11	826	592	752	937	937	553
ENSG00000015285	WAS	2	2	1	3	3	0
ENSG00000015413	DPEP1	0	1	2	1	0	0
ENSG00000015475	BID	226	191	212	296	275	178
ENSG00000015479	MATR3	32	27	38	72	55	32
ENSG00000015520	NPC1L1	1	2	3	4	3	0
ENSG00000015532	XYLT2	293	363	385	462	403	281
ENSG00000015568	RGPD5	13	3	7	11	8	9
ENSG00000015592	STMN4	0	1	0	1	0	0
ENSG00000015676	NUDCD3	832	880	882	1091	901	744
ENSG00000016082	ISL1	0	0	0	1	0	0
ENSG00000016391	CHDH	4	4	2	12	2	5
ENSG00000016402	IL20RA	0	0	1	0	0	0
ENSG00000016602	CLCA4	1	1	2	1	2	1
ENSG00000016864	GLT8D1	226	244	222	288	307	172
ENSG00000017260	ATP2C1	1251	1022	1350	2193	1454	1125
ENSG00000017427	IGF1	21	13	19	17	21	17
ENSG00000017483	SLC38A5	9	11	8	6	12	10
ENSG00000017797	RALBP1	707	671	674	708	821	482
ENSG00000018189	RUFY3	293	295	317	358	433	254
ENSG00000018236	CNTN1	1	1	0	1	3	1
ENSG00000018280	SLC11A1	17	14	13	21	15	8
ENSG00000018408	WWTR1	565	328	500	1584	619	437
ENSG00000018510	AGPS	923	638	917	1098	1023	665
ENSG00000018607	ZNF806	1	1	1	0	0	0
ENSG00000018610	CXorf56	558	567	696	523	695	513
ENSG00000018625	ATP1A2	536	648	533	1091	779	510
ENSG00000018699	TTC27	237	186	240	227	288	197
ENSG00000018869	ZNF582	25	37	36	45	50	22
ENSG00000019102	VSIG2	3	6	10	1	6	14
ENSG00000019144	PHLDB1	1516	1959	1822	3461	2198	1599
ENSG00000019169	MARCO	73	97	89	77	109	88
ENSG00000019485	PRDM11	50	58	43	68	48	47
ENSG00000019505	SYT13	1	1	2	5	0	2
ENSG00000019549	SNAI2	107	132	109	241	215	127
ENSG00000019582	CD74	1	2	1	1	4	5
ENSG00000019991	HGF	20	42	50	25	65	23
ENSG00000019995	ZRANB1	469	390	476	509	501	338
ENSG00000020129	NCDN	282	286	326	648	335	317
ENSG00000020181	ADGRA2	284	390	348	434	388	279
ENSG00000020256	ZFP64	72	76	115	111	80	61
ENSG00000020426	MNAT1	294	257	283	242	368	163
ENSG00000020577	SAMD4A	122	128	151	377	274	161
ENSG00000020633	RUNX3	0	1	0	0	0	1
ENSG00000020922	MRE11A	144	96	130	161	153	90
ENSG00000021300	PLEKHB1	6	6	6	4	5	3
ENSG00000021355	SERPINB1	341	245	312	411	340	252
ENSG00000021461	CYP3A43	2	3	6	5	3	1
ENSG00000021488	SLC7A9	2	1	2	4	4	1
ENSG00000021574	SPAST	270	187	236	228	306	166
ENSG00000021645	NRXN3	9	5	8	10	9	5
ENSG00000021762	OSBPL5	115	178	117	207	200	102
ENSG00000021776	AQR	569	384	570	722	634	367
ENSG00000021826	CPS1	479	347	441	576	533	357
ENSG00000021852	C8B	3	0	1	1	1	0
ENSG00000022267	FHL1	9256	9204	11557	10560	12630	9646
ENSG00000022277	RTFDC1	770	713	787	650	760	635
ENSG00000022556	NLRP2	3	3	0	4	7	0
ENSG00000022567	SLC45A4	44	20	42	46	36	26
ENSG00000022840	RNF10	774	859	933	1800	1098	861
ENSG00000022976	ZNF839	63	70	91	97	90	75
ENSG00000023041	ZDHHC6	225	200	290	320	290	229
ENSG00000023171	GRAMD1B	56	47	44	82	55	50
ENSG00000023191	RNH1	1902	2300	1737	2402	2343	1661
ENSG00000023228	NDUFS1	4413	4130	4902	4809	5205	3689
ENSG00000023287	RB1CC1	1013	663	842	1350	1338	608
ENSG00000023318	ERP44	375	240	423	482	335	254
ENSG00000023330	ALAS1	2081	2105	2463	2644	2534	2051
ENSG00000023445	BIRC3	32	24	10	432	389	108
ENSG00000023516	AKAP11	771	461	684	1538	948	574
ENSG00000023572	GLRX2	401	397	525	310	537	374
ENSG00000023608	SNAPC1	33	28	31	53	75	29
ENSG00000023697	DERA	311	195	288	259	294	216
ENSG00000023734	STRAP	1507	1130	1540	2191	1644	1071
ENSG00000023839	ABCC2	102	122	146	143	177	124
ENSG00000023892	DEF6	2	5	0	3	4	0
ENSG00000023902	PLEKHO1	127	107	100	119	156	100
ENSG00000023909	GCLM	248	253	285	449	431	213
ENSG00000024048	UBR2	1231	887	1152	1343	1235	836
ENSG00000024422	EHD2	936	821	1078	4398	1116	1171
ENSG00000024526	DEPDC1	6	5	3	6	1	4
ENSG00000024862	CCDC28A	41	48	51	64	46	30
ENSG00000025039	RRAGD	16	20	15	14	15	14
ENSG00000025156	HSF2	118	78	107	128	148	65
ENSG00000025293	PHF20	319	225	253	491	400	248
ENSG00000025423	HSD17B6	1	9	5	2	1	1
ENSG00000025434	NR1H3	9740	9729	9898	9005	10539	9536
ENSG00000025708	TYMP	117	152	105	159	187	101
ENSG00000025770	NCAPH2	293	382	282	298	351	279
ENSG00000025772	TOMM34	212	227	198	225	221	171
ENSG00000025796	SEC63	163	74	189	618	159	179
ENSG00000025800	KPNA6	1674	1341	2109	2333	1743	1549
ENSG00000026025	VIM	14578	10694	15318	14320	14566	12444
ENSG00000026036	RTEL1-TNFRSF6B	5	10	4	23	14	10
ENSG00000026103	FAS	629	572	687	818	1079	565
ENSG00000026297	RNASET2	97	215	109	83	183	101
ENSG00000026508	CD44	468	310	505	1465	597	535
ENSG00000026559	KCNG1	26	18	15	21	19	18
ENSG00000026652	AGPAT4	141	92	125	276	111	103
ENSG00000026751	SLAMF7	3	1	1	2	1	3
ENSG00000026950	BTN3A1	139	171	182	194	173	143
ENSG00000027001	MIPEP	201	167	152	209	208	154
ENSG00000027075	PRKCH	7	3	4	10	11	8
ENSG00000027644	INSRR	0	0	0	1	2	0
ENSG00000027697	IFNGR1	826	612	693	937	1053	570
ENSG00000027847	B4GALT7	361	375	391	433	405	366
ENSG00000027869	SH2D2A	1	1	0	1	0	1
ENSG00000028116	VRK2	126	112	91	135	162	87
ENSG00000028137	TNFRSF1B	34	29	17	78	71	20
ENSG00000028203	VEZT	1009	635	960	1047	1058	751
ENSG00000028277	POU2F2	2	0	2	6	1	1
ENSG00000028310	BRD9	178	193	170	259	234	161
ENSG00000028528	SNX1	335	263	256	809	360	255
ENSG00000028839	TBPL1	167	108	167	88	164	109
ENSG00000029153	ARNTL2	113	50	93	161	109	78
ENSG00000029363	BCLAF1	878	524	710	1068	942	490
ENSG00000029364	SLC39A9	2250	1781	2592	2516	2623	1913
ENSG00000029534	ANK1	12	12	8	21	20	9
ENSG00000029559	IBSP	0	0	0	2	4	1
ENSG00000029639	TFB1M	82	83	79	104	96	55
ENSG00000029725	RABEP1	679	559	605	883	801	426
ENSG00000029993	HMGB3	136	173	142	122	184	110
ENSG00000030066	NUP160	342	260	343	676	418	295
ENSG00000030110	BAK1	132	155	155	186	152	162
ENSG00000030304	MUSK	1	1	0	4	3	2
ENSG00000030419	IKZF2	124	61	85	128	123	52
ENSG00000030582	GRN	444	582	626	1235	839	571
ENSG00000031003	FAM13B	295	224	343	398	393	249
ENSG00000031081	ARHGAP31	837	591	940	1443	894	781
ENSG00000031691	CENPQ	46	27	18	45	42	15
ENSG00000031698	SARS	2121	2059	2060	1785	2296	1799
ENSG00000031823	RANBP3	172	233	214	303	260	165
ENSG00000032219	ARID4A	73	58	66	195	115	45
ENSG00000032389	TSSC1	394	336	336	307	334	306
ENSG00000032444	PNPLA6	340	340	319	672	425	320
ENSG00000032742	IFT88	97	76	109	97	98	68
ENSG00000033011	ALG1	198	209	210	230	239	148
ENSG00000033030	ZCCHC8	114	80	115	129	105	111
ENSG00000033050	ABCF2	1289	1264	1262	1344	1409	1068
ENSG00000033100	CHPF2	505	757	681	1210	849	571
ENSG00000033122	LRRC7	7	1	2	4	2	0
ENSG00000033170	FUT8	395	319	413	498	457	302
ENSG00000033178	UBA6	1019	669	876	1055	1175	650
ENSG00000033327	GAB2	626	480	732	839	603	626
ENSG00000033627	ATP6V0A1	417	426	609	943	660	565
ENSG00000033800	PIAS1	275	166	227	345	216	170
ENSG00000033867	SLC4A7	547	406	494	635	704	359
ENSG00000034053	APBA2	11	7	15	16	16	10
ENSG00000034152	MAP2K3	98	121	134	630	223	174
ENSG00000034239	EFCAB1	1	2	1	1	1	2
ENSG00000034510	TMSB10	9184	7536	7462	6068	7425	6548
ENSG00000034533	ASTE1	73	52	65	83	70	40
ENSG00000034677	RNF19A	512	353	526	597	657	401
ENSG00000034693	PEX3	315	247	367	319	392	271
ENSG00000034713	GABARAPL2	207	190	262	272	222	179
ENSG00000035115	SH3YL1	164	115	150	214	186	97
ENSG00000035141	FAM136A	269	265	290	272	299	205
ENSG00000035403	VCL	2714	2737	3394	4494	3370	2797
ENSG00000035499	DEPDC1B	5	3	13	12	8	4
ENSG00000035664	DAPK2	15	13	20	34	14	10
ENSG00000035681	NSMAF	616	517	700	940	824	572
ENSG00000035687	ADSS	262	245	260	233	341	207
ENSG00000035720	STAP1	0	0	1	0	2	1
ENSG00000035862	TIMP2	775	788	1066	3081	1133	954
ENSG00000035928	RFC1	532	371	380	697	610	267
ENSG00000036054	TBC1D23	751	555	702	752	940	508
