id	sym	C1	C2	C3	AA157_rep1	AA157_rep2	AA157_rep3
ENSG00000008226	DLEC1	28	15	18	8	0	3
ENSG00000008256	CYTH3	438	387	451	1178	1140	1013
ENSG00000008277	ADAM22	546	378	413	49	29	28
ENSG00000008282	SYPL1	1472	1518	1470	2424	2332	2355
ENSG00000008283	CYB561	477	389	409	736	742	759
ENSG00000008294	SPAG9	2749	2757	2663	2819	2880	2818
ENSG00000008300	CELSR3	1151	813	874	347	268	328
ENSG00000008311	AASS	6283	5818	5686	302	270	275
ENSG00000008323	PLEKHG6	439	464	448	149	146	151
ENSG00000008324	SS18L2	568	612	653	155	186	170
ENSG00000008382	MPND	453	376	360	193	228	273
ENSG00000008394	MGST1	3724	3344	3753	1562	1499	1441
ENSG00000008405	CRY1	573	580	510	365	405	414
ENSG00000008441	NFIX	16	2	4	46	46	57
ENSG00000008513	ST3GAL1	47	35	36	2029	2428	2595
ENSG00000008516	MMP25	102	197	180	9	10	9
ENSG00000008517	IL32	16	22	16	957	1033	975
ENSG00000008710	PKD1	1060	1016	966	1226	1000	1233
ENSG00000008735	MAPK8IP2	180	144	248	32	27	33
ENSG00000008838	MED24	2341	2166	2035	1101	1002	1188
ENSG00000008853	RHOBTB2	241	210	196	486	425	481
ENSG00000008869	HEATR5B	959	897	831	861	901	944
ENSG00000008952	SEC62	2937	2686	2721	3651	3543	3984
ENSG00000008988	RPS20	10429	11085	11149	5378	6067	6351
ENSG00000009307	CSDE1	23161	22042	21239	13222	14247	14671
ENSG00000009335	UBE3C	1545	1314	1308	2265	2343	2512
ENSG00000009413	REV3L	442	487	422	774	909	882
ENSG00000009694	TENM1	84	126	87	8	5	2
ENSG00000009709	PAX7	30	0	4	0	0	0
ENSG00000009724	MASP2	8	9	7	3	2	0
ENSG00000009765	IYD	0	2	0	1	1	0
ENSG00000009780	FAM76A	342	363	349	203	165	180
ENSG00000009790	TRAF3IP3	0	0	0	0	2	2
ENSG00000009830	POMT2	785	701	641	1167	1044	1141
ENSG00000009844	VTA1	1934	2063	1777	1432	1564	1595
ENSG00000009950	MLXIPL	195	102	152	0	1	0
ENSG00000009954	BAZ1B	5918	5302	5184	2973	3159	3506
ENSG00000010017	RANBP9	1466	1439	1355	1442	1458	1484
ENSG00000010030	ETV7	8	8	10	5	10	6
ENSG00000010072	SPRTN	368	394	342	411	423	409
ENSG00000010165	METTL13	1729	1739	1509	551	467	556
ENSG00000010219	DYRK4	171	133	158	310	346	373
ENSG00000010244	ZNF207	6626	7185	6584	2748	2615	2609
ENSG00000010256	UQCRC1	3342	3337	3478	2188	2089	2455
ENSG00000010270	STARD3NL	1199	1243	1097	1388	1342	1494
ENSG00000010278	CD9	1039	1241	1236	2655	2554	3032
ENSG00000010282	HHATL	2	0	0	0	0	0
ENSG00000010292	NCAPD2	5082	4328	4488	1455	1200	1430
ENSG00000010295	IFFO1	261	283	225	203	132	140
ENSG00000010310	GIPR	2	3	7	14	12	9
ENSG00000010318	PHF7	125	164	121	55	46	50
ENSG00000010319	SEMA3G	42	22	25	6	5	0
ENSG00000010322	NISCH	2363	2025	1906	2572	2183	2458
ENSG00000010327	STAB1	11	10	18	1	1	0
ENSG00000010361	FUZ	587	633	582	106	91	104
ENSG00000010379	SLC6A13	1	0	1	11	1	1
ENSG00000010404	IDS	778	795	702	3986	3906	3728
ENSG00000010438	PRSS3	0	4	3	0	0	0
ENSG00000010539	ZNF200	514	503	468	274	242	280
ENSG00000010610	CD4	35	15	22	3	2	6
ENSG00000010626	LRRC23	71	59	50	60	60	77
ENSG00000010671	BTK	7	13	8	0	3	3
ENSG00000010704	HFE	29	11	9	127	143	133
ENSG00000010803	SCMH1	855	968	894	1022	934	1127
ENSG00000010810	FYN	2143	2034	2078	1252	1142	1121
ENSG00000010818	HIVEP2	521	422	398	823	869	1023
ENSG00000010932	FMO1	0	0	3	63	0	0
ENSG00000011007	TCEB3	2630	2687	2449	1520	1514	1734
ENSG00000011009	LYPLA2	2019	1897	1999	1140	1016	1191
ENSG00000011021	CLCN6	621	612	568	386	314	377
ENSG00000011028	MRC2	466	477	511	4538	3291	4147
ENSG00000011083	SLC6A7	0	2	1	1	1	4
ENSG00000011105	TSPAN9	235	230	231	975	707	859
ENSG00000011114	BTBD7	1286	1006	1061	1381	1395	1507
ENSG00000011132	APBA3	355	369	322	245	208	266
ENSG00000011143	MKS1	459	472	433	183	150	166
ENSG00000011198	ABHD5	422	444	464	261	303	339
ENSG00000011201	ANOS1	2464	2503	2911	3256	4018	3456
ENSG00000011243	AKAP8L	2149	1942	1840	1060	957	1040
ENSG00000011258	MBTD1	3214	2518	2668	649	651	748
ENSG00000011260	UTP18	2622	2778	2666	680	678	683
ENSG00000011275	RNF216	1259	1290	1152	1276	1346	1512
ENSG00000011295	TTC19	2055	2285	2051	1013	968	1124
ENSG00000011304	PTBP1	13335	12531	13045	6254	5444	6300
ENSG00000011332	DPF1	467	514	587	31	22	29
ENSG00000011347	SYT7	464	114	147	120	113	131
ENSG00000011376	LARS2	1772	1623	1596	665	675	763
ENSG00000011405	PIK3C2A	4388	3755	3595	2396	2501	2545
ENSG00000011422	PLAUR	201	110	132	897	1105	1157
ENSG00000011426	ANLN	3718	3810	3358	2358	1757	1967
ENSG00000011451	WIZ	1913	2073	1882	1398	1136	1402
ENSG00000011454	RABGAP1	1515	1153	1163	1473	1708	1817
ENSG00000011465	DCN	2	0	0	1844	760	1377
ENSG00000011478	QPCTL	224	260	286	196	175	213
ENSG00000011485	PPP5C	2290	2485	2316	983	821	1038
ENSG00000011523	CEP68	1390	899	1007	265	220	266
ENSG00000011566	MAP4K3	1816	1433	1475	1854	2049	2179
ENSG00000011590	ZBTB32	1	2	0	0	0	0
ENSG00000011600	TYROBP	0	0	0	0	0	0
ENSG00000011638	TMEM159	283	221	262	330	267	263
ENSG00000011677	GABRA3	112	66	116	15	8	15
ENSG00000012048	BRCA1	2206	1775	1601	303	194	236
ENSG00000012061	ERCC1	682	648	619	570	528	569
ENSG00000012124	CD22	3	0	4	0	1	2
ENSG00000012171	SEMA3B	185	135	132	341	266	350
ENSG00000012174	MBTPS2	724	712	654	1583	1572	1741
ENSG00000012211	PRICKLE3	133	119	124	209	183	196
ENSG00000012223	LTF	7	11	9	0	0	0
ENSG00000012232	EXTL3	2293	2500	2304	1649	1528	1725
ENSG00000012504	NR1H4	0	0	0	0	0	0
ENSG00000012660	ELOVL5	3487	2825	2956	2219	2181	2314
ENSG00000012779	ALOX5	18	26	20	70	55	31
ENSG00000012822	CALCOCO1	717	527	631	1079	1108	1233
ENSG00000012963	UBR7	1222	1152	1098	533	533	564
ENSG00000012983	MAP4K5	1341	1187	1137	1613	1508	1576
ENSG00000013016	EHD3	446	374	349	1066	1107	1424
ENSG00000013275	PSMC4	3607	5274	4184	1441	1387	1579
ENSG00000013288	MAN2B2	130	98	102	1591	1524	1593
ENSG00000013293	SLC7A14	2	11	5	4	1	6
ENSG00000013297	CLDN11	37	34	30	97	99	72
ENSG00000013306	SLC25A39	2833	3068	3044	1320	1264	1385
ENSG00000013364	MVP	46	50	58	1007	788	851
ENSG00000013374	NUB1	1386	1263	1200	1081	1071	1170
ENSG00000013375	PGM3	2002	1608	1549	3278	3458	3735
ENSG00000013392	RWDD2A	229	170	225	216	208	251
ENSG00000013441	CLK1	1142	804	866	1178	1127	1029
ENSG00000013503	POLR3B	869	901	727	416	447	509
ENSG00000013523	ANGEL1	638	503	553	417	387	430
ENSG00000013561	RNF14	674	813	715	1351	1435	1552
ENSG00000013563	DNASE1L1	248	194	171	542	519	586
ENSG00000013573	DDX11	1957	1707	1610	397	332	391
ENSG00000013583	HEBP1	427	313	402	419	582	624
ENSG00000013588	GPRC5A	170	287	334	5353	7154	6564
ENSG00000013619	MAMLD1	36	17	17	43	57	64
ENSG00000013725	CD6	0	1	0	6	5	8
ENSG00000013810	TACC3	5052	5577	4947	775	509	638
ENSG00000014123	UFL1	1255	1143	1087	1601	1854	1927
ENSG00000014138	POLA2	1240	1349	1144	296	223	297
ENSG00000014164	ZC3H3	685	850	732	424	371	438
ENSG00000014216	CAPN1	4365	3989	4256	4745	4236	4596
ENSG00000014257	ACPP	4	5	6	26	11	16
ENSG00000014641	MDH1	7788	6042	6545	1635	1777	1779
ENSG00000014824	SLC30A9	3574	2987	3016	1947	2119	2171
ENSG00000014914	MTMR11	82	68	79	624	724	813
ENSG00000014919	COX15	1287	1260	1111	480	550	546
ENSG00000015133	CCDC88C	1622	1065	1216	194	226	260
ENSG00000015153	YAF2	56	30	33	304	311	298
ENSG00000015171	ZMYND11	1719	1429	1384	2150	2360	2669
ENSG00000015285	WAS	20	15	21	8	6	4
ENSG00000015413	DPEP1	7	9	18	5	0	0
ENSG00000015475	BID	546	381	388	325	289	347
ENSG00000015479	MATR3	52	38	63	58	38	58
ENSG00000015520	NPC1L1	4	2	0	3	0	0
ENSG00000015532	XYLT2	560	524	551	799	715	766
ENSG00000015568	RGPD5	18	13	16	21	21	4
ENSG00000015592	STMN4	2	7	9	3	1	0
ENSG00000015676	NUDCD3	1444	1398	1387	1464	1541	1626
ENSG00000016082	ISL1	16	5	5	356	580	635
ENSG00000016391	CHDH	475	346	325	29	34	22
ENSG00000016402	IL20RA	13	33	16	12	7	18
ENSG00000016490	CLCA1	0	0	0	0	0	0
ENSG00000016602	CLCA4	0	0	0	0	0	2
ENSG00000016864	GLT8D1	788	759	713	1984	1868	1886
ENSG00000017260	ATP2C1	3707	3961	3393	7534	8513	8336
ENSG00000017427	IGF1	2	0	0	208	370	460
ENSG00000017483	SLC38A5	201	235	282	18	7	7
ENSG00000017797	RALBP1	3709	3198	3190	2302	2326	2403
ENSG00000018189	RUFY3	812	737	714	876	897	981
ENSG00000018236	CNTN1	589	615	530	61	50	62
ENSG00000018280	SLC11A1	6	1	6	3	0	1
ENSG00000018408	WWTR1	403	480	466	2076	2056	2724
ENSG00000018510	AGPS	2969	2939	2647	1614	1585	1659
ENSG00000018607	ZNF806	4	3	4	1	1	1
ENSG00000018610	CXorf56	691	819	737	300	373	380
ENSG00000018625	ATP1A2	1124	572	1026	3	10	1
ENSG00000018699	TTC27	1002	1180	989	493	520	549
ENSG00000018869	ZNF582	117	130	125	63	72	82
ENSG00000019102	VSIG2	5	3	2	0	0	1
ENSG00000019144	PHLDB1	1883	1628	1516	1562	1219	1225
ENSG00000019169	MARCO	0	1	0	0	0	1
ENSG00000019186	CYP24A1	1	0	0	1441	387	546
ENSG00000019485	PRDM11	448	366	316	241	212	309
ENSG00000019505	SYT13	383	339	356	52	50	36
ENSG00000019549	SNAI2	8	5	10	3774	3610	3643
ENSG00000019582	CD74	340	376	347	1029	797	1226
ENSG00000019991	HGF	2	0	3	408	0	1
ENSG00000019995	ZRANB1	1281	1177	1131	978	969	1033
ENSG00000020129	NCDN	1552	1844	1694	520	465	563
ENSG00000020181	ADGRA2	132	85	113	1420	288	419
ENSG00000020219	CCT8L1P	2	0	0	1	0	0
ENSG00000020256	ZFP64	819	914	858	396	361	396
ENSG00000020426	MNAT1	499	667	616	328	370	392
ENSG00000020577	SAMD4A	285	502	419	2236	1823	2297
ENSG00000020633	RUNX3	16	22	29	8	1	1
ENSG00000020922	MRE11A	2154	1662	1609	513	502	586
ENSG00000021300	PLEKHB1	644	380	380	11	6	5
ENSG00000021355	SERPINB1	359	265	262	315	336	307
ENSG00000021461	CYP3A43	0	0	0	0	0	0
ENSG00000021488	SLC7A9	3	1	6	5	2	1
ENSG00000021574	SPAST	1495	1323	1425	955	950	997
ENSG00000021645	NRXN3	242	115	130	234	251	227
ENSG00000021762	OSBPL5	431	223	314	654	689	947
ENSG00000021776	AQR	3141	2942	2764	1324	1230	1448
ENSG00000021826	CPS1	636	524	550	477	437	463
ENSG00000021852	C8B	0	0	0	0	0	0
ENSG00000022267	FHL1	1091	928	1056	228	106	106
ENSG00000022277	RTFDC1	1084	1116	1005	967	1030	1150
ENSG00000022355	GABRA1	4	5	4	0	0	0
ENSG00000022556	NLRP2	5949	5217	5453	3232	2424	2596
ENSG00000022567	SLC45A4	433	405	449	250	211	276
ENSG00000022840	RNF10	3916	4251	4164	2528	2496	2675
ENSG00000022976	ZNF839	286	324	251	198	188	213
ENSG00000023041	ZDHHC6	1170	1125	1045	640	658	698
ENSG00000023171	GRAMD1B	468	245	292	40	17	20
ENSG00000023191	RNH1	762	793	699	1624	1528	1878
ENSG00000023228	NDUFS1	2944	3265	3099	1867	1848	1968
ENSG00000023287	RB1CC1	4032	3425	3471	1996	2309	2356
ENSG00000023318	ERP44	1355	1488	1286	1905	1991	2145
ENSG00000023330	ALAS1	954	1012	915	720	651	659
ENSG00000023445	BIRC3	5	7	2	24	23	31
ENSG00000023516	AKAP11	1672	1383	1462	1611	1716	1750
ENSG00000023572	GLRX2	106	131	117	186	178	177
ENSG00000023608	SNAPC1	196	205	188	149	121	150
ENSG00000023697	DERA	867	752	814	575	642	651
ENSG00000023734	STRAP	8058	8326	8005	4377	4542	4728
ENSG00000023839	ABCC2	19	26	31	17	9	19
ENSG00000023892	DEF6	56	77	57	47	24	20
ENSG00000023902	PLEKHO1	639	572	619	1147	1005	1091
ENSG00000023909	GCLM	824	1343	879	810	1104	993
ENSG00000024048	UBR2	1498	1327	1204	1196	1355	1305
ENSG00000024422	EHD2	278	269	241	2673	2306	2320
ENSG00000024526	DEPDC1	1571	1316	1326	506	355	395
ENSG00000024862	CCDC28A	243	242	258	128	124	103
ENSG00000025039	RRAGD	483	472	451	89	95	97
ENSG00000025156	HSF2	504	484	452	289	285	323
ENSG00000025293	PHF20	2488	1933	2178	1086	1063	1090
ENSG00000025423	HSD17B6	71	84	50	9	8	6
ENSG00000025434	NR1H3	278	273	263	94	83	100
ENSG00000025708	TYMP	2	5	3	269	250	342
ENSG00000025770	NCAPH2	1209	1347	1229	604	538	737
ENSG00000025772	TOMM34	1104	1215	1136	666	712	701
ENSG00000025796	SEC63	3130	3028	2993	3634	3544	3816
ENSG00000025800	KPNA6	2863	3046	2856	1848	1710	1946
ENSG00000026025	VIM	7233	8610	6953	28745	24418	24426
ENSG00000026036	RTEL1-TNFRSF6B	90	77	62	21	10	22
ENSG00000026103	FAS	286	175	194	709	854	736
ENSG00000026297	RNASET2	201	186	158	231	209	214
ENSG00000026508	CD44	272	391	288	1627	1237	1058
ENSG00000026559	KCNG1	169	105	121	389	305	339
ENSG00000026652	AGPAT4	1106	748	886	832	458	491
ENSG00000026751	SLAMF7	0	0	0	1	0	0
ENSG00000026950	BTN3A1	111	77	75	158	153	150
ENSG00000027001	MIPEP	706	645	620	364	296	310
ENSG00000027075	PRKCH	74	54	35	856	1006	1246
ENSG00000027644	INSRR	5	0	2	1	0	0
ENSG00000027697	IFNGR1	1157	810	880	1809	1716	1621
ENSG00000027847	B4GALT7	332	406	355	578	554	600
ENSG00000027869	SH2D2A	39	60	43	3	0	4
ENSG00000028116	VRK2	1056	1046	953	753	827	800
ENSG00000028137	TNFRSF1B	30	9	23	10	4	12
ENSG00000028203	VEZT	2484	2645	2422	2189	2097	2168
ENSG00000028277	POU2F2	125	114	106	66	25	32
ENSG00000028310	BRD9	1135	1014	991	756	696	712
ENSG00000028528	SNX1	1659	1497	1509	1555	1519	1711
ENSG00000028839	TBPL1	1121	1083	1013	451	438	426
ENSG00000029153	ARNTL2	522	465	499	447	463	471
ENSG00000029363	BCLAF1	12295	10608	10043	4632	4779	5144
ENSG00000029364	SLC39A9	1058	1041	1005	2052	1833	2125
ENSG00000029534	ANK1	162	242	293	141	107	77
ENSG00000029559	IBSP	2	0	0	0	0	0
ENSG00000029639	TFB1M	432	452	434	157	190	156
ENSG00000029725	RABEP1	2394	2737	2401	2136	2546	2576
ENSG00000029993	HMGB3	9181	7446	8206	1999	2235	2396
ENSG00000030066	NUP160	5074	4420	4173	1232	1238	1355
ENSG00000030110	BAK1	668	808	816	517	524	557
ENSG00000030304	MUSK	2	0	0	0	2	1
ENSG00000030419	IKZF2	330	150	170	407	314	372
ENSG00000030582	GRN	2286	2346	2076	4189	4070	4293
ENSG00000031003	FAM13B	1080	900	859	923	927	1016
