id	sym	Control_1	Control_2	Control_3	shEZH2_day4_1	shEZH2_day4_2	shEZH2_day4_3
ENSG00000004777	ARHGAP33	168	113	136	72	54	64
ENSG00000004779	NDUFAB1	1056	987	849	694	573	737
ENSG00000004799	PDK4	729	515	433	4670	2983	3223
ENSG00000004809	SLC22A16	0	0	0	1	0	1
ENSG00000004838	ZMYND10	11	14	14	16	9	15
ENSG00000004864	SLC25A13	454	335	312	345	253	299
ENSG00000004866	ST7	312	224	192	163	120	143
ENSG00000004897	CDC27	1052	772	645	930	610	642
ENSG00000004939	SLC4A1	0	0	1	0	0	0
ENSG00000004961	HCCS	727	564	510	497	382	496
ENSG00000004975	DVL2	1681	1278	1423	799	617	1026
ENSG00000005001	PRSS22	0	0	0	3	2	0
ENSG00000005007	UPF1	5609	4118	4523	2765	2182	3133
ENSG00000005020	SKAP2	521	323	265	695	510	572
ENSG00000005022	SLC25A5	4608	3740	3510	2361	1889	2192
ENSG00000005059	CCDC109B	556	404	372	149	127	122
ENSG00000005073	HOXA11	17	9	3	3	3	5
ENSG00000005075	POLR2J	1023	841	898	570	409	735
ENSG00000005100	DHX33	923	661	569	385	265	357
ENSG00000005102	MEOX1	1	0	1	2	0	1
ENSG00000005108	THSD7A	1	6	3	13	3	9
ENSG00000005156	LIG3	1016	830	741	391	259	336
ENSG00000005175	RPAP3	211	164	141	264	144	190
ENSG00000005187	ACSM3	2	1	1	2	0	1
ENSG00000005189	AC004381.6	109	126	73	48	24	21
ENSG00000005194	CIAPIN1	1038	923	892	711	589	728
ENSG00000005206	SPPL2B	578	472	524	363	266	452
ENSG00000005238	FAM214B	973	723	794	1361	1090	1489
ENSG00000005243	COPZ2	546	454	484	360	297	361
ENSG00000005249	PRKAR2B	170	134	89	391	227	263
ENSG00000005302	MSL3	507	378	272	417	308	363
ENSG00000005339	CREBBP	2709	1756	1676	1191	811	1232
ENSG00000005379	TSPOAP1	177	152	149	123	79	122
ENSG00000005381	MPO	0	0	0	0	0	2
ENSG00000005436	GCFC2	120	124	92	105	74	80
ENSG00000005448	WDR54	844	683	783	1139	934	1357
ENSG00000005469	CROT	211	168	117	334	242	238
ENSG00000005471	ABCB4	0	1	0	4	0	1
ENSG00000005483	KMT2E	611	388	293	854	558	639
ENSG00000005486	RHBDD2	727	598	675	900	786	1163
ENSG00000005513	SOX8	8	1	8	38	20	24
ENSG00000005700	IBTK	364	260	234	1165	710	763
ENSG00000005801	ZNF195	71	65	56	133	95	90
ENSG00000005810	MYCBP2	638	359	376	810	461	598
ENSG00000005812	FBXL3	267	198	157	394	226	269
ENSG00000005844	ITGAL	0	0	1	0	0	0
ENSG00000005882	PDK2	391	300	310	388	315	446
ENSG00000005884	ITGA3	8413	6553	6797	11788	9212	12432
ENSG00000005889	ZFX	319	230	202	360	225	284
ENSG00000005893	LAMP2	2161	1564	1171	2353	1566	1789
ENSG00000005961	ITGA2B	5	3	6	7	5	4
ENSG00000005981	ASB4	0	1	0	0	0	0
ENSG00000006007	GDE1	1376	1109	815	1533	1162	1394
ENSG00000006015	C19orf60	689	613	651	559	533	620
ENSG00000006016	CRLF1	855	760	813	1830	1506	2123
ENSG00000006025	OSBPL7	116	101	101	139	86	133
ENSG00000006042	TMEM98	2218	1707	1815	2072	1671	2176
ENSG00000006047	YBX2	1	1	0	1	0	0
ENSG00000006062	MAP3K14	331	291	273	142	116	157
ENSG00000006118	TMEM132A	2659	2024	2251	1969	1494	2186
ENSG00000006125	AP2B1	7520	5573	4752	5974	4304	5155
ENSG00000006194	ZNF263	774	628	567	508	371	591
ENSG00000006210	CX3CL1	4	0	1	4	2	1
ENSG00000006282	SPATA20	1157	980	1033	852	770	1032
ENSG00000006283	CACNA1G	2	6	2	3	4	4
ENSG00000006327	TNFRSF12A	10047	8615	9905	6203	5358	7825
ENSG00000006377	DLX6	0	0	1	0	0	0
ENSG00000006432	MAP3K9	101	66	76	159	148	182
ENSG00000006451	RALA	917	694	624	904	609	662
ENSG00000006453	BAIAP2L1	172	147	112	130	108	122
ENSG00000006459	KDM7A	110	83	47	355	236	228
ENSG00000006468	ETV1	209	142	120	1029	713	861
ENSG00000006530	AGK	581	491	312	343	257	276
ENSG00000006534	ALDH3B1	1247	984	1019	1028	793	1223
ENSG00000006555	TTC22	0	0	1	0	0	0
ENSG00000006576	PHTF2	345	313	238	675	467	467
ENSG00000006606	CCL26	2	6	0	0	0	0
ENSG00000006607	FARP2	1171	861	640	751	479	698
ENSG00000006625	GGCT	150	126	113	104	80	105
ENSG00000006634	DBF4	184	147	98	71	59	43
ENSG00000006638	TBXA2R	87	84	87	51	46	62
ENSG00000006652	IFRD1	807	683	508	472	318	394
ENSG00000006695	COX10	274	230	178	166	120	173
ENSG00000006704	GTF2IRD1	899	696	715	434	331	525
ENSG00000006712	PAF1	2070	1652	1613	1145	948	1319
ENSG00000006715	VPS41	680	437	382	938	611	735
ENSG00000006740	ARHGAP44	84	86	50	37	31	46
ENSG00000006744	ELAC2	2642	2012	2191	1042	849	1076
ENSG00000006747	SCIN	0	0	0	0	0	1
ENSG00000006756	ARSD	202	154	151	279	189	265
ENSG00000006757	PNPLA4	259	210	181	141	100	148
ENSG00000006788	MYH13	0	0	0	0	1	1
ENSG00000006831	ADIPOR2	1630	1153	973	538	366	434
ENSG00000006837	CDKL3	6	8	4	8	4	8
ENSG00000007001	UPP2	1	1	0	0	0	0
ENSG00000007038	PRSS21	1	1	1	0	0	0
ENSG00000007047	MARK4	1606	1288	1327	1548	1210	1882
ENSG00000007080	CCDC124	3083	2518	3077	1154	1005	1553
ENSG00000007168	PAFAH1B1	2067	1491	1225	2147	1412	1748
ENSG00000007171	NOS2	1	1	1	1	0	0
ENSG00000007202	KIAA0100	5137	3750	3657	3139	2331	3091
ENSG00000007237	GAS7	343	210	211	246	166	268
ENSG00000007255	TRAPPC6A	87	74	84	176	141	207
ENSG00000007312	CD79B	2	4	1	0	0	1
ENSG00000007314	SCN4A	1	1	0	0	1	0
ENSG00000007341	ST7L	158	137	121	138	105	140
ENSG00000007372	PAX6	5	6	4	10	5	3
ENSG00000007376	RPUSD1	1013	943	1012	492	442	613
ENSG00000007384	RHBDF1	1506	1056	1195	1339	1073	1551
ENSG00000007392	LUC7L	849	693	635	560	409	492
ENSG00000007402	CACNA2D2	9	2	4	4	5	3
ENSG00000007516	BAIAP3	25	26	19	40	34	43
ENSG00000007520	TSR3	2082	1875	2172	1230	1062	1527
ENSG00000007541	PIGQ	733	520	589	322	288	368
ENSG00000007545	CRAMP1	352	255	230	311	204	261
ENSG00000007866	TEAD3	1909	1436	1652	866	676	1109
ENSG00000007923	DNAJC11	1946	1364	1413	584	448	641
ENSG00000007933	FMO3	1	0	0	1	0	0
ENSG00000007944	MYLIP	5	2	3	76	48	69
ENSG00000007952	NOX1	2	1	0	0	0	2
ENSG00000007968	E2F2	164	132	137	13	13	12
ENSG00000008018	PSMB1	2644	2254	2063	1519	1270	1548
ENSG00000008056	SYN1	45	45	38	41	41	64
ENSG00000008083	JARID2	474	303	243	530	371	530
ENSG00000008086	CDKL5	200	124	120	78	45	63
ENSG00000008118	CAMK1G	39	41	35	89	71	81
ENSG00000008128	CDK11A	25	14	13	17	11	11
ENSG00000008130	NADK	2255	1623	1806	1276	973	1426
ENSG00000008226	DLEC1	1	2	1	0	0	1
ENSG00000008256	CYTH3	2354	1686	1551	789	599	894
ENSG00000008277	ADAM22	2	2	2	5	4	9
ENSG00000008282	SYPL1	1017	754	610	1004	774	945
ENSG00000008283	CYB561	291	206	263	270	185	290
ENSG00000008294	SPAG9	1437	974	744	1681	1049	1274
ENSG00000008300	CELSR3	121	68	70	417	280	496
ENSG00000008311	AASS	43	38	23	51	22	46
ENSG00000008323	PLEKHG6	14	7	6	14	14	19
ENSG00000008324	SS18L2	119	112	90	118	103	100
ENSG00000008382	MPND	221	160	204	186	159	233
ENSG00000008394	MGST1	1811	1421	1171	1020	856	846
ENSG00000008405	CRY1	521	378	262	243	154	201
ENSG00000008438	PGLYRP1	3	0	1	0	0	0
ENSG00000008441	NFIX	4975	3964	4204	2376	1939	2736
ENSG00000008513	ST3GAL1	1994	1434	1340	1295	885	1275
ENSG00000008516	MMP25	1	1	0	2	0	0
ENSG00000008517	IL32	176	124	158	102	93	140
ENSG00000008710	PKD1	6379	4074	4401	5556	3722	5818
ENSG00000008735	MAPK8IP2	9	12	16	54	56	74
ENSG00000008838	MED24	2426	1812	2065	1700	1283	1935
ENSG00000008853	RHOBTB2	701	553	521	247	187	249
ENSG00000008869	HEATR5B	352	249	223	429	286	332
ENSG00000008952	SEC62	941	787	663	2030	1214	1539
ENSG00000008988	RPS20	10259	9680	8385	9549	7857	9488
ENSG00000009307	CSDE1	8411	5268	4538	7490	4961	5276
ENSG00000009335	UBE3C	3676	2716	2268	2172	1482	1869
ENSG00000009413	REV3L	142	121	62	307	194	210
ENSG00000009694	TENM1	1	0	0	2	1	5
ENSG00000009724	MASP2	7	7	4	10	9	6
ENSG00000009780	FAM76A	85	56	41	59	37	55
ENSG00000009790	TRAF3IP3	2	1	2	1	0	0
ENSG00000009830	POMT2	745	530	600	826	700	971
ENSG00000009844	VTA1	666	516	358	895	626	604
ENSG00000009950	MLXIPL	0	1	0	0	0	0
ENSG00000009954	BAZ1B	3420	2324	1943	1537	1057	1263
ENSG00000010017	RANBP9	829	570	465	298	165	227
ENSG00000010030	ETV7	1	0	2	11	5	6
ENSG00000010072	SPRTN	177	135	108	119	109	114
ENSG00000010165	METTL13	1226	958	962	658	546	671
ENSG00000010219	DYRK4	177	173	166	124	105	90
ENSG00000010244	ZNF207	2296	1702	1360	1150	861	999
ENSG00000010256	UQCRC1	5578	4831	5085	3771	3190	4031
ENSG00000010270	STARD3NL	961	744	607	868	613	699
ENSG00000010278	CD9	1866	1646	1414	1535	1291	1493
ENSG00000010292	NCAPD2	5869	4922	4514	1743	1318	1478
ENSG00000010295	IFFO1	717	591	569	344	290	430
ENSG00000010310	GIPR	16	8	8	14	15	4
ENSG00000010318	PHF7	70	70	43	41	55	47
ENSG00000010319	SEMA3G	1	1	0	1	0	2
ENSG00000010322	NISCH	3450	2444	2633	2600	1888	3072
ENSG00000010327	STAB1	4	4	5	10	3	3
ENSG00000010361	FUZ	283	204	267	245	154	238
ENSG00000010379	SLC6A13	0	0	1	0	0	0
ENSG00000010404	IDS	976	649	594	1139	845	990
ENSG00000010438	PRSS3	48	56	68	84	86	106
ENSG00000010539	ZNF200	145	119	84	160	121	143
ENSG00000010610	CD4	650	499	507	760	595	735
ENSG00000010626	LRRC23	146	127	128	134	97	155
ENSG00000010704	HFE	313	210	194	138	147	146
ENSG00000010803	SCMH1	828	627	657	337	275	366
ENSG00000010810	FYN	1699	1177	1089	698	540	709
ENSG00000010818	HIVEP2	697	422	374	689	405	501
ENSG00000011007	TCEB3	1198	1002	808	800	573	759
ENSG00000011009	LYPLA2	1600	1396	1412	2162	1845	2533
ENSG00000011021	CLCN6	403	303	285	382	263	316
ENSG00000011028	MRC2	11945	9305	9237	13171	9381	12638
ENSG00000011052	NME1-NME2	0	1	0	0	0	0
ENSG00000011083	SLC6A7	0	0	1	1	0	1
ENSG00000011105	TSPAN9	1310	956	990	1648	1259	1902
ENSG00000011114	BTBD7	606	384	374	596	410	467
ENSG00000011132	APBA3	393	313	365	342	228	376
ENSG00000011143	MKS1	205	155	191	120	101	130
ENSG00000011198	ABHD5	236	177	152	485	275	370
ENSG00000011201	ANOS1	6	4	5	26	16	23
ENSG00000011243	AKAP8L	820	618	692	552	401	598
ENSG00000011258	MBTD1	73	42	40	326	192	218
ENSG00000011260	UTP18	875	669	547	573	378	451
ENSG00000011275	RNF216	2004	1477	1337	1163	853	1112
ENSG00000011295	TTC19	444	335	266	381	288	312
ENSG00000011304	PTBP1	16438	12886	13850	5604	4357	6088
ENSG00000011332	DPF1	201	158	185	52	40	65
ENSG00000011347	SYT7	5	3	1	5	5	6
ENSG00000011376	LARS2	1210	935	870	554	393	465
ENSG00000011405	PIK3C2A	284	219	188	465	312	349
ENSG00000011422	PLAUR	3534	2933	3032	1941	1585	2148
ENSG00000011426	ANLN	2907	2364	1816	1282	785	753
ENSG00000011451	WIZ	2248	1744	1897	1123	883	1326
ENSG00000011454	RABGAP1	1094	643	628	1039	732	817
ENSG00000011465	DCN	20051	14746	10914	17621	11716	14514
ENSG00000011478	QPCTL	262	202	219	378	258	403
ENSG00000011485	PPP5C	2608	2232	2311	1260	992	1492
ENSG00000011523	CEP68	371	263	246	237	189	259
ENSG00000011566	MAP4K3	328	258	228	566	334	411
ENSG00000011590	ZBTB32	0	0	1	1	0	1
ENSG00000011600	TYROBP	0	0	0	0	1	0
ENSG00000011638	TMEM159	477	413	357	332	243	363
ENSG00000011677	GABRA3	6	4	6	1	3	6
ENSG00000012048	BRCA1	230	168	125	63	57	48
ENSG00000012061	ERCC1	1650	1429	1500	1188	938	1406
ENSG00000012124	CD22	0	0	0	7	5	6
ENSG00000012171	SEMA3B	812	599	638	1306	977	1446
ENSG00000012174	MBTPS2	486	310	243	432	268	311
ENSG00000012211	PRICKLE3	256	189	220	216	204	276
ENSG00000012223	LTF	0	0	2	0	0	1
ENSG00000012232	EXTL3	2495	1890	1849	2238	1746	2285
ENSG00000012660	ELOVL5	1748	1155	956	945	697	788
ENSG00000012779	ALOX5	0	1	0	0	0	0
ENSG00000012822	CALCOCO1	1805	1285	1452	2002	1466	2263
ENSG00000012963	UBR7	847	677	467	248	203	226
ENSG00000012983	MAP4K5	614	520	412	942	566	613
ENSG00000013016	EHD3	1028	762	696	492	357	497
ENSG00000013275	PSMC4	3336	2697	2860	1586	1335	1639
ENSG00000013288	MAN2B2	2104	1463	1361	1013	741	1092
ENSG00000013293	SLC7A14	30	15	32	22	22	8
ENSG00000013297	CLDN11	7888	5790	5097	2328	1812	2476
ENSG00000013306	SLC25A39	2642	2190	2513	665	586	828
ENSG00000013364	MVP	8361	6265	7323	6396	5101	6933
ENSG00000013374	NUB1	972	690	680	751	514	680
ENSG00000013375	PGM3	818	561	490	1167	764	834
ENSG00000013392	RWDD2A	101	65	72	209	150	178
ENSG00000013441	CLK1	270	261	174	555	296	343
ENSG00000013503	POLR3B	339	217	211	183	147	147
ENSG00000013523	ANGEL1	336	227	244	260	210	334
ENSG00000013561	RNF14	710	578	497	808	609	688
ENSG00000013563	DNASE1L1	317	202	231	275	216	304
ENSG00000013573	DDX11	722	588	590	122	106	156
ENSG00000013583	HEBP1	1429	1143	1024	788	569	653
ENSG00000013588	GPRC5A	7233	5432	4970	5258	4508	5145
ENSG00000013619	MAMLD1	493	369	350	178	137	178
ENSG00000013810	TACC3	3636	3195	3046	754	665	785
ENSG00000014123	UFL1	165	146	101	428	274	282
ENSG00000014138	POLA2	834	739	691	196	151	196
ENSG00000014164	ZC3H3	651	589	606	350	262	396
ENSG00000014216	CAPN1	8052	6124	7048	5016	4172	5575
ENSG00000014257	ACPP	16	11	6	61	37	37
ENSG00000014641	MDH1	1854	1422	1134	1209	912	969
ENSG00000014824	SLC30A9	551	453	379	994	664	757
ENSG00000014914	MTMR11	274	219	160	212	161	240
ENSG00000014919	COX15	688	476	424	602	435	486
ENSG00000015133	CCDC88C	31	17	18	9	5	6
ENSG00000015153	YAF2	128	127	89	115	87	85
ENSG00000015171	ZMYND11	1538	895	767	1195	732	945
ENSG00000015285	WAS	3	1	0	6	3	3
ENSG00000015413	DPEP1	1	0	1	0	0	0
ENSG00000015475	BID	1405	1253	1132	767	634	771
ENSG00000015479	MATR3	5	1	2	11	8	4
ENSG00000015520	NPC1L1	2	0	0	2	7	4
ENSG00000015532	XYLT2	2025	1505	1599	2313	1922	2659
ENSG00000015568	RGPD5	1	1	0	1	0	1
ENSG00000015592	STMN4	2	0	0	0	0	1
ENSG00000015676	NUDCD3	3539	2899	3046	2116	1735	2372
ENSG00000016082	ISL1	0	1	0	0	0	0
ENSG00000016391	CHDH	2	3	9	2	2	2
ENSG00000016402	IL20RA	0	3	0	1	0	1
ENSG00000016864	GLT8D1	868	583	493	1033	700	882
ENSG00000017260	ATP2C1	1669	1070	864	1958	1257	1460
ENSG00000017427	IGF1	3	2	3	1	0	1
ENSG00000017483	SLC38A5	1731	1447	1440	1178	914	1263
ENSG00000017797	RALBP1	3257	2303	1927	1675	1136	1498
ENSG00000018189	RUFY3	397	269	248	437	291	369
ENSG00000018236	CNTN1	3	2	3	1	2	1
ENSG00000018280	SLC11A1	11	5	4	11	13	13
ENSG00000018408	WWTR1	735	512	469	1221	808	987
ENSG00000018510	AGPS	580	404	394	959	657	683
ENSG00000018610	CXorf56	384	337	264	247	202	232
ENSG00000018625	ATP1A2	41	35	33	15	10	12
ENSG00000018699	TTC27	518	338	290	301	171	222
ENSG00000018869	ZNF582	15	20	13	33	17	31
ENSG00000019102	VSIG2	9	15	7	7	7	8
ENSG00000019144	PHLDB1	5869	4691	4984	4704	3798	5446
ENSG00000019186	CYP24A1	0	1	0	1	0	0
ENSG00000019485	PRDM11	89	79	87	116	59	118
ENSG00000019549	SNAI2	682	517	416	218	192	244
ENSG00000019582	CD74	23	15	9	20	22	16
ENSG00000019991	HGF	190	123	83	2256	1234	1635
ENSG00000019995	ZRANB1	410	257	243	598	399	475
ENSG00000020129	NCDN	1169	833	985	726	586	828
ENSG00000020181	ADGRA2	4128	2881	3207	910	676	1036
ENSG00000020256	ZFP64	712	494	567	328	252	357
ENSG00000020426	MNAT1	331	220	202	238	153	218
ENSG00000020577	SAMD4A	2107	1332	1135	2347	1665	2350
ENSG00000020633	RUNX3	208	160	165	152	108	185
ENSG00000020922	MRE11A	163	142	116	220	155	155
ENSG00000021300	PLEKHB1	9	9	6	22	23	23
ENSG00000021355	SERPINB1	574	457	352	522	398	434
ENSG00000021488	SLC7A9	0	1	0	1	2	0
ENSG00000021574	SPAST	174	96	78	224	136	149
ENSG00000021645	NRXN3	475	284	241	52	28	34
ENSG00000021762	OSBPL5	1846	1370	1627	1094	918	1336
ENSG00000021776	AQR	631	407	346	590	377	414
ENSG00000021826	CPS1	232	148	127	375	266	281
ENSG00000022267	FHL1	1657	1176	995	1389	1004	1245
ENSG00000022277	RTFDC1	2497	1978	1881	1128	878	1165
ENSG00000022556	NLRP2	4	5	1	2	5	3
ENSG00000022567	SLC45A4	96	93	76	45	39	54
ENSG00000022840	RNF10	3652	2846	2671	1775	1353	1865
ENSG00000022976	ZNF839	152	107	96	84	67	96
ENSG00000023041	ZDHHC6	439	365	300	417	260	329
ENSG00000023171	GRAMD1B	195	150	129	110	79	101
ENSG00000023191	RNH1	7550	6109	7230	4189	3489	4837
ENSG00000023228	NDUFS1	2082	1464	1112	1292	895	1159
ENSG00000023287	RB1CC1	335	277	212	1044	601	729
ENSG00000023318	ERP44	609	454	407	733	564	590
ENSG00000023330	ALAS1	706	651	639	567	464	623
ENSG00000023445	BIRC3	67	31	40	15	22	11
ENSG00000023516	AKAP11	339	245	213	957	562	592
ENSG00000023572	GLRX2	184	204	155	109	81	90
ENSG00000023608	SNAPC1	169	129	95	109	59	71
ENSG00000023697	DERA	754	634	487	501	408	418
ENSG00000023734	STRAP	2693	2005	1641	1842	1399	1503
ENSG00000023839	ABCC2	6	4	4	8	3	15
ENSG00000023892	DEF6	133	90	123	51	38	58
ENSG00000023902	PLEKHO1	3078	2663	2699	1511	1214	1630
ENSG00000023909	GCLM	739	642	483	299	236	247
ENSG00000024048	UBR2	525	312	282	716	445	523
ENSG00000024422	EHD2	20617	15596	17352	10982	8586	12477
ENSG00000024526	DEPDC1	324	260	207	268	198	153
ENSG00000024862	CCDC28A	119	97	105	175	119	156
ENSG00000025039	RRAGD	1	0	0	8	2	9
ENSG00000025156	HSF2	212	131	106	168	107	115
ENSG00000025293	PHF20	1331	842	692	1187	780	914
ENSG00000025423	HSD17B6	45	27	15	9	8	8
ENSG00000025434	NR1H3	198	171	185	218	157	250
ENSG00000025708	TYMP	255	186	204	295	228	320
ENSG00000025770	NCAPH2	1938	1736	1929	582	452	620
ENSG00000025772	TOMM34	2046	1778	1651	780	664	761
ENSG00000025796	SEC63	718	483	458	852	545	600
ENSG00000025800	KPNA6	2627	2003	1532	1752	1358	1573
ENSG00000026025	VIM	32606	26166	22488	13937	10548	11755
ENSG00000026036	RTEL1-TNFRSF6B	31	22	34	14	13	15
ENSG00000026103	FAS	295	239	174	261	190	190
ENSG00000026297	RNASET2	171	116	101	128	94	133
ENSG00000026508	CD44	23554	18760	14843	18320	13365	16767
ENSG00000026559	KCNG1	1780	1419	1561	662	513	764
ENSG00000026652	AGPAT4	302	182	181	497	385	436
ENSG00000026950	BTN3A1	235	153	153	241	156	186
ENSG00000027001	MIPEP	438	369	273	264	245	263
ENSG00000027075	PRKCH	21	13	8	8	14	13
ENSG00000027697	IFNGR1	332	225	194	339	275	290
ENSG00000027847	B4GALT7	1091	780	981	624	575	767
ENSG00000027869	SH2D2A	11	10	10	7	6	10
ENSG00000028116	VRK2	161	126	101	158	119	118
ENSG00000028137	TNFRSF1B	596	488	470	699	521	823
ENSG00000028203	VEZT	602	366	291	726	493	519
ENSG00000028277	POU2F2	107	74	81	28	15	30
ENSG00000028310	BRD9	1582	1238	1155	676	588	592
ENSG00000028528	SNX1	1897	1379	1123	1119	755	1061
ENSG00000028839	TBPL1	245	204	132	210	168	192
ENSG00000029153	ARNTL2	972	671	530	160	115	124
ENSG00000029363	BCLAF1	892	751	645	1321	800	911
ENSG00000029364	SLC39A9	1022	736	583	1483	980	1245
ENSG00000029534	ANK1	94	58	81	12	10	23
ENSG00000029639	TFB1M	332	278	265	509	353	391
ENSG00000029725	RABEP1	584	418	414	681	469	528
ENSG00000029993	HMGB3	1302	1061	798	620	495	530
ENSG00000030066	NUP160	912	549	555	657	444	486
ENSG00000030110	BAK1	739	589	666	739	624	849
ENSG00000030304	MUSK	2	0	0	14	3	6
ENSG00000030419	IKZF2	34	18	21	101	66	57
ENSG00000030582	GRN	5776	4271	4440	6189	4693	6721
ENSG00000031003	FAM13B	181	138	117	262	187	176
ENSG00000031081	ARHGAP31	1373	1082	911	201	141	200
ENSG00000031691	CENPQ	97	92	53	77	39	50
ENSG00000031698	SARS	5913	4789	4782	2732	2161	2848
ENSG00000031823	RANBP3	2360	1920	1978	1151	902	1337
ENSG00000032219	ARID4A	65	51	43	217	120	145
ENSG00000032389	TSSC1	862	708	691	385	339	464
ENSG00000032444	PNPLA6	2965	2236	2538	2290	1743	2509
ENSG00000032742	IFT88	83	61	60	194	113	127
ENSG00000033011	ALG1	639	575	561	443	351	453
ENSG00000033030	ZCCHC8	384	281	248	332	208	230
ENSG00000033050	ABCF2	3229	2729	2510	955	767	999
ENSG00000033100	CHPF2	3624	2808	2879	3314	2594	3687
ENSG00000033122	LRRC7	2	3	1	2	1	4
ENSG00000033170	FUT8	378	292	222	256	220	196
ENSG00000033178	UBA6	343	297	206	707	413	479
ENSG00000033327	GAB2	1216	852	871	630	484	718
ENSG00000033627	ATP6V0A1	561	416	400	1150	850	1110
ENSG00000033800	PIAS1	254	184	185	243	167	215
ENSG00000033867	SLC4A7	276	215	174	729	399	469
ENSG00000034053	APBA2	1387	1033	1162	1040	777	1105
ENSG00000034152	MAP2K3	2347	2109	2237	821	722	932
ENSG00000034239	EFCAB1	0	2	0	2	1	2
ENSG00000034510	TMSB10	47639	42975	43877	39814	33134	46456
ENSG00000034533	ASTE1	67	71	40	62	39	40
ENSG00000034677	RNF19A	388	266	211	520	342	382
ENSG00000034693	PEX3	132	95	71	186	118	150
ENSG00000034713	GABARAPL2	1087	896	793	1116	975	1190
ENSG00000035115	SH3YL1	122	64	50	158	104	151
ENSG00000035141	FAM136A	595	483	387	316	220	264
ENSG00000035403	VCL	14704	10991	8779	5434	3698	4504
ENSG00000035499	DEPDC1B	169	124	109	96	53	50
ENSG00000035664	DAPK2	7	1	5	3	7	4
ENSG00000035681	NSMAF	902	640	513	253	199	220
ENSG00000035687	ADSS	682	534	446	622	407	402
ENSG00000035862	TIMP2	18842	13759	13064	14688	11158	14580
ENSG00000035928	RFC1	715	539	466	590	375	430
ENSG00000036054	TBC1D23	306	247	208	758	475	476
ENSG00000036257	CUL3	925	671	542	996	647	855
ENSG00000036448	MYOM2	12	7	5	4	4	5
ENSG00000036530	CYP46A1	0	2	2	3	4	3
ENSG00000036549	ZZZ3	320	243	202	427	256	312
ENSG00000036672	USP2	10	10	11	4	7	6
ENSG00000037042	TUBG2	227	161	176	157	139	184
ENSG00000037241	RPL26L1	659	654	519	238	173	233
ENSG00000037280	FLT4	10	1	3	1	0	6
ENSG00000037474	NSUN2	2320	1620	1482	956	724	900
