id	sym	D_U6_F_T0_1	D_U6_F_T0_2	F_U6_F_T8_1	F_U6_F_T8_2
ENSG00000009790	TRAF3IP3	5	1	2	1
ENSG00000009830	POMT2	330	320	361	343
ENSG00000009844	VTA1	1304	1300	1222	1153
ENSG00000009950	MLXIPL	35	42	17	28
ENSG00000009954	BAZ1B	6047	5837	5764	5499
ENSG00000010017	RANBP9	802	719	886	921
ENSG00000010030	ETV7	6	2	1	3
ENSG00000010072	SPRTN	416	433	398	414
ENSG00000010165	METTL13	1723	1805	1414	1410
ENSG00000010219	DYRK4	100	100	80	85
ENSG00000010244	ZNF207	4059	4274	3540	3759
ENSG00000010256	UQCRC1	2086	2106	2142	2221
ENSG00000010270	STARD3NL	1375	1412	1618	1455
ENSG00000010292	NCAPD2	2823	2811	2421	2565
ENSG00000010295	IFFO1	460	459	404	432
ENSG00000010310	GIPR	9	5	2	2
ENSG00000010318	PHF7	74	58	61	76
ENSG00000010319	SEMA3G	22	18	14	9
ENSG00000010322	NISCH	1810	1928	1653	1756
ENSG00000010327	STAB1	0	0	2	1
ENSG00000010361	FUZ	32	33	23	27
ENSG00000010379	SLC6A13	344	371	239	308
ENSG00000010404	IDS	1522	1471	1591	1589
ENSG00000010438	PRSS3	2	1	2	0
ENSG00000010539	ZNF200	376	331	361	345
ENSG00000010610	CD4	7	9	11	6
ENSG00000010626	LRRC23	159	183	153	163
ENSG00000010704	HFE	540	556	387	446
ENSG00000010803	SCMH1	677	711	554	558
ENSG00000010810	FYN	54	41	35	50
ENSG00000010818	HIVEP2	2379	2351	2652	2636
ENSG00000010932	FMO1	1	0	0	0
ENSG00000011007	TCEB3	1060	982	950	902
ENSG00000011009	LYPLA2	88	84	96	86
ENSG00000011021	CLCN6	298	318	281	346
ENSG00000011028	MRC2	2242	2539	2733	2885
ENSG00000011052	NME1-NME2	3	4	2	2
ENSG00000011083	SLC6A7	0	1	1	0
ENSG00000011105	TSPAN9	1650	1853	1718	1881
ENSG00000011114	BTBD7	1832	1798	2357	2516
ENSG00000011132	APBA3	97	129	122	123
ENSG00000011143	MKS1	320	363	297	299
ENSG00000011198	ABHD5	317	281	428	366
ENSG00000011243	AKAP8L	559	599	562	608
ENSG00000011258	MBTD1	980	957	1060	1158
ENSG00000011260	UTP18	1856	1780	1869	1855
ENSG00000011275	RNF216	2908	2936	2969	3126
ENSG00000011295	TTC19	1229	1214	1180	1215
ENSG00000011304	PTBP1	7418	7584	7815	8377
ENSG00000011332	DPF1	32	40	22	26
ENSG00000011347	SYT7	17	12	24	20
ENSG00000011376	LARS2	860	926	851	830
ENSG00000011405	PIK3C2A	2031	2083	2009	2083
ENSG00000011422	PLAUR	441	380	598	490
ENSG00000011426	ANLN	6421	6587	5969	5961
ENSG00000011451	WIZ	1409	1476	1306	1305
ENSG00000011454	RABGAP1	1390	1537	1518	1622
ENSG00000011478	QPCTL	228	281	241	264
ENSG00000011485	PPP5C	1339	1407	1379	1395
ENSG00000011523	CEP68	1517	1614	1229	1359
ENSG00000011566	MAP4K3	1457	1539	1485	1520
ENSG00000011590	ZBTB32	25	16	15	7
ENSG00000011600	TYROBP	0	0	1	0
ENSG00000011638	TMEM159	589	595	494	463
ENSG00000012048	BRCA1	1261	1281	1220	1283
ENSG00000012061	ERCC1	751	841	758	760
ENSG00000012124	CD22	129	144	116	143
ENSG00000012171	SEMA3B	359	456	351	367
ENSG00000012174	MBTPS2	1019	1089	1276	1310
ENSG00000012211	PRICKLE3	235	265	183	192
ENSG00000012223	LTF	0	0	1	0
ENSG00000012232	EXTL3	892	968	904	862
ENSG00000012504	NR1H4	153	162	140	169
ENSG00000012660	ELOVL5	4513	4803	4772	4675
ENSG00000012779	ALOX5	63	75	52	59
ENSG00000012817	KDM5D	1080	1159	1079	1118
ENSG00000012822	CALCOCO1	1382	1419	1289	1303
ENSG00000012963	UBR7	930	946	958	1066
ENSG00000012983	MAP4K5	966	1008	1063	1109
ENSG00000013275	PSMC4	1450	1458	1381	1340
ENSG00000013288	MAN2B2	572	640	565	582
ENSG00000013293	SLC7A14	0	1	1	0
ENSG00000013297	CLDN11	4	2	3	2
ENSG00000013306	SLC25A39	1250	1435	1293	1372
ENSG00000013364	MVP	3571	3933	3511	3372
ENSG00000013374	NUB1	1950	1877	1677	1655
ENSG00000013375	PGM3	1474	1563	1527	1521
ENSG00000013392	RWDD2A	336	326	314	307
ENSG00000013441	CLK1	1542	1652	1824	1919
ENSG00000013503	POLR3B	245	275	235	212
ENSG00000013523	ANGEL1	577	564	573	574
ENSG00000013561	RNF14	941	987	1041	936
ENSG00000013563	DNASE1L1	177	222	162	178
ENSG00000013573	DDX11	165	202	166	202
ENSG00000013583	HEBP1	686	684	650	615
ENSG00000013588	GPRC5A	1349	1454	2225	1948
ENSG00000013619	MAMLD1	243	224	453	387
ENSG00000013725	CD6	29	57	29	20
ENSG00000013810	TACC3	2294	2251	1554	1737
ENSG00000014123	UFL1	1156	1265	1161	1200
ENSG00000014138	POLA2	580	565	492	504
ENSG00000014164	ZC3H3	866	855	796	849
ENSG00000014216	CAPN1	1680	1773	1613	1613
ENSG00000014641	MDH1	3640	3891	3520	3689
ENSG00000014824	SLC30A9	1246	1295	1151	1259
ENSG00000014914	MTMR11	125	116	98	116
ENSG00000014919	COX15	1360	1483	1183	1250
ENSG00000015133	CCDC88C	199	238	180	150
ENSG00000015153	YAF2	548	514	482	520
ENSG00000015171	ZMYND11	2144	2112	2486	2405
ENSG00000015285	WAS	1	5	5	6
ENSG00000015413	DPEP1	23	35	24	29
ENSG00000015475	BID	1339	1401	1461	1388
ENSG00000015479	MATR3	132	105	97	112
ENSG00000015520	NPC1L1	90	114	77	67
ENSG00000015532	XYLT2	1174	1369	1035	1075
ENSG00000015568	RGPD5	0	0	1	1
ENSG00000015676	NUDCD3	2588	2893	2894	2869
ENSG00000016391	CHDH	117	114	59	73
ENSG00000016864	GLT8D1	665	685	549	536
ENSG00000017260	ATP2C1	3057	3242	3215	3162
ENSG00000017483	SLC38A5	2	2	1	1
ENSG00000017797	RALBP1	1887	1944	1553	1678
ENSG00000018189	RUFY3	489	569	498	596
ENSG00000018280	SLC11A1	6	10	6	9
ENSG00000018408	WWTR1	13381	13028	13366	13251
ENSG00000018510	AGPS	3315	3453	3397	3505
ENSG00000018610	CXorf56	476	481	493	471
ENSG00000018625	ATP1A2	60	42	39	39
ENSG00000018699	TTC27	764	722	691	662
ENSG00000019102	VSIG2	13	1	3	10
ENSG00000019144	PHLDB1	3824	4045	2814	3104
ENSG00000019169	MARCO	96	106	81	61
ENSG00000019186	CYP24A1	4	6	5	4
ENSG00000019485	PRDM11	321	351	319	327
ENSG00000019505	SYT13	831	863	828	905
ENSG00000019549	SNAI2	347	308	732	568
ENSG00000019582	CD74	1781	1847	1869	1869
ENSG00000019995	ZRANB1	302	307	399	416
ENSG00000020129	NCDN	1316	1430	1180	1112
ENSG00000020181	ADGRA2	254	262	199	213
ENSG00000020256	ZFP64	429	442	474	492
ENSG00000020426	MNAT1	269	264	263	254
ENSG00000020577	SAMD4A	1240	1303	1652	1550
ENSG00000020633	RUNX3	161	178	148	182
ENSG00000020922	MRE11A	802	800	774	915
ENSG00000021300	PLEKHB1	1	1	0	0
ENSG00000021355	SERPINB1	1686	1498	1497	1467
ENSG00000021461	CYP3A43	0	0	1	0
ENSG00000021488	SLC7A9	3	2	1	3
ENSG00000021574	SPAST	500	528	544	555
ENSG00000021645	NRXN3	203	219	274	242
ENSG00000021762	OSBPL5	292	289	277	277
ENSG00000021776	AQR	1300	1341	1238	1228
ENSG00000021826	CPS1	58	58	74	55
ENSG00000022267	FHL1	2329	2471	2731	2783
ENSG00000022277	RTFDC1	1466	1520	1423	1381
ENSG00000022556	NLRP2	0	0	0	1
ENSG00000022567	SLC45A4	473	466	522	494
ENSG00000022840	RNF10	1749	1751	1741	1806
ENSG00000022976	ZNF839	232	242	232	245
ENSG00000023041	ZDHHC6	998	1087	920	880
ENSG00000023171	GRAMD1B	374	379	153	284
ENSG00000023191	RNH1	1767	1979	1803	1878
ENSG00000023228	NDUFS1	2723	2807	2558	2596
ENSG00000023287	RB1CC1	3712	3660	5121	5413
ENSG00000023318	ERP44	1381	1427	1571	1490
ENSG00000023330	ALAS1	1252	1345	1550	1523
ENSG00000023445	BIRC3	395	421	427	368
ENSG00000023516	AKAP11	2337	2512	2187	2328
ENSG00000023572	GLRX2	240	287	301	303
ENSG00000023608	SNAPC1	426	455	482	461
ENSG00000023697	DERA	972	984	912	910
ENSG00000023734	STRAP	2920	2971	2699	2622
ENSG00000023839	ABCC2	4481	4510	6139	6395
ENSG00000023892	DEF6	3	3	2	4
ENSG00000023902	PLEKHO1	219	258	323	314
ENSG00000023909	GCLM	3944	3970	6091	5705
ENSG00000024048	UBR2	807	848	782	778
ENSG00000024422	EHD2	24	25	21	29
ENSG00000024526	DEPDC1	693	732	620	656
ENSG00000024862	CCDC28A	217	243	245	242
ENSG00000025039	RRAGD	505	546	570	544
ENSG00000025156	HSF2	433	466	422	427
ENSG00000025293	PHF20	1315	1321	1512	1489
ENSG00000025423	HSD17B6	31	35	55	60
ENSG00000025434	NR1H3	355	343	277	296
ENSG00000025708	TYMP	43	51	27	35
ENSG00000025770	NCAPH2	427	492	400	453
ENSG00000025772	TOMM34	1378	1516	1434	1302
ENSG00000025796	SEC63	1334	1360	1228	1329
ENSG00000025800	KPNA6	2562	2647	2573	2543
ENSG00000026025	VIM	18179	19304	18448	18166
ENSG00000026036	RTEL1-TNFRSF6B	46	55	29	43
ENSG00000026103	FAS	510	508	511	513
ENSG00000026297	RNASET2	1854	2017	1507	1663
ENSG00000026508	CD44	3083	2828	4719	4258
ENSG00000026652	AGPAT4	727	807	983	932
ENSG00000026751	SLAMF7	9	8	3	6
ENSG00000026950	BTN3A1	457	436	301	277
ENSG00000027001	MIPEP	466	414	450	428
ENSG00000027075	PRKCH	164	168	160	185
ENSG00000027644	INSRR	1	0	0	0
ENSG00000027697	IFNGR1	598	639	747	691
ENSG00000027847	B4GALT7	594	645	496	475
ENSG00000027869	SH2D2A	2	0	1	0
ENSG00000028116	VRK2	331	312	323	356
ENSG00000028137	TNFRSF1B	5	7	6	6
ENSG00000028203	VEZT	1588	1645	1429	1495
ENSG00000028277	POU2F2	8	6	10	10
ENSG00000028310	BRD9	1333	1206	1361	1312
ENSG00000028528	SNX1	1888	1795	1771	1769
ENSG00000028839	TBPL1	252	298	247	264
ENSG00000029153	ARNTL2	870	854	938	908
ENSG00000029363	BCLAF1	2609	2757	2207	2483
ENSG00000029364	SLC39A9	1720	1755	1619	1705
ENSG00000029534	ANK1	2	5	0	0
ENSG00000029639	TFB1M	162	204	174	202
ENSG00000029725	RABEP1	1689	1733	1800	1725
ENSG00000029993	HMGB3	191	177	174	172
ENSG00000030066	NUP160	1341	1337	1385	1461
ENSG00000030110	BAK1	117	135	100	91
ENSG00000030419	IKZF2	53	79	42	54
ENSG00000030582	GRN	3892	4593	4360	4659
ENSG00000031003	FAM13B	2255	2255	2317	2358
ENSG00000031081	ARHGAP31	436	444	418	387
ENSG00000031691	CENPQ	183	215	231	212
ENSG00000031698	SARS	1826	1979	2022	1991
ENSG00000031823	RANBP3	720	718	693	683
ENSG00000032219	ARID4A	539	544	508	520
ENSG00000032389	TSSC1	496	532	460	516
ENSG00000032444	PNPLA6	260	312	317	295
ENSG00000032742	IFT88	217	206	182	210
ENSG00000033011	ALG1	363	414	390	388
ENSG00000033030	ZCCHC8	874	904	859	861
ENSG00000033050	ABCF2	2987	3128	2763	2719
ENSG00000033100	CHPF2	2602	2722	2758	2863
ENSG00000033122	LRRC7	18	27	20	17
ENSG00000033170	FUT8	336	410	362	357
ENSG00000033178	UBA6	1787	1906	1866	1845
ENSG00000033327	GAB2	316	313	471	369
ENSG00000033627	ATP6V0A1	812	876	869	908
ENSG00000033800	PIAS1	630	621	682	628
ENSG00000033867	SLC4A7	1032	956	1421	1303
ENSG00000034053	APBA2	409	441	411	368
ENSG00000034152	MAP2K3	843	905	1245	1192
ENSG00000034239	EFCAB1	0	0	0	1
ENSG00000034510	TMSB10	14870	14256	14693	14219
ENSG00000034533	ASTE1	282	295	252	264
ENSG00000034677	RNF19A	3774	3751	4439	4412
ENSG00000034693	PEX3	402	399	325	368
ENSG00000034713	GABARAPL2	1558	1596	1611	1669
ENSG00000035115	SH3YL1	554	599	503	463
ENSG00000035141	FAM136A	2521	2673	2348	2412
ENSG00000035403	VCL	7859	8220	13209	11783
ENSG00000035499	DEPDC1B	535	525	374	372
ENSG00000035664	DAPK2	26	22	29	20
ENSG00000035681	NSMAF	1592	1590	1800	1785
ENSG00000035687	ADSS	1335	1413	1640	1612
ENSG00000035862	TIMP2	4257	4238	5311	5229
ENSG00000035928	RFC1	1513	1453	1346	1447
ENSG00000036054	TBC1D23	650	664	700	722
ENSG00000036257	CUL3	1061	1033	951	965
ENSG00000036448	MYOM2	46	57	37	41
ENSG00000036530	CYP46A1	2	8	0	2
ENSG00000036549	ZZZ3	1811	1889	1986	2061
ENSG00000036565	SLC18A1	2	5	1	4
ENSG00000036672	USP2	8	13	6	2
ENSG00000037042	TUBG2	219	260	222	227
ENSG00000037241	RPL26L1	181	156	157	142
ENSG00000037280	FLT4	2	0	0	0
ENSG00000037474	NSUN2	1998	2016	1934	1876
ENSG00000037637	FBXO42	348	385	336	351
ENSG00000037749	MFAP3	766	742	773	766
ENSG00000037757	MRI1	142	167	121	141
ENSG00000037897	METTL1	392	405	386	358
ENSG00000037965	HOXC8	79	75	52	47
ENSG00000038002	AGA	645	664	616	585
ENSG00000038210	PI4K2B	444	419	363	410
ENSG00000038219	BOD1L1	2478	2571	2497	2473
ENSG00000038274	MAT2B	1401	1477	1434	1524
ENSG00000038295	TLL1	15	17	26	30
ENSG00000038358	EDC4	1051	1161	978	1049
ENSG00000038382	TRIO	4018	3996	5895	5275
ENSG00000038427	VCAN	43465	46894	50238	56268
ENSG00000038532	CLEC16A	656	722	675	642
ENSG00000038945	MSR1	624	642	871	796
ENSG00000039068	CDH1	3	3	0	0
ENSG00000039123	SKIV2L2	958	1015	845	894
ENSG00000039139	DNAH5	77	87	77	83
ENSG00000039319	ZFYVE16	2228	2232	2260	2321
ENSG00000039523	FAM65A	2229	2479	2365	2370
ENSG00000039537	C6	6	5	2	0
ENSG00000039560	RAI14	3548	3355	3917	3600
ENSG00000039600	SOX30	0	0	0	3
ENSG00000039650	PNKP	271	311	319	315
ENSG00000039987	BEST2	1	2	1	0
ENSG00000040199	PHLPP2	1148	1205	1297	1199
ENSG00000040275	SPDL1	1865	1979	2307	2288
ENSG00000040341	STAU2	1985	2078	1991	2008
ENSG00000040487	PQLC2	304	295	363	288
ENSG00000040531	CTNS	427	518	472	560
ENSG00000040608	RTN4R	154	205	111	116
ENSG00000040633	PHF23	1722	1742	1704	1534
ENSG00000040933	INPP4A	770	890	921	826
ENSG00000041353	RAB27B	390	378	548	531
ENSG00000041357	PSMA4	1818	1854	1678	1712
ENSG00000041515	MYO16	2	4	0	1
ENSG00000041802	LSG1	1772	1777	1665	1547
ENSG00000041880	PARP3	661	690	557	624
ENSG00000041982	TNC	26	34	17	9
ENSG00000041988	THAP3	145	152	171	158
ENSG00000042062	FAM65C	3239	3672	4543	5450
ENSG00000042088	TDP1	425	430	430	462
ENSG00000042286	AIFM2	858	871	921	973
ENSG00000042317	SPATA7	103	88	75	87
ENSG00000042429	MED17	778	794	812	824
ENSG00000042445	RETSAT	1009	1098	1056	1103
ENSG00000042493	CAPG	881	828	817	796
ENSG00000042753	AP2S1	2275	2399	2234	2224
ENSG00000042781	USH2A	4	6	4	2
ENSG00000042832	TG	9	2	11	11
ENSG00000042980	ADAM28	37	37	39	40
ENSG00000043093	DCUN1D1	792	835	849	890
ENSG00000043143	JADE2	1868	1921	1490	1691
ENSG00000043355	ZIC2	863	837	1458	1406
ENSG00000043514	TRIT1	675	762	607	639
ENSG00000043591	ADRB1	5	4	1	5
ENSG00000044090	CUL7	627	658	719	710
ENSG00000044115	CTNNA1	7044	7020	8750	8477
ENSG00000044446	PHKA2	507	593	494	440
ENSG00000044459	CNTLN	322	302	304	301
ENSG00000044574	HSPA5	12130	13369	17018	15129
ENSG00000046604	DSG2	4294	4341	4556	4272
ENSG00000046647	GEMIN8	245	260	273	291
ENSG00000046651	OFD1	510	501	510	493
ENSG00000046653	GPM6B	38	33	37	34
ENSG00000046889	PREX2	7052	7336	9715	10238
ENSG00000047056	WDR37	455	485	511	478
ENSG00000047188	YTHDC2	1226	1300	1086	1074
ENSG00000047230	CTPS2	383	399	372	370
ENSG00000047249	ATP6V1H	1407	1427	1591	1546
ENSG00000047315	POLR2B	2542	2500	2485	2327
ENSG00000047346	FAM214A	419	479	399	468
ENSG00000047365	ARAP2	32	26	34	29
ENSG00000047410	TPR	4334	4603	4085	4109
ENSG00000047457	CP	770	757	674	640
ENSG00000047578	KIAA0556	987	960	933	928
ENSG00000047579	DTNBP1	201	172	193	169
ENSG00000047597	XK	0	0	1	0
ENSG00000047617	ANO2	9	7	7	7
ENSG00000047621	C12orf4	652	681	561	512
ENSG00000047634	SCML1	655	717	722	712
ENSG00000047644	WWC3	747	768	966	1071
ENSG00000047648	ARHGAP6	397	420	243	330
ENSG00000047662	FAM184B	9	6	6	4
ENSG00000047849	MAP4	6515	6709	7165	6875
ENSG00000047932	GOPC	1252	1305	1414	1359
ENSG00000048028	USP28	542	578	603	566
ENSG00000048052	HDAC9	611	575	933	731
